start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2011-04-04,2011-04-10,Brazil,Hard,35000.0,$,2011,acyr-bringel-figueiredo,A. Bringel Figueiredo,fabio-paterno,F. Paterno,recife_challenger,1st Round Qualifying,3.0,f,100,1,02:07:00,190.0,1.0,11.0,15.0,0.0,0.0,204.0,5.0,18.0,46.0,105.0,32.0,46.0,25.0,59.0,14.0,19.0,13.0,154.0,17.0,55.0,15.0,30.0,3.0,6.0,13.0,57.0,105.0,32.0,85.0,89.0,f,f,WC,f,Brazil,2.0,15.0,11.0,0.0,254.0,2.0,8.0,55.0,85.0,38.0,55.0,15.0,30.0,3.0,6.0,13.0,152.0,14.0,46.0,34.0,59.0,5.0,19.0,13.0,53.0,85.0,48.0,105.0,101.0,t,f,t,Brazil
2011-04-04,2011-04-10,Brazil,Hard,35000.0,$,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,giovanni-lapentti,G. Lapentti,recife_challenger,Round of 32,2.0,f,100,3,01:18:00,94.0,0.0,6.0,11.0,0.0,0.0,214.0,2.0,8.0,21.0,50.0,15.0,21.0,12.0,29.0,1.0,4.0,9.0,50.0,5.0,29.0,5.0,15.0,0.0,0.0,8.0,27.0,50.0,10.0,44.0,37.0,f,t,,f,Brazil,2.0,11.0,6.0,0.0,317.0,4.0,3.0,29.0,44.0,24.0,29.0,10.0,15.0,0.0,0.0,8.0,196.0,6.0,21.0,17.0,29.0,3.0,4.0,9.0,34.0,44.0,23.0,50.0,57.0,t,t,t,Brazil
2011-04-04,2011-04-10,Brazil,Hard,35000.0,$,2011,andre-ghem,A. Ghem,giovanni-lapentti,G. Lapentti,recife_challenger,Quarter-Finals,2.0,f,100,5,01:34:00,124.0,0.0,8.0,12.0,0.0,0.0,263.0,5.0,3.0,35.0,55.0,27.0,35.0,8.0,20.0,2.0,4.0,10.0,69.0,14.0,45.0,9.0,24.0,0.0,3.0,10.0,35.0,55.0,23.0,69.0,58.0,f,f,,f,Brazil,2.0,12.0,8.0,0.0,301.0,6.0,2.0,45.0,69.0,31.0,45.0,15.0,24.0,3.0,3.0,10.0,153.0,8.0,35.0,12.0,20.0,2.0,4.0,10.0,46.0,69.0,20.0,55.0,66.0,t,f,t,Brazil
2011-04-04,2011-04-10,Brazil,Hard,35000.0,$,2011,andre-ghem,A. Ghem,michael-lammer,M. Lammer,recife_challenger,Round of 16,2.0,f,100,4,01:03:00,79.0,1.0,6.0,7.0,0.0,0.0,261.0,1.0,1.0,25.0,34.0,18.0,25.0,4.0,9.0,2.0,4.0,7.0,129.0,9.0,31.0,9.0,14.0,1.0,5.0,6.0,22.0,34.0,18.0,45.0,40.0,t,t,,f,Brazil,1.0,7.0,6.0,0.0,260.0,1.0,0.0,31.0,45.0,22.0,31.0,5.0,14.0,4.0,5.0,6.0,162.0,7.0,25.0,5.0,9.0,2.0,4.0,7.0,27.0,45.0,12.0,34.0,39.0,f,t,t,Brazil
2011-04-04,2011-04-10,Brazil,Hard,35000.0,$,2011,andre-ghem,A. Ghem,pablo-galdon,P. Galdon,recife_challenger,Round of 32,2.0,f,100,3,00:59:00,98.0,2.0,12.0,5.0,0.0,0.0,337.0,3.0,0.0,30.0,45.0,24.0,30.0,13.0,15.0,2.0,2.0,9.0,167.0,10.0,28.0,14.0,25.0,3.0,8.0,8.0,37.0,45.0,24.0,53.0,61.0,t,f,,t,Brazil,0.0,5.0,12.0,0.0,221.0,1.0,3.0,28.0,53.0,18.0,28.0,11.0,25.0,5.0,8.0,8.0,33.0,6.0,30.0,2.0,15.0,0.0,2.0,9.0,29.0,53.0,8.0,45.0,37.0,f,f,f,Brazil
2011-04-04,2011-04-10,Brazil,Hard,35000.0,$,2011,andre-miele,A. Miele,christian-lindell,C. Lindell,recife_challenger,Round of 32,3.0,f,100,3,03:03:00,214.0,1.0,13.0,18.0,1.0,1.0,234.0,0.0,4.0,76.0,119.0,50.0,76.0,18.0,43.0,8.0,13.0,15.0,108.0,20.0,60.0,13.0,35.0,2.0,8.0,15.0,68.0,119.0,33.0,95.0,101.0,f,f,,f,Brazil,2.0,18.0,13.0,0.0,287.0,9.0,1.0,60.0,95.0,40.0,60.0,22.0,35.0,6.0,8.0,15.0,163.0,26.0,76.0,25.0,43.0,5.0,13.0,15.0,62.0,95.0,51.0,119.0,113.0,t,f,t,Brazil
2011-04-04,2011-04-10,Brazil,Hard,35000.0,$,2011,augusto-laranja,A. Laranja,jose-pereira,J. Pereira,recife_challenger,Round of 32,2.0,f,100,3,01:21:00,119.0,0.0,6.0,13.0,0.0,0.0,215.0,2.0,3.0,37.0,64.0,19.0,37.0,14.0,27.0,6.0,10.0,9.0,174.0,4.0,34.0,11.0,21.0,1.0,1.0,10.0,33.0,64.0,15.0,55.0,48.0,f,f,WC,f,Brazil,2.0,13.0,6.0,0.0,289.0,4.0,3.0,34.0,55.0,30.0,34.0,10.0,21.0,0.0,1.0,10.0,181.0,18.0,37.0,13.0,27.0,4.0,10.0,9.0,40.0,55.0,31.0,64.0,71.0,t,f,t,Brazil
2011-04-04,2011-04-10,Brazil,Hard,35000.0,$,2011,bruno-santanna,B. Santanna,fernando-romboli,F. Romboli,recife_challenger,Round of 32,2.0,f,100,3,01:22:00,126.0,2.0,13.0,9.0,1.0,1.0,294.0,4.0,1.0,43.0,63.0,31.0,43.0,14.0,20.0,2.0,4.0,11.0,156.0,17.0,46.0,5.0,17.0,3.0,5.0,10.0,45.0,63.0,22.0,63.0,67.0,t,f,WC,t,Brazil,0.0,9.0,13.0,0.0,279.0,3.0,1.0,46.0,63.0,29.0,46.0,12.0,17.0,2.0,5.0,10.0,126.0,12.0,43.0,6.0,20.0,2.0,4.0,11.0,41.0,63.0,18.0,63.0,59.0,f,f,f,Brazil
2011-04-04,2011-04-10,Brazil,Hard,35000.0,$,2011,bruno-santanna,B. Santanna,tiago-fernandes,T. Fernandes,recife_challenger,Round of 16,2.0,f,100,4,01:51:00,153.0,0.0,10.0,13.0,0.0,1.0,233.0,2.0,2.0,38.0,72.0,23.0,38.0,19.0,34.0,3.0,7.0,11.0,144.0,17.0,50.0,14.0,31.0,3.0,8.0,11.0,42.0,72.0,31.0,81.0,73.0,f,f,WC,f,Brazil,2.0,13.0,10.0,1.0,253.0,0.0,2.0,50.0,81.0,33.0,50.0,17.0,31.0,5.0,8.0,11.0,176.0,15.0,38.0,15.0,34.0,4.0,7.0,11.0,50.0,81.0,30.0,72.0,80.0,t,f,t,Brazil
2011-04-04,2011-04-10,Brazil,Hard,35000.0,$,2011,caio-zampieri,C. Zampieri,julio-silva,J. Silva,recife_challenger,Quarter-Finals,3.0,f,100,5,02:20:00,177.0,1.0,11.0,15.0,0.0,0.0,246.0,12.0,2.0,59.0,100.0,42.0,59.0,15.0,41.0,16.0,20.0,13.0,149.0,14.0,52.0,10.0,25.0,2.0,3.0,13.0,57.0,100.0,24.0,77.0,81.0,f,f,7,t,Brazil,2.0,15.0,11.0,0.0,289.0,9.0,5.0,52.0,77.0,38.0,52.0,15.0,25.0,1.0,3.0,13.0,142.0,17.0,59.0,26.0,41.0,4.0,20.0,13.0,53.0,77.0,43.0,100.0,96.0,t,f,f,Brazil
