,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2011-10-10,2011-10-16,France,Hard,64000.0,€,2011,adam-feeney,A. Feeney,josh-goodall,J. Goodall,rennes_challenger,1st Round Qualifying,3.0,f,100,0,02:21:00,232.0,1.0,16.0,19.0,1.0,1.0,290.0,4.0,3.0,79.0,107.0,51.0,79.0,19.0,28.0,5.0,8.0,17.0,86.0,20.0,69.0,23.0,56.0,1.0,9.0,17.0,70.0,107.0,43.0,125.0,113.0,f,f,,f,France,2.0,19.0,16.0,0.0,279.0,3.0,3.0,69.0,125.0,49.0,69.0,33.0,56.0,8.0,9.0,17.0,122.0,28.0,79.0,9.0,28.0,3.0,8.0,17.0,82.0,125.0,37.0,107.0,119.0,t,f,t,France
1,2011-10-10,2011-10-16,France,Hard,64000.0,€,2011,adrian-mannarino,A. Mannarino,kenny-de-schepper,K. De Schepper,rennes_challenger,Round of 32,3.0,f,100,3,02:35:00,231.0,2.0,18.0,18.0,2.0,2.0,274.0,5.0,3.0,80.0,109.0,54.0,80.0,16.0,29.0,2.0,6.0,17.0,136.0,16.0,71.0,32.0,51.0,3.0,9.0,17.0,70.0,109.0,48.0,122.0,118.0,t,f,2,t,France,1.0,18.0,18.0,0.0,268.0,21.0,7.0,71.0,122.0,55.0,71.0,19.0,51.0,6.0,9.0,17.0,168.0,26.0,80.0,13.0,29.0,4.0,6.0,17.0,74.0,122.0,39.0,109.0,113.0,f,f,f,France
2,2011-10-10,2011-10-16,France,Hard,64000.0,€,2011,adrian-mannarino,A. Mannarino,roberto-bautista-agut,R. Bautista Agut,rennes_challenger,Round of 16,3.0,f,100,4,02:20:00,187.0,1.0,14.0,17.0,0.0,0.0,289.0,6.0,1.0,58.0,85.0,43.0,58.0,15.0,27.0,4.0,6.0,15.0,99.0,20.0,77.0,14.0,25.0,1.0,9.0,16.0,58.0,85.0,34.0,102.0,92.0,f,f,2,t,France,2.0,17.0,14.0,0.0,284.0,3.0,5.0,77.0,102.0,57.0,77.0,11.0,25.0,8.0,9.0,16.0,116.0,15.0,58.0,12.0,27.0,2.0,6.0,15.0,68.0,102.0,27.0,85.0,95.0,t,f,f,France
3,2011-10-10,2011-10-16,France,Hard,64000.0,€,2011,aldin-setkic,A. Setkic,ilija-bozoljac,I. Bozoljac,rennes_challenger,3rd Round Qualifying,2.0,f,100,2,01:05:00,108.0,0.0,7.0,12.0,0.0,0.0,260.0,4.0,1.0,42.0,59.0,24.0,42.0,10.0,17.0,2.0,5.0,10.0,56.0,4.0,33.0,7.0,16.0,0.0,1.0,9.0,34.0,59.0,11.0,49.0,45.0,f,f,,f,France,2.0,12.0,7.0,0.0,324.0,14.0,1.0,33.0,49.0,29.0,33.0,9.0,16.0,1.0,1.0,9.0,174.0,18.0,42.0,7.0,17.0,3.0,5.0,10.0,38.0,49.0,25.0,59.0,63.0,t,f,t,France
4,2011-10-10,2011-10-16,France,Hard,64000.0,€,2011,aldin-setkic,A. Setkic,josh-goodall,J. Goodall,rennes_challenger,2nd Round Qualifying,1.0,f,100,1,00:31:00,52.0,1.0,6.0,3.0,0.0,0.0,318.0,5.0,0.0,21.0,28.0,17.0,21.0,4.0,7.0,0.0,0.0,5.0,217.0,6.0,17.0,4.0,7.0,1.0,1.0,4.0,21.0,28.0,10.0,24.0,31.0,t,t,,t,France,0.0,3.0,6.0,0.0,254.0,0.0,0.0,17.0,24.0,11.0,17.0,3.0,7.0,0.0,1.0,4.0,62.0,4.0,21.0,3.0,7.0,0.0,0.0,5.0,14.0,24.0,7.0,28.0,21.0,f,t,f,France
5,2011-10-10,2011-10-16,France,Hard,64000.0,€,2011,aldin-setkic,A. Setkic,matwe-middelkoop,M. Middelkoop,rennes_challenger,1st Round Qualifying,3.0,f,100,0,01:49:00,182.0,2.0,16.0,16.0,1.0,1.0,289.0,6.0,2.0,58.0,81.0,44.0,58.0,13.0,23.0,0.0,3.0,15.0,114.0,25.0,67.0,10.0,34.0,3.0,10.0,16.0,57.0,81.0,35.0,101.0,92.0,t,f,,t,France,1.0,16.0,16.0,0.0,281.0,2.0,2.0,67.0,101.0,42.0,67.0,24.0,34.0,7.0,10.0,16.0,187.0,14.0,58.0,10.0,23.0,3.0,3.0,15.0,66.0,101.0,24.0,81.0,90.0,f,f,f,France
6,2011-10-10,2011-10-16,France,Hard,64000.0,€,2011,alejandro-falla,A. Falla,jan-hajek,J. Hajek,rennes_challenger,Round of 32,3.0,f,100,3,01:31:00,150.0,1.0,10.0,15.0,0.0,0.0,241.0,3.0,2.0,52.0,74.0,33.0,52.0,9.0,22.0,1.0,5.0,12.0,118.0,14.0,46.0,12.0,30.0,2.0,6.0,13.0,42.0,74.0,26.0,76.0,68.0,f,f,7,f,France,2.0,15.0,10.0,0.0,280.0,7.0,2.0,46.0,76.0,32.0,46.0,18.0,30.0,4.0,6.0,13.0,209.0,19.0,52.0,13.0,22.0,4.0,5.0,12.0,50.0,76.0,32.0,74.0,82.0,t,f,t,France
7,2011-10-10,2011-10-16,France,Hard,64000.0,€,2011,alexander-ward,A. Ward,jerzy-janowicz,J. Janowicz,rennes_challenger,1st Round Qualifying,2.0,f,100,0,00:55:00,78.0,0.0,2.0,12.0,0.0,0.0,151.0,0.0,3.0,29.0,45.0,11.0,29.0,6.0,16.0,1.0,7.0,7.0,166.0,3.0,19.0,5.0,14.0,1.0,1.0,7.0,17.0,45.0,8.0,33.0,25.0,f,f,,f,France,2.0,12.0,2.0,0.0,293.0,3.0,1.0,19.0,33.0,16.0,19.0,9.0,14.0,0.0,1.0,7.0,296.0,18.0,29.0,10.0,16.0,6.0,7.0,7.0,25.0,33.0,28.0,45.0,53.0,t,f,t,France
8,2011-10-10,2011-10-16,France,Hard,64000.0,€,2011,alexandre-david,A. David,sebastian-rieschick,S. Rieschick,rennes_challenger,1st Round Qualifying,2.0,f,100,0,01:13:00,143.0,0.0,6.0,13.0,0.0,0.0,190.0,0.0,2.0,61.0,84.0,28.0,61.0,10.0,23.0,8.0,15.0,10.0,163.0,17.0,41.0,10.0,18.0,3.0,9.0,9.0,38.0,84.0,27.0,59.0,65.0,f,f,WC,f,France,2.0,13.0,6.0,0.0,236.0,0.0,2.0,41.0,59.0,24.0,41.0,8.0,18.0,6.0,9.0,9.0,228.0,33.0,61.0,13.0,23.0,7.0,15.0,10.0,32.0,59.0,46.0,84.0,78.0,t,f,t,France
9,2011-10-10,2011-10-16,France,Hard,64000.0,€,2011,alexandre-penaud,A. Penaud,daniel-evans,D. Evans,rennes_challenger,2nd Round Qualifying,3.0,f,100,1,01:49:00,162.0,1.0,11.0,14.0,0.0,0.0,236.0,3.0,9.0,50.0,81.0,36.0,50.0,12.0,31.0,8.0,12.0,13.0,119.0,16.0,51.0,15.0,30.0,2.0,9.0,12.0,48.0,81.0,31.0,81.0,79.0,f,f,,f,France,2.0,14.0,11.0,0.0,269.0,5.0,1.0,51.0,81.0,35.0,51.0,15.0,30.0,7.0,9.0,12.0,152.0,14.0,50.0,19.0,31.0,4.0,12.0,13.0,50.0,81.0,33.0,81.0,83.0,t,f,t,France
