start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2014-10-06,2014-10-12,France,Hard,85000.0,€,2014,alexander-zverev,A. Zverev,dudi-sela,D. Sela,rennes_challenger,Round of 32,2.0,f,100,3,01:09:00,104.0,0.0,6.0,12.0,0.0,0.0,276.0,6.0,1.0,29.0,41.0,17.0,29.0,9.0,12.0,0.0,3.0,9.0,59.0,12.0,37.0,7.0,26.0,0.0,2.0,9.0,26.0,41.0,19.0,63.0,45.0,f,f,,f,France,2.0,12.0,6.0,0.0,299.0,0.0,1.0,37.0,63.0,25.0,37.0,19.0,26.0,2.0,2.0,9.0,199.0,12.0,29.0,3.0,12.0,3.0,3.0,9.0,44.0,63.0,15.0,41.0,59.0,t,f,t,France
2014-10-06,2014-10-12,France,Hard,85000.0,€,2014,andreas-beck,A. Beck,enzo-couacaud,E. Couacaud,rennes_challenger,Round of 32,3.0,f,100,3,02:01:00,187.0,1.0,15.0,16.0,0.0,1.0,283.0,11.0,2.0,55.0,90.0,43.0,55.0,17.0,35.0,1.0,3.0,15.0,181.0,17.0,50.0,16.0,47.0,2.0,2.0,15.0,60.0,90.0,33.0,97.0,93.0,f,f,7,t,France,2.0,16.0,15.0,1.0,272.0,3.0,1.0,50.0,97.0,33.0,50.0,31.0,47.0,0.0,2.0,15.0,153.0,12.0,55.0,18.0,35.0,2.0,3.0,15.0,64.0,97.0,30.0,90.0,94.0,t,f,f,France
2014-10-06,2014-10-12,France,Hard,85000.0,€,2014,andreas-haider-maurer,A. Haider-Maurer,marius-copil,M. Copil,rennes_challenger,Round of 32,3.0,f,100,3,01:44:00,185.0,2.0,16.0,15.0,1.0,1.0,285.0,11.0,7.0,57.0,90.0,48.0,57.0,16.0,33.0,1.0,3.0,15.0,115.0,7.0,54.0,20.0,41.0,2.0,5.0,15.0,64.0,90.0,27.0,95.0,91.0,t,f,5,t,France,1.0,15.0,16.0,0.0,296.0,19.0,4.0,54.0,95.0,47.0,54.0,21.0,41.0,3.0,5.0,15.0,148.0,9.0,57.0,17.0,33.0,2.0,3.0,15.0,68.0,95.0,26.0,90.0,94.0,f,f,f,France
2014-10-06,2014-10-12,France,Hard,85000.0,€,2014,andreas-haider-maurer,A. Haider-Maurer,marsel-ilhan,M. Ilhan,rennes_challenger,Quarter-Finals,3.0,f,100,5,01:59:00,192.0,1.0,14.0,16.0,0.0,0.0,254.0,13.0,6.0,64.0,116.0,53.0,64.0,15.0,52.0,6.0,9.0,15.0,138.0,7.0,42.0,14.0,34.0,2.0,3.0,15.0,68.0,116.0,21.0,76.0,89.0,f,f,5,t,France,2.0,16.0,14.0,0.0,296.0,13.0,0.0,42.0,76.0,35.0,42.0,20.0,34.0,1.0,3.0,15.0,141.0,11.0,64.0,37.0,52.0,3.0,9.0,15.0,55.0,76.0,48.0,116.0,103.0,t,f,f,France
2014-10-06,2014-10-12,France,Hard,85000.0,€,2014,andreas-haider-maurer,A. Haider-Maurer,matthias-bachinger,M. Bachinger,rennes_challenger,Round of 16,2.0,f,100,4,01:13:00,134.0,2.0,13.0,9.0,1.0,1.0,312.0,9.0,1.0,44.0,75.0,34.0,44.0,21.0,31.0,5.0,5.0,11.0,170.0,11.0,41.0,6.0,18.0,1.0,1.0,10.0,55.0,75.0,17.0,59.0,72.0,t,f,5,t,France,0.0,9.0,13.0,0.0,304.0,6.0,1.0,41.0,59.0,30.0,41.0,12.0,18.0,0.0,1.0,10.0,55.0,10.0,44.0,10.0,31.0,0.0,5.0,11.0,42.0,59.0,20.0,75.0,62.0,f,f,f,France
2014-10-06,2014-10-12,France,Hard,85000.0,€,2014,andreas-siljestrom,A. Siljestrom,manuel-guinard,M. Guinard,rennes_challenger,1st Round Qualifying,3.0,f,100,0,02:13:00,220.0,1.0,17.0,18.0,0.0,1.0,267.0,8.0,6.0,90.0,126.0,61.0,90.0,16.0,36.0,9.0,12.0,17.0,151.0,11.0,51.0,16.0,43.0,3.0,4.0,17.0,77.0,126.0,27.0,94.0,104.0,f,f,,f,France,2.0,18.0,17.0,1.0,278.0,2.0,1.0,51.0,94.0,40.0,51.0,27.0,43.0,1.0,4.0,17.0,130.0,29.0,90.0,20.0,36.0,3.0,12.0,17.0,67.0,94.0,49.0,126.0,116.0,t,f,t,France
2014-10-06,2014-10-12,France,Hard,85000.0,€,2014,andre-sa,A. Sa,arnaud-grard,A. Grard,rennes_challenger,2nd Round Qualifying,2.0,f,100,1,01:25:00,119.0,2.0,13.0,8.0,1.0,1.0,313.0,6.0,3.0,40.0,60.0,33.0,40.0,12.0,20.0,2.0,2.0,10.0,164.0,10.0,34.0,12.0,25.0,2.0,3.0,10.0,45.0,60.0,22.0,59.0,67.0,t,f,,t,France,0.0,8.0,13.0,0.0,260.0,1.0,2.0,34.0,59.0,24.0,34.0,13.0,25.0,1.0,3.0,10.0,58.0,7.0,40.0,8.0,20.0,0.0,2.0,10.0,37.0,59.0,15.0,60.0,52.0,f,f,f,France
2014-10-06,2014-10-12,France,Hard,85000.0,€,2014,andre-sa,A. Sa,dennis-novak,D. Novak,rennes_challenger,1st Round Qualifying,3.0,f,100,0,01:39:00,172.0,2.0,17.0,10.0,0.0,0.0,274.0,4.0,4.0,50.0,80.0,37.0,50.0,16.0,30.0,4.0,6.0,13.0,185.0,17.0,58.0,24.0,34.0,6.0,14.0,14.0,53.0,80.0,41.0,92.0,94.0,t,f,,f,France,1.0,10.0,17.0,0.0,220.0,5.0,5.0,58.0,92.0,41.0,58.0,10.0,34.0,8.0,14.0,14.0,121.0,13.0,50.0,14.0,30.0,2.0,6.0,13.0,51.0,92.0,27.0,80.0,78.0,f,f,t,France
2014-10-06,2014-10-12,France,Hard,85000.0,€,2014,andre-sa,A. Sa,karen-khachanov,K. Khachanov,rennes_challenger,3rd Round Qualifying,3.0,f,100,2,02:09:00,193.0,1.0,13.0,18.0,1.0,1.0,230.0,0.0,1.0,59.0,97.0,41.0,59.0,14.0,38.0,8.0,13.0,14.0,137.0,15.0,64.0,17.0,32.0,3.0,7.0,16.0,55.0,97.0,32.0,96.0,87.0,f,f,,f,France,2.0,18.0,13.0,0.0,274.0,5.0,3.0,64.0,96.0,49.0,64.0,15.0,32.0,4.0,7.0,16.0,167.0,18.0,59.0,24.0,38.0,5.0,13.0,14.0,64.0,96.0,42.0,97.0,106.0,t,f,t,France
2014-10-06,2014-10-12,France,Hard,85000.0,€,2014,arnaud-grard,A. Grard,david-vega-hernandez,D. Vega Hernandez,rennes_challenger,1st Round Qualifying,3.0,f,100,0,02:47:00,246.0,2.0,20.0,18.0,1.0,2.0,261.0,5.0,3.0,70.0,117.0,55.0,70.0,20.0,47.0,7.0,11.0,18.0,170.0,27.0,78.0,23.0,51.0,5.0,8.0,18.0,75.0,117.0,50.0,129.0,125.0,t,f,WC,t,France,1.0,18.0,20.0,1.0,256.0,7.0,3.0,78.0,129.0,51.0,78.0,28.0,51.0,3.0,8.0,18.0,136.0,15.0,70.0,27.0,47.0,4.0,11.0,18.0,79.0,129.0,42.0,117.0,121.0,f,f,f,France
