,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2014-10-27,2014-11-02,Reunion,Hard,35000.0,€,2014,alexis-musialek,A. Musialek,gregoire-barrere,G. Barrere,reunion-island_challenger,Round of 32,3.0,f,100,3,02:01:00,179.0,1.0,13.0,14.0,0.0,0.0,252.0,4.0,0.0,59.0,90.0,36.0,59.0,16.0,31.0,10.0,14.0,13.0,143.0,12.0,46.0,23.0,43.0,4.0,11.0,14.0,52.0,90.0,35.0,89.0,87.0,f,f,,f,Reunion,2.0,14.0,13.0,0.0,242.0,4.0,6.0,46.0,89.0,34.0,46.0,20.0,43.0,7.0,11.0,14.0,146.0,23.0,59.0,15.0,31.0,4.0,14.0,13.0,54.0,89.0,38.0,90.0,92.0,t,f,t,Reunion
1,2014-10-27,2014-11-02,Reunion,Hard,35000.0,€,2014,antal-van-der-duim,A. Van Der Duim,jonathan-eysseric,J. Eysseric,reunion-island_challenger,Round of 32,2.0,f,100,3,01:18:00,133.0,0.0,8.0,13.0,0.0,1.0,260.0,1.0,2.0,43.0,77.0,31.0,43.0,18.0,34.0,4.0,6.0,10.0,41.0,3.0,34.0,7.0,22.0,0.0,0.0,10.0,49.0,77.0,10.0,56.0,59.0,f,f,,f,Reunion,2.0,13.0,8.0,1.0,333.0,13.0,0.0,34.0,56.0,31.0,34.0,15.0,22.0,0.0,0.0,10.0,128.0,12.0,43.0,16.0,34.0,2.0,6.0,10.0,46.0,56.0,28.0,77.0,74.0,t,f,t,Reunion
2,2014-10-27,2014-11-02,Reunion,Hard,35000.0,€,2014,antso-rakotondramanga,,gero-kretschmer,,reunion-island_challenger,2nd Round Qualifying,1.0,f,100,1,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,6,,Reunion,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,Reunion
3,2014-10-27,2014-11-02,Reunion,Hard,35000.0,€,2014,antso-rakotondramanga,A. Rakotondramanga,mark-sibilla,M. Sibilla,reunion-island_challenger,1st Round Qualifying,2.0,f,100,0,00:49:00,100.0,2.0,12.0,4.0,0.0,0.0,256.0,6.0,4.0,38.0,58.0,24.0,38.0,10.0,20.0,5.0,7.0,8.0,267.0,13.0,19.0,13.0,23.0,6.0,9.0,8.0,34.0,58.0,26.0,42.0,60.0,t,f,6,t,Reunion,0.0,4.0,12.0,0.0,142.0,0.0,3.0,19.0,42.0,6.0,19.0,10.0,23.0,3.0,9.0,8.0,141.0,14.0,38.0,10.0,20.0,2.0,7.0,8.0,16.0,42.0,24.0,58.0,40.0,f,f,f,Reunion
4,2014-10-27,2014-11-02,Reunion,Hard,35000.0,€,2014,arnaud-floch,A. Floch,eliott-drieux,E. Drieux,reunion-island_challenger,1st Round Qualifying,2.0,f,100,0,00:50:00,98.0,2.0,12.0,3.0,0.0,0.0,292.0,1.0,4.0,27.0,50.0,18.0,27.0,17.0,23.0,1.0,1.0,8.0,228.0,8.0,24.0,17.0,24.0,4.0,6.0,7.0,35.0,50.0,25.0,48.0,60.0,t,f,WC,t,Reunion,0.0,3.0,12.0,0.0,179.0,1.0,10.0,24.0,48.0,16.0,24.0,7.0,24.0,2.0,6.0,7.0,59.0,9.0,27.0,6.0,23.0,0.0,1.0,8.0,23.0,48.0,15.0,50.0,38.0,f,f,f,Reunion
5,2014-10-27,2014-11-02,Reunion,Hard,35000.0,€,2014,arnaud-floch,A. Floch,luca-margaroli,L. Margaroli,reunion-island_challenger,2nd Round Qualifying,3.0,f,100,1,01:32:00,169.0,1.0,9.0,14.0,0.0,0.0,217.0,2.0,3.0,72.0,99.0,37.0,72.0,12.0,27.0,11.0,17.0,12.0,159.0,15.0,45.0,14.0,25.0,3.0,7.0,11.0,49.0,99.0,29.0,70.0,78.0,f,f,WC,f,Reunion,2.0,14.0,9.0,0.0,248.0,3.0,2.0,45.0,70.0,30.0,45.0,11.0,25.0,4.0,7.0,11.0,190.0,35.0,72.0,15.0,27.0,6.0,17.0,12.0,41.0,70.0,50.0,99.0,91.0,t,f,t,Reunion
6,2014-10-27,2014-11-02,Reunion,Hard,35000.0,€,2014,austin-krajicek,A. Krajicek,gero-kretschmer,G. Kretschmer,reunion-island_challenger,Round of 32,2.0,f,100,3,01:26:00,126.0,2.0,12.0,8.0,0.0,0.0,273.0,8.0,3.0,50.0,69.0,40.0,50.0,5.0,19.0,5.0,6.0,10.0,162.0,8.0,29.0,15.0,28.0,3.0,6.0,10.0,45.0,69.0,23.0,57.0,68.0,t,f,5,t,Reunion,0.0,8.0,12.0,0.0,234.0,2.0,7.0,29.0,57.0,21.0,29.0,13.0,28.0,3.0,6.0,10.0,121.0,10.0,50.0,14.0,19.0,1.0,6.0,10.0,34.0,57.0,24.0,69.0,58.0,f,f,f,Reunion
7,2014-10-27,2014-11-02,Reunion,Hard,35000.0,€,2014,austin-krajicek,A. Krajicek,james-ward,J. Ward,reunion-island_challenger,Quarter-Finals,2.0,f,100,5,01:15:00,109.0,0.0,5.0,12.0,0.0,0.0,212.0,2.0,0.0,32.0,47.0,19.0,32.0,5.0,15.0,3.0,7.0,8.0,127.0,7.0,39.0,15.0,23.0,1.0,3.0,9.0,24.0,47.0,22.0,62.0,46.0,f,f,5,f,Reunion,2.0,12.0,5.0,0.0,279.0,12.0,1.0,39.0,62.0,32.0,39.0,8.0,23.0,2.0,3.0,9.0,215.0,13.0,32.0,10.0,15.0,4.0,7.0,8.0,40.0,62.0,23.0,47.0,63.0,t,f,t,Reunion
8,2014-10-27,2014-11-02,Reunion,Hard,35000.0,€,2014,austin-krajicek,A. Krajicek,jonathan-eysseric,J. Eysseric,reunion-island_challenger,Round of 16,2.0,f,100,4,01:25:00,137.0,2.0,12.0,8.0,0.0,0.0,281.0,2.0,0.0,51.0,67.0,38.0,51.0,6.0,16.0,1.0,2.0,10.0,157.0,11.0,44.0,18.0,26.0,3.0,9.0,10.0,44.0,67.0,29.0,70.0,73.0,t,f,5,t,Reunion,0.0,8.0,12.0,0.0,240.0,7.0,6.0,44.0,70.0,33.0,44.0,8.0,26.0,6.0,9.0,10.0,148.0,13.0,51.0,10.0,16.0,1.0,2.0,10.0,41.0,70.0,23.0,67.0,64.0,f,f,f,Reunion
9,2014-10-27,2014-11-02,Reunion,Hard,35000.0,€,2014,bertrand-lescure,B. Lescure,matt-seeberger,M. Seeberger,reunion-island_challenger,2nd Round Qualifying,2.0,f,100,1,00:43:00,93.0,0.0,4.0,12.0,0.0,0.0,171.0,2.0,3.0,18.0,49.0,10.0,18.0,13.0,31.0,3.0,8.0,8.0,135.0,6.0,31.0,7.0,13.0,1.0,2.0,8.0,23.0,49.0,13.0,44.0,36.0,f,f,WC,f,Reunion,2.0,12.0,4.0,0.0,284.0,4.0,4.0,31.0,44.0,25.0,31.0,6.0,13.0,1.0,2.0,8.0,227.0,8.0,18.0,18.0,31.0,5.0,8.0,8.0,31.0,44.0,26.0,49.0,57.0,t,f,t,Reunion
