start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2009-04-27,2009-05-03,Greece,Hard,85000.0,€,2009,alexander-anthis,A. Anthis,nikos-serkedakis,N. Serkedakis,rhodes_challenger,1st Round Qualifying,2.0,f,100,0,00:44:00,78.0,0.0,1.0,12.0,0.0,0.0,129.0,0.0,7.0,20.0,40.0,10.0,20.0,4.0,20.0,7.0,12.0,6.0,53.0,4.0,24.0,5.0,14.0,0.0,0.0,7.0,14.0,40.0,9.0,38.0,23.0,f,f,WC,f,Greece,2.0,12.0,1.0,0.0,309.0,2.0,3.0,24.0,38.0,20.0,24.0,9.0,14.0,0.0,0.0,7.0,255.0,10.0,20.0,16.0,20.0,5.0,12.0,6.0,29.0,38.0,26.0,40.0,55.0,t,f,t,Greece
2009-04-27,2009-05-03,Greece,Hard,85000.0,€,2009,alexandros-georgoudas,A. Georgoudas,dudi-sela,D. Sela,rhodes_challenger,Round of 32,2.0,f,100,3,00:45:00,83.0,0.0,1.0,12.0,0.0,0.0,133.0,0.0,6.0,21.0,50.0,13.0,21.0,6.0,29.0,2.0,8.0,7.0,47.0,1.0,16.0,7.0,17.0,0.0,0.0,6.0,19.0,50.0,8.0,33.0,27.0,f,f,WC,f,Greece,2.0,12.0,1.0,0.0,300.0,0.0,1.0,16.0,33.0,15.0,16.0,10.0,17.0,0.0,0.0,6.0,277.0,8.0,21.0,23.0,29.0,6.0,8.0,7.0,25.0,33.0,31.0,50.0,56.0,t,f,t,Greece
2009-04-27,2009-05-03,Greece,Hard,85000.0,€,2009,alex-bogdanovic,A. Bogdanovic,bobby-reynolds,B. Reynolds,rhodes_challenger,Round of 32,3.0,f,100,3,02:01:00,176.0,2.0,16.0,13.0,0.0,0.0,277.0,14.0,5.0,49.0,91.0,37.0,49.0,22.0,42.0,8.0,10.0,15.0,141.0,13.0,55.0,16.0,30.0,3.0,7.0,14.0,59.0,91.0,29.0,85.0,88.0,t,f,,f,Greece,1.0,13.0,16.0,0.0,272.0,9.0,3.0,55.0,85.0,42.0,55.0,14.0,30.0,4.0,7.0,14.0,105.0,12.0,49.0,20.0,42.0,2.0,10.0,15.0,56.0,85.0,32.0,91.0,88.0,f,f,t,Greece
2009-04-27,2009-05-03,Greece,Hard,85000.0,€,2009,alex-bogdanovic,A. Bogdanovic,rohan-bopanna,R. Bopanna,rhodes_challenger,Round of 16,3.0,f,100,4,01:56:00,190.0,1.0,17.0,16.0,0.0,1.0,252.0,6.0,5.0,45.0,86.0,36.0,45.0,18.0,41.0,2.0,6.0,16.0,187.0,17.0,59.0,25.0,45.0,5.0,7.0,16.0,54.0,86.0,42.0,104.0,96.0,f,f,,t,Greece,2.0,16.0,17.0,1.0,247.0,14.0,7.0,59.0,104.0,42.0,59.0,20.0,45.0,2.0,7.0,16.0,168.0,9.0,45.0,23.0,41.0,4.0,6.0,16.0,62.0,104.0,32.0,86.0,94.0,t,f,f,Greece
2009-04-27,2009-05-03,Greece,Hard,85000.0,€,2009,amer-delic,A. Delic,dudi-sela,D. Sela,rhodes_challenger,Round of 16,3.0,f,100,4,01:34:00,158.0,1.0,12.0,16.0,0.0,0.0,252.0,7.0,5.0,46.0,77.0,34.0,46.0,14.0,31.0,0.0,4.0,14.0,113.0,9.0,50.0,16.0,31.0,2.0,7.0,14.0,48.0,77.0,25.0,81.0,73.0,f,f,,f,Greece,2.0,16.0,12.0,0.0,274.0,2.0,5.0,50.0,81.0,41.0,50.0,15.0,31.0,5.0,7.0,14.0,209.0,12.0,46.0,17.0,31.0,4.0,4.0,14.0,56.0,81.0,29.0,77.0,85.0,t,f,t,Greece
2009-04-27,2009-05-03,Greece,Hard,85000.0,€,2009,amer-delic,A. Delic,joachim-johansson,J. Johansson,rhodes_challenger,Round of 32,2.0,f,100,3,01:17:00,148.0,2.0,13.0,9.0,1.0,1.0,344.0,8.0,1.0,50.0,61.0,41.0,50.0,8.0,11.0,0.0,0.0,11.0,96.0,17.0,55.0,14.0,32.0,1.0,9.0,10.0,49.0,61.0,31.0,87.0,80.0,t,f,,t,Greece,0.0,9.0,13.0,0.0,291.0,14.0,1.0,55.0,87.0,38.0,55.0,18.0,32.0,8.0,9.0,10.0,45.0,9.0,50.0,3.0,11.0,0.0,0.0,11.0,56.0,87.0,12.0,61.0,68.0,f,f,f,Greece
2009-04-27,2009-05-03,Greece,Hard,85000.0,€,2009,anastasios-charatsis,A. Charatsis,leonardo-azzaro,L. Azzaro,rhodes_challenger,1st Round Qualifying,2.0,f,100,0,00:41:00,69.0,0.0,1.0,12.0,0.0,0.0,117.0,0.0,8.0,16.0,41.0,9.0,16.0,4.0,25.0,3.0,9.0,7.0,33.0,3.0,23.0,1.0,5.0,0.0,0.0,6.0,13.0,41.0,4.0,28.0,17.0,f,f,,f,Greece,2.0,12.0,1.0,0.0,348.0,0.0,1.0,23.0,28.0,20.0,23.0,4.0,5.0,0.0,0.0,6.0,280.0,7.0,16.0,21.0,25.0,6.0,9.0,7.0,24.0,28.0,28.0,41.0,52.0,t,f,t,Greece
2009-04-27,2009-05-03,Greece,Hard,85000.0,€,2009,benedikt-dorsch,B. Dorsch,benjamin-becker,B. Becker,rhodes_challenger,Quarter-Finals,3.0,f,100,5,01:48:00,166.0,1.0,13.0,15.0,0.0,0.0,252.0,4.0,4.0,40.0,86.0,30.0,40.0,24.0,46.0,2.0,5.0,14.0,127.0,9.0,45.0,15.0,35.0,2.0,4.0,14.0,54.0,86.0,24.0,80.0,78.0,f,f,,t,Greece,2.0,15.0,13.0,0.0,289.0,12.0,1.0,45.0,80.0,36.0,45.0,20.0,35.0,2.0,4.0,14.0,154.0,10.0,40.0,22.0,46.0,3.0,5.0,14.0,56.0,80.0,32.0,86.0,88.0,t,f,f,Greece
2009-04-27,2009-05-03,Greece,Hard,85000.0,€,2009,benedikt-dorsch,B. Dorsch,chris-guccione,C. Guccione,rhodes_challenger,Round of 32,2.0,f,100,3,01:16:00,130.0,2.0,13.0,10.0,1.0,1.0,307.0,1.0,3.0,40.0,69.0,34.0,40.0,19.0,29.0,1.0,1.0,11.0,84.0,8.0,41.0,7.0,20.0,1.0,5.0,11.0,53.0,69.0,15.0,61.0,68.0,t,f,,t,Greece,0.0,10.0,13.0,0.0,305.0,6.0,3.0,41.0,61.0,33.0,41.0,13.0,20.0,4.0,5.0,11.0,49.0,6.0,40.0,10.0,29.0,0.0,1.0,11.0,46.0,61.0,16.0,69.0,62.0,f,f,f,Greece
2009-04-27,2009-05-03,Greece,Hard,85000.0,€,2009,benedikt-dorsch,B. Dorsch,kevin-kim,K. Kim,rhodes_challenger,Round of 16,2.0,f,100,4,00:56:00,96.0,2.0,12.0,5.0,0.0,0.0,307.0,5.0,2.0,30.0,51.0,25.0,30.0,13.0,21.0,2.0,2.0,9.0,197.0,11.0,27.0,8.0,18.0,3.0,4.0,8.0,38.0,51.0,19.0,45.0,57.0,t,f,,t,Greece,0.0,5.0,12.0,0.0,238.0,2.0,1.0,27.0,45.0,16.0,27.0,10.0,18.0,1.0,4.0,8.0,55.0,5.0,30.0,8.0,21.0,0.0,2.0,9.0,26.0,45.0,13.0,51.0,39.0,f,f,f,Greece
