,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2013-03-18,2013-03-24,Canada,Hard,35000.0,$,2013,adam-el-mihdawy,A. El Mihdawy,alex-bogdanovic,A. Bogdanovic,rimouski_challenger,Round of 16,2.0,f,100,4,01:00:00,99.0,0.0,6.0,12.0,0.0,0.0,229.0,4.0,6.0,26.0,52.0,19.0,26.0,11.0,26.0,2.0,5.0,9.0,43.0,3.0,29.0,6.0,18.0,0.0,2.0,9.0,30.0,52.0,9.0,47.0,39.0,f,f,Q,f,Canada,2.0,12.0,6.0,0.0,320.0,4.0,3.0,29.0,47.0,26.0,29.0,12.0,18.0,2.0,2.0,9.0,178.0,7.0,26.0,15.0,26.0,3.0,5.0,9.0,38.0,47.0,22.0,52.0,60.0,t,f,t,Canada
1,2013-03-18,2013-03-24,Canada,Hard,35000.0,$,2013,adam-el-mihdawy,A. El Mihdawy,eric-quigley,E. Quigley,rimouski_challenger,2nd Round Qualifying,3.0,f,100,1,01:30:00,167.0,2.0,16.0,11.0,0.0,0.0,264.0,7.0,8.0,44.0,82.0,34.0,44.0,19.0,38.0,1.0,3.0,13.0,171.0,11.0,47.0,24.0,38.0,5.0,10.0,14.0,53.0,82.0,35.0,85.0,88.0,t,f,4,f,Canada,1.0,11.0,16.0,0.0,238.0,10.0,5.0,47.0,85.0,36.0,47.0,14.0,38.0,5.0,10.0,14.0,155.0,10.0,44.0,19.0,38.0,2.0,3.0,13.0,50.0,85.0,29.0,82.0,79.0,f,f,t,Canada
2,2013-03-18,2013-03-24,Canada,Hard,35000.0,$,2013,adam-el-mihdawy,A. El Mihdawy,germain-gigounon,G. Gigounon,rimouski_challenger,3rd Round Qualifying,2.0,f,100,2,00:46:00,78.0,2.0,12.0,4.0,0.0,0.0,296.0,5.0,3.0,26.0,40.0,22.0,26.0,8.0,14.0,1.0,2.0,8.0,278.0,6.0,17.0,17.0,21.0,5.0,5.0,8.0,30.0,40.0,23.0,38.0,53.0,t,f,4,t,Canada,0.0,4.0,12.0,0.0,165.0,1.0,2.0,17.0,38.0,11.0,17.0,4.0,21.0,0.0,5.0,8.0,120.0,4.0,26.0,6.0,14.0,1.0,2.0,8.0,15.0,38.0,10.0,40.0,25.0,f,f,f,Canada
3,2013-03-18,2013-03-24,Canada,Hard,35000.0,$,2013,adam-el-mihdawy,A. El Mihdawy,malek-jaziri,M. Jaziri,rimouski_challenger,Round of 32,3.0,f,100,3,02:18:00,208.0,2.0,16.0,15.0,1.0,1.0,246.0,2.0,9.0,61.0,98.0,47.0,61.0,15.0,37.0,5.0,9.0,15.0,141.0,19.0,60.0,26.0,50.0,4.0,13.0,15.0,62.0,98.0,45.0,110.0,107.0,t,f,Q,t,Canada,1.0,15.0,16.0,0.0,244.0,3.0,3.0,60.0,110.0,41.0,60.0,24.0,50.0,9.0,13.0,15.0,152.0,14.0,61.0,22.0,37.0,4.0,9.0,15.0,65.0,110.0,36.0,98.0,101.0,f,f,f,Canada
4,2013-03-18,2013-03-24,Canada,Hard,35000.0,$,2013,aldin-setkic,A. Setkic,hugo-di-feo,H. Di Feo,rimouski_challenger,Round of 32,2.0,f,100,3,01:08:00,118.0,2.0,12.0,5.0,0.0,0.0,312.0,9.0,0.0,42.0,57.0,32.0,42.0,8.0,15.0,2.0,2.0,9.0,164.0,7.0,28.0,21.0,33.0,3.0,8.0,8.0,40.0,57.0,28.0,61.0,68.0,t,f,,t,Canada,0.0,5.0,12.0,0.0,219.0,6.0,6.0,28.0,61.0,21.0,28.0,12.0,33.0,5.0,8.0,8.0,71.0,10.0,42.0,7.0,15.0,0.0,2.0,9.0,33.0,61.0,17.0,57.0,50.0,f,f,f,Canada
5,2013-03-18,2013-03-24,Canada,Hard,35000.0,$,2013,aldin-setkic,A. Setkic,michal-przysiezny,M. Przysiezny,rimouski_challenger,Round of 16,2.0,f,100,4,01:16:00,129.0,2.0,13.0,9.0,1.0,1.0,324.0,9.0,3.0,39.0,59.0,34.0,39.0,13.0,20.0,2.0,2.0,10.0,125.0,13.0,47.0,9.0,23.0,2.0,5.0,11.0,47.0,59.0,22.0,70.0,69.0,t,f,,t,Canada,0.0,9.0,13.0,0.0,292.0,12.0,1.0,47.0,70.0,34.0,47.0,14.0,23.0,3.0,5.0,11.0,48.0,5.0,39.0,7.0,20.0,0.0,2.0,10.0,48.0,70.0,12.0,59.0,60.0,f,f,f,Canada
6,2013-03-18,2013-03-24,Canada,Hard,35000.0,$,2013,aldin-setkic,A. Setkic,sam-groth,S. Groth,rimouski_challenger,Quarter-Finals,3.0,f,100,5,01:34:00,158.0,2.0,14.0,13.0,0.0,0.0,279.0,2.0,4.0,58.0,82.0,46.0,58.0,11.0,24.0,2.0,4.0,14.0,128.0,11.0,48.0,14.0,28.0,2.0,5.0,13.0,57.0,82.0,25.0,76.0,82.0,t,f,,f,Canada,1.0,13.0,14.0,0.0,287.0,16.0,3.0,48.0,76.0,37.0,48.0,14.0,28.0,3.0,5.0,13.0,139.0,12.0,58.0,13.0,24.0,2.0,4.0,14.0,51.0,76.0,25.0,82.0,76.0,f,f,t,Canada
7,2013-03-18,2013-03-24,Canada,Hard,35000.0,$,2013,aldin-setkic,A. Setkic,vasek-pospisil,V. Pospisil,rimouski_challenger,Semi-Finals,2.0,f,100,6,01:15:00,125.0,0.0,9.0,13.0,0.0,0.0,261.0,4.0,2.0,43.0,66.0,32.0,43.0,9.0,23.0,0.0,2.0,11.0,52.0,6.0,36.0,8.0,23.0,0.0,1.0,11.0,41.0,66.0,14.0,59.0,55.0,f,f,,f,Canada,2.0,13.0,9.0,0.0,320.0,13.0,2.0,36.0,59.0,30.0,36.0,15.0,23.0,1.0,1.0,11.0,205.0,11.0,43.0,14.0,23.0,2.0,2.0,11.0,45.0,59.0,25.0,66.0,70.0,t,f,t,Canada
8,2013-03-18,2013-03-24,Canada,Hard,35000.0,$,2013,alex-bogdanovic,A. Bogdanovic,hiroki-moriya,H. Moriya,rimouski_challenger,Round of 32,3.0,f,100,3,01:58:00,200.0,2.0,18.0,14.0,0.0,1.0,276.0,17.0,8.0,81.0,114.0,64.0,81.0,12.0,33.0,9.0,12.0,16.0,180.0,14.0,54.0,16.0,32.0,5.0,7.0,15.0,76.0,114.0,30.0,86.0,106.0,t,f,,f,Canada,1.0,14.0,18.0,1.0,256.0,5.0,2.0,54.0,86.0,40.0,54.0,16.0,32.0,2.0,7.0,15.0,128.0,17.0,81.0,21.0,33.0,3.0,12.0,16.0,56.0,86.0,38.0,114.0,94.0,f,f,t,Canada
9,2013-03-18,2013-03-24,Canada,Hard,35000.0,$,2013,alex-bogdanovic,A. Bogdanovic,rik-de-voest,R. De Voest,rimouski_challenger,Quarter-Finals,2.0,f,100,5,01:06:00,119.0,0.0,7.0,12.0,0.0,0.0,272.0,5.0,2.0,42.0,56.0,28.0,42.0,7.0,14.0,2.0,4.0,9.0,78.0,10.0,51.0,7.0,12.0,0.0,6.0,10.0,35.0,56.0,17.0,63.0,52.0,f,f,,f,Canada,2.0,12.0,7.0,0.0,305.0,3.0,1.0,51.0,63.0,41.0,51.0,5.0,12.0,6.0,6.0,10.0,155.0,14.0,42.0,7.0,14.0,2.0,4.0,9.0,46.0,63.0,21.0,56.0,67.0,t,f,t,Canada
