start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2014-03-17,2014-03-23,Canada,Hard,40000.0,$,2014,adrian-sikora,A. Sikora,nikita-kryvonos,N. Kryvonos,rimouski_challenger,Round of 32,3.0,f,100,3,02:41:00,254.0,2.0,19.0,17.0,1.0,2.0,257.0,6.0,4.0,70.0,128.0,51.0,70.0,26.0,58.0,9.0,12.0,17.0,150.0,23.0,77.0,28.0,49.0,4.0,10.0,17.0,77.0,128.0,51.0,126.0,128.0,t,f,,t,Canada,1.0,17.0,19.0,1.0,254.0,11.0,7.0,77.0,126.0,54.0,77.0,21.0,49.0,6.0,10.0,17.0,124.0,19.0,70.0,32.0,58.0,3.0,12.0,17.0,75.0,126.0,51.0,128.0,126.0,f,f,f,Canada
2014-03-17,2014-03-23,Canada,Hard,40000.0,$,2014,adrian-sikora,A. Sikora,sam-groth,S. Groth,rimouski_challenger,Round of 16,2.0,f,100,4,01:17:00,130.0,0.0,8.0,13.0,0.0,1.0,252.0,3.0,2.0,47.0,70.0,29.0,47.0,12.0,23.0,3.0,6.0,10.0,120.0,9.0,42.0,7.0,18.0,1.0,2.0,10.0,41.0,70.0,16.0,60.0,57.0,f,f,,f,Canada,2.0,13.0,8.0,1.0,312.0,14.0,2.0,42.0,60.0,33.0,42.0,11.0,18.0,1.0,2.0,10.0,166.0,18.0,47.0,11.0,23.0,3.0,6.0,10.0,44.0,60.0,29.0,70.0,73.0,t,f,t,Canada
2014-03-17,2014-03-23,Canada,Hard,40000.0,$,2014,adrien-bossel,A. Bossel,franko-skugor,F. Skugor,rimouski_challenger,2nd Round Qualifying,3.0,f,100,2,02:17:00,227.0,2.0,17.0,16.0,1.0,1.0,280.0,9.0,6.0,68.0,122.0,48.0,68.0,31.0,54.0,7.0,8.0,16.0,92.0,15.0,64.0,19.0,41.0,1.0,6.0,16.0,79.0,122.0,34.0,105.0,113.0,t,f,2,f,Canada,1.0,16.0,17.0,0.0,292.0,11.0,4.0,64.0,105.0,49.0,64.0,22.0,41.0,5.0,6.0,16.0,91.0,20.0,68.0,23.0,54.0,1.0,8.0,16.0,71.0,105.0,43.0,122.0,114.0,f,f,t,Canada
2014-03-17,2014-03-23,Canada,Hard,40000.0,$,2014,adrien-bossel,A. Bossel,piotr-gadomski,P. Gadomski,rimouski_challenger,Round of 32,2.0,f,100,3,01:10:00,120.0,0.0,8.0,13.0,0.0,1.0,268.0,2.0,2.0,40.0,64.0,30.0,40.0,12.0,24.0,5.0,7.0,10.0,34.0,7.0,36.0,3.0,20.0,0.0,0.0,10.0,42.0,64.0,10.0,56.0,52.0,f,f,Q,f,Canada,2.0,13.0,8.0,1.0,344.0,15.0,1.0,36.0,56.0,29.0,36.0,17.0,20.0,0.0,0.0,10.0,124.0,10.0,40.0,12.0,24.0,2.0,7.0,10.0,46.0,56.0,22.0,64.0,68.0,t,f,t,Canada
2014-03-17,2014-03-23,Canada,Hard,40000.0,$,2014,andreas-beck,A. Beck,edward-corrie,E. Corrie,rimouski_challenger,Round of 32,2.0,f,100,3,01:04:00,109.0,2.0,12.0,7.0,0.0,0.0,324.0,6.0,1.0,27.0,45.0,22.0,27.0,14.0,18.0,0.0,0.0,9.0,159.0,7.0,35.0,19.0,29.0,3.0,7.0,10.0,36.0,45.0,26.0,64.0,62.0,t,f,6,t,Canada,0.0,7.0,12.0,0.0,247.0,9.0,1.0,35.0,64.0,28.0,35.0,10.0,29.0,4.0,7.0,10.0,41.0,5.0,27.0,4.0,18.0,0.0,0.0,9.0,38.0,64.0,9.0,45.0,47.0,f,f,f,Canada
2014-03-17,2014-03-23,Canada,Hard,40000.0,$,2014,andreas-beck,A. Beck,germain-gigounon,G. Gigounon,rimouski_challenger,Round of 16,2.0,f,100,4,00:55:00,89.0,2.0,12.0,3.0,0.0,0.0,298.0,2.0,1.0,20.0,42.0,18.0,20.0,13.0,22.0,4.0,4.0,7.0,259.0,12.0,27.0,14.0,20.0,5.0,6.0,8.0,31.0,42.0,26.0,47.0,57.0,t,f,6,t,Canada,0.0,3.0,12.0,0.0,182.0,3.0,1.0,27.0,47.0,15.0,27.0,6.0,20.0,1.0,6.0,8.0,51.0,2.0,20.0,9.0,22.0,0.0,4.0,7.0,21.0,47.0,11.0,42.0,32.0,f,f,f,Canada
2014-03-17,2014-03-23,Canada,Hard,40000.0,$,2014,andreas-beck,A. Beck,sam-groth,S. Groth,rimouski_challenger,Quarter-Finals,3.0,f,100,5,01:57:00,199.0,1.0,15.0,14.0,0.0,1.0,268.0,5.0,5.0,71.0,104.0,52.0,71.0,14.0,33.0,5.0,7.0,14.0,146.0,15.0,61.0,21.0,34.0,3.0,8.0,14.0,66.0,104.0,36.0,95.0,102.0,f,f,6,t,Canada,2.0,14.0,15.0,1.0,276.0,28.0,7.0,61.0,95.0,46.0,61.0,13.0,34.0,5.0,8.0,14.0,128.0,19.0,71.0,19.0,33.0,2.0,7.0,14.0,59.0,95.0,38.0,104.0,97.0,t,f,f,Canada
2014-03-17,2014-03-23,Canada,Hard,40000.0,$,2014,ante-pavic,A. Pavic,bobby-reynolds,B. Reynolds,rimouski_challenger,Round of 32,2.0,f,100,3,01:05:00,115.0,2.0,12.0,6.0,0.0,0.0,316.0,7.0,2.0,29.0,45.0,28.0,29.0,8.0,16.0,0.0,0.0,9.0,160.0,21.0,49.0,12.0,21.0,3.0,11.0,9.0,36.0,45.0,33.0,70.0,69.0,t,f,,t,Canada,0.0,6.0,12.0,0.0,233.0,2.0,5.0,49.0,70.0,28.0,49.0,9.0,21.0,8.0,11.0,9.0,53.0,1.0,29.0,8.0,16.0,0.0,0.0,9.0,37.0,70.0,9.0,45.0,46.0,f,f,f,Canada
2014-03-17,2014-03-23,Canada,Hard,40000.0,$,2014,ante-pavic,A. Pavic,piotr-gadomski,P. Gadomski,rimouski_challenger,Round of 16,2.0,f,100,4,00:56:00,97.0,2.0,12.0,5.0,0.0,0.0,306.0,7.0,2.0,33.0,50.0,31.0,33.0,7.0,17.0,2.0,2.0,9.0,175.0,7.0,28.0,12.0,19.0,3.0,6.0,8.0,38.0,50.0,19.0,47.0,57.0,t,f,,t,Canada,0.0,5.0,12.0,0.0,232.0,4.0,6.0,28.0,47.0,21.0,28.0,7.0,19.0,3.0,6.0,8.0,65.0,2.0,33.0,10.0,17.0,0.0,2.0,9.0,28.0,47.0,12.0,50.0,40.0,f,f,f,Canada
2014-03-17,2014-03-23,Canada,Hard,40000.0,$,2014,ante-pavic,A. Pavic,sam-groth,S. Groth,rimouski_challenger,Finals,2.0,f,100,7,01:34:00,160.0,0.0,8.0,13.0,0.0,1.0,242.0,8.0,6.0,47.0,76.0,28.0,47.0,14.0,29.0,6.0,9.0,10.0,103.0,11.0,53.0,18.0,31.0,1.0,7.0,10.0,42.0,76.0,29.0,84.0,71.0,f,f,,f,Canada,2.0,13.0,8.0,1.0,277.0,12.0,9.0,53.0,84.0,42.0,53.0,13.0,31.0,6.0,7.0,10.0,155.0,19.0,47.0,15.0,29.0,3.0,9.0,10.0,55.0,84.0,34.0,76.0,89.0,t,f,t,Canada
