,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2014-02-17,2014-02-23,Brazil,Clay,1309770.0,$,2014,albert-montanes,A. Montanes,rafael-nadal,R. Nadal,rio-de-janeiro,Round of 16,2.0,f,500,4,01:15:00,108.0,0.0,3.0,12.0,0.0,0.0,161.0,0.0,4.0,36.0,57.0,16.0,36.0,7.0,21.0,4.0,10.0,8.0,127.0,12.0,33.0,8.0,18.0,1.0,3.0,7.0,23.0,57.0,20.0,51.0,43.0,f,f,,f,Brazil,2.0,12.0,3.0,0.0,268.0,0.0,2.0,33.0,51.0,21.0,33.0,10.0,18.0,2.0,3.0,7.0,258.0,20.0,36.0,14.0,21.0,6.0,10.0,8.0,31.0,51.0,34.0,57.0,65.0,t,f,t,Brazil
1,2014-02-17,2014-02-23,Brazil,Clay,1309770.0,$,2014,albert-montanes,A. Montanes,robin-haase,R. Haase,rio-de-janeiro,Round of 32,2.0,f,500,3,01:24:00,133.0,2.0,13.0,7.0,1.0,1.0,309.0,1.0,0.0,43.0,63.0,30.0,43.0,16.0,20.0,4.0,5.0,10.0,170.0,14.0,39.0,18.0,31.0,3.0,7.0,9.0,46.0,63.0,32.0,70.0,78.0,t,f,,t,Brazil,0.0,7.0,13.0,0.0,225.0,0.0,3.0,39.0,70.0,25.0,39.0,13.0,31.0,4.0,7.0,9.0,80.0,13.0,43.0,4.0,20.0,1.0,5.0,10.0,38.0,70.0,17.0,63.0,55.0,f,f,f,Brazil
2,2014-02-17,2014-02-23,Brazil,Clay,1309770.0,$,2014,albert-ramos-vinolas,A. Ramos-Vinolas,leonardo-mayer,L. Mayer,rio-de-janeiro,Round of 32,2.0,f,500,3,01:02:00,84.0,2.0,12.0,2.0,0.0,0.0,297.0,0.0,0.0,25.0,42.0,21.0,25.0,9.0,17.0,0.0,0.0,7.0,256.0,12.0,21.0,12.0,21.0,5.0,7.0,7.0,30.0,42.0,24.0,42.0,54.0,t,f,,t,Brazil,0.0,2.0,12.0,0.0,163.0,2.0,3.0,21.0,42.0,9.0,21.0,9.0,21.0,2.0,7.0,7.0,63.0,4.0,25.0,8.0,17.0,0.0,0.0,7.0,18.0,42.0,12.0,42.0,30.0,f,f,f,Brazil
3,2014-02-17,2014-02-23,Brazil,Clay,1309770.0,$,2014,albert-ramos-viñolas,A. Ramos Viñolas,joao-sousa,J. Sousa,rio-de-janeiro,Round of 16,3.0,f,500,4,02:07:00,183.0,1.0,15.0,15.0,0.0,1.0,276.0,5.0,2.0,56.0,80.0,40.0,56.0,13.0,24.0,2.0,5.0,14.0,164.0,23.0,70.0,18.0,33.0,4.0,8.0,15.0,53.0,80.0,41.0,103.0,94.0,f,f,,f,Brazil,2.0,15.0,15.0,1.0,258.0,7.0,2.0,70.0,103.0,47.0,70.0,15.0,33.0,4.0,8.0,15.0,156.0,16.0,56.0,11.0,24.0,3.0,5.0,14.0,62.0,103.0,27.0,80.0,89.0,t,f,t,Brazil
4,2014-02-17,2014-02-23,Brazil,Clay,1309770.0,$,2014,alejandro-gonzalez,A. Gonzalez,pablo-cuevas,P. Cuevas,rio-de-janeiro,Round of 32,3.0,f,500,3,02:21:00,199.0,1.0,11.0,18.0,1.0,1.0,189.0,6.0,4.0,63.0,110.0,41.0,63.0,14.0,47.0,9.0,18.0,14.0,163.0,14.0,50.0,24.0,39.0,5.0,13.0,14.0,55.0,110.0,38.0,89.0,93.0,f,f,,t,Brazil,2.0,18.0,11.0,0.0,232.0,6.0,4.0,50.0,89.0,36.0,50.0,15.0,39.0,8.0,13.0,14.0,219.0,22.0,63.0,33.0,47.0,9.0,18.0,14.0,51.0,89.0,55.0,110.0,106.0,t,f,f,Brazil
5,2014-02-17,2014-02-23,Brazil,Clay,1309770.0,$,2014,alexandr-dolgopolov,A. Dolgopolov,david-ferrer,D. Ferrer,rio-de-janeiro,Semi-Finals,2.0,f,500,6,01:24:00,134.0,2.0,12.0,8.0,0.0,0.0,274.0,4.0,1.0,30.0,62.0,23.0,30.0,18.0,32.0,3.0,4.0,10.0,153.0,23.0,51.0,10.0,21.0,3.0,10.0,10.0,41.0,62.0,33.0,72.0,74.0,t,f,,t,Brazil,0.0,8.0,12.0,0.0,249.0,2.0,1.0,51.0,72.0,28.0,51.0,11.0,21.0,7.0,10.0,10.0,102.0,7.0,30.0,14.0,32.0,1.0,4.0,10.0,39.0,72.0,21.0,62.0,60.0,f,f,f,Brazil
6,2014-02-17,2014-02-23,Brazil,Clay,1309770.0,$,2014,alexandr-dolgopolov,A. Dolgopolov,fabio-fognini,F. Fognini,rio-de-janeiro,Quarter-Finals,2.0,f,500,5,01:07:00,111.0,2.0,12.0,2.0,0.0,0.0,274.0,12.0,3.0,28.0,54.0,23.0,28.0,12.0,26.0,5.0,6.0,7.0,295.0,20.0,37.0,14.0,20.0,6.0,7.0,7.0,35.0,54.0,34.0,57.0,69.0,t,f,,t,Brazil,0.0,2.0,12.0,0.0,154.0,2.0,3.0,37.0,57.0,17.0,37.0,6.0,20.0,1.0,7.0,7.0,103.0,5.0,28.0,14.0,26.0,1.0,6.0,7.0,23.0,57.0,19.0,54.0,42.0,f,f,f,Brazil
7,2014-02-17,2014-02-23,Brazil,Clay,1309770.0,$,2014,alexandr-dolgopolov,A. Dolgopolov,facundo-bagnis,F. Bagnis,rio-de-janeiro,Round of 16,3.0,f,500,4,02:31:00,212.0,2.0,19.0,15.0,1.0,2.0,271.0,8.0,1.0,50.0,101.0,37.0,50.0,30.0,51.0,3.0,6.0,16.0,163.0,27.0,70.0,21.0,41.0,5.0,12.0,16.0,67.0,101.0,48.0,111.0,115.0,t,f,,f,Brazil,1.0,15.0,19.0,1.0,247.0,8.0,2.0,70.0,111.0,43.0,70.0,20.0,41.0,7.0,12.0,16.0,135.0,13.0,50.0,21.0,51.0,3.0,6.0,16.0,63.0,111.0,34.0,101.0,97.0,f,f,t,Brazil
8,2014-02-17,2014-02-23,Brazil,Clay,1309770.0,$,2014,alexandr-dolgopolov,A. Dolgopolov,nicolas-almagro,N. Almagro,rio-de-janeiro,Round of 32,3.0,f,500,3,01:35:00,144.0,2.0,14.0,9.0,0.0,0.0,264.0,9.0,2.0,30.0,70.0,24.0,30.0,21.0,40.0,5.0,7.0,11.0,195.0,12.0,39.0,21.0,35.0,5.0,8.0,12.0,45.0,70.0,33.0,74.0,78.0,t,f,,f,Brazil,1.0,9.0,14.0,0.0,224.0,8.0,4.0,39.0,74.0,27.0,39.0,14.0,35.0,3.0,8.0,12.0,115.0,6.0,30.0,19.0,40.0,2.0,7.0,11.0,41.0,74.0,25.0,70.0,66.0,f,f,t,Brazil
9,2014-02-17,2014-02-23,Brazil,Clay,1309770.0,$,2014,alexandr-dolgopolov,A. Dolgopolov,rafael-nadal,R. Nadal,rio-de-janeiro,Finals,2.0,f,500,7,01:41:00,135.0,0.0,9.0,13.0,0.0,1.0,253.0,10.0,1.0,30.0,67.0,22.0,30.0,17.0,37.0,1.0,3.0,10.0,99.0,9.0,43.0,11.0,25.0,1.0,4.0,11.0,39.0,67.0,20.0,68.0,59.0,f,f,,f,Brazil,2.0,13.0,9.0,1.0,291.0,3.0,0.0,43.0,68.0,34.0,43.0,14.0,25.0,3.0,4.0,11.0,168.0,8.0,30.0,20.0,37.0,2.0,3.0,10.0,48.0,68.0,28.0,67.0,76.0,t,f,t,Brazil
