start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2013-08-05,2013-08-11,Brazil,Clay,50000.0,$,2013,agustin-velotti,A. Velotti,alejandro-gonzalez,A. Gonzalez,rio-de-janeiro_challenger,Round of 16,3.0,f,100,4,02:02:00,159.0,2.0,15.0,11.0,0.0,0.0,292.0,11.0,1.0,37.0,74.0,30.0,37.0,22.0,37.0,1.0,2.0,13.0,137.0,18.0,49.0,14.0,36.0,3.0,8.0,13.0,52.0,74.0,32.0,85.0,84.0,t,f,,t,Brazil,1.0,11.0,15.0,0.0,260.0,4.0,2.0,49.0,85.0,31.0,49.0,22.0,36.0,5.0,8.0,13.0,117.0,7.0,37.0,15.0,37.0,1.0,2.0,13.0,53.0,85.0,22.0,74.0,75.0,f,f,f,Brazil
2013-08-05,2013-08-11,Brazil,Clay,50000.0,$,2013,agustin-velotti,A. Velotti,bastian-malla,B. Malla,rio-de-janeiro_challenger,Quarter-Finals,2.0,f,100,5,00:54:00,84.0,2.0,12.0,1.0,0.0,0.0,301.0,5.0,2.0,21.0,42.0,17.0,21.0,14.0,21.0,4.0,4.0,7.0,265.0,14.0,27.0,12.0,15.0,5.0,10.0,6.0,31.0,42.0,26.0,42.0,57.0,t,f,,t,Brazil,0.0,1.0,12.0,0.0,147.0,1.0,2.0,27.0,42.0,13.0,27.0,3.0,15.0,5.0,10.0,6.0,52.0,4.0,21.0,7.0,21.0,0.0,4.0,7.0,16.0,42.0,11.0,42.0,27.0,f,f,f,Brazil
2013-08-05,2013-08-11,Brazil,Clay,50000.0,$,2013,agustin-velotti,A. Velotti,blaz-rola,B. Rola,rio-de-janeiro_challenger,Finals,2.0,f,100,7,01:37:00,139.0,2.0,12.0,7.0,0.0,0.0,270.0,2.0,0.0,35.0,61.0,24.0,35.0,14.0,26.0,4.0,5.0,9.0,167.0,20.0,50.0,15.0,28.0,4.0,12.0,10.0,38.0,61.0,35.0,78.0,73.0,t,f,,t,Brazil,0.0,7.0,12.0,0.0,230.0,1.0,1.0,50.0,78.0,30.0,50.0,13.0,28.0,8.0,12.0,10.0,108.0,11.0,35.0,12.0,26.0,1.0,5.0,9.0,43.0,78.0,23.0,61.0,66.0,f,f,f,Brazil
2013-08-05,2013-08-11,Brazil,Clay,50000.0,$,2013,agustin-velotti,A. Velotti,eduardo-schwank,E. Schwank,rio-de-janeiro_challenger,Semi-Finals,2.0,f,100,6,01:12:00,86.0,2.0,12.0,4.0,0.0,0.0,289.0,7.0,0.0,22.0,37.0,15.0,22.0,12.0,15.0,0.0,2.0,8.0,260.0,15.0,28.0,15.0,21.0,6.0,10.0,8.0,27.0,37.0,30.0,49.0,57.0,t,f,,t,Brazil,0.0,4.0,12.0,0.0,156.0,0.0,1.0,28.0,49.0,13.0,28.0,6.0,21.0,4.0,10.0,8.0,177.0,7.0,22.0,3.0,15.0,2.0,2.0,8.0,19.0,49.0,10.0,37.0,29.0,f,f,f,Brazil
2013-08-05,2013-08-11,Brazil,Clay,50000.0,$,2013,agustin-velotti,A. Velotti,ricardo-hocevar,R. Hocevar,rio-de-janeiro_challenger,Round of 32,3.0,f,100,3,02:17:00,184.0,2.0,18.0,11.0,0.0,1.0,275.0,7.0,1.0,48.0,90.0,42.0,48.0,18.0,42.0,3.0,5.0,14.0,183.0,24.0,52.0,19.0,42.0,6.0,12.0,14.0,60.0,90.0,43.0,94.0,103.0,t,f,,f,Brazil,1.0,11.0,18.0,1.0,224.0,5.0,2.0,52.0,94.0,28.0,52.0,23.0,42.0,6.0,12.0,14.0,124.0,6.0,48.0,24.0,42.0,2.0,5.0,14.0,51.0,94.0,30.0,90.0,81.0,f,f,t,Brazil
2013-08-05,2013-08-11,Brazil,Clay,50000.0,$,2013,alejandro-gonzalez,A. Gonzalez,tiago-fernandes,T. Fernandes,rio-de-janeiro_challenger,Round of 32,2.0,f,100,3,01:26:00,120.0,2.0,13.0,7.0,0.0,0.0,316.0,3.0,3.0,32.0,50.0,29.0,32.0,11.0,18.0,0.0,0.0,10.0,152.0,15.0,48.0,14.0,22.0,3.0,11.0,10.0,40.0,50.0,29.0,70.0,69.0,t,f,4,t,Brazil,0.0,7.0,13.0,0.0,241.0,1.0,4.0,48.0,70.0,33.0,48.0,8.0,22.0,8.0,11.0,10.0,48.0,3.0,32.0,7.0,18.0,0.0,0.0,10.0,41.0,70.0,10.0,50.0,51.0,f,f,f,Brazil
2013-08-05,2013-08-11,Brazil,Clay,50000.0,$,2013,alexandre-girotto,A. Girotto,antonio-issa-filho,A. Issa-Filho,rio-de-janeiro_challenger,1st Round Qualifying,2.0,f,100,0,00:58:00,101.0,0.0,5.0,12.0,0.0,0.0,217.0,0.0,5.0,41.0,58.0,25.0,41.0,6.0,17.0,3.0,7.0,9.0,53.0,5.0,29.0,5.0,14.0,0.0,1.0,8.0,31.0,58.0,10.0,43.0,41.0,f,f,,f,Brazil,2.0,12.0,5.0,0.0,315.0,1.0,0.0,29.0,43.0,24.0,29.0,9.0,14.0,1.0,1.0,8.0,205.0,16.0,41.0,11.0,17.0,4.0,7.0,9.0,33.0,43.0,27.0,58.0,60.0,t,f,t,Brazil
2013-08-05,2013-08-11,Brazil,Clay,50000.0,$,2013,andre-ghem,A. Ghem,bastian-malla,B. Malla,rio-de-janeiro_challenger,Round of 32,2.0,f,100,3,00:48:00,91.0,0.0,5.0,12.0,0.0,0.0,195.0,0.0,4.0,22.0,43.0,12.0,22.0,9.0,21.0,3.0,7.0,8.0,173.0,10.0,32.0,5.0,16.0,1.0,1.0,9.0,21.0,43.0,15.0,48.0,36.0,f,f,7,f,Brazil,2.0,12.0,5.0,0.0,293.0,1.0,1.0,32.0,48.0,22.0,32.0,11.0,16.0,0.0,1.0,9.0,209.0,10.0,22.0,12.0,21.0,4.0,7.0,8.0,33.0,48.0,22.0,43.0,55.0,t,f,t,Brazil
2013-08-05,2013-08-11,Brazil,Clay,50000.0,$,2013,andres-molteni,A. Molteni,guilherme-clezar,G. Clezar,rio-de-janeiro_challenger,Round of 32,2.0,f,100,3,01:11:00,101.0,0.0,3.0,12.0,0.0,0.0,188.0,6.0,3.0,34.0,46.0,17.0,34.0,4.0,12.0,3.0,8.0,7.0,138.0,8.0,31.0,12.0,24.0,1.0,2.0,8.0,21.0,46.0,20.0,55.0,41.0,f,f,,f,Brazil,2.0,12.0,3.0,0.0,268.0,2.0,1.0,31.0,55.0,23.0,31.0,12.0,24.0,1.0,2.0,8.0,251.0,17.0,34.0,8.0,12.0,5.0,8.0,7.0,35.0,55.0,25.0,46.0,60.0,t,f,t,Brazil
2013-08-05,2013-08-11,Brazil,Clay,50000.0,$,2013,antonio-issa-filho,A. Issa-Filho,marcelo-tebet-filho,M. Tebet Filho,rio-de-janeiro_challenger,2nd Round Qualifying,2.0,f,100,1,00:57:00,85.0,0.0,1.0,12.0,0.0,0.0,144.0,1.0,3.0,25.0,50.0,16.0,25.0,4.0,25.0,7.0,12.0,6.0,41.0,3.0,19.0,4.0,16.0,0.0,0.0,7.0,20.0,50.0,7.0,35.0,27.0,f,f,,f,Brazil,2.0,12.0,1.0,0.0,314.0,3.0,2.0,19.0,35.0,16.0,19.0,12.0,16.0,0.0,0.0,7.0,245.0,9.0,25.0,21.0,25.0,5.0,12.0,6.0,28.0,35.0,30.0,50.0,58.0,t,f,t,Brazil
