start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2014-05-26,2014-06-08,France,Clay,11552000.0,€,2014,adrian-mannarino,A. Mannarino,guillermo-garcía-lópez,G. García-López,roland-garros,Round of 64,4.0,f,2000,2,02:37:00,231.0,1.0,13.0,22.0,0.0,0.0,218.0,2.0,2.0,64.0,105.0,36.0,64.0,20.0,41.0,6.0,14.0,17.0,134.0,24.0,78.0,26.0,48.0,4.0,15.0,18.0,56.0,105.0,50.0,126.0,106.0,f,f,,f,France,3.0,22.0,13.0,0.0,258.0,6.0,2.0,78.0,126.0,54.0,78.0,22.0,48.0,11.0,15.0,18.0,199.0,28.0,64.0,21.0,41.0,8.0,14.0,17.0,76.0,126.0,49.0,105.0,125.0,t,f,t,France
2014-05-26,2014-06-08,France,Clay,11552000.0,€,2014,adrian-mannarino,A. Mannarino,yen-hsun-lu,Y. Lu,roland-garros,Round of 128,3.0,f,2000,1,01:14:00,123.0,3.0,18.0,4.0,0.0,0.0,317.0,6.0,1.0,38.0,62.0,29.0,38.0,18.0,24.0,0.0,0.0,11.0,250.0,14.0,37.0,19.0,24.0,7.0,10.0,11.0,47.0,62.0,33.0,61.0,80.0,t,f,,t,France,0.0,4.0,18.0,0.0,176.0,1.0,5.0,37.0,61.0,23.0,37.0,5.0,24.0,3.0,10.0,11.0,49.0,9.0,38.0,6.0,24.0,0.0,0.0,11.0,28.0,61.0,15.0,62.0,43.0,f,f,f,France
2014-05-26,2014-06-08,France,Clay,11552000.0,€,2014,adrian-menendez-maceiras,A. Menendez-Maceiras,marc-gicquel,M. Gicquel,roland-garros,1st Round Qualifying,3.0,f,2000,-2,01:52:00,173.0,1.0,10.0,15.0,0.0,0.0,235.0,1.0,1.0,50.0,76.0,29.0,50.0,13.0,26.0,1.0,6.0,13.0,113.0,21.0,58.0,16.0,39.0,2.0,10.0,12.0,42.0,76.0,37.0,97.0,79.0,f,f,,t,France,2.0,15.0,10.0,0.0,273.0,11.0,4.0,58.0,97.0,37.0,58.0,23.0,39.0,8.0,10.0,12.0,213.0,21.0,50.0,13.0,26.0,5.0,6.0,13.0,60.0,97.0,34.0,76.0,94.0,t,f,f,France
2014-05-26,2014-06-08,France,Clay,11552000.0,€,2014,adrian-ungur,A. Ungur,ruben-bemelmans,R. Bemelmans,roland-garros,1st Round Qualifying,3.0,f,2000,-2,01:55:00,184.0,1.0,13.0,13.0,0.0,0.0,227.0,2.0,1.0,59.0,88.0,30.0,59.0,16.0,29.0,7.0,13.0,13.0,191.0,19.0,59.0,27.0,37.0,6.0,15.0,13.0,46.0,88.0,46.0,96.0,92.0,f,f,24,t,France,2.0,13.0,13.0,0.0,211.0,6.0,4.0,59.0,96.0,40.0,59.0,10.0,37.0,9.0,15.0,13.0,186.0,29.0,59.0,13.0,29.0,6.0,13.0,13.0,50.0,96.0,42.0,88.0,92.0,t,f,f,France
2014-05-26,2014-06-08,France,Clay,11552000.0,€,2014,agustin-velotti,A. Velotti,frank-dancevic,F. Dancevic,roland-garros,1st Round Qualifying,2.0,f,2000,-2,01:36:00,131.0,0.0,9.0,13.0,0.0,0.0,223.0,1.0,1.0,35.0,72.0,20.0,35.0,20.0,37.0,5.0,9.0,11.0,127.0,4.0,28.0,14.0,31.0,2.0,4.0,11.0,40.0,72.0,18.0,59.0,58.0,f,f,,f,France,2.0,13.0,9.0,0.0,273.0,6.0,2.0,28.0,59.0,24.0,28.0,17.0,31.0,2.0,4.0,11.0,169.0,15.0,35.0,17.0,37.0,4.0,9.0,11.0,41.0,59.0,32.0,72.0,73.0,t,f,t,France
2014-05-26,2014-06-08,France,Clay,11552000.0,€,2014,albano-olivetti,A. Olivetti,jan-lennard-struff,J. Struff,roland-garros,Round of 128,3.0,f,2000,1,01:41:00,161.0,0.0,9.0,18.0,0.0,0.0,245.0,14.0,6.0,43.0,80.0,34.0,43.0,13.0,37.0,3.0,7.0,13.0,54.0,9.0,47.0,12.0,34.0,0.0,4.0,14.0,47.0,80.0,21.0,81.0,68.0,f,f,WC,f,France,3.0,18.0,9.0,0.0,311.0,8.0,1.0,47.0,81.0,38.0,47.0,22.0,34.0,4.0,4.0,14.0,173.0,9.0,43.0,24.0,37.0,4.0,7.0,13.0,60.0,81.0,33.0,80.0,93.0,t,f,t,France
2014-05-26,2014-06-08,France,Clay,11552000.0,€,2014,albert-montanes,A. Montanes,kenny-de-schepper,K. De Schepper,roland-garros,Round of 128,1.0,f,2000,1,00:20:00,24.0,0.0,1.0,3.0,0.0,0.0,219.0,1.0,1.0,8.0,11.0,5.0,8.0,1.0,3.0,0.0,1.0,2.0,47.0,2.0,9.0,1.0,4.0,0.0,0.0,2.0,6.0,11.0,3.0,13.0,9.0,f,t,,f,France,1.0,3.0,1.0,0.0,324.0,2.0,0.0,9.0,13.0,7.0,9.0,3.0,4.0,0.0,0.0,2.0,255.0,3.0,8.0,2.0,3.0,1.0,1.0,2.0,10.0,13.0,5.0,11.0,15.0,t,t,t,France
2014-05-26,2014-06-08,France,Clay,11552000.0,€,2014,albert-ramos-vinolas,A. Ramos-Vinolas,alexandr-dolgopolov,A. Dolgopolov,roland-garros,Round of 128,3.0,f,2000,1,02:10:00,204.0,0.0,11.0,19.0,0.0,1.0,237.0,3.0,3.0,61.0,107.0,37.0,61.0,22.0,46.0,5.0,9.0,14.0,86.0,9.0,57.0,20.0,40.0,1.0,7.0,15.0,59.0,107.0,29.0,97.0,88.0,f,f,,f,France,3.0,19.0,11.0,1.0,294.0,10.0,2.0,57.0,97.0,48.0,57.0,20.0,40.0,6.0,7.0,15.0,163.0,24.0,61.0,24.0,46.0,4.0,9.0,14.0,68.0,97.0,48.0,107.0,116.0,t,f,t,France
2014-05-26,2014-06-08,France,Clay,11552000.0,€,2014,alejandro-falla,A. Falla,benoit-paire,B. Paire,roland-garros,Round of 128,3.0,f,2000,1,01:38:00,192.0,0.0,13.0,19.0,0.0,1.0,232.0,0.0,1.0,54.0,94.0,35.0,54.0,18.0,40.0,3.0,8.0,15.0,135.0,8.0,45.0,26.0,53.0,3.0,6.0,16.0,53.0,94.0,34.0,98.0,87.0,f,f,,f,France,3.0,19.0,13.0,1.0,265.0,9.0,4.0,45.0,98.0,37.0,45.0,27.0,53.0,3.0,6.0,16.0,186.0,19.0,54.0,22.0,40.0,5.0,8.0,15.0,64.0,98.0,41.0,94.0,105.0,t,f,t,France
2014-05-26,2014-06-08,France,Clay,11552000.0,€,2014,alejandro-gonzalez,A. Gonzalez,gilles-simon,G. Simon,roland-garros,Round of 64,3.0,f,2000,2,01:44:00,146.0,0.0,6.0,18.0,0.0,0.0,198.0,4.0,0.0,46.0,74.0,22.0,46.0,12.0,28.0,4.0,11.0,12.0,107.0,10.0,41.0,13.0,31.0,1.0,3.0,12.0,34.0,74.0,23.0,72.0,57.0,f,f,,f,France,3.0,18.0,6.0,0.0,281.0,1.0,2.0,41.0,72.0,31.0,41.0,18.0,31.0,2.0,3.0,12.0,231.0,24.0,46.0,16.0,28.0,7.0,11.0,12.0,49.0,72.0,40.0,74.0,89.0,t,f,t,France
