start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2009-04-27,2009-05-03,Italy,Clay,2227500.0,€,2009,adrian-mannarino,A. Mannarino,arnaud-clement,A. Clement,rome,1st Round Qualifying,3.0,f,1000,0,01:54:00,158.0,1.0,10.0,15.0,0.0,0.0,223.0,3.0,3.0,54.0,79.0,33.0,54.0,9.0,25.0,5.0,10.0,12.0,177.0,17.0,51.0,13.0,28.0,3.0,4.0,13.0,42.0,79.0,30.0,79.0,72.0,f,f,,f,Italy,2.0,15.0,10.0,0.0,263.0,3.0,2.0,51.0,79.0,34.0,51.0,15.0,28.0,1.0,4.0,13.0,194.0,21.0,54.0,16.0,25.0,5.0,10.0,12.0,49.0,79.0,37.0,79.0,86.0,t,f,t,Italy
2009-04-27,2009-05-03,Italy,Clay,2227500.0,€,2009,albert-montanes,A. Montanes,novak-djokovic,N. Djokovic,rome,Round of 32,2.0,f,1000,3,01:38:00,137.0,0.0,6.0,13.0,0.0,1.0,184.0,0.0,2.0,34.0,73.0,20.0,34.0,14.0,39.0,5.0,10.0,9.0,153.0,8.0,32.0,18.0,32.0,2.0,4.0,9.0,34.0,73.0,26.0,64.0,60.0,f,f,,f,Italy,2.0,13.0,6.0,1.0,245.0,4.0,5.0,32.0,64.0,24.0,32.0,14.0,32.0,2.0,4.0,9.0,210.0,14.0,34.0,25.0,39.0,5.0,10.0,9.0,38.0,64.0,39.0,73.0,77.0,t,f,t,Italy
2009-04-27,2009-05-03,Italy,Clay,2227500.0,€,2009,albert-montanes,A. Montanes,potito-starace,P. Starace,rome,Round of 64,2.0,f,1000,2,02:13:00,191.0,2.0,13.0,10.0,1.0,1.0,292.0,2.0,3.0,59.0,95.0,44.0,59.0,20.0,36.0,5.0,5.0,11.0,115.0,26.0,78.0,10.0,18.0,1.0,6.0,11.0,64.0,95.0,36.0,96.0,100.0,t,f,,t,Italy,0.0,10.0,13.0,0.0,280.0,2.0,4.0,78.0,96.0,52.0,78.0,8.0,18.0,5.0,6.0,11.0,69.0,15.0,59.0,16.0,36.0,0.0,5.0,11.0,60.0,96.0,31.0,95.0,91.0,f,f,f,Italy
2009-04-27,2009-05-03,Italy,Clay,2227500.0,€,2009,alberto-martin,A. Martin,andreas-beck,A. Beck,rome,1st Round Qualifying,3.0,f,1000,0,02:23:00,197.0,1.0,11.0,18.0,1.0,1.0,258.0,7.0,5.0,54.0,83.0,40.0,54.0,14.0,29.0,6.0,10.0,13.0,91.0,17.0,65.0,25.0,49.0,1.0,12.0,15.0,54.0,83.0,42.0,114.0,96.0,f,f,,f,Italy,2.0,18.0,11.0,0.0,270.0,8.0,11.0,65.0,114.0,48.0,65.0,24.0,49.0,11.0,12.0,15.0,148.0,14.0,54.0,15.0,29.0,4.0,10.0,13.0,72.0,114.0,29.0,83.0,101.0,t,f,t,Italy
2009-04-27,2009-05-03,Italy,Clay,2227500.0,€,2009,andreas-beck,A. Beck,daniel-gimeno-traver,D. Gimeno-Traver,rome,2nd Round Qualifying,3.0,f,1000,1,02:16:00,194.0,1.0,15.0,14.0,0.0,1.0,289.0,6.0,4.0,55.0,92.0,43.0,55.0,21.0,37.0,6.0,7.0,14.0,123.0,22.0,74.0,15.0,28.0,2.0,8.0,14.0,64.0,92.0,37.0,102.0,101.0,f,f,3,t,Italy,2.0,14.0,15.0,1.0,276.0,6.0,4.0,74.0,102.0,52.0,74.0,13.0,28.0,6.0,8.0,14.0,86.0,12.0,55.0,16.0,37.0,1.0,7.0,14.0,65.0,102.0,28.0,92.0,93.0,t,f,f,Italy
2009-04-27,2009-05-03,Italy,Clay,2227500.0,€,2009,andreas-seppi,A. Seppi,rafael-nadal,R. Nadal,rome,Round of 32,2.0,f,1000,3,01:20:00,94.0,0.0,5.0,12.0,0.0,0.0,209.0,2.0,2.0,33.0,50.0,21.0,33.0,5.0,17.0,3.0,7.0,8.0,93.0,6.0,30.0,4.0,14.0,1.0,3.0,9.0,26.0,50.0,10.0,44.0,36.0,f,f,,f,Italy,2.0,12.0,5.0,0.0,308.0,1.0,0.0,30.0,44.0,24.0,30.0,10.0,14.0,2.0,3.0,9.0,214.0,12.0,33.0,12.0,17.0,4.0,7.0,8.0,34.0,44.0,24.0,50.0,58.0,t,f,t,Italy
2009-04-27,2009-05-03,Italy,Clay,2227500.0,€,2009,andreas-seppi,A. Seppi,sam-querrey,S. Querrey,rome,Round of 64,3.0,f,1000,2,02:04:00,189.0,2.0,15.0,13.0,0.0,0.0,230.0,4.0,3.0,42.0,81.0,28.0,42.0,18.0,39.0,0.0,5.0,14.0,192.0,22.0,60.0,30.0,48.0,6.0,12.0,14.0,46.0,81.0,52.0,108.0,98.0,t,f,,f,Italy,1.0,13.0,15.0,0.0,220.0,10.0,4.0,60.0,108.0,38.0,60.0,18.0,48.0,6.0,12.0,14.0,222.0,14.0,42.0,21.0,39.0,5.0,5.0,14.0,56.0,108.0,35.0,81.0,91.0,f,f,t,Italy
2009-04-27,2009-05-03,Italy,Clay,2227500.0,€,2009,andrey-golubev,A. Golubev,thomaz-bellucci,T. Bellucci,rome,1st Round Qualifying,2.0,f,1000,0,01:21:00,109.0,0.0,8.0,12.0,0.0,0.0,245.0,1.0,0.0,32.0,56.0,20.0,32.0,13.0,24.0,4.0,7.0,10.0,172.0,7.0,29.0,9.0,24.0,1.0,1.0,10.0,33.0,56.0,16.0,53.0,49.0,f,f,,f,Italy,2.0,12.0,8.0,0.0,284.0,1.0,1.0,29.0,53.0,22.0,29.0,15.0,24.0,0.0,1.0,10.0,157.0,12.0,32.0,11.0,24.0,3.0,7.0,10.0,37.0,53.0,23.0,56.0,60.0,t,f,t,Italy
2009-04-27,2009-05-03,Italy,Clay,2227500.0,€,2009,andy-murray,A. Murray,juan-monaco,J. Monaco,rome,Round of 32,3.0,f,1000,3,02:40:00,183.0,1.0,14.0,14.0,0.0,0.0,223.0,3.0,2.0,55.0,92.0,35.0,55.0,15.0,37.0,8.0,14.0,14.0,198.0,33.0,76.0,10.0,15.0,6.0,13.0,14.0,50.0,92.0,43.0,91.0,93.0,f,f,4,t,Italy,2.0,14.0,14.0,0.0,229.0,0.0,2.0,76.0,91.0,43.0,76.0,5.0,15.0,7.0,13.0,14.0,180.0,20.0,55.0,22.0,37.0,6.0,14.0,14.0,48.0,91.0,42.0,92.0,90.0,t,f,f,Italy
2009-04-27,2009-05-03,Italy,Clay,2227500.0,€,2009,antonio-comporto,A. Comporto,jan-hernych,J. Hernych,rome,1st Round Qualifying,2.0,f,1000,0,01:00:00,100.0,0.0,3.0,12.0,0.0,0.0,186.0,3.0,5.0,31.0,61.0,20.0,31.0,9.0,30.0,6.0,10.0,7.0,38.0,3.0,23.0,4.0,16.0,0.0,0.0,8.0,29.0,61.0,7.0,39.0,36.0,f,f,WC,f,Italy,2.0,12.0,3.0,0.0,322.0,1.0,0.0,23.0,39.0,20.0,23.0,12.0,16.0,0.0,0.0,8.0,202.0,11.0,31.0,21.0,30.0,4.0,10.0,7.0,32.0,39.0,32.0,61.0,64.0,t,f,t,Italy
