start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2018-05-07,2018-05-12,Italy,Clay,64000.0,€,2018,adam-pavlasek,A. Pavlasek,alessandro-giannessi,A. Giannessi,rome_challenger,Round of 16,2.0,f,100,4,01:23:00,126.0,2.0,12.0,5.0,0.0,0.0,280.0,6.0,1.0,48.0,66.0,31.0,48.0,9.0,18.0,3.0,4.0,8.0,234.0,18.0,39.0,13.0,21.0,5.0,7.0,9.0,40.0,66.0,31.0,60.0,71.0,t,f,,t,Italy,0.0,5.0,12.0,0.0,202.0,3.0,2.0,39.0,60.0,21.0,39.0,8.0,21.0,2.0,7.0,9.0,122.0,17.0,48.0,9.0,18.0,1.0,4.0,8.0,29.0,60.0,26.0,66.0,55.0,f,f,f,Italy
2018-05-07,2018-05-12,Italy,Clay,64000.0,€,2018,adam-pavlasek,A. Pavlasek,gianluigi-quinzi,G. Quinzi,rome_challenger,Semi-Finals,3.0,f,100,6,02:41:00,239.0,2.0,19.0,15.0,0.0,1.0,284.0,5.0,1.0,83.0,126.0,58.0,83.0,22.0,43.0,5.0,6.0,16.0,134.0,19.0,69.0,22.0,44.0,4.0,12.0,17.0,80.0,126.0,41.0,113.0,121.0,t,f,,f,Italy,1.0,15.0,19.0,1.0,266.0,9.0,2.0,69.0,113.0,50.0,69.0,22.0,44.0,8.0,12.0,17.0,102.0,25.0,83.0,21.0,43.0,1.0,6.0,16.0,72.0,113.0,46.0,126.0,118.0,f,f,t,Italy
2018-05-07,2018-05-12,Italy,Clay,64000.0,€,2018,adam-pavlasek,A. Pavlasek,laslo-djere,L. Djere,rome_challenger,Finals,3.0,f,100,7,02:50:00,225.0,2.0,19.0,17.0,1.0,2.0,301.0,8.0,2.0,68.0,104.0,51.0,68.0,24.0,36.0,3.0,5.0,17.0,126.0,19.0,69.0,25.0,52.0,3.0,9.0,17.0,75.0,104.0,44.0,121.0,119.0,t,f,,t,Italy,1.0,17.0,19.0,1.0,264.0,5.0,4.0,69.0,121.0,50.0,69.0,27.0,52.0,6.0,9.0,17.0,109.0,17.0,68.0,12.0,36.0,2.0,5.0,17.0,77.0,121.0,29.0,104.0,106.0,f,f,f,Italy
2018-05-07,2018-05-12,Italy,Clay,64000.0,€,2018,adam-pavlasek,A. Pavlasek,patricio-heras,P. Heras,rome_challenger,Quarter-Finals,2.0,f,100,5,01:31:00,119.0,2.0,13.0,7.0,1.0,1.0,311.0,4.0,0.0,38.0,56.0,31.0,38.0,12.0,18.0,3.0,4.0,10.0,149.0,17.0,40.0,8.0,23.0,3.0,8.0,9.0,43.0,56.0,25.0,63.0,68.0,t,f,,t,Italy,0.0,7.0,13.0,0.0,248.0,1.0,5.0,40.0,63.0,23.0,40.0,15.0,23.0,5.0,8.0,9.0,86.0,7.0,38.0,6.0,18.0,1.0,4.0,10.0,38.0,63.0,13.0,56.0,51.0,f,f,f,Italy
2018-05-07,2018-05-12,Italy,Clay,64000.0,€,2018,adam-pavlasek,A. Pavlasek,quentin-halys,Q. Halys,rome_challenger,Round of 32,3.0,f,100,3,02:11:00,206.0,2.0,16.0,11.0,0.0,0.0,276.0,2.0,1.0,53.0,86.0,39.0,53.0,18.0,33.0,3.0,5.0,13.0,169.0,23.0,62.0,32.0,58.0,5.0,12.0,14.0,57.0,86.0,55.0,120.0,112.0,t,f,,t,Italy,1.0,11.0,16.0,0.0,222.0,5.0,7.0,62.0,120.0,39.0,62.0,26.0,58.0,7.0,12.0,14.0,126.0,14.0,53.0,15.0,33.0,2.0,5.0,13.0,65.0,120.0,29.0,86.0,94.0,f,f,f,Italy
2018-05-07,2018-05-12,Italy,Clay,64000.0,€,2018,alberto-romero-de-avila-senise,A. Romero De Avila Senise,gabriele-camilli,G. Camilli,rome_challenger,1st Round Qualifying,2.0,f,100,0,00:51:00,78.0,2.0,12.0,1.0,0.0,0.0,284.0,2.0,1.0,24.0,38.0,17.0,24.0,9.0,14.0,0.0,1.0,7.0,314.0,18.0,28.0,9.0,12.0,6.0,8.0,6.0,26.0,38.0,27.0,40.0,53.0,t,f,,t,Italy,0.0,1.0,12.0,0.0,131.0,0.0,0.0,28.0,40.0,10.0,28.0,3.0,12.0,2.0,8.0,6.0,179.0,7.0,24.0,5.0,14.0,1.0,1.0,7.0,13.0,40.0,12.0,38.0,25.0,f,f,f,Italy
2018-05-07,2018-05-12,Italy,Clay,64000.0,€,2018,alberto-romero-de-avila-senise,A. Romero De Avila Senise,kevin-krawietz,K. Krawietz,rome_challenger,3rd Round Qualifying,2.0,f,100,2,01:11:00,111.0,0.0,5.0,12.0,0.0,0.0,194.0,1.0,2.0,25.0,45.0,11.0,25.0,9.0,20.0,1.0,5.0,8.0,110.0,18.0,46.0,7.0,20.0,1.0,4.0,9.0,20.0,45.0,25.0,66.0,45.0,f,f,,f,Italy,2.0,12.0,5.0,0.0,288.0,4.0,0.0,46.0,66.0,28.0,46.0,13.0,20.0,3.0,4.0,9.0,241.0,14.0,25.0,11.0,20.0,4.0,5.0,8.0,41.0,66.0,25.0,45.0,66.0,t,f,t,Italy
2018-05-07,2018-05-12,Italy,Clay,64000.0,€,2018,alberto-romero-de-avila-senise,A. Romero De Avila Senise,mohamed-safwat,M. Safwat,rome_challenger,Round of 32,2.0,f,100,3,01:45:00,132.0,0.0,6.0,13.0,0.0,1.0,185.0,1.0,2.0,44.0,62.0,19.0,44.0,7.0,18.0,2.0,8.0,9.0,151.0,10.0,39.0,20.0,31.0,3.0,11.0,9.0,26.0,62.0,30.0,70.0,56.0,f,f,LL,f,Italy,2.0,13.0,6.0,1.0,232.0,2.0,1.0,39.0,70.0,29.0,39.0,11.0,31.0,8.0,11.0,9.0,259.0,25.0,44.0,11.0,18.0,6.0,8.0,9.0,40.0,70.0,36.0,62.0,76.0,t,f,t,Italy
2018-05-07,2018-05-12,Italy,Clay,64000.0,€,2018,alberto-romero-de-avila-senise,,rogerio-dutra-silva,,rome_challenger,2nd Round Qualifying,1.0,f,100,1,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,,Italy,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,Italy
2018-05-07,2018-05-12,Italy,Clay,64000.0,€,2018,alessandro-giannessi,A. Giannessi,matteo-viola,M. Viola,rome_challenger,Round of 32,2.0,f,100,3,01:14:00,120.0,2.0,12.0,6.0,0.0,0.0,292.0,3.0,0.0,45.0,62.0,31.0,45.0,10.0,17.0,5.0,6.0,9.0,219.0,16.0,36.0,14.0,22.0,4.0,6.0,9.0,41.0,62.0,30.0,58.0,71.0,t,f,,t,Italy,0.0,6.0,12.0,0.0,205.0,0.0,4.0,36.0,58.0,20.0,36.0,8.0,22.0,2.0,6.0,9.0,100.0,14.0,45.0,7.0,17.0,1.0,6.0,9.0,28.0,58.0,21.0,62.0,49.0,f,f,f,Italy
