,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,andreas-haider-maurer,A. Haider-Maurer,matthias-bachinger,M. Bachinger,rotterdam,1st Round Qualifying,3.0,f,500,1,01:54:00,177.0,1.0,14.0,17.0,0.0,0.0,281.0,7.0,5.0,59.0,87.0,44.0,59.0,14.0,28.0,3.0,5.0,15.0,82.0,5.0,49.0,20.0,41.0,1.0,6.0,16.0,58.0,87.0,25.0,90.0,83.0,f,f,4,f,Netherlands,2.0,17.0,14.0,0.0,293.0,9.0,4.0,49.0,90.0,44.0,49.0,21.0,41.0,5.0,6.0,16.0,128.0,15.0,59.0,14.0,28.0,2.0,5.0,15.0,65.0,90.0,29.0,87.0,94.0,t,f,t,Netherlands
1,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,andreas-seppi,A. Seppi,matthias-bachinger,M. Bachinger,rotterdam,Round of 32,2.0,f,500,3,01:12:00,120.0,0.0,7.0,12.0,0.0,0.0,254.0,1.0,1.0,34.0,55.0,28.0,34.0,7.0,21.0,3.0,5.0,9.0,68.0,8.0,37.0,13.0,28.0,0.0,4.0,10.0,35.0,55.0,21.0,65.0,56.0,f,f,6,f,Netherlands,2.0,12.0,7.0,0.0,297.0,11.0,3.0,37.0,65.0,29.0,37.0,15.0,28.0,4.0,4.0,10.0,147.0,6.0,34.0,14.0,21.0,2.0,5.0,9.0,44.0,65.0,20.0,55.0,64.0,t,f,t,Netherlands
2,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,benoit-paire,B. Paire,marcos-baghdatis,M. Baghdatis,rotterdam,Round of 32,3.0,f,500,3,01:21:00,137.0,1.0,7.0,16.0,1.0,1.0,225.0,4.0,2.0,40.0,71.0,31.0,40.0,11.0,31.0,3.0,8.0,11.0,54.0,6.0,32.0,12.0,34.0,0.0,1.0,11.0,42.0,71.0,18.0,66.0,60.0,f,t,,f,Netherlands,2.0,16.0,7.0,0.0,299.0,8.0,3.0,32.0,66.0,26.0,32.0,22.0,34.0,1.0,1.0,11.0,196.0,9.0,40.0,20.0,31.0,5.0,8.0,11.0,48.0,66.0,29.0,71.0,77.0,t,t,t,Netherlands
3,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,bernard-tomic,B. Tomic,grigor-dimitrov,G. Dimitrov,rotterdam,Round of 32,3.0,f,500,3,01:34:00,173.0,1.0,12.0,15.0,0.0,0.0,280.0,4.0,0.0,60.0,80.0,40.0,60.0,10.0,20.0,5.0,7.0,13.0,95.0,14.0,62.0,15.0,31.0,1.0,6.0,14.0,50.0,80.0,29.0,93.0,79.0,f,f,,f,Netherlands,2.0,15.0,12.0,0.0,292.0,8.0,4.0,62.0,93.0,48.0,62.0,16.0,31.0,5.0,6.0,14.0,127.0,20.0,60.0,10.0,20.0,2.0,7.0,13.0,64.0,93.0,30.0,80.0,94.0,t,f,t,Netherlands
4,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,daniel-brands,D. Brands,gilles-simon,G. Simon,rotterdam,Round of 32,2.0,f,500,3,01:32:00,144.0,0.0,10.0,13.0,0.0,1.0,244.0,4.0,3.0,63.0,80.0,40.0,63.0,5.0,17.0,7.0,10.0,11.0,145.0,6.0,33.0,13.0,31.0,2.0,3.0,11.0,45.0,80.0,19.0,64.0,64.0,f,f,Q,f,Netherlands,2.0,13.0,10.0,1.0,276.0,5.0,2.0,33.0,64.0,27.0,33.0,18.0,31.0,1.0,3.0,11.0,165.0,23.0,63.0,12.0,17.0,3.0,10.0,11.0,45.0,64.0,35.0,80.0,80.0,t,f,t,Netherlands
5,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,daniel-brands,D. Brands,mikhail-kukushkin,M. Kukushkin,rotterdam,1st Round Qualifying,2.0,f,500,1,01:17:00,139.0,2.0,13.0,8.0,1.0,1.0,316.0,15.0,5.0,44.0,63.0,39.0,44.0,9.0,19.0,0.0,0.0,10.0,158.0,13.0,48.0,17.0,28.0,2.0,4.0,10.0,48.0,63.0,30.0,76.0,78.0,t,f,3,t,Netherlands,0.0,8.0,13.0,0.0,257.0,3.0,1.0,48.0,76.0,35.0,48.0,11.0,28.0,2.0,4.0,10.0,64.0,5.0,44.0,10.0,19.0,0.0,0.0,10.0,46.0,76.0,15.0,63.0,61.0,f,f,f,Netherlands
6,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,daniel-brands,D. Brands,rajeev-ram,R. Ram,rotterdam,2nd Round Qualifying,2.0,f,500,2,01:30:00,150.0,2.0,13.0,10.0,1.0,1.0,307.0,6.0,3.0,54.0,79.0,43.0,54.0,14.0,25.0,2.0,2.0,11.0,111.0,17.0,55.0,6.0,16.0,1.0,3.0,11.0,57.0,79.0,23.0,71.0,80.0,t,f,3,t,Netherlands,0.0,10.0,13.0,0.0,302.0,3.0,0.0,55.0,71.0,38.0,55.0,10.0,16.0,2.0,3.0,11.0,64.0,11.0,54.0,11.0,25.0,0.0,2.0,11.0,48.0,71.0,22.0,79.0,70.0,f,f,f,Netherlands
7,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,david-goffin,D. Goffin,jarkko-nieminen,J. Nieminen,rotterdam,Round of 32,2.0,f,500,3,01:00:00,103.0,0.0,0.0,12.0,0.0,0.0,121.0,0.0,8.0,32.0,52.0,15.0,32.0,4.0,20.0,6.0,12.0,6.0,70.0,15.0,38.0,4.0,13.0,0.0,3.0,6.0,19.0,52.0,19.0,51.0,38.0,f,f,,f,Netherlands,2.0,12.0,0.0,0.0,306.0,1.0,0.0,38.0,51.0,23.0,38.0,9.0,13.0,3.0,3.0,6.0,283.0,17.0,32.0,16.0,20.0,6.0,12.0,6.0,32.0,51.0,33.0,52.0,65.0,t,f,t,Netherlands
8,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,dmitry-tursunov,D. Tursunov,jesse-huta-galung,J. Huta Galung,rotterdam,1st Round Qualifying,3.0,f,500,1,01:45:00,156.0,1.0,12.0,13.0,0.0,0.0,249.0,4.0,6.0,48.0,84.0,34.0,48.0,17.0,36.0,3.0,6.0,13.0,113.0,14.0,44.0,9.0,28.0,2.0,6.0,12.0,51.0,84.0,23.0,72.0,74.0,f,f,8,t,Netherlands,2.0,13.0,12.0,0.0,284.0,5.0,1.0,44.0,72.0,30.0,44.0,19.0,28.0,4.0,6.0,12.0,155.0,14.0,48.0,19.0,36.0,3.0,6.0,13.0,49.0,72.0,33.0,84.0,82.0,t,f,f,Netherlands
9,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,ernests-gulbis,E. Gulbis,juan-martin-del-potro,J. del Potro,rotterdam,Round of 16,2.0,f,500,4,01:39:00,139.0,0.0,9.0,13.0,0.0,1.0,292.0,12.0,4.0,45.0,64.0,32.0,45.0,10.0,19.0,3.0,4.0,10.0,67.0,11.0,43.0,13.0,32.0,0.0,2.0,11.0,42.0,64.0,24.0,75.0,66.0,f,f,Q,f,Netherlands,2.0,13.0,9.0,1.0,292.0,5.0,3.0,43.0,75.0,32.0,43.0,19.0,32.0,2.0,2.0,11.0,111.0,13.0,45.0,9.0,19.0,1.0,4.0,10.0,51.0,75.0,22.0,64.0,73.0,t,f,t,Netherlands
10,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,ernests-gulbis,E. Gulbis,robin-haase,R. Haase,rotterdam,Round of 32,2.0,f,500,3,00:50:00,83.0,2.0,12.0,3.0,0.0,0.0,318.0,6.0,0.0,30.0,42.0,25.0,30.0,7.0,12.0,0.0,0.0,8.0,229.0,13.0,28.0,9.0,13.0,4.0,7.0,7.0,32.0,42.0,22.0,41.0,54.0,t,f,Q,t,Netherlands,0.0,3.0,12.0,0.0,198.0,5.0,2.0,28.0,41.0,15.0,28.0,4.0,13.0,3.0,7.0,7.0,59.0,5.0,30.0,5.0,12.0,0.0,0.0,8.0,19.0,41.0,10.0,42.0,29.0,f,f,f,Netherlands
11,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,ernests-gulbis,E. Gulbis,sergiy-stakhovsky,S. Stakhovsky,rotterdam,1st Round Qualifying,2.0,f,500,1,01:17:00,121.0,2.0,12.0,7.0,0.0,0.0,302.0,7.0,1.0,39.0,66.0,29.0,39.0,17.0,27.0,5.0,5.0,10.0,144.0,12.0,33.0,8.0,22.0,2.0,4.0,9.0,46.0,66.0,20.0,55.0,66.0,t,f,,t,Netherlands,0.0,7.0,12.0,0.0,264.0,1.0,2.0,33.0,55.0,21.0,33.0,14.0,22.0,2.0,4.0,9.0,63.0,10.0,39.0,10.0,27.0,0.0,5.0,10.0,35.0,55.0,20.0,66.0,55.0,f,f,f,Netherlands
12,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,ernests-gulbis,E. Gulbis,tobias-kamke,T. Kamke,rotterdam,2nd Round Qualifying,2.0,f,500,2,01:11:00,115.0,2.0,12.0,5.0,0.0,0.0,311.0,6.0,1.0,36.0,55.0,28.0,36.0,12.0,19.0,0.0,0.0,9.0,177.0,14.0,33.0,13.0,27.0,3.0,6.0,8.0,40.0,55.0,27.0,60.0,67.0,t,f,,t,Netherlands,0.0,5.0,12.0,0.0,225.0,1.0,3.0,33.0,60.0,19.0,33.0,14.0,27.0,3.0,6.0,8.0,59.0,8.0,36.0,7.0,19.0,0.0,0.0,9.0,33.0,60.0,15.0,55.0,48.0,f,f,f,Netherlands
13,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,fabian-van-der-lans,F. Van Der Lans,rajeev-ram,R. Ram,rotterdam,1st Round Qualifying,3.0,f,500,1,01:30:00,167.0,1.0,9.0,17.0,0.0,0.0,218.0,0.0,5.0,61.0,94.0,39.0,61.0,11.0,33.0,8.0,13.0,13.0,64.0,14.0,52.0,4.0,21.0,1.0,9.0,13.0,50.0,94.0,18.0,73.0,68.0,f,f,WC,t,Netherlands,2.0,17.0,9.0,0.0,322.0,5.0,0.0,52.0,73.0,38.0,52.0,17.0,21.0,8.0,9.0,13.0,179.0,22.0,61.0,22.0,33.0,5.0,13.0,13.0,55.0,73.0,44.0,94.0,99.0,t,f,f,Netherlands
14,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,florian-mayer,F. Mayer,nikolay-davydenko,N. Davydenko,rotterdam,Round of 32,2.0,f,500,3,01:07:00,110.0,0.0,5.0,12.0,0.0,0.0,171.0,1.0,2.0,23.0,42.0,10.0,23.0,7.0,19.0,1.0,6.0,8.0,135.0,11.0,34.0,14.0,34.0,2.0,5.0,9.0,17.0,42.0,25.0,68.0,42.0,f,f,8,f,Netherlands,2.0,12.0,5.0,0.0,255.0,2.0,1.0,34.0,68.0,23.0,34.0,20.0,34.0,3.0,5.0,9.0,265.0,13.0,23.0,12.0,19.0,5.0,6.0,8.0,43.0,68.0,25.0,42.0,68.0,t,f,t,Netherlands
15,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,gael-monfils,G. Monfils,juan-martin-del-potro,J. del Potro,rotterdam,Round of 32,2.0,f,500,3,01:12:00,106.0,0.0,7.0,12.0,0.0,0.0,257.0,5.0,5.0,30.0,49.0,23.0,30.0,8.0,19.0,3.0,5.0,9.0,54.0,8.0,39.0,6.0,18.0,0.0,2.0,10.0,31.0,49.0,14.0,57.0,45.0,f,f,WC,f,Netherlands,2.0,12.0,7.0,0.0,315.0,1.0,0.0,39.0,57.0,31.0,39.0,12.0,18.0,2.0,2.0,10.0,143.0,7.0,30.0,11.0,19.0,2.0,5.0,9.0,43.0,57.0,18.0,49.0,61.0,t,f,t,Netherlands
16,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,gilles-simon,G. Simon,julien-benneteau,J. Benneteau,rotterdam,Semi-Finals,2.0,f,500,6,01:50:00,146.0,0.0,10.0,13.0,0.0,1.0,257.0,7.0,1.0,43.0,81.0,29.0,43.0,19.0,38.0,7.0,9.0,11.0,93.0,7.0,38.0,9.0,27.0,1.0,3.0,11.0,48.0,81.0,16.0,65.0,64.0,f,f,5,f,Netherlands,2.0,13.0,10.0,1.0,301.0,5.0,1.0,38.0,65.0,31.0,38.0,18.0,27.0,2.0,3.0,11.0,123.0,14.0,43.0,19.0,38.0,2.0,9.0,11.0,49.0,65.0,33.0,81.0,82.0,t,f,t,Netherlands
17,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,gilles-simon,G. Simon,martin-klizan,M. Klizan,rotterdam,Quarter-Finals,3.0,f,500,5,02:19:00,206.0,2.0,15.0,10.0,0.0,1.0,281.0,10.0,3.0,40.0,80.0,32.0,40.0,21.0,40.0,5.0,6.0,12.0,146.0,26.0,67.0,35.0,59.0,4.0,27.0,12.0,53.0,80.0,61.0,126.0,114.0,t,t,5,f,Netherlands,1.0,10.0,15.0,1.0,222.0,6.0,5.0,67.0,126.0,41.0,67.0,24.0,59.0,23.0,27.0,12.0,93.0,8.0,40.0,19.0,40.0,1.0,6.0,12.0,65.0,126.0,27.0,80.0,92.0,f,t,t,Netherlands
18,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,gilles-simon,G. Simon,matteo-viola,M. Viola,rotterdam,Round of 16,2.0,f,500,4,01:12:00,104.0,2.0,12.0,4.0,0.0,0.0,277.0,4.0,1.0,29.0,46.0,24.0,29.0,7.0,17.0,0.0,1.0,8.0,228.0,14.0,33.0,17.0,25.0,5.0,9.0,8.0,31.0,46.0,31.0,58.0,62.0,t,f,5,t,Netherlands,0.0,4.0,12.0,0.0,181.0,0.0,3.0,33.0,58.0,19.0,33.0,8.0,25.0,4.0,9.0,8.0,188.0,5.0,29.0,10.0,17.0,1.0,1.0,8.0,27.0,58.0,15.0,46.0,42.0,f,f,f,Netherlands
19,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,grega-zemlja,G. Zemlja,roger-federer,R. Federer,rotterdam,Round of 32,2.0,f,500,3,00:58:00,92.0,0.0,4.0,12.0,0.0,0.0,203.0,2.0,2.0,23.0,45.0,13.0,23.0,10.0,22.0,3.0,7.0,8.0,52.0,7.0,30.0,5.0,17.0,0.0,2.0,8.0,23.0,45.0,12.0,47.0,35.0,f,f,,f,Netherlands,2.0,12.0,4.0,0.0,314.0,3.0,1.0,30.0,47.0,23.0,30.0,12.0,17.0,2.0,2.0,8.0,205.0,10.0,23.0,12.0,22.0,4.0,7.0,8.0,35.0,47.0,22.0,45.0,57.0,t,f,t,Netherlands
20,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,grigor-dimitrov,G. Dimitrov,juan-martin-del-potro,J. del Potro,rotterdam,Semi-Finals,2.0,f,500,6,01:16:00,116.0,0.0,8.0,12.0,0.0,0.0,282.0,8.0,2.0,40.0,59.0,26.0,40.0,12.0,19.0,1.0,3.0,10.0,54.0,10.0,39.0,5.0,18.0,0.0,2.0,10.0,38.0,59.0,15.0,57.0,53.0,f,f,,f,Netherlands,2.0,12.0,8.0,0.0,316.0,6.0,4.0,39.0,57.0,29.0,39.0,13.0,18.0,2.0,2.0,10.0,159.0,14.0,40.0,7.0,19.0,2.0,3.0,10.0,42.0,57.0,21.0,59.0,63.0,t,f,t,Netherlands
21,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,grigor-dimitrov,G. Dimitrov,marcos-baghdatis,M. Baghdatis,rotterdam,Quarter-Finals,3.0,f,500,5,02:31:00,231.0,2.0,19.0,16.0,0.0,1.0,300.0,9.0,4.0,69.0,114.0,55.0,69.0,27.0,45.0,4.0,5.0,17.0,100.0,12.0,66.0,28.0,51.0,2.0,13.0,16.0,82.0,114.0,40.0,117.0,122.0,t,f,,f,Netherlands,1.0,16.0,19.0,1.0,273.0,7.0,4.0,66.0,117.0,54.0,66.0,23.0,51.0,11.0,13.0,16.0,85.0,14.0,69.0,18.0,45.0,1.0,5.0,17.0,77.0,117.0,32.0,114.0,109.0,f,f,t,Netherlands
22,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,grigor-dimitrov,G. Dimitrov,nikolay-davydenko,N. Davydenko,rotterdam,Round of 16,2.0,f,500,4,01:11:00,115.0,2.0,13.0,8.0,0.0,0.0,338.0,10.0,0.0,41.0,54.0,37.0,41.0,8.0,13.0,0.0,0.0,11.0,201.0,9.0,38.0,13.0,23.0,2.0,2.0,10.0,45.0,54.0,22.0,61.0,67.0,t,f,,t,Netherlands,0.0,8.0,13.0,0.0,260.0,2.0,3.0,38.0,61.0,29.0,38.0,10.0,23.0,0.0,2.0,10.0,48.0,4.0,41.0,5.0,13.0,0.0,0.0,11.0,39.0,61.0,9.0,54.0,48.0,f,f,f,Netherlands
23,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,igor-sijsling,I. Sijsling,jo-wilfried-tsonga,J. Tsonga,rotterdam,Round of 32,3.0,f,500,3,02:01:00,207.0,2.0,17.0,16.0,1.0,1.0,291.0,8.0,2.0,59.0,103.0,47.0,59.0,24.0,44.0,7.0,8.0,16.0,99.0,18.0,73.0,15.0,31.0,1.0,5.0,16.0,71.0,103.0,33.0,104.0,104.0,t,f,WC,t,Netherlands,1.0,16.0,17.0,0.0,304.0,14.0,0.0,73.0,104.0,55.0,73.0,16.0,31.0,4.0,5.0,16.0,84.0,12.0,59.0,20.0,44.0,1.0,8.0,16.0,71.0,104.0,32.0,103.0,103.0,f,f,f,Netherlands
24,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,igor-sijsling,I. Sijsling,martin-klizan,M. Klizan,rotterdam,Round of 16,2.0,f,500,4,01:09:00,112.0,0.0,6.0,12.0,0.0,0.0,247.0,6.0,0.0,24.0,48.0,19.0,24.0,11.0,24.0,3.0,6.0,9.0,67.0,10.0,36.0,11.0,28.0,0.0,7.0,9.0,30.0,48.0,21.0,64.0,51.0,f,f,WC,f,Netherlands,2.0,12.0,6.0,0.0,294.0,5.0,0.0,36.0,64.0,26.0,36.0,17.0,28.0,7.0,7.0,9.0,158.0,5.0,24.0,13.0,24.0,3.0,6.0,9.0,43.0,64.0,18.0,48.0,61.0,t,f,t,Netherlands
25,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,jarkko-nieminen,J. Nieminen,juan-martin-del-potro,J. del Potro,rotterdam,Quarter-Finals,2.0,f,500,5,01:28:00,133.0,0.0,7.0,12.0,0.0,0.0,251.0,1.0,0.0,51.0,71.0,32.0,51.0,9.0,20.0,4.0,7.0,10.0,74.0,10.0,42.0,10.0,20.0,0.0,3.0,9.0,41.0,71.0,20.0,62.0,61.0,f,f,,f,Netherlands,2.0,12.0,7.0,0.0,304.0,10.0,0.0,42.0,62.0,32.0,42.0,10.0,20.0,3.0,3.0,9.0,165.0,19.0,51.0,11.0,20.0,3.0,7.0,10.0,42.0,62.0,30.0,71.0,72.0,t,f,t,Netherlands
26,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,jarkko-nieminen,J. Nieminen,matthias-bachinger,M. Bachinger,rotterdam,Round of 16,3.0,f,500,4,01:57:00,185.0,2.0,17.0,13.0,0.0,0.0,283.0,2.0,1.0,58.0,84.0,40.0,58.0,15.0,26.0,1.0,3.0,15.0,153.0,13.0,53.0,28.0,48.0,4.0,9.0,15.0,55.0,84.0,41.0,101.0,96.0,t,f,,t,Netherlands,1.0,13.0,17.0,0.0,247.0,9.0,4.0,53.0,101.0,40.0,53.0,20.0,48.0,5.0,9.0,15.0,153.0,18.0,58.0,11.0,26.0,2.0,3.0,15.0,60.0,101.0,29.0,84.0,89.0,f,f,f,Netherlands
27,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,jerzy-janowicz,J. Janowicz,victor-hanescu,V. Hanescu,rotterdam,Round of 32,2.0,f,500,3,01:32:00,142.0,0.0,9.0,13.0,0.0,1.0,266.0,10.0,5.0,37.0,63.0,28.0,37.0,12.0,26.0,2.0,4.0,10.0,129.0,17.0,64.0,9.0,15.0,1.0,3.0,11.0,40.0,63.0,26.0,79.0,66.0,f,f,7,f,Netherlands,2.0,13.0,9.0,1.0,291.0,8.0,1.0,64.0,79.0,47.0,64.0,6.0,15.0,2.0,3.0,11.0,148.0,9.0,37.0,14.0,26.0,2.0,4.0,10.0,53.0,79.0,23.0,63.0,76.0,t,f,t,Netherlands
28,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,jesse-huta-galung,J. Huta Galung,matteo-viola,M. Viola,rotterdam,2nd Round Qualifying,2.0,f,500,2,01:26:00,131.0,0.0,8.0,13.0,0.0,1.0,231.0,3.0,6.0,38.0,71.0,26.0,38.0,14.0,33.0,5.0,8.0,10.0,99.0,10.0,41.0,6.0,19.0,1.0,3.0,10.0,40.0,71.0,16.0,60.0,56.0,f,f,WC,f,Netherlands,2.0,13.0,8.0,1.0,306.0,4.0,0.0,41.0,60.0,31.0,41.0,13.0,19.0,2.0,3.0,10.0,158.0,12.0,38.0,19.0,33.0,3.0,8.0,10.0,44.0,60.0,31.0,71.0,75.0,t,f,t,Netherlands
29,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,josselin-ouanna,J. Ouanna,matthias-bachinger,M. Bachinger,rotterdam,2nd Round Qualifying,3.0,f,500,2,02:15:00,216.0,1.0,16.0,17.0,0.0,1.0,285.0,9.0,3.0,58.0,100.0,43.0,58.0,25.0,42.0,3.0,5.0,16.0,113.0,13.0,67.0,24.0,49.0,2.0,6.0,16.0,68.0,100.0,37.0,116.0,105.0,f,f,7,t,Netherlands,2.0,17.0,16.0,1.0,295.0,21.0,3.0,67.0,116.0,54.0,67.0,25.0,49.0,4.0,6.0,16.0,118.0,15.0,58.0,17.0,42.0,2.0,5.0,16.0,79.0,116.0,32.0,100.0,111.0,t,f,f,Netherlands
30,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,josselin-ouanna,J. Ouanna,matwe-middelkoop,M. Middelkoop,rotterdam,1st Round Qualifying,2.0,f,500,1,01:00:00,103.0,2.0,12.0,4.0,0.0,0.0,319.0,10.0,2.0,21.0,40.0,20.0,21.0,12.0,19.0,0.0,0.0,8.0,202.0,14.0,36.0,17.0,27.0,4.0,8.0,8.0,32.0,40.0,31.0,63.0,63.0,t,f,7,t,Netherlands,0.0,4.0,12.0,0.0,203.0,1.0,3.0,36.0,63.0,22.0,36.0,10.0,27.0,4.0,8.0,8.0,42.0,1.0,21.0,7.0,19.0,0.0,0.0,8.0,32.0,63.0,8.0,40.0,40.0,f,f,f,Netherlands
31,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,juan-martin-del-potro,J. del Potro,julien-benneteau,J. Benneteau,rotterdam,Finals,2.0,f,500,7,01:38:00,139.0,2.0,13.0,9.0,1.0,1.0,279.0,13.0,1.0,42.0,67.0,35.0,42.0,10.0,25.0,1.0,3.0,11.0,158.0,12.0,46.0,20.0,26.0,3.0,12.0,10.0,45.0,67.0,32.0,72.0,77.0,t,f,2,t,Netherlands,0.0,9.0,13.0,0.0,241.0,14.0,4.0,46.0,72.0,34.0,46.0,6.0,26.0,9.0,12.0,10.0,162.0,7.0,42.0,15.0,25.0,2.0,3.0,11.0,40.0,72.0,22.0,67.0,62.0,f,f,f,Netherlands
32,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,julien-benneteau,J. Benneteau,roger-federer,R. Federer,rotterdam,Quarter-Finals,2.0,f,500,5,01:21:00,126.0,2.0,13.0,8.0,0.0,0.0,269.0,6.0,2.0,37.0,57.0,26.0,37.0,10.0,20.0,3.0,5.0,10.0,208.0,13.0,39.0,20.0,30.0,5.0,8.0,11.0,36.0,57.0,33.0,69.0,69.0,t,f,,t,Netherlands,0.0,8.0,13.0,0.0,214.0,7.0,4.0,39.0,69.0,26.0,39.0,10.0,30.0,3.0,8.0,11.0,140.0,11.0,37.0,10.0,20.0,2.0,5.0,10.0,36.0,69.0,21.0,57.0,57.0,f,f,f,Netherlands
33,2013-02-11,2013-02-17,Netherlands,Hard,1267875.0,€,2013,julien-benneteau,J. Benneteau,tobias-kamke,T. Kamke,rotterdam,Round of 32,2.0,f,500,3,01:15:00,121.0,2.0,12.0,5.0,0.0,0.0,315.0,11.0,2.0,41.0,58.0,31.0,41.0,10.0,17.0,0.0,0.0,9.0,159.0,15.0,35.0,15.0,28.0,3.0,12.0,8.0,41.0,58.0,30.0,63.0,71.0,t,f,,t,Netherlands,0.0,5.0,12.0,0.0,220.0,1.0,2.0,35.0,63.0,20.0,35.0,13.0,28.0,9.0,12.0,8.0,65.0,10.0,41.0,7.0,17.0,0.0,0.0,9.0,33.0,63.0,17.0,58.0,50.0,f,f,f,Netherlands
