,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,adrian-mannarino,A. Mannarino,jurgen-zopp,J. Zopp,s-hertogenbosch,3rd Round Qualifying,2.0,f,250,2,00:55:00,86.0,2.0,12.0,3.0,0.0,0.0,327.0,4.0,0.0,25.0,38.0,20.0,25.0,10.0,13.0,2.0,2.0,7.0,234.0,14.0,26.0,12.0,22.0,5.0,8.0,8.0,30.0,38.0,26.0,48.0,56.0,t,f,3,t,Netherlands,0.0,3.0,12.0,0.0,181.0,1.0,2.0,26.0,48.0,12.0,26.0,10.0,22.0,3.0,8.0,8.0,43.0,5.0,25.0,3.0,13.0,0.0,2.0,7.0,22.0,48.0,8.0,38.0,30.0,f,f,f,Netherlands
1,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,adrian-mannarino,A. Mannarino,matthew-ebden,M. Ebden,s-hertogenbosch,Round of 32,3.0,f,250,3,01:37:00,160.0,1.0,12.0,16.0,0.0,0.0,253.0,9.0,3.0,51.0,72.0,35.0,51.0,9.0,21.0,5.0,10.0,14.0,147.0,14.0,53.0,20.0,35.0,3.0,7.0,14.0,44.0,72.0,34.0,88.0,78.0,f,f,Q,f,Netherlands,2.0,16.0,12.0,0.0,253.0,4.0,6.0,53.0,88.0,39.0,53.0,15.0,35.0,4.0,7.0,14.0,173.0,16.0,51.0,12.0,21.0,5.0,10.0,14.0,54.0,88.0,28.0,72.0,82.0,t,f,t,Netherlands
2,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,adrian-mannarino,A. Mannarino,michael-grant,M. Grant,s-hertogenbosch,2nd Round Qualifying,2.0,f,250,1,00:46:00,85.0,2.0,12.0,3.0,0.0,0.0,310.0,4.0,2.0,28.0,45.0,21.0,28.0,12.0,17.0,1.0,1.0,8.0,240.0,14.0,29.0,6.0,11.0,4.0,5.0,7.0,33.0,45.0,20.0,40.0,53.0,t,f,3,t,Netherlands,0.0,3.0,12.0,0.0,208.0,0.0,4.0,29.0,40.0,15.0,29.0,5.0,11.0,1.0,5.0,7.0,54.0,7.0,28.0,5.0,17.0,0.0,1.0,8.0,20.0,40.0,12.0,45.0,32.0,f,f,f,Netherlands
3,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,adrien-bossel,A. Bossel,jurgen-zopp,J. Zopp,s-hertogenbosch,2nd Round Qualifying,2.0,f,250,1,00:56:00,96.0,0.0,6.0,12.0,0.0,0.0,218.0,4.0,2.0,34.0,49.0,20.0,34.0,5.0,15.0,2.0,6.0,9.0,169.0,8.0,32.0,5.0,15.0,1.0,1.0,9.0,25.0,49.0,13.0,47.0,38.0,f,f,,f,Netherlands,2.0,12.0,6.0,0.0,302.0,6.0,2.0,32.0,47.0,24.0,32.0,10.0,15.0,0.0,1.0,9.0,219.0,14.0,34.0,10.0,15.0,4.0,6.0,9.0,34.0,47.0,24.0,49.0,58.0,t,f,t,Netherlands
4,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,adrien-bossel,A. Bossel,sander-groen,S. Groen,s-hertogenbosch,1st Round Qualifying,2.0,f,250,0,01:07:00,138.0,2.0,13.0,10.0,1.0,1.0,327.0,9.0,1.0,40.0,62.0,36.0,40.0,14.0,22.0,0.0,0.0,11.0,92.0,14.0,52.0,10.0,24.0,1.0,7.0,11.0,50.0,62.0,24.0,76.0,74.0,t,f,,t,Netherlands,0.0,10.0,13.0,0.0,297.0,9.0,1.0,52.0,76.0,38.0,52.0,14.0,24.0,6.0,7.0,11.0,46.0,4.0,40.0,8.0,22.0,0.0,0.0,11.0,52.0,76.0,12.0,62.0,64.0,f,f,f,Netherlands
5,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,alejandro-falla,A. Falla,jurgen-melzer,J. Melzer,s-hertogenbosch,Round of 32,2.0,f,250,3,01:19:00,124.0,0.0,7.0,12.0,0.0,0.0,184.0,2.0,2.0,40.0,69.0,18.0,40.0,12.0,29.0,11.0,17.0,10.0,164.0,8.0,33.0,14.0,22.0,3.0,7.0,9.0,30.0,69.0,22.0,55.0,52.0,f,f,,f,Netherlands,2.0,12.0,7.0,0.0,239.0,3.0,2.0,33.0,55.0,25.0,33.0,8.0,22.0,4.0,7.0,9.0,209.0,22.0,40.0,17.0,29.0,6.0,17.0,10.0,33.0,55.0,39.0,69.0,72.0,t,f,t,Netherlands
6,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,alejandro-gonzalez,A. Gonzalez,mate-pavic,M. Pavic,s-hertogenbosch,Round of 32,2.0,f,250,3,01:21:00,135.0,0.0,9.0,13.0,0.0,1.0,263.0,1.0,1.0,42.0,57.0,29.0,42.0,6.0,15.0,1.0,3.0,10.0,131.0,13.0,55.0,15.0,23.0,1.0,3.0,11.0,35.0,57.0,28.0,78.0,63.0,f,f,,f,Netherlands,2.0,13.0,9.0,1.0,283.0,11.0,0.0,55.0,78.0,42.0,55.0,8.0,23.0,2.0,3.0,11.0,178.0,13.0,42.0,9.0,15.0,2.0,3.0,10.0,50.0,78.0,22.0,57.0,72.0,t,f,t,Netherlands
7,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,aleksandr-nedovyesov,A. Nedovyesov,jesse-huta-galung,J. Huta Galung,s-hertogenbosch,Round of 32,2.0,f,250,3,00:37:00,62.0,0.0,2.0,7.0,0.0,0.0,199.0,0.0,0.0,31.0,39.0,17.0,31.0,2.0,8.0,2.0,5.0,5.0,71.0,4.0,19.0,2.0,4.0,0.0,0.0,4.0,19.0,39.0,6.0,23.0,25.0,f,t,,f,Netherlands,2.0,7.0,2.0,0.0,313.0,1.0,0.0,19.0,23.0,15.0,19.0,2.0,4.0,0.0,0.0,4.0,240.0,14.0,31.0,6.0,8.0,3.0,5.0,5.0,17.0,23.0,20.0,39.0,37.0,t,t,t,Netherlands
8,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,benjamin-becker,B. Becker,dudi-sela,D. Sela,s-hertogenbosch,Round of 16,2.0,f,250,4,01:16:00,137.0,2.0,13.0,7.0,0.0,0.0,234.0,8.0,4.0,41.0,61.0,30.0,41.0,6.0,20.0,2.0,6.0,10.0,243.0,26.0,45.0,19.0,31.0,7.0,13.0,10.0,36.0,61.0,45.0,76.0,81.0,t,f,,t,Netherlands,0.0,7.0,13.0,0.0,169.0,1.0,2.0,45.0,76.0,19.0,45.0,12.0,31.0,6.0,13.0,10.0,204.0,11.0,41.0,14.0,20.0,4.0,6.0,10.0,31.0,76.0,25.0,61.0,56.0,f,f,f,Netherlands
9,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,benjamin-becker,B. Becker,joao-sousa,J. Sousa,s-hertogenbosch,Semi-Finals,2.0,f,250,6,01:28:00,135.0,2.0,13.0,9.0,1.0,1.0,298.0,13.0,2.0,45.0,75.0,36.0,45.0,17.0,30.0,4.0,5.0,11.0,151.0,13.0,42.0,9.0,18.0,2.0,4.0,10.0,53.0,75.0,22.0,60.0,75.0,t,f,,t,Netherlands,0.0,9.0,13.0,0.0,274.0,6.0,1.0,42.0,60.0,29.0,42.0,9.0,18.0,2.0,4.0,10.0,92.0,9.0,45.0,13.0,30.0,1.0,5.0,11.0,38.0,60.0,22.0,75.0,60.0,f,f,f,Netherlands
10,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,benjamin-becker,B. Becker,marcel-granollers,M. Granollers,s-hertogenbosch,Round of 32,3.0,f,250,3,01:45:00,191.0,2.0,16.0,13.0,0.0,0.0,275.0,7.0,2.0,53.0,97.0,41.0,53.0,23.0,44.0,8.0,10.0,15.0,145.0,22.0,66.0,17.0,28.0,3.0,10.0,14.0,64.0,97.0,39.0,94.0,103.0,t,f,,f,Netherlands,1.0,13.0,16.0,0.0,260.0,9.0,3.0,66.0,94.0,44.0,66.0,11.0,28.0,7.0,10.0,14.0,104.0,12.0,53.0,21.0,44.0,2.0,10.0,15.0,55.0,94.0,33.0,97.0,88.0,f,f,t,Netherlands
11,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,benjamin-becker,B. Becker,roberto-bautista-agut,R. Bautista Agut,s-hertogenbosch,Finals,3.0,f,250,7,02:00:00,178.0,1.0,16.0,15.0,0.0,1.0,305.0,13.0,1.0,62.0,92.0,47.0,62.0,17.0,30.0,3.0,4.0,15.0,180.0,14.0,61.0,11.0,25.0,2.0,2.0,15.0,64.0,92.0,25.0,86.0,89.0,f,f,,t,Netherlands,2.0,15.0,16.0,1.0,291.0,2.0,1.0,61.0,86.0,47.0,61.0,14.0,25.0,0.0,2.0,15.0,98.0,15.0,62.0,13.0,30.0,1.0,4.0,15.0,61.0,86.0,28.0,92.0,89.0,t,f,f,Netherlands
12,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,benjamin-becker,B. Becker,vasek-pospisil,V. Pospisil,s-hertogenbosch,Quarter-Finals,3.0,f,250,5,02:44:00,247.0,2.0,19.0,17.0,1.0,2.0,284.0,8.0,5.0,78.0,124.0,61.0,78.0,21.0,46.0,3.0,4.0,17.0,100.0,23.0,72.0,18.0,51.0,2.0,9.0,17.0,82.0,124.0,41.0,123.0,123.0,t,f,,f,Netherlands,1.0,17.0,19.0,1.0,287.0,13.0,6.0,72.0,123.0,49.0,72.0,33.0,51.0,7.0,9.0,17.0,106.0,17.0,78.0,25.0,46.0,1.0,4.0,17.0,82.0,123.0,42.0,124.0,124.0,f,f,t,Netherlands
13,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,benoit-paire,B. Paire,dudi-sela,D. Sela,s-hertogenbosch,Round of 32,2.0,f,250,3,01:17:00,140.0,0.0,10.0,13.0,0.0,1.0,276.0,7.0,0.0,42.0,67.0,29.0,42.0,14.0,25.0,2.0,4.0,11.0,97.0,14.0,54.0,7.0,19.0,1.0,4.0,11.0,43.0,67.0,21.0,73.0,64.0,f,f,,f,Netherlands,2.0,13.0,10.0,1.0,301.0,3.0,3.0,54.0,73.0,40.0,54.0,12.0,19.0,3.0,4.0,11.0,143.0,13.0,42.0,11.0,25.0,2.0,4.0,11.0,52.0,73.0,24.0,67.0,76.0,t,f,t,Netherlands
14,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,bradley-klahn,B. Klahn,dmitry-tursunov,D. Tursunov,s-hertogenbosch,Round of 32,2.0,f,250,3,01:17:00,137.0,0.0,9.0,13.0,0.0,1.0,261.0,6.0,5.0,44.0,69.0,30.0,44.0,12.0,25.0,5.0,7.0,10.0,99.0,14.0,46.0,6.0,22.0,1.0,3.0,11.0,42.0,69.0,20.0,68.0,62.0,f,f,,f,Netherlands,2.0,13.0,9.0,1.0,307.0,8.0,2.0,46.0,68.0,32.0,46.0,16.0,22.0,2.0,3.0,11.0,133.0,14.0,44.0,13.0,25.0,2.0,7.0,10.0,48.0,68.0,27.0,69.0,75.0,t,f,t,Netherlands
15,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,daniel-gimeno-traver,D. Gimeno-Traver,roberto-bautista-agut,R. Bautista Agut,s-hertogenbosch,Round of 32,2.0,f,250,3,01:00:00,96.0,0.0,4.0,12.0,0.0,0.0,168.0,1.0,4.0,24.0,46.0,11.0,24.0,8.0,22.0,4.0,9.0,8.0,114.0,6.0,29.0,10.0,21.0,1.0,3.0,8.0,19.0,46.0,16.0,50.0,35.0,f,f,,f,Netherlands,2.0,12.0,4.0,0.0,275.0,0.0,1.0,29.0,50.0,23.0,29.0,11.0,21.0,2.0,3.0,8.0,236.0,13.0,24.0,14.0,22.0,5.0,9.0,8.0,34.0,50.0,27.0,46.0,61.0,t,f,t,Netherlands
16,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,dmitry-tursunov,,thiemo-de-bakker,,s-hertogenbosch,Round of 16,1.0,f,250,4,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,5,,Netherlands,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,Netherlands
17,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,dusan-lajovic,D. Lajovic,vasek-pospisil,V. Pospisil,s-hertogenbosch,Round of 32,2.0,f,250,3,01:26:00,129.0,0.0,9.0,13.0,0.0,0.0,276.0,3.0,1.0,46.0,63.0,31.0,46.0,9.0,17.0,4.0,6.0,11.0,61.0,7.0,41.0,11.0,25.0,0.0,2.0,11.0,40.0,63.0,18.0,66.0,58.0,f,f,,f,Netherlands,2.0,13.0,9.0,0.0,306.0,7.0,2.0,41.0,66.0,34.0,41.0,14.0,25.0,2.0,2.0,11.0,131.0,15.0,46.0,8.0,17.0,2.0,6.0,11.0,48.0,66.0,23.0,63.0,71.0,t,f,t,Netherlands
18,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,enrico-becuzzi,E. Becuzzi,michael-grant,M. Grant,s-hertogenbosch,1st Round Qualifying,2.0,f,250,0,00:44:00,74.0,0.0,1.0,12.0,0.0,0.0,137.0,0.0,4.0,24.0,47.0,13.0,24.0,5.0,23.0,3.0,9.0,7.0,22.0,2.0,18.0,1.0,9.0,0.0,0.0,6.0,18.0,47.0,3.0,27.0,21.0,f,f,,f,Netherlands,2.0,12.0,1.0,0.0,345.0,1.0,1.0,18.0,27.0,16.0,18.0,8.0,9.0,0.0,0.0,6.0,276.0,11.0,24.0,18.0,23.0,6.0,9.0,7.0,24.0,27.0,29.0,47.0,53.0,t,f,t,Netherlands
19,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,evgeny-donskoy,E. Donskoy,hiroyasu-ehara,H. Ehara,s-hertogenbosch,1st Round Qualifying,2.0,f,250,0,01:22:00,139.0,0.0,8.0,12.0,0.0,0.0,267.0,2.0,2.0,50.0,69.0,31.0,50.0,10.0,19.0,7.0,9.0,10.0,56.0,19.0,57.0,3.0,13.0,0.0,7.0,10.0,41.0,69.0,22.0,70.0,63.0,f,f,7,f,Netherlands,2.0,12.0,8.0,0.0,324.0,0.0,1.0,57.0,70.0,38.0,57.0,10.0,13.0,7.0,7.0,10.0,127.0,19.0,50.0,9.0,19.0,2.0,9.0,10.0,48.0,70.0,28.0,69.0,76.0,t,f,t,Netherlands
20,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,fernando-verdasco,F. Verdasco,jesse-huta-galung,J. Huta Galung,s-hertogenbosch,Round of 16,2.0,f,250,4,01:12:00,117.0,2.0,13.0,8.0,0.0,0.0,309.0,7.0,3.0,40.0,62.0,34.0,40.0,12.0,22.0,1.0,1.0,11.0,124.0,12.0,37.0,7.0,18.0,2.0,6.0,10.0,46.0,62.0,19.0,55.0,65.0,t,f,2,t,Netherlands,0.0,8.0,13.0,0.0,278.0,3.0,1.0,37.0,55.0,25.0,37.0,11.0,18.0,4.0,6.0,10.0,60.0,6.0,40.0,10.0,22.0,0.0,1.0,11.0,36.0,55.0,16.0,62.0,52.0,f,f,f,Netherlands
21,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,fernando-verdasco,F. Verdasco,jurgen-melzer,J. Melzer,s-hertogenbosch,Quarter-Finals,3.0,f,250,5,03:05:00,287.0,1.0,19.0,20.0,1.0,3.0,272.0,11.0,9.0,89.0,144.0,68.0,89.0,24.0,55.0,7.0,9.0,18.0,102.0,33.0,101.0,14.0,42.0,2.0,8.0,18.0,92.0,144.0,47.0,143.0,139.0,f,f,2,f,Netherlands,2.0,20.0,19.0,2.0,295.0,5.0,3.0,101.0,143.0,68.0,101.0,28.0,42.0,6.0,8.0,18.0,113.0,21.0,89.0,31.0,55.0,2.0,9.0,18.0,96.0,143.0,52.0,144.0,148.0,t,f,t,Netherlands
22,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,fernando-verdasco,F. Verdasco,paul-henri-mathieu,P. Mathieu,s-hertogenbosch,Round of 32,3.0,f,250,3,01:53:00,178.0,2.0,14.0,14.0,0.0,0.0,256.0,13.0,15.0,47.0,100.0,38.0,47.0,24.0,53.0,11.0,13.0,14.0,115.0,12.0,51.0,12.0,27.0,2.0,6.0,14.0,62.0,100.0,24.0,78.0,86.0,t,f,2,f,Netherlands,1.0,14.0,14.0,0.0,284.0,5.0,3.0,51.0,78.0,39.0,51.0,15.0,27.0,4.0,6.0,14.0,103.0,9.0,47.0,29.0,53.0,2.0,13.0,14.0,54.0,78.0,38.0,100.0,92.0,f,f,t,Netherlands
23,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,gibril-diarra,G. Diarra,oliver-marach,O. Marach,s-hertogenbosch,1st Round Qualifying,2.0,f,250,0,01:37:00,155.0,0.0,9.0,13.0,0.0,1.0,277.0,8.0,1.0,52.0,80.0,33.0,52.0,17.0,28.0,9.0,11.0,11.0,64.0,12.0,50.0,10.0,25.0,0.0,7.0,10.0,50.0,80.0,22.0,75.0,72.0,f,f,,f,Netherlands,2.0,13.0,9.0,1.0,312.0,10.0,1.0,50.0,75.0,38.0,50.0,15.0,25.0,7.0,7.0,10.0,112.0,19.0,52.0,11.0,28.0,2.0,11.0,11.0,53.0,75.0,30.0,80.0,83.0,t,f,t,Netherlands
24,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,hiroyasu-ehara,H. Ehara,oliver-marach,O. Marach,s-hertogenbosch,2nd Round Qualifying,3.0,f,250,1,01:37:00,143.0,1.0,9.0,16.0,0.0,0.0,234.0,1.0,3.0,49.0,68.0,29.0,49.0,9.0,19.0,1.0,6.0,12.0,142.0,13.0,49.0,13.0,26.0,2.0,4.0,13.0,38.0,68.0,26.0,75.0,64.0,f,f,,t,Netherlands,2.0,16.0,9.0,0.0,276.0,7.0,3.0,49.0,75.0,36.0,49.0,13.0,26.0,2.0,4.0,13.0,218.0,20.0,49.0,10.0,19.0,5.0,6.0,12.0,49.0,75.0,30.0,68.0,79.0,t,f,f,Netherlands
25,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,igor-sijsling,I. Sijsling,thiemo-de-bakker,T. de Bakker,s-hertogenbosch,Round of 32,2.0,f,250,3,01:17:00,150.0,0.0,10.0,13.0,0.0,1.0,248.0,4.0,5.0,49.0,74.0,35.0,49.0,10.0,25.0,1.0,4.0,11.0,139.0,13.0,49.0,12.0,27.0,2.0,4.0,11.0,45.0,74.0,25.0,76.0,70.0,f,f,,f,Netherlands,2.0,13.0,10.0,1.0,281.0,8.0,1.0,49.0,76.0,36.0,49.0,15.0,27.0,2.0,4.0,11.0,191.0,14.0,49.0,15.0,25.0,3.0,4.0,11.0,51.0,76.0,29.0,74.0,80.0,t,f,t,Netherlands
26,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,jan-lennard-struff,J. Struff,lukas-rosol,L. Rosol,s-hertogenbosch,Round of 32,2.0,f,250,3,00:59:00,103.0,2.0,12.0,6.0,0.0,0.0,279.0,5.0,2.0,33.0,54.0,26.0,33.0,10.0,21.0,2.0,3.0,9.0,245.0,14.0,31.0,10.0,18.0,4.0,4.0,9.0,36.0,54.0,24.0,49.0,60.0,t,f,,t,Netherlands,0.0,6.0,12.0,0.0,218.0,4.0,3.0,31.0,49.0,17.0,31.0,8.0,18.0,0.0,4.0,9.0,117.0,7.0,33.0,11.0,21.0,1.0,3.0,9.0,25.0,49.0,18.0,54.0,43.0,f,f,f,Netherlands
27,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,jan-lennard-struff,J. Struff,vasek-pospisil,V. Pospisil,s-hertogenbosch,Round of 16,2.0,f,250,4,01:05:00,107.0,0.0,6.0,12.0,0.0,0.0,232.0,2.0,1.0,35.0,53.0,21.0,35.0,9.0,18.0,2.0,6.0,9.0,114.0,6.0,35.0,10.0,19.0,1.0,3.0,9.0,30.0,53.0,16.0,54.0,46.0,f,f,,f,Netherlands,2.0,12.0,6.0,0.0,292.0,11.0,2.0,35.0,54.0,29.0,35.0,9.0,19.0,2.0,3.0,9.0,201.0,14.0,35.0,9.0,18.0,4.0,6.0,9.0,38.0,54.0,23.0,53.0,61.0,t,f,t,Netherlands
28,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,joao-sousa,J. Sousa,julian-reister,J. Reister,s-hertogenbosch,3rd Round Qualifying,2.0,f,250,2,00:43:00,76.0,2.0,12.0,2.0,0.0,0.0,341.0,0.0,0.0,25.0,32.0,23.0,25.0,5.0,7.0,0.0,0.0,7.0,248.0,16.0,33.0,8.0,11.0,5.0,9.0,7.0,28.0,32.0,24.0,44.0,52.0,t,f,1,t,Netherlands,0.0,2.0,12.0,0.0,182.0,1.0,1.0,33.0,44.0,17.0,33.0,3.0,11.0,4.0,9.0,7.0,37.0,2.0,25.0,2.0,7.0,0.0,0.0,7.0,20.0,44.0,4.0,32.0,24.0,f,f,f,Netherlands
29,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,joao-sousa,J. Sousa,kevin-krawietz,K. Krawietz,s-hertogenbosch,2nd Round Qualifying,2.0,f,250,1,01:12:00,133.0,2.0,13.0,9.0,1.0,1.0,322.0,3.0,0.0,48.0,64.0,36.0,48.0,11.0,16.0,0.0,0.0,10.0,162.0,17.0,47.0,9.0,22.0,2.0,3.0,11.0,47.0,64.0,26.0,69.0,73.0,t,f,1,t,Netherlands,0.0,9.0,13.0,0.0,272.0,3.0,3.0,47.0,69.0,30.0,47.0,13.0,22.0,1.0,3.0,11.0,56.0,12.0,48.0,5.0,16.0,0.0,0.0,10.0,43.0,69.0,17.0,64.0,60.0,f,f,f,Netherlands
30,2014-06-15,2014-06-21,Netherlands,Grass,426605.0,€,2014,joao-sousa,J. Sousa,mate-pavic,M. Pavic,s-hertogenbosch,Round of 16,2.0,f,250,4,01:00:00,107.0,2.0,12.0,6.0,0.0,0.0,342.0,5.0,0.0,25.0,41.0,22.0,25.0,14.0,16.0,0.0,0.0,9.0,191.0,16.0,43.0,14.0,23.0,3.0,5.0,9.0,36.0,41.0,30.0,66.0,66.0,t,f,Q,t,Netherlands,0.0,6.0,12.0,0.0,235.0,5.0,3.0,43.0,66.0,27.0,43.0,9.0,23.0,2.0,5.0,9.0,25.0,3.0,25.0,2.0,16.0,0.0,0.0,9.0,36.0,66.0,5.0,41.0,41.0,f,f,f,Netherlands
