start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2018-06-11,2018-06-17,Netherlands,Grass,612755.0,€,2018,adrian-mannarino,A. Mannarino,jeremy-chardy,J. Chardy,s-hertogenbosch,Round of 16,2.0,f,250,4,01:14:00,114.0,0.0,8.0,12.0,0.0,0.0,254.0,3.0,4.0,43.0,65.0,33.0,43.0,7.0,22.0,4.0,6.0,10.0,47.0,3.0,33.0,6.0,16.0,0.0,0.0,10.0,40.0,65.0,9.0,49.0,49.0,f,f,1,f,Netherlands,2.0,12.0,8.0,0.0,330.0,10.0,1.0,33.0,49.0,30.0,33.0,10.0,16.0,0.0,0.0,10.0,144.0,10.0,43.0,15.0,22.0,2.0,6.0,10.0,40.0,49.0,25.0,65.0,65.0,t,f,t,Netherlands
2018-06-11,2018-06-17,Netherlands,Grass,612755.0,€,2018,alex-bolt,A. Bolt,botic-van-de-zandschulp,B. Van de Zandschulp,s-hertogenbosch,1st Round Qualifying,3.0,f,250,1,01:56:00,214.0,2.0,18.0,16.0,1.0,1.0,266.0,13.0,6.0,64.0,106.0,48.0,64.0,20.0,42.0,5.0,9.0,17.0,136.0,28.0,73.0,14.0,35.0,4.0,12.0,16.0,68.0,106.0,42.0,108.0,110.0,t,f,8,t,Netherlands,1.0,16.0,18.0,0.0,264.0,7.0,8.0,73.0,108.0,45.0,73.0,21.0,35.0,8.0,12.0,16.0,144.0,16.0,64.0,22.0,42.0,4.0,9.0,17.0,66.0,108.0,38.0,106.0,104.0,f,f,f,Netherlands
2018-06-11,2018-06-17,Netherlands,Grass,612755.0,€,2018,alex-bolt,A. Bolt,mackenzie-mcdonald,M. McDonald,s-hertogenbosch,Round of 16,2.0,f,250,4,01:21:00,132.0,0.0,9.0,13.0,0.0,0.0,276.0,7.0,2.0,43.0,68.0,27.0,43.0,16.0,25.0,4.0,6.0,11.0,56.0,7.0,31.0,11.0,33.0,0.0,1.0,11.0,43.0,68.0,18.0,64.0,61.0,f,f,Q,f,Netherlands,2.0,13.0,9.0,0.0,292.0,2.0,2.0,31.0,64.0,24.0,31.0,22.0,33.0,1.0,1.0,11.0,124.0,16.0,43.0,9.0,25.0,2.0,6.0,11.0,46.0,64.0,25.0,68.0,71.0,t,f,t,Netherlands
2018-06-11,2018-06-17,Netherlands,Grass,612755.0,€,2018,alex-bolt,A. Bolt,miliaan-niesten,M. Niesten,s-hertogenbosch,2nd Round Qualifying,2.0,f,250,2,01:04:00,121.0,2.0,12.0,6.0,0.0,0.0,291.0,9.0,4.0,38.0,70.0,30.0,38.0,17.0,32.0,9.0,9.0,9.0,195.0,13.0,35.0,8.0,16.0,3.0,4.0,9.0,47.0,70.0,21.0,51.0,68.0,t,f,8,t,Netherlands,0.0,6.0,12.0,0.0,246.0,0.0,2.0,35.0,51.0,22.0,35.0,8.0,16.0,1.0,4.0,9.0,68.0,8.0,38.0,15.0,32.0,0.0,9.0,9.0,30.0,51.0,23.0,70.0,53.0,f,f,f,Netherlands
2018-06-11,2018-06-17,Netherlands,Grass,612755.0,€,2018,alex-bolt,A. Bolt,vasek-pospisil,V. Pospisil,s-hertogenbosch,Round of 32,3.0,f,250,3,02:04:00,210.0,2.0,17.0,14.0,1.0,1.0,286.0,11.0,3.0,66.0,100.0,52.0,66.0,16.0,34.0,4.0,6.0,15.0,143.0,22.0,68.0,20.0,42.0,3.0,7.0,15.0,68.0,100.0,42.0,110.0,110.0,t,f,Q,f,Netherlands,1.0,14.0,17.0,0.0,263.0,8.0,7.0,68.0,110.0,46.0,68.0,22.0,42.0,4.0,7.0,15.0,120.0,14.0,66.0,18.0,34.0,2.0,6.0,15.0,68.0,110.0,32.0,100.0,100.0,f,f,t,Netherlands
2018-06-11,2018-06-17,Netherlands,Grass,612755.0,€,2018,aljaz-bedene,A. Bedene,marius-copil,M. Copil,s-hertogenbosch,Round of 32,3.0,f,250,3,02:24:00,225.0,1.0,16.0,19.0,1.0,2.0,305.0,13.0,2.0,65.0,103.0,49.0,65.0,24.0,38.0,5.0,6.0,16.0,57.0,12.0,65.0,22.0,57.0,0.0,5.0,17.0,73.0,103.0,34.0,122.0,107.0,f,f,,t,Netherlands,2.0,19.0,16.0,1.0,305.0,15.0,6.0,65.0,122.0,53.0,65.0,35.0,57.0,5.0,5.0,17.0,85.0,16.0,65.0,14.0,38.0,1.0,6.0,16.0,88.0,122.0,30.0,103.0,118.0,t,f,f,Netherlands
2018-06-11,2018-06-17,Netherlands,Grass,612755.0,€,2018,andreas-seppi,A. Seppi,mackenzie-mcdonald,M. McDonald,s-hertogenbosch,Round of 32,2.0,f,250,3,01:07:00,113.0,0.0,6.0,12.0,0.0,0.0,231.0,2.0,2.0,33.0,59.0,22.0,33.0,11.0,26.0,3.0,6.0,9.0,59.0,9.0,37.0,6.0,17.0,0.0,0.0,9.0,33.0,59.0,15.0,54.0,48.0,f,f,8,f,Netherlands,2.0,12.0,6.0,0.0,311.0,3.0,2.0,37.0,54.0,28.0,37.0,11.0,17.0,0.0,0.0,9.0,174.0,11.0,33.0,15.0,26.0,3.0,6.0,9.0,39.0,54.0,26.0,59.0,65.0,t,f,t,Netherlands
2018-06-11,2018-06-17,Netherlands,Grass,612755.0,€,2018,bernabe-zapata-miralles,B. Zapata Miralles,tim-smyczek,T. Smyczek,s-hertogenbosch,1st Round Qualifying,2.0,f,250,1,01:17:00,142.0,0.0,9.0,13.0,0.0,1.0,275.0,4.0,0.0,57.0,77.0,38.0,57.0,10.0,20.0,6.0,8.0,10.0,88.0,9.0,46.0,5.0,19.0,1.0,3.0,11.0,48.0,77.0,14.0,65.0,62.0,f,f,,f,Netherlands,2.0,13.0,9.0,1.0,328.0,15.0,2.0,46.0,65.0,37.0,46.0,14.0,19.0,2.0,3.0,11.0,128.0,19.0,57.0,10.0,20.0,2.0,8.0,10.0,51.0,65.0,29.0,77.0,80.0,t,f,t,Netherlands
2018-06-11,2018-06-17,Netherlands,Grass,612755.0,€,2018,bernard-tomic,B. Tomic,dustin-brown,D. Brown,s-hertogenbosch,1st Round Qualifying,2.0,f,250,1,01:02:00,140.0,2.0,13.0,10.0,1.0,1.0,306.0,8.0,1.0,48.0,79.0,37.0,48.0,19.0,31.0,5.0,5.0,11.0,176.0,4.0,40.0,12.0,21.0,1.0,1.0,11.0,56.0,79.0,16.0,61.0,72.0,t,f,,t,Netherlands,0.0,10.0,13.0,0.0,295.0,14.0,8.0,40.0,61.0,36.0,40.0,9.0,21.0,0.0,1.0,11.0,62.0,11.0,48.0,12.0,31.0,0.0,5.0,11.0,45.0,61.0,23.0,79.0,68.0,f,f,f,Netherlands
2018-06-11,2018-06-17,Netherlands,Grass,612755.0,€,2018,bernard-tomic,B. Tomic,fernando-verdasco,F. Verdasco,s-hertogenbosch,Quarter-Finals,2.0,f,250,5,01:14:00,137.0,2.0,13.0,10.0,1.0,1.0,315.0,4.0,0.0,58.0,68.0,44.0,58.0,6.0,10.0,0.0,1.0,11.0,113.0,10.0,35.0,14.0,34.0,2.0,8.0,11.0,50.0,68.0,24.0,69.0,74.0,t,f,Q,t,Netherlands,0.0,10.0,13.0,0.0,274.0,17.0,5.0,35.0,69.0,25.0,35.0,20.0,34.0,6.0,8.0,11.0,173.0,14.0,58.0,4.0,10.0,1.0,1.0,11.0,45.0,69.0,18.0,68.0,63.0,f,f,f,Netherlands
