start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,alejandro-gonzalez,A. Gonzalez,guillermo-alcaide,G. Alcaide,salinas_challenger,Round of 32,3.0,f,100,3,02:12:00,170.0,2.0,16.0,13.0,1.0,1.0,286.0,3.0,0.0,53.0,80.0,35.0,53.0,18.0,27.0,0.0,2.0,13.0,150.0,27.0,62.0,10.0,28.0,4.0,9.0,15.0,53.0,80.0,37.0,90.0,90.0,t,f,,f,Ecuador,1.0,13.0,16.0,0.0,262.0,2.0,2.0,62.0,90.0,35.0,62.0,18.0,28.0,5.0,9.0,15.0,182.0,18.0,53.0,9.0,27.0,2.0,2.0,13.0,53.0,90.0,27.0,80.0,80.0,f,f,t,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,alejandro-gonzalez,A. Gonzalez,joao-souza,J. Souza,salinas_challenger,Round of 16,2.0,f,100,4,01:15:00,118.0,0.0,5.0,12.0,0.0,0.0,221.0,1.0,3.0,37.0,62.0,24.0,37.0,9.0,25.0,5.0,8.0,8.0,59.0,10.0,38.0,6.0,18.0,0.0,3.0,9.0,33.0,62.0,16.0,56.0,49.0,f,f,,f,Ecuador,2.0,12.0,5.0,0.0,308.0,2.0,3.0,38.0,56.0,28.0,38.0,12.0,18.0,3.0,3.0,9.0,174.0,13.0,37.0,16.0,25.0,3.0,8.0,8.0,40.0,56.0,29.0,62.0,69.0,t,f,t,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,andreas-siljestrom,A. Siljestrom,weerapat-doakmaiklee,W. Doakmaiklee,salinas_challenger,1st Round Qualifying,3.0,f,100,0,01:44:00,171.0,1.0,13.0,16.0,0.0,0.0,265.0,11.0,9.0,54.0,90.0,41.0,54.0,17.0,36.0,10.0,13.0,15.0,84.0,7.0,40.0,16.0,41.0,1.0,5.0,14.0,58.0,90.0,23.0,81.0,81.0,f,f,,f,Ecuador,2.0,16.0,13.0,0.0,283.0,2.0,4.0,40.0,81.0,33.0,40.0,25.0,41.0,4.0,5.0,14.0,120.0,13.0,54.0,19.0,36.0,3.0,13.0,15.0,58.0,81.0,32.0,90.0,90.0,t,f,t,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,boris-pashanski,B. Pashanski,carlos-salamanca,C. Salamanca,salinas_challenger,Round of 32,3.0,f,100,3,02:02:00,172.0,1.0,15.0,15.0,0.0,0.0,238.0,2.0,3.0,45.0,82.0,30.0,45.0,19.0,37.0,2.0,7.0,15.0,162.0,20.0,58.0,16.0,32.0,5.0,11.0,15.0,49.0,82.0,36.0,90.0,85.0,f,f,,f,Ecuador,2.0,15.0,15.0,0.0,251.0,6.0,1.0,58.0,90.0,38.0,58.0,16.0,32.0,6.0,11.0,15.0,186.0,15.0,45.0,18.0,37.0,5.0,7.0,15.0,54.0,90.0,33.0,82.0,87.0,t,f,t,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,brian-dabul,B. Dabul,ivan-endara,I. Endara,salinas_challenger,Round of 16,2.0,f,100,4,01:04:00,95.0,2.0,12.0,3.0,0.0,0.0,281.0,2.0,0.0,22.0,37.0,18.0,22.0,8.0,15.0,2.0,3.0,7.0,247.0,17.0,34.0,16.0,24.0,6.0,11.0,8.0,26.0,37.0,33.0,58.0,59.0,t,f,5,t,Ecuador,0.0,3.0,12.0,0.0,166.0,1.0,2.0,34.0,58.0,17.0,34.0,8.0,24.0,5.0,11.0,8.0,112.0,4.0,22.0,7.0,15.0,1.0,3.0,7.0,25.0,58.0,11.0,37.0,36.0,f,f,f,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,brian-dabul,B. Dabul,nicolas-massu,N. Massu,salinas_challenger,Finals,2.0,f,100,7,01:34:00,103.0,2.0,12.0,5.0,0.0,0.0,303.0,5.0,1.0,36.0,58.0,28.0,36.0,13.0,22.0,4.0,4.0,9.0,197.0,7.0,23.0,12.0,22.0,3.0,4.0,8.0,41.0,58.0,19.0,45.0,60.0,t,f,5,t,Ecuador,0.0,5.0,12.0,0.0,224.0,1.0,5.0,23.0,45.0,16.0,23.0,10.0,22.0,1.0,4.0,8.0,63.0,8.0,36.0,9.0,22.0,0.0,4.0,9.0,26.0,45.0,17.0,58.0,43.0,f,f,f,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,brian-dabul,,ricardas-berankis,,salinas_challenger,Semi-Finals,2.0,f,100,6,,,2.0,12.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,5,t,Ecuador,0.0,4.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,brian-dabul,B. Dabul,rogerio-dutra-silva,R. Dutra Silva,salinas_challenger,Quarter-Finals,3.0,f,100,5,02:39:00,213.0,2.0,19.0,13.0,0.0,1.0,252.0,7.0,5.0,68.0,121.0,45.0,68.0,28.0,53.0,6.0,10.0,16.0,203.0,19.0,51.0,23.0,41.0,7.0,11.0,15.0,73.0,121.0,42.0,92.0,115.0,t,f,5,t,Ecuador,1.0,13.0,19.0,1.0,214.0,4.0,5.0,51.0,92.0,32.0,51.0,18.0,41.0,4.0,11.0,15.0,146.0,23.0,68.0,25.0,53.0,4.0,10.0,16.0,50.0,92.0,48.0,121.0,98.0,f,f,f,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,brian-dabul,B. Dabul,victor-estrella-burgos,V. Estrella Burgos,salinas_challenger,Round of 32,2.0,f,100,3,01:37:00,139.0,2.0,13.0,7.0,1.0,1.0,293.0,8.0,3.0,51.0,72.0,38.0,51.0,11.0,21.0,6.0,7.0,10.0,150.0,16.0,42.0,13.0,25.0,3.0,11.0,9.0,49.0,72.0,29.0,67.0,78.0,t,f,5,t,Ecuador,0.0,7.0,13.0,0.0,237.0,2.0,4.0,42.0,67.0,26.0,42.0,12.0,25.0,8.0,11.0,9.0,97.0,13.0,51.0,10.0,21.0,1.0,7.0,10.0,38.0,67.0,23.0,72.0,61.0,f,f,f,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,caio-zampieri,C. Zampieri,carlos-salamanca,C. Salamanca,salinas_challenger,Round of 16,2.0,f,100,4,01:34:00,146.0,2.0,13.0,9.0,1.0,1.0,276.0,3.0,2.0,39.0,69.0,29.0,39.0,19.0,30.0,0.0,2.0,11.0,151.0,19.0,47.0,13.0,30.0,3.0,8.0,10.0,48.0,69.0,32.0,77.0,80.0,t,f,,t,Ecuador,0.0,9.0,13.0,0.0,249.0,4.0,3.0,47.0,77.0,28.0,47.0,17.0,30.0,5.0,8.0,10.0,181.0,10.0,39.0,11.0,30.0,2.0,2.0,11.0,45.0,77.0,21.0,69.0,66.0,f,f,f,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,caio-zampieri,C. Zampieri,julio-cesar-campozano,J. Campozano,salinas_challenger,Round of 32,2.0,f,100,3,01:30:00,132.0,2.0,13.0,10.0,1.0,1.0,294.0,4.0,1.0,38.0,66.0,30.0,38.0,18.0,28.0,2.0,3.0,11.0,156.0,11.0,41.0,11.0,25.0,2.0,3.0,11.0,48.0,66.0,22.0,66.0,70.0,t,f,,t,Ecuador,0.0,10.0,13.0,0.0,272.0,1.0,1.0,41.0,66.0,30.0,41.0,14.0,25.0,1.0,3.0,11.0,99.0,8.0,38.0,10.0,28.0,1.0,3.0,11.0,44.0,66.0,18.0,66.0,62.0,f,f,f,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,caio-zampieri,C. Zampieri,luka-gregorc,L. Gregorc,salinas_challenger,Quarter-Finals,2.0,f,100,5,01:22:00,127.0,2.0,13.0,6.0,0.0,0.0,288.0,3.0,3.0,39.0,62.0,32.0,39.0,10.0,23.0,6.0,6.0,9.0,170.0,10.0,33.0,18.0,32.0,4.0,9.0,10.0,42.0,62.0,28.0,65.0,70.0,t,f,,t,Ecuador,0.0,6.0,13.0,0.0,228.0,6.0,3.0,33.0,65.0,23.0,33.0,14.0,32.0,5.0,9.0,10.0,75.0,7.0,39.0,13.0,23.0,0.0,6.0,9.0,37.0,65.0,20.0,62.0,57.0,f,f,f,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,caio-zampieri,,nicolas-massu,,salinas_challenger,Semi-Finals,2.0,f,100,6,,,0.0,9.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Ecuador,2.0,13.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,carlton-fiorentino,C. Fiorentino,luka-gregorc,L. Gregorc,salinas_challenger,Round of 32,2.0,f,100,3,00:59:00,94.0,0.0,3.0,12.0,0.0,0.0,178.0,3.0,3.0,28.0,58.0,12.0,28.0,15.0,30.0,4.0,9.0,8.0,39.0,4.0,22.0,3.0,14.0,0.0,2.0,7.0,27.0,58.0,7.0,36.0,34.0,f,f,WC,f,Ecuador,2.0,12.0,3.0,0.0,332.0,11.0,1.0,22.0,36.0,18.0,22.0,11.0,14.0,2.0,2.0,7.0,225.0,16.0,28.0,15.0,30.0,5.0,9.0,8.0,29.0,36.0,31.0,58.0,60.0,t,f,t,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,cristobal-saavedra-corvalan,C. Saavedra-Corvalan,eduardo-struvay,E. Struvay,salinas_challenger,2nd Round Qualifying,2.0,f,100,1,01:05:00,95.0,2.0,12.0,5.0,0.0,0.0,296.0,1.0,2.0,31.0,49.0,26.0,31.0,9.0,18.0,2.0,2.0,8.0,225.0,13.0,35.0,7.0,11.0,4.0,5.0,9.0,35.0,49.0,20.0,46.0,55.0,t,f,6,t,Ecuador,0.0,5.0,12.0,0.0,230.0,0.0,0.0,35.0,46.0,22.0,35.0,4.0,11.0,1.0,5.0,9.0,66.0,5.0,31.0,9.0,18.0,0.0,2.0,8.0,26.0,46.0,14.0,49.0,40.0,f,f,f,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,cristobal-saavedra-corvalan,C. Saavedra-Corvalan,ivan-endara,I. Endara,salinas_challenger,3rd Round Qualifying,3.0,f,100,2,02:11:00,182.0,1.0,12.0,15.0,1.0,1.0,258.0,1.0,2.0,68.0,100.0,40.0,68.0,18.0,32.0,8.0,11.0,13.0,95.0,11.0,52.0,15.0,30.0,1.0,6.0,13.0,58.0,100.0,26.0,82.0,84.0,f,f,6,t,Ecuador,2.0,15.0,12.0,0.0,287.0,4.0,1.0,52.0,82.0,41.0,52.0,15.0,30.0,5.0,6.0,13.0,135.0,28.0,68.0,14.0,32.0,3.0,11.0,13.0,56.0,82.0,42.0,100.0,98.0,t,f,f,Ecuador
2010-01-11,2010-01-17,Ecuador,Clay,35000.0,$,2010,cristobal-saavedra-corvalan,C. Saavedra-Corvalan,ricardas-berankis,R. Berankis,salinas_challenger,Round of 32,3.0,f,100,3,02:02:00,174.0,1.0,9.0,16.0,0.0,0.0,214.0,1.0,2.0,62.0,98.0,32.0,62.0,17.0,36.0,9.0,15.0,13.0,105.0,4.0,31.0,23.0,45.0,2.0,8.0,12.0,49.0,98.0,27.0,76.0,76.0,f,f,LL,f,Ecuador,2.0,16.0,9.0,0.0,258.0,2.0,4.0,31.0,76.0,27.0,31.0,22.0,45.0,6.0,8.0,12.0,187.0,30.0,62.0,19.0,36.0,6.0,15.0,13.0,49.0,76.0,49.0,98.0,98.0,t,f,t,Ecuador
