,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2010-07-05,2010-07-11,Italy,Clay,30000.0,€,2010,adrian-ungur,A. Ungur,daniel-gimeno-traver,D. Gimeno-Traver,san-benedetto_challenger,Semi-Finals,2.0,f,100,6,01:03:00,92.0,0.0,4.0,12.0,0.0,0.0,201.0,1.0,3.0,29.0,46.0,19.0,29.0,4.0,17.0,1.0,5.0,8.0,52.0,5.0,22.0,7.0,24.0,0.0,1.0,8.0,23.0,46.0,12.0,46.0,35.0,f,f,5,f,Italy,2.0,12.0,4.0,0.0,299.0,3.0,0.0,22.0,46.0,17.0,22.0,17.0,24.0,1.0,1.0,8.0,240.0,10.0,29.0,13.0,17.0,4.0,5.0,8.0,34.0,46.0,23.0,46.0,57.0,t,f,t,Italy
1,2010-07-05,2010-07-11,Italy,Clay,30000.0,€,2010,adrian-ungur,A. Ungur,flavio-cipolla,F. Cipolla,san-benedetto_challenger,Round of 16,2.0,f,100,4,01:11:00,100.0,2.0,12.0,2.0,0.0,0.0,284.0,2.0,2.0,29.0,57.0,20.0,29.0,18.0,28.0,8.0,8.0,7.0,251.0,16.0,28.0,10.0,15.0,5.0,9.0,7.0,38.0,57.0,26.0,43.0,64.0,t,f,5,t,Italy,0.0,2.0,12.0,0.0,169.0,0.0,0.0,28.0,43.0,12.0,28.0,5.0,15.0,4.0,9.0,7.0,67.0,9.0,29.0,10.0,28.0,0.0,8.0,7.0,17.0,43.0,19.0,57.0,36.0,f,f,f,Italy
2,2010-07-05,2010-07-11,Italy,Clay,30000.0,€,2010,adrian-ungur,A. Ungur,martin-vassallo-arguello,M. Vassallo Arguello,san-benedetto_challenger,Round of 32,2.0,f,100,3,01:46:00,136.0,2.0,12.0,8.0,0.0,0.0,262.0,1.0,4.0,34.0,56.0,25.0,34.0,11.0,22.0,3.0,5.0,10.0,162.0,28.0,63.0,9.0,17.0,4.0,16.0,10.0,36.0,56.0,37.0,80.0,73.0,t,f,5,t,Italy,0.0,8.0,12.0,0.0,242.0,1.0,1.0,63.0,80.0,35.0,63.0,8.0,17.0,12.0,16.0,10.0,136.0,9.0,34.0,11.0,22.0,2.0,5.0,10.0,43.0,80.0,20.0,56.0,63.0,f,f,f,Italy
3,2010-07-05,2010-07-11,Italy,Clay,30000.0,€,2010,adrian-ungur,A. Ungur,paolo-lorenzi,P. Lorenzi,san-benedetto_challenger,Quarter-Finals,2.0,f,100,5,01:51:00,131.0,2.0,12.0,5.0,0.0,0.0,245.0,0.0,3.0,32.0,54.0,22.0,32.0,10.0,22.0,3.0,5.0,8.0,219.0,20.0,45.0,21.0,32.0,6.0,14.0,9.0,32.0,54.0,41.0,77.0,73.0,t,f,5,t,Italy,0.0,5.0,12.0,0.0,182.0,2.0,1.0,45.0,77.0,25.0,45.0,11.0,32.0,8.0,14.0,9.0,151.0,10.0,32.0,12.0,22.0,2.0,5.0,8.0,36.0,77.0,22.0,54.0,58.0,f,f,f,Italy
4,2010-07-05,2010-07-11,Italy,Clay,30000.0,€,2010,alberto-brizzi,A. Brizzi,albert-ramos-vinolas,A. Ramos-Vinolas,san-benedetto_challenger,Round of 32,3.0,f,100,3,02:52:00,221.0,1.0,13.0,19.0,1.0,2.0,229.0,1.0,4.0,71.0,112.0,44.0,71.0,17.0,41.0,8.0,13.0,15.0,116.0,23.0,72.0,20.0,37.0,2.0,12.0,15.0,61.0,112.0,43.0,109.0,104.0,f,f,,f,Italy,2.0,19.0,13.0,1.0,265.0,4.0,5.0,72.0,109.0,49.0,72.0,17.0,37.0,10.0,12.0,15.0,168.0,27.0,71.0,24.0,41.0,5.0,13.0,15.0,66.0,109.0,51.0,112.0,117.0,t,f,t,Italy
5,2010-07-05,2010-07-11,Italy,Clay,30000.0,€,2010,alberto-maria-lombardi,A. Lombardi,dmitri-sitak,D. Sitak,san-benedetto_challenger,3rd Round Qualifying,2.0,f,100,2,00:53:00,79.0,0.0,1.0,12.0,0.0,0.0,147.0,0.0,2.0,24.0,41.0,8.0,24.0,7.0,17.0,7.0,12.0,6.0,42.0,5.0,23.0,3.0,15.0,0.0,0.0,7.0,15.0,41.0,8.0,38.0,23.0,f,f,WC,f,Italy,2.0,12.0,1.0,0.0,320.0,1.0,0.0,23.0,38.0,18.0,23.0,12.0,15.0,0.0,0.0,7.0,251.0,16.0,24.0,10.0,17.0,5.0,12.0,6.0,30.0,38.0,26.0,41.0,56.0,t,f,t,Italy
6,2010-07-05,2010-07-11,Italy,Clay,30000.0,€,2010,alberto-maria-lombardi,A. Lombardi,lorenzo-panella,L. Panella,san-benedetto_challenger,2nd Round Qualifying,2.0,f,100,1,00:48:00,71.0,2.0,12.0,0.0,0.0,0.0,309.0,0.0,1.0,15.0,30.0,14.0,15.0,10.0,15.0,0.0,0.0,6.0,306.0,11.0,19.0,16.0,22.0,6.0,8.0,6.0,24.0,30.0,27.0,41.0,51.0,t,f,WC,t,Italy,0.0,0.0,12.0,0.0,107.0,0.0,8.0,19.0,41.0,8.0,19.0,6.0,22.0,2.0,8.0,6.0,40.0,1.0,15.0,5.0,15.0,0.0,0.0,6.0,14.0,41.0,6.0,30.0,20.0,f,f,f,Italy
7,2010-07-05,2010-07-11,Italy,Clay,30000.0,€,2010,albert-ramos-vinolas,A. Ramos-Vinolas,carlos-berlocq,C. Berlocq,san-benedetto_challenger,Semi-Finals,2.0,f,100,6,01:45:00,119.0,0.0,8.0,13.0,0.0,0.0,246.0,0.0,2.0,35.0,58.0,20.0,35.0,14.0,23.0,2.0,5.0,10.0,125.0,8.0,36.0,11.0,25.0,1.0,2.0,11.0,34.0,58.0,19.0,61.0,53.0,f,f,4,f,Italy,2.0,13.0,8.0,0.0,287.0,5.0,1.0,36.0,61.0,28.0,36.0,14.0,25.0,1.0,2.0,11.0,172.0,15.0,35.0,9.0,23.0,3.0,5.0,10.0,42.0,61.0,24.0,58.0,66.0,t,f,t,Italy
8,2010-07-05,2010-07-11,Italy,Clay,30000.0,€,2010,albert-ramos-vinolas,A. Ramos-Vinolas,dusan-lojda,D. Lojda,san-benedetto_challenger,Quarter-Finals,2.0,f,100,5,01:45:00,140.0,2.0,13.0,9.0,0.0,0.0,259.0,1.0,2.0,52.0,75.0,35.0,52.0,10.0,23.0,6.0,8.0,11.0,202.0,17.0,43.0,13.0,22.0,4.0,6.0,11.0,45.0,75.0,30.0,65.0,75.0,t,f,4,t,Italy,0.0,9.0,13.0,0.0,229.0,0.0,1.0,43.0,65.0,26.0,43.0,9.0,22.0,2.0,6.0,11.0,133.0,17.0,52.0,13.0,23.0,2.0,8.0,11.0,35.0,65.0,30.0,75.0,65.0,f,f,f,Italy
9,2010-07-05,2010-07-11,Italy,Clay,30000.0,€,2010,albert-ramos-vinolas,A. Ramos-Vinolas,francesco-aldi,F. Aldi,san-benedetto_challenger,Round of 16,2.0,f,100,4,01:52:00,133.0,2.0,13.0,8.0,1.0,1.0,283.0,2.0,1.0,45.0,66.0,30.0,45.0,14.0,21.0,2.0,4.0,10.0,210.0,21.0,52.0,11.0,15.0,4.0,7.0,10.0,44.0,66.0,32.0,67.0,76.0,t,f,4,t,Italy,0.0,8.0,13.0,0.0,220.0,0.0,5.0,52.0,67.0,31.0,52.0,4.0,15.0,3.0,7.0,10.0,136.0,15.0,45.0,7.0,21.0,2.0,4.0,10.0,35.0,67.0,22.0,66.0,57.0,f,f,f,Italy
10,2010-07-05,2010-07-11,Italy,Clay,30000.0,€,2010,alessio-di-mauro,A. Di Mauro,pedro-clar-rossello,P. Clar-Rossello,san-benedetto_challenger,Round of 32,3.0,f,100,3,03:22:00,238.0,1.0,16.0,15.0,0.0,1.0,241.0,8.0,3.0,63.0,113.0,47.0,63.0,16.0,50.0,10.0,14.0,15.0,155.0,33.0,82.0,23.0,43.0,5.0,17.0,15.0,63.0,113.0,56.0,125.0,119.0,f,f,,f,Italy,2.0,15.0,16.0,1.0,238.0,2.0,3.0,82.0,125.0,49.0,82.0,20.0,43.0,12.0,17.0,15.0,148.0,16.0,63.0,34.0,50.0,4.0,14.0,15.0,69.0,125.0,50.0,113.0,119.0,t,f,t,Italy
11,2010-07-05,2010-07-11,Italy,Clay,30000.0,€,2010,andrea-attrice-,A. Attrice,stefano-napolitano,S. Napolitano,san-benedetto_challenger,2nd Round Qualifying,2.0,f,100,1,01:31:00,112.0,0.0,6.0,10.0,0.0,1.0,212.0,0.0,3.0,43.0,61.0,24.0,43.0,7.0,18.0,1.0,5.0,8.0,174.0,9.0,31.0,10.0,20.0,2.0,3.0,7.0,31.0,61.0,19.0,51.0,50.0,f,t,WC,f,Italy,2.0,10.0,6.0,1.0,253.0,1.0,1.0,31.0,51.0,22.0,31.0,10.0,20.0,1.0,3.0,7.0,235.0,19.0,43.0,11.0,18.0,4.0,5.0,8.0,32.0,51.0,30.0,61.0,62.0,t,t,t,Italy
12,2010-07-05,2010-07-11,Italy,Clay,30000.0,€,2010,benoit-paire,B. Paire,jan-mertl,J. Mertl,san-benedetto_challenger,Round of 32,3.0,f,100,3,01:40:00,156.0,1.0,11.0,15.0,0.0,0.0,237.0,2.0,5.0,63.0,87.0,36.0,63.0,12.0,24.0,4.0,9.0,13.0,150.0,14.0,48.0,10.0,21.0,3.0,6.0,13.0,48.0,87.0,24.0,69.0,72.0,f,f,,t,Italy,2.0,15.0,11.0,0.0,272.0,3.0,0.0,48.0,69.0,34.0,48.0,11.0,21.0,3.0,6.0,13.0,187.0,27.0,63.0,12.0,24.0,5.0,9.0,13.0,45.0,69.0,39.0,87.0,84.0,t,f,f,Italy
