start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,adelchi-virgili,A. Virgili,luca-vanni,L. Vanni,san-benedetto_challenger,Round of 32,2.0,f,100,3,01:40:00,135.0,0.0,9.0,13.0,0.0,1.0,247.0,3.0,5.0,44.0,71.0,26.0,44.0,15.0,27.0,0.0,3.0,11.0,99.0,9.0,48.0,8.0,16.0,1.0,5.0,10.0,41.0,71.0,17.0,64.0,58.0,f,f,Q,f,Italy,2.0,13.0,9.0,1.0,300.0,5.0,1.0,48.0,64.0,39.0,48.0,8.0,16.0,4.0,5.0,10.0,212.0,18.0,44.0,12.0,27.0,3.0,3.0,11.0,47.0,64.0,30.0,71.0,77.0,t,f,t,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,adelchi-virgili,A. Virgili,pol-toledo-bague,P. Toledo Bague,san-benedetto_challenger,3rd Round Qualifying,2.0,f,100,2,01:27:00,132.0,2.0,13.0,8.0,0.0,0.0,286.0,4.0,1.0,41.0,60.0,29.0,41.0,12.0,19.0,1.0,3.0,11.0,196.0,12.0,36.0,20.0,36.0,4.0,6.0,10.0,41.0,60.0,32.0,72.0,73.0,t,f,,t,Italy,0.0,8.0,13.0,0.0,218.0,2.0,5.0,36.0,72.0,24.0,36.0,16.0,36.0,2.0,6.0,10.0,151.0,12.0,41.0,7.0,19.0,2.0,3.0,11.0,40.0,72.0,19.0,60.0,59.0,f,f,f,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,adelchi-virgili,A. Virgili,romain-arneodo,R. Arneodo,san-benedetto_challenger,1st Round Qualifying,2.0,f,100,0,01:01:00,98.0,2.0,12.0,5.0,0.0,0.0,277.0,4.0,3.0,38.0,59.0,29.0,38.0,10.0,21.0,2.0,3.0,9.0,207.0,6.0,17.0,12.0,22.0,4.0,6.0,8.0,39.0,59.0,18.0,39.0,57.0,t,f,,t,Italy,0.0,5.0,12.0,0.0,204.0,0.0,0.0,17.0,39.0,11.0,17.0,10.0,22.0,2.0,6.0,8.0,120.0,9.0,38.0,11.0,21.0,1.0,3.0,9.0,21.0,39.0,20.0,59.0,41.0,f,f,f,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,adelchi-virgili,A. Virgili,roman-safiullin,R. Safiullin,san-benedetto_challenger,2nd Round Qualifying,2.0,f,100,1,01:26:00,141.0,2.0,13.0,9.0,0.0,0.0,249.0,1.0,3.0,50.0,71.0,33.0,50.0,9.0,21.0,8.0,11.0,11.0,200.0,19.0,51.0,13.0,19.0,5.0,10.0,11.0,42.0,71.0,32.0,70.0,74.0,t,f,,t,Italy,0.0,9.0,13.0,0.0,221.0,2.0,3.0,51.0,70.0,32.0,51.0,6.0,19.0,5.0,10.0,11.0,145.0,17.0,50.0,12.0,21.0,3.0,11.0,11.0,38.0,70.0,29.0,71.0,67.0,f,f,f,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,adrian-ungur,A. Ungur,luca-margaroli,L. Margaroli,san-benedetto_challenger,2nd Round Qualifying,2.0,f,100,1,01:22:00,127.0,0.0,6.0,12.0,0.0,0.0,238.0,1.0,2.0,43.0,68.0,25.0,43.0,13.0,25.0,5.0,8.0,9.0,68.0,9.0,39.0,9.0,20.0,0.0,6.0,9.0,38.0,68.0,18.0,59.0,56.0,f,f,3,f,Italy,2.0,12.0,6.0,0.0,300.0,3.0,1.0,39.0,59.0,30.0,39.0,11.0,20.0,6.0,6.0,9.0,161.0,18.0,43.0,12.0,25.0,3.0,8.0,9.0,41.0,59.0,30.0,68.0,71.0,t,f,t,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,alexander-zhurbin,A. Zhurbin,mate-delic,M. Delic,san-benedetto_challenger,1st Round Qualifying,3.0,f,100,0,01:32:00,162.0,1.0,12.0,15.0,0.0,0.0,252.0,6.0,3.0,46.0,77.0,30.0,46.0,17.0,31.0,8.0,12.0,13.0,140.0,15.0,50.0,18.0,35.0,3.0,8.0,14.0,47.0,77.0,33.0,85.0,80.0,f,f,,f,Italy,2.0,15.0,12.0,0.0,262.0,7.0,1.0,50.0,85.0,35.0,50.0,17.0,35.0,5.0,8.0,14.0,143.0,16.0,46.0,14.0,31.0,4.0,12.0,13.0,52.0,85.0,30.0,77.0,82.0,t,f,t,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,alexei-popyrin,A. Popyrin,marcel-granollers,M. Granollers,san-benedetto_challenger,Round of 32,2.0,f,100,3,01:36:00,135.0,0.0,8.0,12.0,0.0,0.0,253.0,3.0,3.0,43.0,74.0,30.0,43.0,14.0,31.0,4.0,6.0,10.0,64.0,6.0,38.0,11.0,23.0,0.0,1.0,10.0,44.0,74.0,17.0,61.0,61.0,f,f,WC,f,Italy,2.0,12.0,8.0,0.0,301.0,4.0,1.0,38.0,61.0,32.0,38.0,12.0,23.0,1.0,1.0,10.0,138.0,13.0,43.0,17.0,31.0,2.0,6.0,10.0,44.0,61.0,30.0,74.0,74.0,t,f,t,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,andrea-arnaboldi,A. Arnaboldi,matteo-berrettini,M. Berrettini,san-benedetto_challenger,Round of 32,2.0,f,100,3,01:20:00,133.0,0.0,8.0,12.0,0.0,0.0,258.0,3.0,4.0,49.0,76.0,31.0,49.0,14.0,27.0,6.0,8.0,10.0,52.0,9.0,40.0,5.0,17.0,0.0,2.0,10.0,45.0,76.0,14.0,57.0,59.0,f,f,,f,Italy,2.0,12.0,8.0,0.0,320.0,3.0,2.0,40.0,57.0,31.0,40.0,12.0,17.0,2.0,2.0,10.0,130.0,18.0,49.0,13.0,27.0,2.0,8.0,10.0,43.0,57.0,31.0,76.0,74.0,t,f,t,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,andrea-collarini,A. Collarini,laslo-djere,L. Djere,san-benedetto_challenger,Round of 32,3.0,f,100,3,03:17:00,254.0,1.0,15.0,18.0,0.0,0.0,251.0,3.0,3.0,105.0,138.0,63.0,105.0,15.0,33.0,17.0,22.0,17.0,123.0,20.0,69.0,23.0,47.0,3.0,11.0,16.0,78.0,138.0,43.0,116.0,121.0,f,f,,t,Italy,2.0,18.0,15.0,0.0,265.0,7.0,4.0,69.0,116.0,49.0,69.0,24.0,47.0,8.0,11.0,16.0,147.0,42.0,105.0,18.0,33.0,5.0,22.0,17.0,73.0,116.0,60.0,138.0,133.0,t,f,f,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,andrea-pellegrino,A. Pellegrino,roberto-carballes-baena,R. Carballes Baena,san-benedetto_challenger,Round of 32,2.0,f,100,3,01:08:00,89.0,0.0,3.0,12.0,0.0,0.0,170.0,0.0,3.0,20.0,47.0,12.0,20.0,9.0,27.0,1.0,6.0,8.0,67.0,6.0,29.0,6.0,13.0,0.0,2.0,7.0,21.0,47.0,12.0,42.0,33.0,f,f,WC,f,Italy,2.0,12.0,3.0,0.0,305.0,4.0,1.0,29.0,42.0,23.0,29.0,7.0,13.0,2.0,2.0,7.0,252.0,8.0,20.0,18.0,27.0,5.0,6.0,8.0,30.0,42.0,26.0,47.0,56.0,t,f,t,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,andrei-iakovlev,A. Iakovlev,john-lamble,J. Lamble,san-benedetto_challenger,1st Round Qualifying,2.0,f,100,0,01:03:00,105.0,0.0,4.0,12.0,0.0,0.0,180.0,0.0,6.0,42.0,64.0,25.0,42.0,5.0,22.0,5.0,10.0,8.0,190.0,7.0,30.0,6.0,11.0,1.0,1.0,8.0,30.0,64.0,13.0,41.0,43.0,f,f,,f,Italy,2.0,12.0,4.0,0.0,285.0,5.0,2.0,30.0,41.0,23.0,30.0,5.0,11.0,0.0,1.0,8.0,229.0,17.0,42.0,17.0,22.0,5.0,10.0,8.0,28.0,41.0,34.0,64.0,62.0,t,f,t,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,artem-strokan,A. Strokan,gian-marco-moroni,G. Moroni,san-benedetto_challenger,2nd Round Qualifying,2.0,f,100,1,00:35:00,52.0,0.0,0.0,12.0,0.0,0.0,65.0,0.0,4.0,11.0,28.0,2.0,11.0,2.0,17.0,2.0,8.0,6.0,0.0,0.0,11.0,0.0,13.0,0.0,0.0,6.0,4.0,28.0,0.0,24.0,4.0,f,f,,f,Italy,2.0,12.0,0.0,0.0,347.0,1.0,0.0,11.0,24.0,11.0,11.0,13.0,13.0,0.0,0.0,6.0,345.0,9.0,11.0,15.0,17.0,6.0,8.0,6.0,24.0,24.0,24.0,28.0,48.0,t,f,t,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,artem-strokan,A. Strokan,shalva-dzhanashia,S. Dzhanashia,san-benedetto_challenger,1st Round Qualifying,2.0,f,100,0,01:42:00,148.0,2.0,10.0,8.0,1.0,1.0,200.0,1.0,6.0,27.0,61.0,15.0,27.0,17.0,34.0,1.0,5.0,9.0,191.0,29.0,59.0,17.0,28.0,4.0,13.0,8.0,32.0,61.0,46.0,87.0,78.0,t,t,,t,Italy,0.0,8.0,10.0,0.0,203.0,1.0,6.0,59.0,87.0,30.0,59.0,11.0,28.0,9.0,13.0,8.0,218.0,12.0,27.0,17.0,34.0,4.0,5.0,9.0,41.0,87.0,29.0,61.0,70.0,f,t,f,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,axel-michon,A. Michon,javier-marti,J. Marti,san-benedetto_challenger,Round of 32,3.0,f,100,3,02:07:00,155.0,1.0,10.0,13.0,0.0,0.0,201.0,0.0,2.0,52.0,82.0,27.0,52.0,13.0,30.0,12.0,18.0,11.0,187.0,14.0,44.0,20.0,29.0,5.0,11.0,12.0,40.0,82.0,34.0,73.0,74.0,f,f,,f,Italy,2.0,13.0,10.0,0.0,217.0,3.0,3.0,44.0,73.0,30.0,44.0,9.0,29.0,6.0,11.0,12.0,192.0,25.0,52.0,17.0,30.0,6.0,18.0,11.0,39.0,73.0,42.0,82.0,81.0,t,f,t,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,benjamin-bonzi,B. Bonzi,laslo-djere,L. Djere,san-benedetto_challenger,Quarter-Finals,3.0,f,100,5,02:29:00,214.0,1.0,15.0,16.0,0.0,1.0,248.0,1.0,0.0,74.0,107.0,47.0,74.0,16.0,33.0,9.0,14.0,15.0,152.0,21.0,60.0,26.0,47.0,5.0,17.0,15.0,63.0,107.0,47.0,107.0,110.0,f,f,,t,Italy,2.0,16.0,15.0,1.0,234.0,5.0,3.0,60.0,107.0,39.0,60.0,21.0,47.0,12.0,17.0,15.0,157.0,27.0,74.0,17.0,33.0,5.0,14.0,15.0,60.0,107.0,44.0,107.0,104.0,t,f,f,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,benjamin-bonzi,B. Bonzi,maxime-hamou,M. Hamou,san-benedetto_challenger,Round of 32,2.0,f,100,3,01:04:00,113.0,2.0,12.0,5.0,0.0,0.0,280.0,5.0,1.0,38.0,56.0,29.0,38.0,8.0,18.0,3.0,4.0,9.0,188.0,10.0,29.0,19.0,28.0,4.0,11.0,8.0,37.0,56.0,29.0,57.0,66.0,t,f,,t,Italy,0.0,5.0,12.0,0.0,197.0,0.0,2.0,29.0,57.0,19.0,29.0,9.0,28.0,7.0,11.0,8.0,116.0,9.0,38.0,10.0,18.0,1.0,4.0,9.0,28.0,57.0,19.0,56.0,47.0,f,f,f,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,benjamin-bonzi,B. Bonzi,roberto-carballes-baena,R. Carballes Baena,san-benedetto_challenger,Round of 16,2.0,f,100,4,00:49:00,69.0,2.0,8.0,1.0,0.0,0.0,322.0,1.0,0.0,30.0,38.0,20.0,30.0,6.0,8.0,3.0,3.0,5.0,270.0,9.0,15.0,12.0,16.0,3.0,5.0,4.0,26.0,38.0,21.0,31.0,47.0,t,t,,t,Italy,0.0,1.0,8.0,0.0,139.0,3.0,2.0,15.0,31.0,6.0,15.0,4.0,16.0,2.0,5.0,4.0,58.0,10.0,30.0,2.0,8.0,0.0,3.0,5.0,10.0,31.0,12.0,38.0,22.0,f,t,f,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,carlos-gomez-herrera,C. Gomez-Herrera,gian-marco-moroni,G. Moroni,san-benedetto_challenger,1st Round Qualifying,1.0,f,100,0,00:41:00,46.0,1.0,3.0,2.0,0.0,0.0,179.0,0.0,0.0,16.0,22.0,9.0,16.0,1.0,6.0,4.0,6.0,3.0,247.0,9.0,14.0,5.0,10.0,2.0,6.0,2.0,10.0,22.0,14.0,24.0,24.0,f,t,7,t,Italy,0.0,2.0,3.0,0.0,142.0,0.0,2.0,14.0,24.0,5.0,14.0,5.0,10.0,4.0,6.0,2.0,226.0,7.0,16.0,5.0,6.0,2.0,6.0,3.0,10.0,24.0,12.0,22.0,22.0,t,t,f,Italy
2017-07-17,2017-07-23,Italy,Clay,64000.0,€,2017,carlos-taberner,C. Taberner,laslo-djere,L. Djere,san-benedetto_challenger,Semi-Finals,2.0,f,100,6,01:37:00,124.0,0.0,7.0,12.0,0.0,0.0,217.0,0.0,1.0,33.0,54.0,21.0,33.0,8.0,21.0,1.0,5.0,9.0,173.0,11.0,41.0,17.0,29.0,2.0,3.0,10.0,29.0,54.0,28.0,70.0,57.0,f,f,,f,Italy,2.0,12.0,7.0,0.0,250.0,3.0,6.0,41.0,70.0,30.0,41.0,12.0,29.0,1.0,3.0,10.0,222.0,12.0,33.0,13.0,21.0,4.0,5.0,9.0,42.0,70.0,25.0,54.0,67.0,t,f,t,Italy
