start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2017-04-10,2017-04-16,Mexico,Clay,50000.0,$,2017,adam-el-mihdawy,A. El Mihdawy,evan-king,E. King,san-luis-potosi_challenger,Round of 32,1.0,f,100,3,00:24:00,37.0,0.0,1.0,5.0,0.0,0.0,166.0,0.0,2.0,6.0,16.0,4.0,6.0,3.0,10.0,1.0,3.0,3.0,55.0,1.0,10.0,5.0,11.0,0.0,2.0,3.0,7.0,16.0,6.0,21.0,13.0,f,t,,f,Mexico,1.0,5.0,1.0,0.0,292.0,1.0,2.0,10.0,21.0,9.0,10.0,6.0,11.0,2.0,2.0,3.0,236.0,2.0,6.0,7.0,10.0,2.0,3.0,3.0,15.0,21.0,9.0,16.0,24.0,t,t,t,Mexico
2017-04-10,2017-04-16,Mexico,Clay,50000.0,$,2017,adrian-menendez-maceiras,A. Menendez-Maceiras,andrej-martin,A. Martin,san-luis-potosi_challenger,Finals,2.0,f,100,7,01:56:00,152.0,0.0,9.0,13.0,0.0,0.0,247.0,2.0,1.0,54.0,85.0,35.0,54.0,14.0,31.0,7.0,10.0,11.0,121.0,9.0,33.0,12.0,34.0,1.0,2.0,11.0,49.0,85.0,21.0,67.0,70.0,f,f,8,f,Mexico,2.0,13.0,9.0,0.0,276.0,3.0,4.0,33.0,67.0,24.0,33.0,22.0,34.0,1.0,2.0,11.0,147.0,19.0,54.0,17.0,31.0,3.0,10.0,11.0,46.0,67.0,36.0,85.0,82.0,t,f,t,Mexico
2017-04-10,2017-04-16,Mexico,Clay,50000.0,$,2017,adrian-menendez-maceiras,A. Menendez-Maceiras,evan-king,E. King,san-luis-potosi_challenger,Round of 16,2.0,f,100,4,01:22:00,112.0,2.0,12.0,3.0,0.0,0.0,296.0,6.0,2.0,25.0,54.0,20.0,25.0,19.0,29.0,3.0,3.0,8.0,208.0,15.0,31.0,16.0,27.0,4.0,9.0,7.0,39.0,54.0,31.0,58.0,70.0,t,f,8,t,Mexico,0.0,3.0,12.0,0.0,187.0,0.0,1.0,31.0,58.0,16.0,31.0,11.0,27.0,5.0,9.0,7.0,54.0,5.0,25.0,10.0,29.0,0.0,3.0,8.0,27.0,58.0,15.0,54.0,42.0,f,f,f,Mexico
2017-04-10,2017-04-16,Mexico,Clay,50000.0,$,2017,adrian-menendez-maceiras,A. Menendez-Maceiras,gerald-melzer,G. Melzer,san-luis-potosi_challenger,Quarter-Finals,3.0,f,100,5,02:07:00,165.0,2.0,14.0,14.0,0.0,0.0,261.0,3.0,3.0,34.0,76.0,26.0,34.0,26.0,42.0,0.0,3.0,14.0,147.0,11.0,53.0,24.0,36.0,3.0,8.0,14.0,52.0,76.0,35.0,89.0,87.0,t,f,8,f,Mexico,1.0,14.0,14.0,0.0,254.0,12.0,8.0,53.0,89.0,42.0,53.0,12.0,36.0,5.0,8.0,14.0,183.0,8.0,34.0,16.0,42.0,3.0,3.0,14.0,54.0,89.0,24.0,76.0,78.0,f,f,t,Mexico
2017-04-10,2017-04-16,Mexico,Clay,50000.0,$,2017,adrian-menendez-maceiras,A. Menendez-Maceiras,joao-pedro-sorgi,J. Sorgi,san-luis-potosi_challenger,Round of 32,2.0,f,100,3,01:36:00,133.0,2.0,13.0,8.0,1.0,1.0,287.0,10.0,4.0,38.0,70.0,32.0,38.0,17.0,32.0,2.0,3.0,10.0,148.0,7.0,30.0,17.0,33.0,3.0,7.0,10.0,49.0,70.0,24.0,63.0,73.0,t,f,8,t,Mexico,0.0,8.0,13.0,0.0,240.0,1.0,4.0,30.0,63.0,23.0,30.0,16.0,33.0,4.0,7.0,10.0,106.0,6.0,38.0,15.0,32.0,1.0,3.0,10.0,39.0,63.0,21.0,70.0,60.0,f,f,f,Mexico
2017-04-10,2017-04-16,Mexico,Clay,50000.0,$,2017,adrian-menendez-maceiras,A. Menendez-Maceiras,miomir-kecmanovic,M. Kecmanovic,san-luis-potosi_challenger,Semi-Finals,2.0,f,100,6,01:30:00,118.0,2.0,12.0,7.0,0.0,0.0,284.0,10.0,2.0,38.0,65.0,33.0,38.0,11.0,27.0,4.0,5.0,10.0,172.0,6.0,28.0,17.0,25.0,3.0,6.0,9.0,44.0,65.0,23.0,53.0,67.0,t,f,8,t,Mexico,0.0,7.0,12.0,0.0,232.0,2.0,0.0,28.0,53.0,22.0,28.0,8.0,25.0,3.0,6.0,9.0,102.0,5.0,38.0,16.0,27.0,1.0,5.0,10.0,30.0,53.0,21.0,65.0,51.0,f,f,f,Mexico
2017-04-10,2017-04-16,Mexico,Clay,50000.0,$,2017,agustin-velotti,A. Velotti,andrej-martin,A. Martin,san-luis-potosi_challenger,Round of 16,2.0,f,100,4,01:17:00,112.0,0.0,3.0,12.0,0.0,0.0,176.0,3.0,5.0,30.0,71.0,21.0,30.0,12.0,41.0,9.0,14.0,8.0,50.0,4.0,22.0,6.0,19.0,0.0,2.0,7.0,33.0,71.0,10.0,41.0,43.0,f,f,,f,Mexico,2.0,12.0,3.0,0.0,305.0,3.0,2.0,22.0,41.0,18.0,22.0,13.0,19.0,2.0,2.0,7.0,199.0,9.0,30.0,29.0,41.0,5.0,14.0,8.0,31.0,41.0,38.0,71.0,69.0,t,f,t,Mexico
2017-04-10,2017-04-16,Mexico,Clay,50000.0,$,2017,agustin-velotti,A. Velotti,tomas-lipovsek-puches,T. Lipovsek Puches,san-luis-potosi_challenger,Round of 32,2.0,f,100,3,01:05:00,106.0,2.0,12.0,3.0,0.0,0.0,277.0,3.0,2.0,23.0,45.0,17.0,23.0,14.0,22.0,1.0,2.0,8.0,242.0,14.0,31.0,19.0,30.0,5.0,8.0,7.0,31.0,45.0,33.0,61.0,64.0,t,f,,t,Mexico,0.0,3.0,12.0,0.0,165.0,1.0,7.0,31.0,61.0,17.0,31.0,11.0,30.0,3.0,8.0,7.0,124.0,6.0,23.0,8.0,22.0,1.0,2.0,8.0,28.0,61.0,14.0,45.0,42.0,f,f,f,Mexico
2017-04-10,2017-04-16,Mexico,Clay,50000.0,$,2017,alejandro-mendoza,A. Mendoza,carlos-de-la-pena,C. De La Pena,san-luis-potosi_challenger,2nd Round Qualifying,2.0,f,100,2,01:27:00,125.0,0.0,5.0,12.0,0.0,0.0,171.0,3.0,13.0,34.0,80.0,21.0,34.0,18.0,46.0,15.0,20.0,8.0,151.0,8.0,31.0,5.0,14.0,2.0,3.0,9.0,39.0,80.0,13.0,45.0,52.0,f,f,4,f,Mexico,2.0,12.0,5.0,0.0,283.0,1.0,2.0,31.0,45.0,23.0,31.0,9.0,14.0,1.0,3.0,9.0,186.0,13.0,34.0,28.0,46.0,5.0,20.0,8.0,32.0,45.0,41.0,80.0,73.0,t,f,t,Mexico
2017-04-10,2017-04-16,Mexico,Clay,50000.0,$,2017,alejandro-mendoza,A. Mendoza,jorge-olaya,J. Olaya,san-luis-potosi_challenger,1st Round Qualifying,2.0,f,100,1,01:42:00,163.0,2.0,13.0,9.0,0.0,0.0,247.0,7.0,11.0,36.0,84.0,27.0,36.0,25.0,48.0,6.0,8.0,11.0,163.0,20.0,43.0,19.0,36.0,4.0,15.0,11.0,52.0,84.0,39.0,79.0,91.0,t,f,4,t,Mexico,0.0,9.0,13.0,0.0,210.0,1.0,8.0,43.0,79.0,23.0,43.0,17.0,36.0,11.0,15.0,11.0,116.0,9.0,36.0,23.0,48.0,2.0,8.0,11.0,40.0,79.0,32.0,84.0,72.0,f,f,f,Mexico
