,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2014-08-04,2014-08-10,San Marino,Clay,64000.0,€,2014,adelchi-virgili,A. Virgili,michael-venus,M. Venus,san-marino_challenger,1st Round Qualifying,3.0,f,100,0,02:14:00,206.0,1.0,15.0,16.0,0.0,1.0,252.0,8.0,5.0,44.0,91.0,32.0,44.0,26.0,47.0,2.0,6.0,15.0,147.0,15.0,56.0,32.0,59.0,4.0,10.0,15.0,58.0,91.0,47.0,115.0,105.0,f,f,,f,San Marino,2.0,16.0,15.0,1.0,239.0,4.0,6.0,56.0,115.0,41.0,56.0,27.0,59.0,6.0,10.0,15.0,165.0,12.0,44.0,21.0,47.0,4.0,6.0,15.0,68.0,115.0,33.0,91.0,101.0,t,f,t,San Marino
1,2014-08-04,2014-08-10,San Marino,Clay,64000.0,€,2014,adrian-ungur,A. Ungur,albert-montanes,A. Montanes,san-marino_challenger,Quarter-Finals,3.0,f,100,5,02:16:00,198.0,2.0,15.0,17.0,1.0,1.0,289.0,1.0,2.0,67.0,87.0,42.0,67.0,14.0,20.0,3.0,6.0,15.0,102.0,19.0,64.0,19.0,47.0,2.0,10.0,16.0,56.0,87.0,38.0,111.0,94.0,t,f,,f,San Marino,1.0,17.0,15.0,0.0,277.0,8.0,6.0,64.0,111.0,45.0,64.0,28.0,47.0,8.0,10.0,16.0,137.0,25.0,67.0,6.0,20.0,3.0,6.0,15.0,73.0,111.0,31.0,87.0,104.0,f,f,t,San Marino
2,2014-08-04,2014-08-10,San Marino,Clay,64000.0,€,2014,adrian-ungur,A. Ungur,alessandro-giannessi,A. Giannessi,san-marino_challenger,Semi-Finals,2.0,f,100,6,01:09:00,98.0,2.0,12.0,6.0,0.0,0.0,287.0,1.0,3.0,33.0,48.0,26.0,33.0,8.0,15.0,0.0,1.0,9.0,217.0,7.0,23.0,17.0,27.0,4.0,5.0,9.0,34.0,48.0,24.0,50.0,58.0,t,f,,t,San Marino,0.0,6.0,12.0,0.0,205.0,2.0,5.0,23.0,50.0,16.0,23.0,10.0,27.0,1.0,5.0,9.0,179.0,7.0,33.0,7.0,15.0,1.0,1.0,9.0,26.0,50.0,14.0,48.0,40.0,f,f,f,San Marino
3,2014-08-04,2014-08-10,San Marino,Clay,64000.0,€,2014,adrian-ungur,A. Ungur,antonio-veic,A. Veic,san-marino_challenger,Finals,2.0,f,100,7,00:51:00,74.0,2.0,12.0,1.0,0.0,0.0,324.0,1.0,0.0,27.0,38.0,19.0,27.0,9.0,11.0,0.0,0.0,7.0,257.0,15.0,21.0,7.0,15.0,5.0,9.0,6.0,28.0,38.0,22.0,36.0,50.0,t,f,,t,San Marino,0.0,1.0,12.0,0.0,152.0,0.0,4.0,21.0,36.0,6.0,21.0,8.0,15.0,4.0,9.0,6.0,48.0,8.0,27.0,2.0,11.0,0.0,0.0,7.0,14.0,36.0,10.0,38.0,24.0,f,f,f,San Marino
4,2014-08-04,2014-08-10,San Marino,Clay,64000.0,€,2014,adrian-ungur,A. Ungur,enrique-lopez-perez,E. Lopez Perez,san-marino_challenger,Round of 32,2.0,f,100,3,01:26:00,114.0,2.0,12.0,4.0,0.0,0.0,257.0,2.0,7.0,33.0,61.0,22.0,33.0,15.0,28.0,4.0,5.0,8.0,220.0,18.0,32.0,11.0,21.0,5.0,10.0,8.0,37.0,61.0,29.0,53.0,66.0,t,f,,t,San Marino,0.0,4.0,12.0,0.0,187.0,2.0,4.0,32.0,53.0,14.0,32.0,10.0,21.0,5.0,10.0,8.0,111.0,11.0,33.0,13.0,28.0,1.0,5.0,8.0,24.0,53.0,24.0,61.0,48.0,f,f,f,San Marino
5,2014-08-04,2014-08-10,San Marino,Clay,64000.0,€,2014,adrian-ungur,A. Ungur,filippo-volandri,F. Volandri,san-marino_challenger,Round of 16,3.0,f,100,4,02:25:00,210.0,2.0,18.0,11.0,0.0,1.0,259.0,3.0,1.0,66.0,114.0,41.0,66.0,25.0,48.0,8.0,10.0,14.0,204.0,27.0,67.0,16.0,29.0,6.0,9.0,14.0,66.0,114.0,43.0,96.0,109.0,t,f,,f,San Marino,1.0,11.0,18.0,1.0,229.0,0.0,3.0,67.0,96.0,40.0,67.0,13.0,29.0,3.0,9.0,14.0,120.0,25.0,66.0,23.0,48.0,2.0,10.0,14.0,53.0,96.0,48.0,114.0,101.0,f,f,t,San Marino
6,2014-08-04,2014-08-10,San Marino,Clay,64000.0,€,2014,albert-montanes,A. Montanes,marco-cecchinato,M. Cecchinato,san-marino_challenger,Round of 16,3.0,f,100,4,01:58:00,175.0,2.0,15.0,13.0,1.0,1.0,244.0,2.0,5.0,51.0,94.0,35.0,51.0,23.0,43.0,8.0,12.0,14.0,194.0,18.0,53.0,14.0,28.0,4.0,5.0,13.0,58.0,94.0,32.0,81.0,90.0,t,f,4,t,San Marino,1.0,13.0,15.0,0.0,251.0,3.0,2.0,53.0,81.0,35.0,53.0,14.0,28.0,1.0,5.0,13.0,139.0,16.0,51.0,20.0,43.0,4.0,12.0,14.0,49.0,81.0,36.0,94.0,85.0,f,f,f,San Marino
7,2014-08-04,2014-08-10,San Marino,Clay,64000.0,€,2014,albert-montanes,A. Montanes,potito-starace,P. Starace,san-marino_challenger,Round of 32,2.0,f,100,3,01:33:00,140.0,2.0,13.0,8.0,1.0,1.0,292.0,5.0,0.0,39.0,62.0,30.0,39.0,13.0,23.0,2.0,3.0,10.0,143.0,22.0,55.0,12.0,23.0,3.0,14.0,10.0,43.0,62.0,34.0,78.0,77.0,t,f,4,t,San Marino,0.0,8.0,13.0,0.0,251.0,2.0,0.0,55.0,78.0,33.0,55.0,11.0,23.0,11.0,14.0,10.0,109.0,9.0,39.0,10.0,23.0,1.0,3.0,10.0,44.0,78.0,19.0,62.0,63.0,f,f,f,San Marino
8,2014-08-04,2014-08-10,San Marino,Clay,64000.0,€,2014,alberto-cammarata,A. Cammarata,wilson-leite,W. Leite,san-marino_challenger,1st Round Qualifying,3.0,f,100,0,02:26:00,226.0,1.0,10.0,18.0,1.0,1.0,220.0,2.0,6.0,109.0,145.0,60.0,109.0,16.0,36.0,20.0,27.0,14.0,155.0,13.0,52.0,14.0,29.0,2.0,3.0,13.0,76.0,145.0,27.0,81.0,103.0,f,f,,t,San Marino,2.0,18.0,10.0,0.0,277.0,2.0,0.0,52.0,81.0,39.0,52.0,15.0,29.0,1.0,3.0,13.0,177.0,49.0,109.0,20.0,36.0,7.0,27.0,14.0,54.0,81.0,69.0,145.0,123.0,t,f,f,San Marino
9,2014-08-04,2014-08-10,San Marino,Clay,64000.0,€,2014,aldin-setkic,A. Setkic,daniel-gimeno-traver,D. Gimeno-Traver,san-marino_challenger,Round of 32,2.0,f,100,3,01:37:00,150.0,0.0,10.0,14.0,0.0,0.0,244.0,4.0,3.0,46.0,74.0,30.0,46.0,14.0,28.0,3.0,7.0,12.0,147.0,10.0,40.0,20.0,36.0,2.0,4.0,12.0,44.0,74.0,30.0,76.0,74.0,f,f,,f,San Marino,2.0,14.0,10.0,0.0,259.0,7.0,3.0,40.0,76.0,30.0,40.0,16.0,36.0,2.0,4.0,12.0,175.0,16.0,46.0,14.0,28.0,4.0,7.0,12.0,46.0,76.0,30.0,74.0,76.0,t,f,t,San Marino
