,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-05-04,2009-05-10,Italy,Clay,30000.0,€,2009,adelchi-virgili,A. Virgili,blaz-kavcic,B. Kavcic,san-remo_challenger,2nd Round Qualifying,2.0,f,100,1,00:46:00,77.0,0.0,1.0,12.0,0.0,0.0,157.0,1.0,2.0,30.0,45.0,11.0,30.0,6.0,15.0,3.0,9.0,7.0,44.0,1.0,16.0,6.0,16.0,0.0,3.0,6.0,17.0,45.0,7.0,32.0,24.0,f,f,WC,f,Italy,2.0,12.0,1.0,0.0,307.0,1.0,1.0,16.0,32.0,15.0,16.0,10.0,16.0,3.0,3.0,6.0,275.0,19.0,30.0,9.0,15.0,6.0,9.0,7.0,25.0,32.0,28.0,45.0,53.0,t,f,t,Italy
1,2009-05-04,2009-05-10,Italy,Clay,30000.0,€,2009,adelchi-virgili,A. Virgili,fredrik-ask,F. Ask,san-remo_challenger,1st Round Qualifying,2.0,f,100,0,01:10:00,113.0,2.0,12.0,5.0,0.0,0.0,230.0,0.0,7.0,39.0,58.0,28.0,39.0,6.0,19.0,2.0,5.0,9.0,242.0,15.0,32.0,16.0,23.0,6.0,12.0,8.0,34.0,58.0,31.0,55.0,65.0,t,f,WC,t,Italy,0.0,5.0,12.0,0.0,161.0,0.0,5.0,32.0,55.0,17.0,32.0,7.0,23.0,6.0,12.0,8.0,189.0,11.0,39.0,13.0,19.0,3.0,5.0,9.0,24.0,55.0,24.0,58.0,48.0,f,f,f,Italy
2,2009-05-04,2009-05-10,Italy,Clay,30000.0,€,2009,adrian-ungur,A. Ungur,tomas-tenconi,T. Tenconi,san-remo_challenger,Round of 32,3.0,f,100,3,01:53:00,163.0,1.0,11.0,16.0,0.0,0.0,249.0,4.0,3.0,40.0,72.0,29.0,40.0,16.0,32.0,1.0,5.0,13.0,98.0,14.0,47.0,16.0,44.0,2.0,11.0,14.0,45.0,72.0,30.0,91.0,75.0,f,f,,t,Italy,2.0,16.0,11.0,0.0,269.0,2.0,4.0,47.0,91.0,33.0,47.0,28.0,44.0,9.0,11.0,14.0,188.0,11.0,40.0,16.0,32.0,4.0,5.0,13.0,61.0,91.0,27.0,72.0,88.0,t,f,f,Italy
3,2009-05-04,2009-05-10,Italy,Clay,30000.0,€,2009,alberto-brizzi,A. Brizzi,david-lenar,D. Lenar,san-remo_challenger,2nd Round Qualifying,2.0,f,100,1,00:57:00,86.0,2.0,12.0,2.0,0.0,0.0,299.0,5.0,2.0,30.0,47.0,22.0,30.0,10.0,17.0,2.0,2.0,7.0,263.0,10.0,20.0,15.0,19.0,5.0,8.0,7.0,32.0,47.0,25.0,39.0,57.0,t,f,6,t,Italy,0.0,2.0,12.0,0.0,147.0,1.0,4.0,20.0,39.0,10.0,20.0,4.0,19.0,3.0,8.0,7.0,68.0,8.0,30.0,7.0,17.0,0.0,2.0,7.0,14.0,39.0,15.0,47.0,29.0,f,f,f,Italy
4,2009-05-04,2009-05-10,Italy,Clay,30000.0,€,2009,alberto-brizzi,A. Brizzi,martin-alund,M. Alund,san-remo_challenger,3rd Round Qualifying,1.0,f,100,2,00:24:00,41.0,0.0,1.0,4.0,0.0,0.0,178.0,0.0,2.0,20.0,30.0,12.0,20.0,2.0,10.0,6.0,8.0,3.0,57.0,1.0,6.0,2.0,5.0,0.0,0.0,2.0,14.0,30.0,3.0,11.0,17.0,f,t,6,f,Italy,1.0,4.0,1.0,0.0,298.0,0.0,0.0,6.0,11.0,5.0,6.0,3.0,5.0,0.0,0.0,2.0,211.0,8.0,20.0,8.0,10.0,2.0,8.0,3.0,8.0,11.0,16.0,30.0,24.0,t,t,t,Italy
5,2009-05-04,2009-05-10,Italy,Clay,30000.0,€,2009,alessio-di-mauro,A. Di Mauro,daniele-giorgini,D. Giorgini,san-remo_challenger,2nd Round Qualifying,3.0,f,100,1,02:25:00,188.0,1.0,13.0,17.0,0.0,0.0,228.0,2.0,5.0,67.0,104.0,41.0,67.0,17.0,37.0,9.0,15.0,15.0,144.0,21.0,50.0,11.0,34.0,4.0,9.0,15.0,58.0,104.0,32.0,84.0,90.0,f,f,1 WC,f,Italy,2.0,17.0,13.0,0.0,260.0,3.0,2.0,50.0,84.0,29.0,50.0,23.0,34.0,5.0,9.0,15.0,173.0,26.0,67.0,20.0,37.0,6.0,15.0,15.0,52.0,84.0,46.0,104.0,98.0,t,f,t,Italy
6,2009-05-04,2009-05-10,Italy,Clay,30000.0,€,2009,alexander-flock,A. Flock,enrico-fioravante,E. Fioravante,san-remo_challenger,Round of 32,2.0,f,100,3,02:01:00,156.0,2.0,13.0,10.0,1.0,1.0,259.0,6.0,3.0,42.0,82.0,31.0,42.0,20.0,40.0,6.0,8.0,11.0,152.0,20.0,54.0,10.0,20.0,3.0,8.0,11.0,51.0,82.0,30.0,74.0,81.0,t,f,,t,Italy,0.0,10.0,13.0,0.0,254.0,0.0,4.0,54.0,74.0,34.0,54.0,10.0,20.0,5.0,8.0,11.0,119.0,11.0,42.0,20.0,40.0,2.0,8.0,11.0,44.0,74.0,31.0,82.0,75.0,f,f,f,Italy
7,2009-05-04,2009-05-10,Italy,Clay,30000.0,€,2009,alexander-flock,A. Flock,juan-pablo-brzezicki,J. Brzezicki,san-remo_challenger,Round of 16,2.0,f,100,4,01:19:00,97.0,0.0,3.0,12.0,0.0,0.0,197.0,0.0,1.0,26.0,38.0,12.0,26.0,5.0,12.0,1.0,5.0,7.0,70.0,11.0,36.0,9.0,23.0,0.0,3.0,8.0,17.0,38.0,20.0,59.0,37.0,f,f,,f,Italy,2.0,12.0,3.0,0.0,295.0,4.0,0.0,36.0,59.0,25.0,36.0,14.0,23.0,3.0,3.0,8.0,249.0,14.0,26.0,7.0,12.0,4.0,5.0,7.0,39.0,59.0,21.0,38.0,60.0,t,f,t,Italy
8,2009-05-04,2009-05-10,Italy,Clay,30000.0,€,2009,andrea-stoppini,A. Stoppini,kevin-anderson,K. Anderson,san-remo_challenger,Round of 32,2.0,f,100,3,01:22:00,109.0,0.0,3.0,12.0,0.0,0.0,187.0,1.0,3.0,40.0,66.0,21.0,40.0,10.0,26.0,6.0,11.0,8.0,57.0,5.0,27.0,6.0,16.0,0.0,5.0,7.0,31.0,66.0,11.0,43.0,42.0,f,f,,f,Italy,2.0,12.0,3.0,0.0,307.0,1.0,1.0,27.0,43.0,22.0,27.0,10.0,16.0,5.0,5.0,7.0,217.0,19.0,40.0,16.0,26.0,5.0,11.0,8.0,32.0,43.0,35.0,66.0,67.0,t,f,t,Italy
9,2009-05-04,2009-05-10,Italy,Clay,30000.0,€,2009,ashwin-kuppusamy,A. Kuppusamy,boy-westerhof,B. Westerhof,san-remo_challenger,2nd Round Qualifying,2.0,f,100,1,00:36:00,73.0,0.0,0.0,12.0,0.0,0.0,96.0,1.0,8.0,14.0,36.0,7.0,14.0,3.0,22.0,2.0,8.0,6.0,56.0,3.0,15.0,8.0,22.0,0.0,2.0,6.0,10.0,36.0,11.0,37.0,21.0,f,f,,f,Italy,2.0,12.0,0.0,0.0,288.0,5.0,2.0,15.0,37.0,12.0,15.0,14.0,22.0,2.0,2.0,6.0,311.0,7.0,14.0,19.0,22.0,6.0,8.0,6.0,26.0,37.0,26.0,36.0,52.0,t,f,t,Italy
