,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2011-01-31,2011-02-06,Chile,Clay,398250.0,$,2011,albert-ramos-vinolas,A. Ramos-Vinolas,fabio-fognini,F. Fognini,santiago,Round of 16,3.0,f,250,4,02:56:00,221.0,1.0,15.0,16.0,0.0,0.0,230.0,5.0,7.0,63.0,115.0,45.0,63.0,20.0,52.0,10.0,15.0,16.0,148.0,20.0,68.0,25.0,38.0,4.0,15.0,15.0,65.0,115.0,45.0,106.0,110.0,f,f,,t,Chile,2.0,16.0,15.0,0.0,241.0,4.0,5.0,68.0,106.0,48.0,68.0,13.0,38.0,11.0,15.0,15.0,155.0,18.0,63.0,32.0,52.0,5.0,15.0,16.0,61.0,106.0,50.0,115.0,111.0,t,f,f,Chile
1,2011-01-31,2011-02-06,Chile,Clay,398250.0,$,2011,albert-ramos-vinolas,A. Ramos-Vinolas,leonardo-mayer,L. Mayer,santiago,Round of 32,2.0,f,250,3,01:26:00,116.0,2.0,12.0,8.0,0.0,0.0,301.0,0.0,1.0,30.0,56.0,25.0,30.0,17.0,26.0,3.0,3.0,10.0,115.0,10.0,36.0,10.0,24.0,2.0,8.0,10.0,42.0,56.0,20.0,60.0,62.0,t,f,,t,Chile,0.0,8.0,12.0,0.0,266.0,1.0,5.0,36.0,60.0,26.0,36.0,14.0,24.0,6.0,8.0,10.0,52.0,5.0,30.0,9.0,26.0,0.0,3.0,10.0,40.0,60.0,14.0,56.0,54.0,f,f,f,Chile
2,2011-01-31,2011-02-06,Chile,Clay,398250.0,$,2011,alex-theiler,A. Theiler,guillermo-hormazabal,G. Hormazabal,santiago,1st Round Qualifying,2.0,f,250,0,01:50:00,141.0,0.0,8.0,13.0,0.0,1.0,223.0,0.0,4.0,61.0,73.0,31.0,61.0,5.0,12.0,4.0,9.0,10.0,178.0,13.0,50.0,13.0,18.0,3.0,6.0,10.0,36.0,73.0,26.0,68.0,62.0,f,f,,f,Chile,2.0,13.0,8.0,1.0,240.0,2.0,8.0,50.0,68.0,37.0,50.0,5.0,18.0,3.0,6.0,10.0,213.0,30.0,61.0,7.0,12.0,5.0,9.0,10.0,42.0,68.0,37.0,73.0,79.0,t,f,t,Chile
3,2011-01-31,2011-02-06,Chile,Clay,398250.0,$,2011,caio-zampieri,C. Zampieri,david-marrero,D. Marrero,santiago,1st Round Qualifying,2.0,f,250,0,01:05:00,106.0,2.0,12.0,5.0,0.0,0.0,311.0,3.0,0.0,30.0,51.0,22.0,30.0,16.0,21.0,2.0,2.0,9.0,179.0,12.0,37.0,12.0,18.0,3.0,7.0,8.0,38.0,51.0,24.0,55.0,62.0,t,f,,t,Chile,0.0,5.0,12.0,0.0,229.0,3.0,4.0,37.0,55.0,25.0,37.0,6.0,18.0,4.0,7.0,8.0,51.0,8.0,30.0,5.0,21.0,0.0,2.0,9.0,31.0,55.0,13.0,51.0,44.0,f,f,f,Chile
4,2011-01-31,2011-02-06,Chile,Clay,398250.0,$,2011,caio-zampieri,C. Zampieri,ivan-navarro,I. Navarro,santiago,3rd Round Qualifying,2.0,f,250,2,01:40:00,133.0,2.0,12.0,7.0,0.0,0.0,262.0,1.0,2.0,39.0,64.0,24.0,39.0,15.0,25.0,2.0,4.0,10.0,199.0,18.0,41.0,15.0,28.0,4.0,7.0,9.0,39.0,64.0,33.0,69.0,72.0,t,f,,t,Chile,0.0,7.0,12.0,0.0,213.0,3.0,6.0,41.0,69.0,23.0,41.0,13.0,28.0,3.0,7.0,9.0,148.0,15.0,39.0,10.0,25.0,2.0,4.0,10.0,36.0,69.0,25.0,64.0,61.0,f,f,f,Chile
5,2011-01-31,2011-02-06,Chile,Clay,398250.0,$,2011,caio-zampieri,C. Zampieri,juan-ignacio-chela,J. Chela,santiago,Round of 16,2.0,f,250,4,01:24:00,114.0,0.0,5.0,12.0,0.0,0.0,163.0,0.0,4.0,31.0,58.0,17.0,31.0,7.0,27.0,6.0,12.0,9.0,139.0,7.0,30.0,15.0,26.0,2.0,6.0,8.0,24.0,58.0,22.0,56.0,46.0,f,f,Q,f,Chile,2.0,12.0,5.0,0.0,242.0,0.0,6.0,30.0,56.0,23.0,30.0,11.0,26.0,4.0,6.0,8.0,235.0,14.0,31.0,20.0,27.0,6.0,12.0,9.0,34.0,56.0,34.0,58.0,68.0,t,f,t,Chile
6,2011-01-31,2011-02-06,Chile,Clay,398250.0,$,2011,caio-zampieri,C. Zampieri,leonardo-tavares,L. Tavares,santiago,2nd Round Qualifying,3.0,f,250,1,01:44:00,144.0,2.0,14.0,11.0,0.0,0.0,262.0,5.0,5.0,51.0,80.0,39.0,51.0,11.0,29.0,2.0,4.0,13.0,179.0,11.0,38.0,13.0,26.0,3.0,4.0,12.0,50.0,80.0,24.0,64.0,74.0,t,f,,t,Chile,1.0,11.0,14.0,0.0,253.0,1.0,3.0,38.0,64.0,27.0,38.0,13.0,26.0,1.0,4.0,12.0,151.0,12.0,51.0,18.0,29.0,2.0,4.0,13.0,40.0,64.0,30.0,80.0,70.0,f,f,f,Chile
7,2011-01-31,2011-02-06,Chile,Clay,398250.0,$,2011,caio-zampieri,C. Zampieri,nicolas-massu,N. Massu,santiago,Round of 32,2.0,f,250,3,02:38:00,177.0,2.0,14.0,11.0,1.0,1.0,266.0,5.0,2.0,50.0,83.0,36.0,50.0,16.0,33.0,5.0,7.0,12.0,148.0,24.0,60.0,17.0,34.0,3.0,9.0,12.0,52.0,83.0,41.0,94.0,93.0,t,f,Q,t,Chile,0.0,11.0,14.0,0.0,249.0,1.0,1.0,60.0,94.0,36.0,60.0,17.0,34.0,6.0,9.0,12.0,125.0,14.0,50.0,17.0,33.0,2.0,7.0,12.0,53.0,94.0,31.0,83.0,84.0,f,f,f,Chile
8,2011-01-31,2011-02-06,Chile,Clay,398250.0,$,2011,carlos-berlocq,C. Berlocq,david-nalbandian,D. Nalbandian,santiago,Round of 32,3.0,f,250,3,01:57:00,162.0,1.0,10.0,14.0,0.0,0.0,233.0,4.0,1.0,40.0,67.0,27.0,40.0,12.0,27.0,3.0,8.0,12.0,134.0,14.0,48.0,25.0,47.0,3.0,11.0,12.0,39.0,67.0,39.0,95.0,78.0,f,f,,f,Chile,2.0,14.0,10.0,0.0,236.0,2.0,10.0,48.0,95.0,34.0,48.0,22.0,47.0,8.0,11.0,12.0,193.0,13.0,40.0,15.0,27.0,5.0,8.0,12.0,56.0,95.0,28.0,67.0,84.0,t,f,t,Chile
9,2011-01-31,2011-02-06,Chile,Clay,398250.0,$,2011,christian-lindell,C. Lindell,guillermo-hormazabal,G. Hormazabal,santiago,2nd Round Qualifying,2.0,f,250,1,01:47:00,133.0,0.0,7.0,13.0,0.0,1.0,204.0,2.0,6.0,37.0,69.0,25.0,37.0,10.0,32.0,4.0,8.0,9.0,150.0,11.0,44.0,11.0,20.0,2.0,4.0,10.0,35.0,69.0,22.0,64.0,57.0,f,f,,f,Chile,2.0,13.0,7.0,1.0,269.0,3.0,3.0,44.0,64.0,33.0,44.0,9.0,20.0,2.0,4.0,10.0,195.0,12.0,37.0,22.0,32.0,4.0,8.0,9.0,42.0,64.0,34.0,69.0,76.0,t,f,t,Chile
