,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,agustin-velotti,A. Velotti,fabiano-de-paula,F. De Paula,santiago_challenger,Round of 32,2.0,f,100,3,01:26:00,117.0,0.0,7.0,12.0,0.0,0.0,193.0,1.0,4.0,29.0,66.0,17.0,29.0,16.0,37.0,3.0,8.0,10.0,190.0,9.0,38.0,10.0,13.0,2.0,3.0,9.0,33.0,66.0,19.0,51.0,52.0,f,f,,f,Chile,2.0,12.0,7.0,0.0,252.0,1.0,0.0,38.0,51.0,29.0,38.0,3.0,13.0,1.0,3.0,9.0,211.0,12.0,29.0,21.0,37.0,5.0,8.0,10.0,32.0,51.0,33.0,66.0,65.0,t,f,t,Chile
1,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,alejandro-gonzalez,A. Gonzalez,facundo-bagnis,F. Bagnis,santiago_challenger,Quarter-Finals,2.0,f,100,5,01:05:00,87.0,0.0,3.0,12.0,0.0,0.0,161.0,0.0,2.0,29.0,48.0,12.0,29.0,7.0,19.0,5.0,11.0,8.0,175.0,7.0,22.0,5.0,17.0,1.0,1.0,7.0,19.0,48.0,12.0,39.0,31.0,f,f,,f,Chile,2.0,12.0,3.0,0.0,279.0,1.0,2.0,22.0,39.0,15.0,22.0,12.0,17.0,0.0,1.0,7.0,252.0,17.0,29.0,12.0,19.0,6.0,11.0,8.0,27.0,39.0,29.0,48.0,56.0,t,f,t,Chile
2,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,alejandro-gonzalez,A. Gonzalez,jorge-aguilar,J. Aguilar,santiago_challenger,Round of 32,3.0,f,100,3,02:49:00,229.0,2.0,19.0,16.0,0.0,1.0,237.0,2.0,1.0,55.0,95.0,39.0,55.0,17.0,40.0,6.0,12.0,17.0,179.0,29.0,74.0,33.0,60.0,8.0,21.0,17.0,56.0,95.0,62.0,134.0,118.0,t,f,,t,Chile,1.0,16.0,19.0,1.0,213.0,4.0,4.0,74.0,134.0,45.0,74.0,27.0,60.0,13.0,21.0,17.0,172.0,16.0,55.0,23.0,40.0,6.0,12.0,17.0,72.0,134.0,39.0,95.0,111.0,f,f,f,Chile
3,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,alejandro-gonzalez,A. Gonzalez,renzo-olivo,R. Olivo,santiago_challenger,Round of 16,2.0,f,100,4,00:59:00,92.0,2.0,12.0,4.0,0.0,0.0,311.0,0.0,2.0,28.0,45.0,21.0,28.0,13.0,17.0,1.0,1.0,8.0,220.0,13.0,33.0,9.0,14.0,4.0,6.0,8.0,34.0,45.0,22.0,47.0,56.0,t,f,,t,Chile,0.0,4.0,12.0,0.0,215.0,1.0,3.0,33.0,47.0,20.0,33.0,5.0,14.0,2.0,6.0,8.0,49.0,7.0,28.0,4.0,17.0,0.0,1.0,8.0,25.0,47.0,11.0,45.0,36.0,f,f,f,Chile
4,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,andrea-collarini,A. Collarini,federico-gaio,F. Gaio,santiago_challenger,1st Round Qualifying,2.0,f,100,0,01:35:00,116.0,2.0,12.0,8.0,0.0,0.0,332.0,0.0,0.0,49.0,54.0,35.0,49.0,4.0,5.0,2.0,3.0,10.0,158.0,20.0,48.0,5.0,14.0,3.0,6.0,10.0,39.0,54.0,25.0,62.0,64.0,t,f,4,t,Chile,0.0,8.0,12.0,0.0,269.0,1.0,1.0,48.0,62.0,28.0,48.0,9.0,14.0,3.0,6.0,10.0,92.0,14.0,49.0,1.0,5.0,1.0,3.0,10.0,37.0,62.0,15.0,54.0,52.0,f,f,f,Chile
5,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,andrea-collarini,A. Collarini,juan-matias-gonzalez-carrasco,J. Gonzalez Carrasco,santiago_challenger,2nd Round Qualifying,2.0,f,100,1,01:24:00,126.0,2.0,12.0,5.0,0.0,0.0,296.0,4.0,3.0,51.0,70.0,38.0,51.0,9.0,19.0,8.0,8.0,9.0,157.0,6.0,28.0,17.0,28.0,3.0,8.0,8.0,47.0,70.0,23.0,56.0,70.0,t,f,4,t,Chile,0.0,5.0,12.0,0.0,233.0,6.0,3.0,28.0,56.0,22.0,28.0,11.0,28.0,5.0,8.0,8.0,78.0,13.0,51.0,10.0,19.0,0.0,8.0,9.0,33.0,56.0,23.0,70.0,56.0,f,f,f,Chile
6,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,andrea-collarini,A. Collarini,marcel-felder,M. Felder,santiago_challenger,3rd Round Qualifying,2.0,f,100,2,01:42:00,139.0,2.0,13.0,8.0,1.0,1.0,300.0,2.0,0.0,54.0,68.0,39.0,54.0,8.0,14.0,5.0,6.0,10.0,163.0,21.0,58.0,7.0,13.0,3.0,7.0,10.0,47.0,68.0,28.0,71.0,75.0,t,f,4,t,Chile,0.0,8.0,13.0,0.0,262.0,0.0,0.0,58.0,71.0,37.0,58.0,6.0,13.0,4.0,7.0,10.0,98.0,15.0,54.0,6.0,14.0,1.0,6.0,10.0,43.0,71.0,21.0,68.0,64.0,f,f,f,Chile
7,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,andrea-collarini,A. Collarini,martin-alund,M. Alund,santiago_challenger,Round of 32,2.0,f,100,3,01:20:00,109.0,0.0,6.0,12.0,0.0,0.0,216.0,2.0,3.0,36.0,61.0,17.0,36.0,14.0,25.0,10.0,14.0,9.0,185.0,8.0,34.0,7.0,14.0,1.0,1.0,9.0,31.0,61.0,15.0,48.0,46.0,f,f,Q,f,Chile,2.0,12.0,6.0,0.0,288.0,4.0,1.0,34.0,48.0,26.0,34.0,7.0,14.0,0.0,1.0,9.0,170.0,19.0,36.0,11.0,25.0,4.0,14.0,9.0,33.0,48.0,30.0,61.0,63.0,t,f,t,Chile
8,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,andres-molteni,A. Molteni,jorge-montero,J. Montero,santiago_challenger,1st Round Qualifying,2.0,f,100,0,01:31:00,126.0,2.0,13.0,8.0,1.0,1.0,295.0,6.0,3.0,38.0,56.0,32.0,38.0,9.0,18.0,0.0,1.0,10.0,151.0,18.0,41.0,10.0,29.0,3.0,7.0,10.0,41.0,56.0,28.0,70.0,69.0,t,f,6,t,Chile,0.0,8.0,13.0,0.0,251.0,1.0,1.0,41.0,70.0,23.0,41.0,19.0,29.0,4.0,7.0,10.0,176.0,6.0,38.0,9.0,18.0,1.0,1.0,10.0,42.0,70.0,15.0,56.0,57.0,f,f,f,Chile
9,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,andres-molteni,A. Molteni,marcel-felder,M. Felder,santiago_challenger,2nd Round Qualifying,3.0,f,100,1,02:30:00,174.0,1.0,13.0,14.0,0.0,0.0,224.0,2.0,5.0,53.0,85.0,29.0,53.0,17.0,32.0,2.0,8.0,14.0,192.0,26.0,60.0,16.0,29.0,5.0,9.0,13.0,46.0,85.0,42.0,89.0,88.0,f,f,6,f,Chile,2.0,14.0,13.0,0.0,229.0,0.0,1.0,60.0,89.0,34.0,60.0,13.0,29.0,4.0,9.0,13.0,209.0,24.0,53.0,15.0,32.0,6.0,8.0,14.0,47.0,89.0,39.0,85.0,86.0,t,f,t,Chile
10,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,antonio-veic,A. Veic,federico-delbonis,F. Delbonis,santiago_challenger,Quarter-Finals,3.0,f,100,5,02:15:00,193.0,2.0,15.0,14.0,0.0,0.0,261.0,5.0,4.0,66.0,103.0,46.0,66.0,17.0,37.0,3.0,6.0,15.0,131.0,18.0,60.0,14.0,30.0,3.0,9.0,14.0,63.0,103.0,32.0,90.0,95.0,t,f,5,f,Chile,1.0,14.0,15.0,0.0,268.0,4.0,4.0,60.0,90.0,42.0,60.0,16.0,30.0,6.0,9.0,14.0,154.0,20.0,66.0,20.0,37.0,3.0,6.0,15.0,58.0,90.0,40.0,103.0,98.0,f,f,t,Chile
11,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,antonio-veic,A. Veic,guilherme-clezar,G. Clezar,santiago_challenger,Round of 16,2.0,f,100,4,01:07:00,95.0,2.0,12.0,3.0,0.0,0.0,314.0,6.0,2.0,39.0,53.0,28.0,39.0,9.0,14.0,8.0,8.0,8.0,234.0,12.0,22.0,11.0,20.0,4.0,6.0,7.0,37.0,53.0,23.0,42.0,60.0,t,f,5,t,Chile,0.0,3.0,12.0,0.0,185.0,1.0,0.0,22.0,42.0,10.0,22.0,9.0,20.0,2.0,6.0,7.0,64.0,11.0,39.0,5.0,14.0,0.0,8.0,8.0,19.0,42.0,16.0,53.0,35.0,f,f,f,Chile
12,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,antonio-veic,A. Veic,james-ward,J. Ward,santiago_challenger,Round of 32,2.0,f,100,3,01:15:00,119.0,2.0,13.0,7.0,1.0,1.0,275.0,4.0,2.0,41.0,57.0,33.0,41.0,7.0,16.0,2.0,4.0,9.0,224.0,17.0,40.0,15.0,22.0,5.0,8.0,10.0,40.0,57.0,32.0,62.0,72.0,t,f,5,t,Chile,0.0,7.0,13.0,0.0,203.0,3.0,5.0,40.0,62.0,23.0,40.0,7.0,22.0,3.0,8.0,10.0,148.0,8.0,41.0,9.0,16.0,2.0,4.0,9.0,30.0,62.0,17.0,57.0,47.0,f,f,f,Chile
13,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,antonio-veic,A. Veic,thiemo-de-bakker,T. de Bakker,santiago_challenger,Semi-Finals,2.0,f,100,6,01:08:00,109.0,0.0,7.0,12.0,0.0,0.0,248.0,3.0,2.0,42.0,62.0,29.0,42.0,8.0,20.0,5.0,8.0,10.0,45.0,5.0,29.0,5.0,18.0,0.0,0.0,9.0,37.0,62.0,10.0,47.0,47.0,f,f,5,f,Chile,2.0,12.0,7.0,0.0,324.0,7.0,0.0,29.0,47.0,24.0,29.0,13.0,18.0,0.0,0.0,9.0,159.0,13.0,42.0,12.0,20.0,3.0,8.0,10.0,37.0,47.0,25.0,62.0,62.0,t,f,t,Chile
14,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,ariel-behar,A. Behar,pere-riba,P. Riba,santiago_challenger,2nd Round Qualifying,2.0,f,100,1,01:03:00,100.0,0.0,4.0,12.0,0.0,0.0,200.0,2.0,4.0,33.0,64.0,20.0,33.0,12.0,31.0,6.0,10.0,8.0,28.0,2.0,26.0,2.0,10.0,0.0,0.0,8.0,32.0,64.0,4.0,36.0,36.0,f,f,,f,Chile,2.0,12.0,4.0,0.0,345.0,1.0,0.0,26.0,36.0,24.0,26.0,8.0,10.0,0.0,0.0,8.0,190.0,13.0,33.0,19.0,31.0,4.0,10.0,8.0,32.0,36.0,32.0,64.0,64.0,t,f,t,Chile
15,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,ariel-behar,A. Behar,ricardo-urzua-rivera,R. Urzua-Rivera,santiago_challenger,1st Round Qualifying,3.0,f,100,0,02:41:00,200.0,2.0,16.0,15.0,0.0,0.0,237.0,1.0,4.0,77.0,82.0,46.0,77.0,1.0,5.0,5.0,10.0,15.0,193.0,46.0,108.0,7.0,10.0,6.0,14.0,16.0,47.0,82.0,53.0,118.0,100.0,t,f,,t,Chile,1.0,15.0,16.0,0.0,236.0,0.0,5.0,108.0,118.0,62.0,108.0,3.0,10.0,8.0,14.0,16.0,203.0,31.0,77.0,4.0,5.0,5.0,10.0,15.0,65.0,118.0,35.0,82.0,100.0,f,f,f,Chile
16,2013-03-04,2013-03-10,Chile,Clay,35000.0,$,2013,bastian-malla,B. Malla,jaime-ignacio-bueno-tapia,J. Bueno Tapia,santiago_challenger,1st Round Qualifying,2.0,f,100,0,01:02:00,83.0,2.0,12.0,2.0,0.0,0.0,296.0,0.0,1.0,26.0,44.0,20.0,26.0,11.0,18.0,2.0,2.0,7.0,300.0,10.0,20.0,15.0,19.0,5.0,5.0,7.0,31.0,44.0,25.0,39.0,56.0,t,f,WC,t,Chile,0.0,2.0,12.0,0.0,145.0,0.0,5.0,20.0,39.0,10.0,20.0,4.0,19.0,0.0,5.0,7.0,62.0,6.0,26.0,7.0,18.0,0.0,2.0,7.0,14.0,39.0,13.0,44.0,27.0,f,f,f,Chile
