,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2011-04-18,2011-04-24,Brazil,Clay,35000.0,$,2011,alex-blumenberg,A. Blumenberg,andrew-lauret,A. Lauret,santos_challenger,2nd Round Qualifying,2.0,f,100,1,01:23:00,106.0,0.0,5.0,12.0,0.0,0.0,200.0,3.0,7.0,26.0,49.0,16.0,26.0,9.0,23.0,2.0,6.0,8.0,107.0,5.0,29.0,15.0,28.0,1.0,4.0,9.0,25.0,49.0,20.0,57.0,45.0,f,f,,f,Brazil,2.0,12.0,5.0,0.0,267.0,3.0,4.0,29.0,57.0,24.0,29.0,13.0,28.0,3.0,4.0,9.0,216.0,10.0,26.0,14.0,23.0,4.0,6.0,8.0,37.0,57.0,24.0,49.0,61.0,t,f,t,Brazil
1,2011-04-18,2011-04-24,Brazil,Clay,35000.0,$,2011,alex-blumenberg,A. Blumenberg,roman-borvanov,R. Borvanov,santos_challenger,1st Round Qualifying,2.0,f,100,0,01:37:00,133.0,2.0,13.0,8.0,1.0,1.0,263.0,7.0,8.0,44.0,68.0,34.0,44.0,10.0,24.0,6.0,8.0,10.0,211.0,14.0,36.0,15.0,29.0,4.0,5.0,10.0,44.0,68.0,29.0,65.0,73.0,t,f,,t,Brazil,0.0,8.0,13.0,0.0,221.0,5.0,8.0,36.0,65.0,22.0,36.0,14.0,29.0,1.0,5.0,10.0,126.0,10.0,44.0,14.0,24.0,2.0,8.0,10.0,36.0,65.0,24.0,68.0,60.0,f,f,f,Brazil
2,2011-04-18,2011-04-24,Brazil,Clay,35000.0,$,2011,aljaz-bedene,A. Bedene,diego-junqueira,D. Junqueira,santos_challenger,Quarter-Finals,1.0,f,100,5,01:00:00,67.0,0.0,4.0,6.0,0.0,0.0,184.0,4.0,4.0,18.0,40.0,12.0,18.0,7.0,22.0,3.0,6.0,5.0,240.0,7.0,21.0,4.0,6.0,2.0,2.0,5.0,19.0,40.0,11.0,27.0,30.0,f,t,SE,f,Brazil,1.0,6.0,4.0,0.0,239.0,1.0,0.0,21.0,27.0,14.0,21.0,2.0,6.0,0.0,2.0,5.0,211.0,6.0,18.0,15.0,22.0,3.0,6.0,5.0,16.0,27.0,21.0,40.0,37.0,t,t,t,Brazil
3,2011-04-18,2011-04-24,Brazil,Clay,35000.0,$,2011,aljaz-bedene,A. Bedene,ivan-miranda,I. Miranda,santos_challenger,Round of 16,2.0,f,100,4,01:26:00,115.0,2.0,12.0,6.0,0.0,0.0,288.0,12.0,1.0,29.0,53.0,22.0,29.0,14.0,24.0,1.0,2.0,9.0,214.0,13.0,39.0,16.0,23.0,4.0,6.0,9.0,36.0,53.0,29.0,62.0,65.0,t,f,SE,t,Brazil,0.0,6.0,12.0,0.0,219.0,4.0,0.0,39.0,62.0,26.0,39.0,7.0,23.0,2.0,6.0,9.0,127.0,7.0,29.0,10.0,24.0,1.0,2.0,9.0,33.0,62.0,17.0,53.0,50.0,f,f,f,Brazil
4,2011-04-18,2011-04-24,Brazil,Clay,35000.0,$,2011,aljaz-bedene,A. Bedene,ricardo-hocevar,R. Hocevar,santos_challenger,Round of 32,2.0,f,100,3,01:30:00,115.0,2.0,12.0,7.0,0.0,0.0,280.0,10.0,3.0,32.0,62.0,26.0,32.0,15.0,30.0,3.0,4.0,10.0,223.0,13.0,28.0,11.0,25.0,3.0,3.0,9.0,41.0,62.0,24.0,53.0,65.0,t,f,SE,t,Brazil,0.0,7.0,12.0,0.0,232.0,4.0,1.0,28.0,53.0,15.0,28.0,14.0,25.0,0.0,3.0,9.0,104.0,6.0,32.0,15.0,30.0,1.0,4.0,10.0,29.0,53.0,21.0,62.0,50.0,f,f,f,Brazil
5,2011-04-18,2011-04-24,Brazil,Clay,35000.0,$,2011,allan-gomes-oliveira,A. Oliveira,felipe-soares,F. Soares,santos_challenger,1st Round Qualifying,2.0,f,100,0,01:06:00,86.0,0.0,3.0,12.0,0.0,0.0,186.0,0.0,2.0,38.0,49.0,21.0,38.0,2.0,11.0,5.0,10.0,8.0,50.0,4.0,21.0,5.0,16.0,0.0,0.0,7.0,23.0,49.0,9.0,37.0,32.0,f,f,WC,f,Brazil,2.0,12.0,3.0,0.0,306.0,1.0,2.0,21.0,37.0,17.0,21.0,11.0,16.0,0.0,0.0,7.0,239.0,17.0,38.0,9.0,11.0,5.0,10.0,8.0,28.0,37.0,26.0,49.0,54.0,t,f,t,Brazil
6,2011-04-18,2011-04-24,Brazil,Clay,35000.0,$,2011,andre-ghem,A. Ghem,caio-silva,C. Silva,santos_challenger,1st Round Qualifying,2.0,f,100,0,01:06:00,106.0,2.0,12.0,6.0,0.0,0.0,291.0,5.0,3.0,26.0,54.0,20.0,26.0,18.0,28.0,4.0,4.0,9.0,180.0,12.0,35.0,9.0,17.0,3.0,5.0,9.0,38.0,54.0,21.0,52.0,59.0,t,f,6,t,Brazil,0.0,6.0,12.0,0.0,245.0,1.0,2.0,35.0,52.0,23.0,35.0,8.0,17.0,2.0,5.0,9.0,59.0,6.0,26.0,10.0,28.0,0.0,4.0,9.0,31.0,52.0,16.0,54.0,47.0,f,f,f,Brazil
7,2011-04-18,2011-04-24,Brazil,Clay,35000.0,$,2011,andre-ghem,A. Ghem,felipe-soares,F. Soares,santos_challenger,2nd Round Qualifying,2.0,f,100,1,00:50:00,79.0,2.0,12.0,2.0,0.0,0.0,290.0,1.0,1.0,18.0,33.0,15.0,18.0,10.0,15.0,0.0,1.0,7.0,269.0,22.0,33.0,8.0,13.0,6.0,11.0,7.0,25.0,33.0,30.0,46.0,55.0,t,f,6,t,Brazil,0.0,2.0,12.0,0.0,156.0,0.0,1.0,33.0,46.0,11.0,33.0,5.0,13.0,5.0,11.0,7.0,164.0,3.0,18.0,5.0,15.0,1.0,1.0,7.0,16.0,46.0,8.0,33.0,24.0,f,f,f,Brazil
8,2011-04-18,2011-04-24,Brazil,Clay,35000.0,$,2011,andre-ghem,A. Ghem,javier-marti,J. Marti,santos_challenger,Round of 32,2.0,f,100,3,01:13:00,104.0,0.0,5.0,12.0,0.0,0.0,183.0,0.0,3.0,24.0,52.0,11.0,24.0,14.0,28.0,1.0,6.0,9.0,112.0,12.0,38.0,6.0,14.0,1.0,4.0,8.0,25.0,52.0,18.0,52.0,43.0,f,f,Q,f,Brazil,2.0,12.0,5.0,0.0,284.0,0.0,1.0,38.0,52.0,26.0,38.0,8.0,14.0,3.0,4.0,8.0,242.0,13.0,24.0,14.0,28.0,5.0,6.0,9.0,34.0,52.0,27.0,52.0,61.0,t,f,t,Brazil
9,2011-04-18,2011-04-24,Brazil,Clay,35000.0,$,2011,andre-ghem,A. Ghem,timo-nieminen,T. Nieminen,santos_challenger,3rd Round Qualifying,2.0,f,100,2,01:19:00,111.0,2.0,12.0,5.0,0.0,0.0,260.0,4.0,0.0,32.0,57.0,20.0,32.0,15.0,25.0,1.0,3.0,9.0,236.0,15.0,32.0,14.0,22.0,5.0,8.0,8.0,35.0,57.0,29.0,54.0,64.0,t,f,6,t,Brazil,0.0,5.0,12.0,0.0,181.0,3.0,7.0,32.0,54.0,17.0,32.0,8.0,22.0,3.0,8.0,8.0,167.0,12.0,32.0,10.0,25.0,2.0,3.0,9.0,25.0,54.0,22.0,57.0,47.0,f,f,f,Brazil
