,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2012-02-13,2012-02-19,Brazil,Clay,475300.0,$,2012,albert-montanes,A. Montanes,filippo-volandri,F. Volandri,sao-paulo,Round of 32,2.0,f,250,3,01:05:00,90.0,0.0,5.0,12.0,0.0,0.0,205.0,1.0,2.0,24.0,44.0,17.0,24.0,6.0,20.0,3.0,7.0,8.0,86.0,8.0,35.0,3.0,11.0,1.0,4.0,9.0,23.0,44.0,11.0,46.0,34.0,f,f,7,f,Brazil,2.0,12.0,5.0,0.0,313.0,0.0,1.0,35.0,46.0,27.0,35.0,8.0,11.0,3.0,4.0,9.0,206.0,7.0,24.0,14.0,20.0,4.0,7.0,8.0,35.0,46.0,21.0,44.0,56.0,t,f,t,Brazil
1,2012-02-13,2012-02-19,Brazil,Clay,475300.0,$,2012,albert-ramos-vinolas,A. Ramos-Vinolas,fernando-verdasco,F. Verdasco,sao-paulo,Quarter-Finals,2.0,f,250,5,01:56:00,148.0,2.0,13.0,9.0,1.0,1.0,279.0,5.0,3.0,48.0,75.0,38.0,48.0,12.0,27.0,3.0,4.0,11.0,137.0,20.0,51.0,10.0,22.0,2.0,6.0,10.0,50.0,75.0,30.0,73.0,80.0,t,f,8,t,Brazil,0.0,9.0,13.0,0.0,271.0,6.0,1.0,51.0,73.0,31.0,51.0,12.0,22.0,4.0,6.0,10.0,111.0,10.0,48.0,15.0,27.0,1.0,4.0,11.0,43.0,73.0,25.0,75.0,68.0,f,f,f,Brazil
2,2012-02-13,2012-02-19,Brazil,Clay,475300.0,$,2012,albert-ramos-vinolas,A. Ramos-Vinolas,igor-andreev,I. Andreev,sao-paulo,Round of 16,2.0,f,250,4,02:13:00,174.0,2.0,14.0,12.0,2.0,2.0,312.0,7.0,1.0,54.0,87.0,45.0,54.0,20.0,33.0,4.0,4.0,12.0,64.0,9.0,53.0,16.0,34.0,0.0,3.0,12.0,65.0,87.0,25.0,87.0,90.0,t,f,8,t,Brazil,0.0,12.0,14.0,0.0,305.0,10.0,2.0,53.0,87.0,44.0,53.0,18.0,34.0,3.0,3.0,12.0,56.0,9.0,54.0,13.0,33.0,0.0,4.0,12.0,62.0,87.0,22.0,87.0,84.0,f,f,f,Brazil
3,2012-02-13,2012-02-19,Brazil,Clay,475300.0,$,2012,albert-ramos-vinolas,A. Ramos-Vinolas,nicolas-almagro,N. Almagro,sao-paulo,Semi-Finals,2.0,f,250,6,01:49:00,142.0,0.0,10.0,13.0,0.0,1.0,271.0,6.0,4.0,46.0,76.0,32.0,46.0,17.0,30.0,6.0,8.0,11.0,105.0,9.0,40.0,6.0,26.0,1.0,2.0,11.0,49.0,76.0,15.0,66.0,64.0,f,f,8,f,Brazil,2.0,13.0,10.0,1.0,311.0,6.0,1.0,40.0,66.0,31.0,40.0,20.0,26.0,1.0,2.0,11.0,116.0,14.0,46.0,13.0,30.0,2.0,8.0,11.0,51.0,66.0,27.0,76.0,78.0,t,f,t,Brazil
4,2012-02-13,2012-02-19,Brazil,Clay,475300.0,$,2012,albert-ramos-vinolas,A. Ramos-Vinolas,santiago-giraldo,S. Giraldo,sao-paulo,Round of 32,2.0,f,250,3,01:24:00,126.0,2.0,12.0,7.0,0.0,0.0,261.0,7.0,6.0,43.0,73.0,32.0,43.0,14.0,30.0,6.0,8.0,10.0,216.0,11.0,32.0,15.0,21.0,4.0,6.0,9.0,46.0,73.0,26.0,53.0,72.0,t,f,8,t,Brazil,0.0,7.0,12.0,0.0,214.0,5.0,1.0,32.0,53.0,21.0,32.0,6.0,21.0,2.0,6.0,9.0,124.0,11.0,43.0,16.0,30.0,2.0,8.0,10.0,27.0,53.0,27.0,73.0,54.0,f,f,f,Brazil
5,2012-02-13,2012-02-19,Brazil,Clay,475300.0,$,2012,alessandro-giannessi,A. Giannessi,maximo-gonzalez,M. Gonzalez,sao-paulo,2nd Round Qualifying,2.0,f,250,1,01:41:00,132.0,0.0,8.0,13.0,0.0,0.0,254.0,3.0,1.0,42.0,63.0,28.0,42.0,10.0,21.0,4.0,7.0,10.0,180.0,12.0,47.0,10.0,22.0,1.0,1.0,11.0,38.0,63.0,22.0,69.0,60.0,f,f,,f,Brazil,2.0,13.0,8.0,0.0,291.0,4.0,0.0,47.0,69.0,35.0,47.0,12.0,22.0,0.0,1.0,11.0,158.0,14.0,42.0,11.0,21.0,3.0,7.0,10.0,47.0,69.0,25.0,63.0,72.0,t,f,t,Brazil
6,2012-02-13,2012-02-19,Brazil,Clay,475300.0,$,2012,alessandro-giannessi,A. Giannessi,tiago-lopes,T. Lopes,sao-paulo,1st Round Qualifying,2.0,f,250,0,01:19:00,101.0,2.0,12.0,6.0,0.0,0.0,306.0,3.0,2.0,32.0,54.0,25.0,32.0,15.0,22.0,5.0,5.0,9.0,230.0,6.0,25.0,16.0,22.0,3.0,3.0,9.0,40.0,54.0,22.0,47.0,62.0,t,f,,t,Brazil,0.0,6.0,12.0,0.0,219.0,0.0,3.0,25.0,47.0,19.0,25.0,6.0,22.0,0.0,3.0,9.0,54.0,7.0,32.0,7.0,22.0,0.0,5.0,9.0,25.0,47.0,14.0,54.0,39.0,f,f,f,Brazil
7,2012-02-13,2012-02-19,Brazil,Clay,475300.0,$,2012,andre-ghem,A. Ghem,igor-andreev,I. Andreev,sao-paulo,2nd Round Qualifying,2.0,f,250,1,00:57:00,85.0,0.0,3.0,12.0,0.0,0.0,202.0,2.0,1.0,28.0,43.0,17.0,28.0,5.0,15.0,2.0,6.0,7.0,50.0,4.0,24.0,6.0,18.0,0.0,0.0,8.0,22.0,43.0,10.0,42.0,32.0,f,f,,f,Brazil,2.0,12.0,3.0,0.0,305.0,0.0,2.0,24.0,42.0,20.0,24.0,12.0,18.0,0.0,0.0,8.0,230.0,11.0,28.0,10.0,15.0,4.0,6.0,7.0,32.0,42.0,21.0,43.0,53.0,t,f,t,Brazil
8,2012-02-13,2012-02-19,Brazil,Clay,475300.0,$,2012,andre-ghem,A. Ghem,marco-trungelliti,M. Trungelliti,sao-paulo,1st Round Qualifying,2.0,f,250,0,01:30:00,136.0,2.0,13.0,8.0,1.0,1.0,263.0,1.0,2.0,37.0,65.0,30.0,37.0,13.0,28.0,2.0,4.0,10.0,184.0,14.0,40.0,20.0,31.0,4.0,9.0,10.0,43.0,65.0,34.0,71.0,77.0,t,f,,t,Brazil,0.0,8.0,13.0,0.0,213.0,4.0,7.0,40.0,71.0,26.0,40.0,11.0,31.0,5.0,9.0,10.0,143.0,7.0,37.0,15.0,28.0,2.0,4.0,10.0,37.0,71.0,22.0,65.0,59.0,f,f,f,Brazil
9,2012-02-13,2012-02-19,Brazil,Clay,475300.0,$,2012,andres-molteni,A. Molteni,diego-junqueira,D. Junqueira,sao-paulo,1st Round Qualifying,2.0,f,250,0,01:12:00,106.0,0.0,6.0,12.0,0.0,0.0,191.0,1.0,1.0,30.0,44.0,15.0,30.0,4.0,14.0,0.0,5.0,9.0,150.0,20.0,52.0,5.0,10.0,2.0,5.0,9.0,19.0,44.0,25.0,62.0,44.0,f,f,,f,Brazil,2.0,12.0,6.0,0.0,273.0,0.0,0.0,52.0,62.0,32.0,52.0,5.0,10.0,3.0,5.0,9.0,276.0,15.0,30.0,10.0,14.0,5.0,5.0,9.0,37.0,62.0,25.0,44.0,62.0,t,f,t,Brazil
