start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2013-04-15,2013-04-21,USA,Clay,100000.0,$,2013,adrian-menendez-maceiras,A. Menendez-Maceiras,cedrik-marcel-stebe,C. Stebe,sarasota_challenger,Round of 32,2.0,f,100,3,01:08:00,95.0,0.0,4.0,12.0,0.0,0.0,120.0,0.0,1.0,19.0,40.0,7.0,19.0,5.0,21.0,2.0,9.0,8.0,156.0,11.0,31.0,13.0,24.0,3.0,10.0,8.0,12.0,40.0,24.0,55.0,36.0,f,f,,f,USA,2.0,12.0,4.0,0.0,228.0,2.0,3.0,31.0,55.0,20.0,31.0,11.0,24.0,7.0,10.0,8.0,304.0,12.0,19.0,16.0,21.0,7.0,9.0,8.0,31.0,55.0,28.0,40.0,59.0,t,f,t,USA
2013-04-15,2013-04-21,USA,Clay,100000.0,$,2013,alex-bogomolov-jr.,A. Bogomolov Jr.,wayne-odesnik,W. Odesnik,sarasota_challenger,Round of 32,2.0,f,100,3,01:08:00,90.0,0.0,2.0,12.0,0.0,0.0,149.0,0.0,0.0,28.0,43.0,12.0,28.0,4.0,15.0,6.0,12.0,7.0,114.0,10.0,34.0,6.0,13.0,1.0,4.0,7.0,16.0,43.0,16.0,47.0,32.0,f,f,,f,USA,2.0,12.0,2.0,0.0,284.0,5.0,3.0,34.0,47.0,24.0,34.0,7.0,13.0,3.0,4.0,7.0,265.0,16.0,28.0,11.0,15.0,6.0,12.0,7.0,31.0,47.0,27.0,43.0,58.0,t,f,t,USA
2013-04-15,2013-04-21,USA,Clay,100000.0,$,2013,alex-kuznetsov,A. Kuznetsov,benjamin-becker,B. Becker,sarasota_challenger,Round of 32,2.0,f,100,3,00:56:00,86.0,2.0,12.0,4.0,0.0,0.0,290.0,0.0,0.0,33.0,44.0,24.0,33.0,6.0,11.0,1.0,2.0,8.0,258.0,11.0,24.0,12.0,18.0,5.0,6.0,8.0,30.0,44.0,23.0,42.0,53.0,t,f,Q,t,USA,0.0,4.0,12.0,0.0,181.0,2.0,2.0,24.0,42.0,13.0,24.0,6.0,18.0,1.0,6.0,8.0,134.0,9.0,33.0,5.0,11.0,1.0,2.0,8.0,19.0,42.0,14.0,44.0,33.0,f,f,f,USA
2013-04-15,2013-04-21,USA,Clay,100000.0,$,2013,alex-kuznetsov,A. Kuznetsov,mitchell-krueger,M. Krueger,sarasota_challenger,3rd Round Qualifying,2.0,f,100,2,00:55:00,96.0,2.0,12.0,6.0,0.0,0.0,287.0,5.0,0.0,32.0,45.0,23.0,32.0,8.0,13.0,0.0,2.0,9.0,238.0,16.0,31.0,12.0,20.0,5.0,7.0,9.0,31.0,45.0,28.0,51.0,59.0,t,f,2,t,USA,0.0,6.0,12.0,0.0,190.0,1.0,4.0,31.0,51.0,15.0,31.0,8.0,20.0,2.0,7.0,9.0,188.0,9.0,32.0,5.0,13.0,2.0,2.0,9.0,23.0,51.0,14.0,45.0,37.0,f,f,f,USA
2013-04-15,2013-04-21,USA,Clay,100000.0,$,2013,alex-kuznetsov,A. Kuznetsov,roman-borvanov,R. Borvanov,sarasota_challenger,2nd Round Qualifying,2.0,f,100,1,01:28:00,122.0,2.0,12.0,4.0,0.0,0.0,296.0,3.0,0.0,35.0,55.0,26.0,35.0,11.0,20.0,6.0,6.0,8.0,189.0,13.0,38.0,20.0,29.0,4.0,11.0,8.0,37.0,55.0,33.0,67.0,70.0,t,f,2,t,USA,0.0,4.0,12.0,0.0,205.0,2.0,1.0,38.0,67.0,25.0,38.0,9.0,29.0,7.0,11.0,8.0,71.0,9.0,35.0,9.0,20.0,0.0,6.0,8.0,34.0,67.0,18.0,55.0,52.0,f,f,f,USA
2013-04-15,2013-04-21,USA,Clay,100000.0,$,2013,alex-kuznetsov,A. Kuznetsov,somdev-devvarman,S. Devvarman,sarasota_challenger,Semi-Finals,3.0,f,100,6,01:59:00,163.0,2.0,15.0,10.0,0.0,0.0,270.0,2.0,1.0,63.0,92.0,41.0,63.0,15.0,29.0,3.0,5.0,13.0,149.0,16.0,44.0,12.0,27.0,4.0,11.0,12.0,56.0,92.0,28.0,71.0,84.0,t,f,Q,f,USA,1.0,10.0,15.0,0.0,251.0,4.0,1.0,44.0,71.0,28.0,44.0,15.0,27.0,7.0,11.0,12.0,138.0,22.0,63.0,14.0,29.0,2.0,5.0,13.0,43.0,71.0,36.0,92.0,79.0,f,f,t,USA
2013-04-15,2013-04-21,USA,Clay,100000.0,$,2013,alex-kuznetsov,A. Kuznetsov,steve-johnson,S. Johnson,sarasota_challenger,Quarter-Finals,3.0,f,100,5,01:45:00,160.0,2.0,15.0,9.0,0.0,0.0,287.0,6.0,2.0,54.0,77.0,40.0,54.0,11.0,23.0,4.0,5.0,12.0,155.0,11.0,44.0,25.0,39.0,4.0,12.0,12.0,51.0,77.0,36.0,83.0,87.0,t,f,Q,t,USA,1.0,9.0,15.0,0.0,231.0,7.0,6.0,44.0,83.0,33.0,44.0,14.0,39.0,8.0,12.0,12.0,106.0,14.0,54.0,12.0,23.0,1.0,5.0,12.0,47.0,83.0,26.0,77.0,73.0,f,f,f,USA
2013-04-15,2013-04-21,USA,Clay,100000.0,$,2013,alex-kuznetsov,A. Kuznetsov,tim-smyczek,T. Smyczek,sarasota_challenger,Round of 16,3.0,f,100,4,02:32:00,220.0,2.0,16.0,16.0,1.0,1.0,244.0,4.0,6.0,69.0,109.0,48.0,69.0,16.0,40.0,5.0,9.0,15.0,150.0,19.0,56.0,26.0,55.0,4.0,9.0,16.0,64.0,109.0,45.0,111.0,109.0,t,f,Q,f,USA,1.0,16.0,16.0,0.0,250.0,9.0,3.0,56.0,111.0,37.0,56.0,29.0,55.0,5.0,9.0,16.0,160.0,21.0,69.0,24.0,40.0,4.0,9.0,15.0,66.0,111.0,45.0,109.0,111.0,f,f,t,USA
2013-04-15,2013-04-21,USA,Clay,100000.0,$,2013,alex-kuznetsov,A. Kuznetsov,wayne-odesnik,W. Odesnik,sarasota_challenger,Finals,2.0,f,100,7,01:09:00,91.0,2.0,12.0,2.0,0.0,0.0,308.0,2.0,0.0,26.0,40.0,20.0,26.0,9.0,14.0,0.0,0.0,7.0,255.0,17.0,34.0,12.0,17.0,5.0,8.0,7.0,29.0,40.0,29.0,51.0,58.0,t,f,Q,t,USA,0.0,2.0,12.0,0.0,174.0,3.0,3.0,34.0,51.0,17.0,34.0,5.0,17.0,3.0,8.0,7.0,59.0,6.0,26.0,5.0,14.0,0.0,0.0,7.0,22.0,51.0,11.0,40.0,33.0,f,f,f,USA
2013-04-15,2013-04-21,USA,Clay,100000.0,$,2013,bjorn-fratangelo,B. Fratangelo,tim-smyczek,T. Smyczek,sarasota_challenger,Round of 32,3.0,f,100,3,01:51:00,162.0,1.0,14.0,15.0,0.0,0.0,263.0,3.0,2.0,42.0,80.0,32.0,42.0,21.0,38.0,7.0,10.0,14.0,149.0,14.0,51.0,13.0,31.0,3.0,5.0,15.0,53.0,80.0,27.0,82.0,80.0,f,f,WC,t,USA,2.0,15.0,14.0,0.0,276.0,4.0,1.0,51.0,82.0,37.0,51.0,18.0,31.0,2.0,5.0,15.0,120.0,10.0,42.0,17.0,38.0,3.0,10.0,14.0,55.0,82.0,27.0,80.0,82.0,t,f,f,USA
