,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2013-07-08,2013-07-14,Netherlands,Clay,42500.0,€,2013,alban-meuffels,A. Meuffels,lorenzo-giustino,L. Giustino,scheveningen_challenger,2nd Round Qualifying,2.0,f,100,1,01:00:00,97.0,0.0,4.0,12.0,0.0,0.0,203.0,2.0,2.0,26.0,51.0,13.0,26.0,13.0,25.0,4.0,8.0,8.0,49.0,4.0,24.0,7.0,22.0,0.0,0.0,8.0,26.0,51.0,11.0,46.0,37.0,f,f,,f,Netherlands,2.0,12.0,4.0,0.0,307.0,5.0,1.0,24.0,46.0,20.0,24.0,15.0,22.0,0.0,0.0,8.0,198.0,13.0,26.0,12.0,25.0,4.0,8.0,8.0,35.0,46.0,25.0,51.0,60.0,t,f,t,Netherlands
1,2013-07-08,2013-07-14,Netherlands,Clay,42500.0,€,2013,aleksandr-nedovyesov,A. Nedovyesov,dominik-meffert,D. Meffert,scheveningen_challenger,Round of 32,3.0,f,100,3,02:27:00,214.0,1.0,17.0,18.0,0.0,1.0,274.0,7.0,3.0,72.0,109.0,51.0,72.0,19.0,37.0,4.0,7.0,17.0,132.0,21.0,71.0,16.0,34.0,3.0,8.0,17.0,70.0,109.0,37.0,105.0,107.0,f,f,4,f,Netherlands,2.0,18.0,17.0,1.0,270.0,1.0,4.0,71.0,105.0,50.0,71.0,18.0,34.0,5.0,8.0,17.0,138.0,21.0,72.0,18.0,37.0,3.0,7.0,17.0,68.0,105.0,39.0,109.0,107.0,t,f,t,Netherlands
2,2013-07-08,2013-07-14,Netherlands,Clay,42500.0,€,2013,alexey-vatutin,A. Vatutin,lorenzo-giustino,L. Giustino,scheveningen_challenger,3rd Round Qualifying,2.0,f,100,2,01:13:00,109.0,0.0,5.0,12.0,0.0,0.0,208.0,0.0,2.0,30.0,45.0,16.0,30.0,6.0,15.0,2.0,6.0,8.0,108.0,11.0,39.0,13.0,25.0,1.0,6.0,9.0,22.0,45.0,24.0,64.0,46.0,f,f,6,f,Netherlands,2.0,12.0,5.0,0.0,276.0,7.0,0.0,39.0,64.0,28.0,39.0,12.0,25.0,5.0,6.0,9.0,224.0,14.0,30.0,9.0,15.0,4.0,6.0,8.0,40.0,64.0,23.0,45.0,63.0,t,f,t,Netherlands
3,2013-07-08,2013-07-14,Netherlands,Clay,42500.0,€,2013,alexey-vatutin,A. Vatutin,robert-willekes-macdonald,R. Willekes Macdonald,scheveningen_challenger,2nd Round Qualifying,2.0,f,100,1,01:03:00,101.0,2.0,12.0,4.0,0.0,0.0,310.0,1.0,1.0,31.0,48.0,23.0,31.0,12.0,17.0,2.0,2.0,8.0,222.0,10.0,29.0,17.0,24.0,4.0,6.0,8.0,35.0,48.0,27.0,53.0,62.0,t,f,6,t,Netherlands,0.0,4.0,12.0,0.0,198.0,1.0,3.0,29.0,53.0,19.0,29.0,7.0,24.0,2.0,6.0,8.0,55.0,8.0,31.0,5.0,17.0,0.0,2.0,8.0,26.0,53.0,13.0,48.0,39.0,f,f,f,Netherlands
4,2013-07-08,2013-07-14,Netherlands,Clay,42500.0,€,2013,andis-juska,A. Juska,andre-ghem,A. Ghem,scheveningen_challenger,Round of 32,2.0,f,100,3,01:29:00,136.0,0.0,8.0,12.0,0.0,0.0,188.0,3.0,4.0,38.0,63.0,20.0,38.0,9.0,25.0,7.0,13.0,10.0,189.0,18.0,43.0,15.0,30.0,4.0,7.0,10.0,29.0,63.0,33.0,73.0,62.0,f,f,Q,f,Netherlands,2.0,12.0,8.0,0.0,229.0,4.0,2.0,43.0,73.0,25.0,43.0,15.0,30.0,3.0,7.0,10.0,217.0,18.0,38.0,16.0,25.0,6.0,13.0,10.0,40.0,73.0,34.0,63.0,74.0,t,f,t,Netherlands
5,2013-07-08,2013-07-14,Netherlands,Clay,42500.0,€,2013,andis-juska,A. Juska,antal-van-der-duim,A. Van Der Duim,scheveningen_challenger,2nd Round Qualifying,2.0,f,100,1,01:00:00,118.0,2.0,12.0,2.0,0.0,0.0,290.0,9.0,4.0,30.0,50.0,24.0,30.0,9.0,20.0,0.0,0.0,7.0,220.0,22.0,39.0,16.0,29.0,5.0,13.0,7.0,33.0,50.0,38.0,68.0,71.0,t,f,5,t,Netherlands,0.0,2.0,12.0,0.0,171.0,1.0,4.0,39.0,68.0,17.0,39.0,13.0,29.0,8.0,13.0,7.0,75.0,6.0,30.0,11.0,20.0,0.0,0.0,7.0,30.0,68.0,17.0,50.0,47.0,f,f,f,Netherlands
6,2013-07-08,2013-07-14,Netherlands,Clay,42500.0,€,2013,andis-juska,A. Juska,steven-moneke,S. Moneke,scheveningen_challenger,3rd Round Qualifying,3.0,f,100,2,02:09:00,205.0,2.0,16.0,14.0,0.0,0.0,243.0,10.0,9.0,67.0,105.0,49.0,67.0,12.0,38.0,8.0,12.0,15.0,169.0,29.0,71.0,13.0,29.0,5.0,10.0,15.0,61.0,105.0,42.0,100.0,103.0,t,f,5,t,Netherlands,1.0,14.0,16.0,0.0,254.0,4.0,1.0,71.0,100.0,42.0,71.0,16.0,29.0,5.0,10.0,15.0,154.0,18.0,67.0,26.0,38.0,4.0,12.0,15.0,58.0,100.0,44.0,105.0,102.0,f,f,f,Netherlands
7,2013-07-08,2013-07-14,Netherlands,Clay,42500.0,€,2013,andre-ghem,A. Ghem,stephane-robert,S. Robert,scheveningen_challenger,Round of 16,3.0,f,100,4,01:29:00,155.0,1.0,10.0,14.0,0.0,0.0,242.0,3.0,3.0,52.0,87.0,32.0,52.0,19.0,35.0,3.0,7.0,12.0,130.0,8.0,33.0,14.0,35.0,2.0,4.0,12.0,51.0,87.0,22.0,68.0,73.0,f,f,,t,Netherlands,2.0,14.0,10.0,0.0,272.0,6.0,2.0,33.0,68.0,25.0,33.0,21.0,35.0,2.0,4.0,12.0,174.0,20.0,52.0,16.0,35.0,4.0,7.0,12.0,46.0,68.0,36.0,87.0,82.0,t,f,f,Netherlands
8,2013-07-08,2013-07-14,Netherlands,Clay,42500.0,€,2013,arnau-brugues-davi,A. Brugues-Davi,nick-van-der-meer,N. Van Der Meer,scheveningen_challenger,Round of 32,1.0,f,100,3,00:18:00,35.0,0.0,2.0,4.0,0.0,0.0,225.0,0.0,1.0,10.0,20.0,6.0,10.0,5.0,10.0,0.0,1.0,3.0,18.0,2.0,11.0,0.0,4.0,0.0,0.0,3.0,11.0,20.0,2.0,15.0,13.0,f,t,,f,Netherlands,1.0,4.0,2.0,0.0,357.0,2.0,0.0,11.0,15.0,9.0,11.0,4.0,4.0,0.0,0.0,3.0,223.0,4.0,10.0,5.0,10.0,1.0,1.0,3.0,13.0,15.0,9.0,20.0,22.0,t,t,t,Netherlands
9,2013-07-08,2013-07-14,Netherlands,Clay,42500.0,€,2013,bjorn-phau,B. Phau,lorenzo-giustino,L. Giustino,scheveningen_challenger,Round of 32,2.0,f,100,3,01:21:00,127.0,0.0,7.0,12.0,0.0,0.0,218.0,3.0,1.0,43.0,70.0,27.0,43.0,10.0,27.0,4.0,8.0,9.0,115.0,7.0,28.0,12.0,29.0,2.0,7.0,10.0,37.0,70.0,19.0,57.0,56.0,f,f,6,f,Netherlands,2.0,12.0,7.0,0.0,263.0,3.0,3.0,28.0,57.0,21.0,28.0,17.0,29.0,5.0,7.0,10.0,194.0,16.0,43.0,17.0,27.0,4.0,8.0,9.0,38.0,57.0,33.0,70.0,71.0,t,f,t,Netherlands
10,2013-07-08,2013-07-14,Netherlands,Clay,42500.0,€,2013,bobbie-de-goeijen,B. De Goeijen,fabian-van-der-lans,F. Van Der Lans,scheveningen_challenger,1st Round Qualifying,2.0,f,100,0,01:30:00,146.0,0.0,10.0,13.0,0.0,1.0,253.0,1.0,5.0,42.0,65.0,32.0,42.0,8.0,23.0,1.0,3.0,11.0,95.0,15.0,50.0,13.0,31.0,1.0,7.0,11.0,40.0,65.0,28.0,81.0,68.0,f,f,,f,Netherlands,2.0,13.0,10.0,1.0,282.0,4.0,2.0,50.0,81.0,35.0,50.0,18.0,31.0,6.0,7.0,11.0,174.0,10.0,42.0,15.0,23.0,2.0,3.0,11.0,53.0,81.0,25.0,65.0,78.0,t,f,t,Netherlands
11,2013-07-08,2013-07-14,Netherlands,Clay,42500.0,€,2013,boy-westerhof,B. Westerhof,colin-ebelthite,C. Ebelthite,scheveningen_challenger,Round of 32,2.0,f,100,3,01:10:00,133.0,0.0,9.0,13.0,0.0,0.0,278.0,11.0,3.0,35.0,58.0,30.0,35.0,10.0,23.0,1.0,3.0,11.0,66.0,12.0,49.0,11.0,26.0,0.0,6.0,11.0,40.0,58.0,23.0,75.0,63.0,f,f,,f,Netherlands,2.0,13.0,9.0,0.0,300.0,4.0,3.0,49.0,75.0,37.0,49.0,15.0,26.0,6.0,6.0,11.0,156.0,5.0,35.0,13.0,23.0,2.0,3.0,11.0,52.0,75.0,18.0,58.0,70.0,t,f,t,Netherlands
12,2013-07-08,2013-07-14,Netherlands,Clay,42500.0,€,2013,cedric-willems,C. Willems,mico-santiago,M. Santiago,scheveningen_challenger,1st Round Qualifying,2.0,f,100,0,00:59:00,110.0,0.0,6.0,12.0,0.0,0.0,181.0,6.0,3.0,31.0,58.0,15.0,31.0,12.0,27.0,8.0,14.0,9.0,182.0,8.0,29.0,14.0,23.0,3.0,5.0,9.0,27.0,58.0,22.0,52.0,49.0,f,f,WC,f,Netherlands,2.0,12.0,6.0,0.0,226.0,0.0,7.0,29.0,52.0,21.0,29.0,9.0,23.0,2.0,5.0,9.0,217.0,16.0,31.0,15.0,27.0,6.0,14.0,9.0,30.0,52.0,31.0,58.0,61.0,t,f,t,Netherlands
