,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2013-10-07,2013-10-13,China,Hard,3849445.0,$,2013,albert-montanes,A. Montanes,tommy-robredo,T. Robredo,shanghai,Round of 64,2.0,f,1000,2,00:56:00,97.0,0.0,5.0,12.0,0.0,0.0,217.0,1.0,1.0,34.0,54.0,20.0,34.0,8.0,20.0,2.0,6.0,9.0,45.0,2.0,24.0,7.0,19.0,0.0,1.0,8.0,28.0,54.0,9.0,43.0,37.0,f,f,,f,China,2.0,12.0,5.0,0.0,319.0,9.0,1.0,24.0,43.0,22.0,24.0,12.0,19.0,1.0,1.0,8.0,212.0,14.0,34.0,12.0,20.0,4.0,6.0,9.0,34.0,43.0,26.0,54.0,60.0,t,f,t,China
1,2013-10-07,2013-10-13,China,Hard,3849445.0,$,2013,alejandro-falla,A. Falla,daniel-brands,D. Brands,shanghai,Round of 64,2.0,f,1000,2,01:23:00,152.0,0.0,11.0,14.0,0.0,1.0,282.0,8.0,0.0,47.0,75.0,35.0,47.0,15.0,28.0,3.0,5.0,12.0,106.0,16.0,58.0,7.0,19.0,1.0,3.0,12.0,50.0,75.0,23.0,77.0,73.0,f,f,Q,f,China,2.0,14.0,11.0,1.0,310.0,9.0,0.0,58.0,77.0,42.0,58.0,12.0,19.0,2.0,3.0,12.0,128.0,12.0,47.0,13.0,28.0,2.0,5.0,12.0,54.0,77.0,25.0,75.0,79.0,t,f,t,China
2,2013-10-07,2013-10-13,China,Hard,3849445.0,$,2013,alejandro-falla,A. Falla,woong-sun-jun,W. Jun,shanghai,1st Round Qualifying,3.0,f,1000,0,01:40:00,156.0,2.0,16.0,13.0,0.0,0.0,308.0,5.0,4.0,38.0,67.0,34.0,38.0,20.0,29.0,0.0,1.0,14.0,134.0,12.0,55.0,21.0,34.0,3.0,10.0,15.0,54.0,67.0,33.0,89.0,87.0,t,f,13,t,China,1.0,13.0,16.0,0.0,262.0,7.0,3.0,55.0,89.0,43.0,55.0,13.0,34.0,7.0,10.0,15.0,149.0,4.0,38.0,9.0,29.0,1.0,1.0,14.0,56.0,89.0,13.0,67.0,69.0,f,f,f,China
3,2013-10-07,2013-10-13,China,Hard,3849445.0,$,2013,alejandro-falla,A. Falla,yen-hsun-lu,Y. Lu,shanghai,2nd Round Qualifying,2.0,f,1000,1,01:22:00,124.0,2.0,12.0,7.0,0.0,0.0,282.0,5.0,0.0,28.0,58.0,24.0,28.0,16.0,30.0,0.0,1.0,10.0,226.0,14.0,37.0,16.0,29.0,3.0,3.0,9.0,40.0,58.0,30.0,66.0,70.0,t,f,13,t,China,0.0,7.0,12.0,0.0,227.0,1.0,3.0,37.0,66.0,23.0,37.0,13.0,29.0,0.0,3.0,9.0,171.0,4.0,28.0,14.0,30.0,1.0,1.0,10.0,36.0,66.0,18.0,58.0,54.0,f,f,f,China
4,2013-10-07,2013-10-13,China,Hard,3849445.0,$,2013,alexandr-dolgopolov,A. Dolgopolov,michael-russell,M. Russell,shanghai,Round of 64,2.0,f,1000,2,01:01:00,113.0,2.0,12.0,4.0,0.0,0.0,323.0,8.0,1.0,33.0,47.0,27.0,33.0,9.0,14.0,3.0,3.0,8.0,192.0,18.0,46.0,14.0,20.0,4.0,12.0,8.0,36.0,47.0,32.0,66.0,68.0,t,f,,t,China,0.0,4.0,12.0,0.0,212.0,2.0,1.0,46.0,66.0,28.0,46.0,6.0,20.0,8.0,12.0,8.0,54.0,6.0,33.0,5.0,14.0,0.0,3.0,8.0,34.0,66.0,11.0,47.0,45.0,f,f,f,China
5,2013-10-07,2013-10-13,China,Hard,3849445.0,$,2013,alexandr-dolgopolov,A. Dolgopolov,rafael-nadal,R. Nadal,shanghai,Round of 32,2.0,f,1000,3,00:59:00,89.0,0.0,5.0,12.0,0.0,0.0,242.0,7.0,2.0,24.0,41.0,18.0,24.0,7.0,17.0,2.0,5.0,8.0,68.0,7.0,40.0,4.0,8.0,0.0,0.0,9.0,25.0,41.0,11.0,48.0,36.0,f,f,,f,China,2.0,12.0,5.0,0.0,324.0,9.0,1.0,40.0,48.0,33.0,40.0,4.0,8.0,0.0,0.0,9.0,181.0,6.0,24.0,10.0,17.0,3.0,5.0,8.0,37.0,48.0,16.0,41.0,53.0,t,f,t,China
6,2013-10-07,2013-10-13,China,Hard,3849445.0,$,2013,andreas-seppi,A. Seppi,lleyton-hewitt,L. Hewitt,shanghai,Round of 64,2.0,f,1000,2,01:21:00,119.0,2.0,12.0,6.0,0.0,0.0,297.0,7.0,1.0,34.0,50.0,27.0,34.0,9.0,16.0,1.0,2.0,9.0,180.0,12.0,35.0,21.0,34.0,4.0,10.0,9.0,36.0,50.0,33.0,69.0,69.0,t,f,,t,China,0.0,6.0,12.0,0.0,215.0,8.0,3.0,35.0,69.0,23.0,35.0,13.0,34.0,6.0,10.0,9.0,126.0,7.0,34.0,7.0,16.0,1.0,2.0,9.0,36.0,69.0,14.0,50.0,50.0,f,f,f,China
7,2013-10-07,2013-10-13,China,Hard,3849445.0,$,2013,andreas-seppi,A. Seppi,roger-federer,R. Federer,shanghai,Round of 32,2.0,f,1000,3,01:14:00,122.0,0.0,7.0,12.0,0.0,0.0,239.0,0.0,3.0,34.0,55.0,21.0,34.0,11.0,21.0,2.0,5.0,9.0,103.0,10.0,40.0,13.0,27.0,1.0,5.0,10.0,32.0,55.0,23.0,67.0,55.0,f,f,,f,China,2.0,12.0,7.0,0.0,282.0,7.0,2.0,40.0,67.0,30.0,40.0,14.0,27.0,4.0,5.0,10.0,179.0,13.0,34.0,10.0,21.0,3.0,5.0,9.0,44.0,67.0,23.0,55.0,67.0,t,f,t,China
8,2013-10-07,2013-10-13,China,Hard,3849445.0,$,2013,aoran-wang,A. Wang,michal-przysiezny,M. Przysiezny,shanghai,1st Round Qualifying,2.0,f,1000,0,00:48:00,83.0,0.0,3.0,12.0,0.0,0.0,188.0,5.0,5.0,26.0,48.0,17.0,26.0,6.0,22.0,6.0,10.0,7.0,21.0,0.0,21.0,3.0,14.0,0.0,0.0,8.0,23.0,48.0,3.0,35.0,26.0,f,f,WC,f,China,2.0,12.0,3.0,0.0,345.0,6.0,0.0,21.0,35.0,21.0,21.0,11.0,14.0,0.0,0.0,8.0,205.0,9.0,26.0,16.0,22.0,4.0,10.0,7.0,32.0,35.0,25.0,48.0,57.0,t,f,t,China
9,2013-10-07,2013-10-13,China,Hard,3849445.0,$,2013,benjamin-becker,B. Becker,tatsuma-ito,T. Ito,shanghai,1st Round Qualifying,2.0,f,1000,0,01:34:00,155.0,0.0,11.0,14.0,0.0,1.0,229.0,7.0,4.0,47.0,84.0,35.0,47.0,11.0,37.0,3.0,7.0,12.0,139.0,8.0,42.0,15.0,29.0,3.0,7.0,12.0,46.0,84.0,23.0,71.0,69.0,f,f,6,f,China,2.0,14.0,11.0,1.0,268.0,6.0,1.0,42.0,71.0,34.0,42.0,14.0,29.0,4.0,7.0,12.0,186.0,12.0,47.0,26.0,37.0,4.0,7.0,12.0,48.0,71.0,38.0,84.0,86.0,t,f,t,China
