start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2016-09-06,2016-09-12,China,Hard,50000.0,$,2016,alexander-kudryavtsev,A. Kudryavtsev,blaz-kavcic,B. Kavcic,shanghai_challenger,Round of 16,2.0,f,100,4,01:48:00,155.0,0.0,8.0,13.0,0.0,0.0,235.0,8.0,5.0,40.0,89.0,32.0,40.0,18.0,49.0,8.0,11.0,10.0,105.0,6.0,32.0,15.0,34.0,1.0,3.0,11.0,50.0,89.0,21.0,66.0,71.0,f,f,7,f,China,2.0,13.0,8.0,0.0,275.0,3.0,3.0,32.0,66.0,26.0,32.0,19.0,34.0,2.0,3.0,11.0,140.0,8.0,40.0,31.0,49.0,3.0,11.0,10.0,45.0,66.0,39.0,89.0,84.0,t,f,t,China
2016-09-06,2016-09-12,China,Hard,50000.0,$,2016,alexander-kudryavtsev,A. Kudryavtsev,jurgen-zopp,J. Zopp,shanghai_challenger,Round of 32,2.0,f,100,3,00:59:00,91.0,2.0,12.0,3.0,0.0,0.0,301.0,2.0,0.0,19.0,40.0,16.0,19.0,14.0,21.0,1.0,1.0,7.0,245.0,10.0,27.0,18.0,24.0,5.0,7.0,8.0,30.0,40.0,28.0,51.0,58.0,t,f,7,t,China,0.0,3.0,12.0,0.0,176.0,2.0,4.0,27.0,51.0,17.0,27.0,6.0,24.0,2.0,7.0,8.0,49.0,3.0,19.0,7.0,21.0,0.0,1.0,7.0,23.0,51.0,10.0,40.0,33.0,f,f,f,China
2016-09-06,2016-09-12,China,Hard,50000.0,$,2016,alexander-sarkissian,A. Sarkissian,fajing-sun,F. Sun,shanghai_challenger,Round of 32,2.0,f,100,3,00:59:00,91.0,2.0,12.0,3.0,0.0,0.0,279.0,4.0,3.0,17.0,35.0,15.0,17.0,10.0,18.0,1.0,2.0,7.0,245.0,14.0,29.0,18.0,27.0,6.0,11.0,8.0,25.0,35.0,32.0,56.0,57.0,t,f,,t,China,0.0,3.0,12.0,0.0,161.0,1.0,2.0,29.0,56.0,15.0,29.0,9.0,27.0,5.0,11.0,8.0,120.0,2.0,17.0,8.0,18.0,1.0,2.0,7.0,24.0,56.0,10.0,35.0,34.0,f,f,f,China
2016-09-06,2016-09-12,China,Hard,50000.0,$,2016,alexander-sarkissian,A. Sarkissian,henri-laaksonen,H. Laaksonen,shanghai_challenger,Quarter-Finals,2.0,f,100,5,01:05:00,100.0,0.0,4.0,12.0,0.0,0.0,169.0,2.0,5.0,23.0,58.0,14.0,23.0,12.0,35.0,3.0,8.0,8.0,190.0,7.0,29.0,7.0,13.0,1.0,1.0,8.0,26.0,58.0,14.0,42.0,40.0,f,f,,f,China,2.0,12.0,4.0,0.0,278.0,5.0,5.0,29.0,42.0,22.0,29.0,6.0,13.0,0.0,1.0,8.0,230.0,9.0,23.0,23.0,35.0,5.0,8.0,8.0,28.0,42.0,32.0,58.0,60.0,t,f,t,China
2016-09-06,2016-09-12,China,Hard,50000.0,$,2016,alexander-sarkissian,A. Sarkissian,xin-gao,X. Gao,shanghai_challenger,Round of 16,2.0,f,100,4,00:53:00,78.0,2.0,12.0,1.0,0.0,0.0,328.0,9.0,0.0,20.0,35.0,15.0,20.0,13.0,15.0,0.0,0.0,7.0,255.0,15.0,25.0,10.0,18.0,5.0,9.0,6.0,28.0,35.0,25.0,43.0,53.0,t,f,,t,China,0.0,1.0,12.0,0.0,158.0,1.0,1.0,25.0,43.0,10.0,25.0,8.0,18.0,4.0,9.0,6.0,38.0,5.0,20.0,2.0,15.0,0.0,0.0,7.0,18.0,43.0,7.0,35.0,25.0,f,f,f,China
2016-09-06,2016-09-12,China,Hard,50000.0,$,2016,amir-weintraub,A. Weintraub,tatsuma-ito,T. Ito,shanghai_challenger,Round of 32,3.0,f,100,3,01:48:00,170.0,2.0,16.0,7.0,0.0,0.0,278.0,6.0,0.0,60.0,95.0,43.0,60.0,16.0,35.0,11.0,12.0,12.0,204.0,15.0,45.0,21.0,30.0,5.0,9.0,11.0,59.0,95.0,36.0,75.0,95.0,t,f,,f,China,1.0,7.0,16.0,0.0,212.0,8.0,7.0,45.0,75.0,30.0,45.0,9.0,30.0,4.0,9.0,11.0,98.0,17.0,60.0,19.0,35.0,1.0,12.0,12.0,39.0,75.0,36.0,95.0,75.0,f,f,t,China
2016-09-06,2016-09-12,China,Hard,50000.0,$,2016,amir-weintraub,A. Weintraub,yasutaka-uchiyama,Y. Uchiyama,shanghai_challenger,Round of 16,2.0,f,100,4,01:11:00,114.0,0.0,7.0,13.0,0.0,0.0,223.0,6.0,1.0,38.0,62.0,26.0,38.0,7.0,24.0,2.0,6.0,10.0,99.0,10.0,33.0,5.0,19.0,1.0,3.0,10.0,33.0,62.0,15.0,52.0,48.0,f,f,,f,China,2.0,13.0,7.0,0.0,303.0,8.0,2.0,33.0,52.0,23.0,33.0,14.0,19.0,2.0,3.0,10.0,210.0,12.0,38.0,17.0,24.0,4.0,6.0,10.0,37.0,52.0,29.0,62.0,66.0,t,f,t,China
2016-09-06,2016-09-12,China,Hard,50000.0,$,2016,aslan-karatsev,A. Karatsev,go-soeda,G. Soeda,shanghai_challenger,Round of 16,2.0,f,100,4,01:44:00,150.0,0.0,9.0,13.0,0.0,0.0,254.0,4.0,6.0,48.0,74.0,36.0,48.0,9.0,26.0,3.0,5.0,11.0,63.0,12.0,40.0,12.0,36.0,0.0,3.0,11.0,45.0,74.0,24.0,76.0,69.0,f,f,,f,China,2.0,13.0,9.0,0.0,294.0,4.0,0.0,40.0,76.0,28.0,40.0,24.0,36.0,3.0,3.0,11.0,148.0,12.0,48.0,17.0,26.0,2.0,5.0,11.0,52.0,76.0,29.0,74.0,81.0,t,f,t,China
2016-09-06,2016-09-12,China,Hard,50000.0,$,2016,aslan-karatsev,A. Karatsev,hiroki-moriya,H. Moriya,shanghai_challenger,Round of 32,2.0,f,100,3,01:24:00,113.0,2.0,12.0,6.0,0.0,0.0,260.0,8.0,3.0,32.0,56.0,24.0,32.0,11.0,24.0,5.0,7.0,9.0,216.0,15.0,34.0,14.0,23.0,5.0,9.0,9.0,35.0,56.0,29.0,57.0,64.0,t,f,,t,China,0.0,6.0,12.0,0.0,199.0,1.0,1.0,34.0,57.0,19.0,34.0,9.0,23.0,4.0,9.0,9.0,130.0,8.0,32.0,13.0,24.0,2.0,7.0,9.0,28.0,57.0,21.0,56.0,49.0,f,f,f,China
2016-09-06,2016-09-12,China,Hard,50000.0,$,2016,blake-mott,B. Mott,go-soeda,G. Soeda,shanghai_challenger,Round of 32,3.0,f,100,3,02:02:00,176.0,1.0,11.0,15.0,0.0,0.0,206.0,8.0,10.0,61.0,90.0,40.0,61.0,6.0,29.0,6.0,12.0,13.0,159.0,14.0,46.0,22.0,40.0,4.0,9.0,13.0,46.0,90.0,36.0,86.0,82.0,f,f,,t,China,2.0,15.0,11.0,0.0,241.0,6.0,2.0,46.0,86.0,32.0,46.0,18.0,40.0,5.0,9.0,13.0,209.0,21.0,61.0,23.0,29.0,6.0,12.0,13.0,50.0,86.0,44.0,90.0,94.0,t,f,f,China
