,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2012-04-02,2012-04-08,France,Hard,30000.0,€,2012,alexandre-penaud,A. Penaud,arnaud-grard,A. Grard,st-brieuc_challenger,1st Round Qualifying,2.0,f,100,1,01:20:00,111.0,2.0,12.0,3.0,0.0,0.0,278.0,5.0,2.0,36.0,54.0,24.0,36.0,10.0,18.0,8.0,9.0,7.0,237.0,11.0,26.0,24.0,31.0,6.0,14.0,8.0,34.0,54.0,35.0,57.0,69.0,t,f,6,t,France,0.0,3.0,12.0,0.0,153.0,1.0,0.0,26.0,57.0,15.0,26.0,7.0,31.0,8.0,14.0,8.0,102.0,12.0,36.0,8.0,18.0,1.0,9.0,7.0,22.0,57.0,20.0,54.0,42.0,f,f,f,France
1,2012-04-02,2012-04-08,France,Hard,30000.0,€,2012,alexandre-penaud,A. Penaud,nicolas-renavand,N. Renavand,st-brieuc_challenger,2nd Round Qualifying,2.0,f,100,2,01:12:00,118.0,0.0,4.0,12.0,0.0,0.0,198.0,1.0,3.0,32.0,65.0,18.0,32.0,15.0,33.0,7.0,11.0,8.0,70.0,9.0,35.0,8.0,18.0,0.0,3.0,8.0,33.0,65.0,17.0,53.0,50.0,f,f,6,f,France,2.0,12.0,4.0,0.0,300.0,5.0,1.0,35.0,53.0,26.0,35.0,10.0,18.0,3.0,3.0,8.0,185.0,14.0,32.0,18.0,33.0,4.0,11.0,8.0,36.0,53.0,32.0,65.0,68.0,t,f,t,France
2,2012-04-02,2012-04-08,France,Hard,30000.0,€,2012,alexandre-penaud,A. Penaud,olivier-patience,O. Patience,st-brieuc_challenger,Round of 32,3.0,f,100,3,02:58:00,242.0,1.0,17.0,18.0,0.0,1.0,243.0,8.0,6.0,60.0,124.0,42.0,60.0,30.0,64.0,10.0,14.0,17.0,143.0,28.0,77.0,18.0,41.0,4.0,10.0,17.0,72.0,124.0,46.0,118.0,118.0,f,f,LL,f,France,2.0,18.0,17.0,1.0,263.0,5.0,3.0,77.0,118.0,49.0,77.0,23.0,41.0,6.0,10.0,17.0,135.0,18.0,60.0,34.0,64.0,4.0,14.0,17.0,72.0,118.0,52.0,124.0,124.0,t,f,t,France
3,2012-04-02,2012-04-08,France,Hard,30000.0,€,2012,augustin-gensse,A. Gensse,dominik-meffert,D. Meffert,st-brieuc_challenger,Round of 16,3.0,f,100,4,02:15:00,196.0,2.0,19.0,13.0,0.0,1.0,281.0,7.0,3.0,69.0,99.0,47.0,69.0,16.0,30.0,9.0,11.0,15.0,209.0,23.0,64.0,20.0,33.0,6.0,8.0,16.0,63.0,99.0,43.0,97.0,106.0,t,f,6,f,France,1.0,13.0,19.0,1.0,228.0,1.0,4.0,64.0,97.0,41.0,64.0,13.0,33.0,2.0,8.0,16.0,110.0,22.0,69.0,14.0,30.0,2.0,11.0,15.0,54.0,97.0,36.0,99.0,90.0,f,f,t,France
4,2012-04-02,2012-04-08,France,Hard,30000.0,€,2012,augustin-gensse,A. Gensse,gregoire-burquier,G. Burquier,st-brieuc_challenger,Finals,3.0,f,100,7,02:52:00,228.0,1.0,18.0,20.0,1.0,2.0,283.0,7.0,3.0,79.0,125.0,56.0,79.0,26.0,46.0,3.0,5.0,18.0,156.0,14.0,71.0,10.0,32.0,1.0,1.0,18.0,82.0,125.0,24.0,103.0,106.0,f,f,6,f,France,2.0,20.0,18.0,1.0,315.0,3.0,0.0,71.0,103.0,57.0,71.0,22.0,32.0,0.0,1.0,18.0,123.0,23.0,79.0,20.0,46.0,2.0,5.0,18.0,79.0,103.0,43.0,125.0,122.0,t,f,t,France
5,2012-04-02,2012-04-08,France,Hard,30000.0,€,2012,augustin-gensse,A. Gensse,jonathan-dasnieres-de-veigy,J. Dasnieres de Veigy,st-brieuc_challenger,Quarter-Finals,2.0,f,100,5,01:36:00,130.0,2.0,12.0,7.0,0.0,0.0,298.0,1.0,1.0,41.0,64.0,30.0,41.0,14.0,23.0,4.0,4.0,10.0,142.0,17.0,45.0,12.0,21.0,2.0,8.0,9.0,44.0,64.0,29.0,66.0,73.0,t,f,6,t,France,0.0,7.0,12.0,0.0,250.0,2.0,2.0,45.0,66.0,28.0,45.0,9.0,21.0,6.0,8.0,9.0,66.0,11.0,41.0,9.0,23.0,0.0,4.0,10.0,37.0,66.0,20.0,64.0,57.0,f,f,f,France
6,2012-04-02,2012-04-08,France,Hard,30000.0,€,2012,augustin-gensse,A. Gensse,peter-gojowczyk,P. Gojowczyk,st-brieuc_challenger,Semi-Finals,3.0,f,100,6,02:24:00,206.0,2.0,17.0,12.0,0.0,0.0,279.0,2.0,4.0,65.0,98.0,44.0,65.0,20.0,33.0,7.0,9.0,15.0,150.0,20.0,62.0,25.0,46.0,4.0,11.0,14.0,64.0,98.0,45.0,108.0,109.0,t,f,6,f,France,1.0,12.0,17.0,0.0,244.0,4.0,2.0,62.0,108.0,42.0,62.0,21.0,46.0,7.0,11.0,14.0,106.0,21.0,65.0,13.0,33.0,2.0,9.0,15.0,63.0,108.0,34.0,98.0,97.0,f,f,t,France
7,2012-04-02,2012-04-08,France,Hard,30000.0,€,2012,augustin-gensse,A. Gensse,victor-crivoi,V. Crivoi,st-brieuc_challenger,Round of 32,3.0,f,100,3,02:44:00,217.0,2.0,18.0,18.0,2.0,2.0,263.0,3.0,2.0,59.0,105.0,47.0,59.0,23.0,46.0,4.0,8.0,17.0,125.0,23.0,69.0,18.0,43.0,3.0,9.0,17.0,70.0,105.0,41.0,112.0,111.0,t,f,6,t,France,1.0,18.0,18.0,0.0,271.0,5.0,3.0,69.0,112.0,46.0,69.0,25.0,43.0,6.0,9.0,17.0,143.0,12.0,59.0,23.0,46.0,4.0,8.0,17.0,71.0,112.0,35.0,105.0,106.0,f,f,f,France
8,2012-04-02,2012-04-08,France,Hard,30000.0,€,2012,charles-antoine-brezac,C. Brezac,yannick-mertens,Y. Mertens,st-brieuc_challenger,Round of 32,2.0,f,100,3,00:54:00,85.0,0.0,3.0,12.0,0.0,0.0,154.0,0.0,0.0,21.0,42.0,13.0,21.0,3.0,21.0,2.0,7.0,7.0,188.0,9.0,35.0,4.0,8.0,1.0,1.0,8.0,16.0,42.0,13.0,43.0,29.0,f,f,WC,f,France,2.0,12.0,3.0,0.0,294.0,4.0,2.0,35.0,43.0,26.0,35.0,4.0,8.0,0.0,1.0,8.0,266.0,8.0,21.0,18.0,21.0,5.0,7.0,7.0,30.0,43.0,26.0,42.0,56.0,t,f,t,France
9,2012-04-02,2012-04-08,France,Hard,30000.0,€,2012,daniel-gimeno-traver,D. Gimeno-Traver,gregoire-burquier,G. Burquier,st-brieuc_challenger,Quarter-Finals,2.0,f,100,5,01:42:00,146.0,0.0,10.0,13.0,0.0,1.0,269.0,3.0,1.0,43.0,74.0,29.0,43.0,19.0,31.0,2.0,4.0,11.0,107.0,14.0,51.0,8.0,21.0,1.0,3.0,11.0,48.0,74.0,22.0,72.0,70.0,f,f,1,f,France,2.0,13.0,10.0,1.0,293.0,0.0,3.0,51.0,72.0,37.0,51.0,13.0,21.0,2.0,3.0,11.0,140.0,14.0,43.0,12.0,31.0,2.0,4.0,11.0,50.0,72.0,26.0,74.0,76.0,t,f,t,France
