,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,feliciano-lopez,F. Lopez,olivier-rochus,O. Rochus,stockholm,Round of 16,3.0,f,250,4,01:55:00,157.0,1.0,11.0,16.0,0.0,0.0,274.0,15.0,3.0,39.0,69.0,32.0,39.0,14.0,30.0,0.0,3.0,13.0,90.0,24.0,65.0,6.0,23.0,1.0,5.0,14.0,46.0,69.0,30.0,88.0,76.0,f,f,8,t,Sweden,2.0,16.0,11.0,0.0,306.0,4.0,1.0,65.0,88.0,41.0,65.0,17.0,23.0,4.0,5.0,14.0,194.0,7.0,39.0,16.0,30.0,3.0,3.0,13.0,58.0,88.0,23.0,69.0,81.0,t,f,f,Sweden
1,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,albert-montanes,A. Montanes,leonardo-mayer,L. Mayer,stockholm,Round of 32,2.0,f,250,3,01:13:00,117.0,0.0,7.0,12.0,0.0,0.0,206.0,0.0,4.0,44.0,66.0,25.0,44.0,8.0,22.0,4.0,9.0,10.0,163.0,5.0,30.0,12.0,21.0,2.0,3.0,9.0,33.0,66.0,17.0,51.0,50.0,f,f,7,f,Sweden,2.0,12.0,7.0,0.0,261.0,3.0,4.0,30.0,51.0,25.0,30.0,9.0,21.0,1.0,3.0,9.0,213.0,19.0,44.0,14.0,22.0,5.0,9.0,10.0,34.0,51.0,33.0,66.0,67.0,t,f,t,Sweden
2,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,alberto-martin,A. Martin,guillermo-garcia-lopez,G. Garcia-Lopez,stockholm,Round of 32,2.0,f,250,3,01:16:00,111.0,0.0,5.0,12.0,0.0,0.0,189.0,1.0,2.0,26.0,52.0,12.0,26.0,13.0,26.0,3.0,8.0,9.0,115.0,12.0,38.0,12.0,21.0,1.0,7.0,8.0,25.0,52.0,24.0,59.0,49.0,f,f,,f,Sweden,2.0,12.0,5.0,0.0,261.0,2.0,3.0,38.0,59.0,26.0,38.0,9.0,21.0,6.0,7.0,8.0,222.0,14.0,26.0,13.0,26.0,5.0,8.0,9.0,35.0,59.0,27.0,52.0,62.0,t,f,t,Sweden
3,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,andreas-beck,A. Beck,arnaud-clement,A. Clement,stockholm,Round of 32,2.0,f,250,3,01:16:00,103.0,0.0,6.0,12.0,0.0,0.0,236.0,6.0,3.0,23.0,55.0,21.0,23.0,11.0,32.0,3.0,6.0,9.0,43.0,2.0,25.0,8.0,23.0,0.0,2.0,9.0,32.0,55.0,10.0,48.0,42.0,f,f,5,f,Sweden,2.0,12.0,6.0,0.0,309.0,3.0,3.0,25.0,48.0,23.0,25.0,15.0,23.0,2.0,2.0,9.0,158.0,2.0,23.0,21.0,32.0,3.0,6.0,9.0,38.0,48.0,23.0,55.0,61.0,t,f,t,Sweden
4,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,andreas-seppi,A. Seppi,robin-soderling,R. Soderling,stockholm,Round of 16,2.0,f,250,4,01:03:00,97.0,0.0,4.0,12.0,0.0,0.0,182.0,0.0,3.0,30.0,54.0,15.0,30.0,10.0,24.0,4.0,9.0,8.0,118.0,7.0,25.0,5.0,18.0,1.0,2.0,8.0,25.0,54.0,12.0,43.0,37.0,f,f,,f,Sweden,2.0,12.0,4.0,0.0,289.0,3.0,3.0,25.0,43.0,18.0,25.0,13.0,18.0,1.0,2.0,8.0,226.0,15.0,30.0,14.0,24.0,5.0,9.0,8.0,31.0,43.0,29.0,54.0,60.0,t,f,t,Sweden
5,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,andreas-seppi,A. Seppi,victor-crivoi,V. Crivoi,stockholm,Round of 32,2.0,f,250,3,01:06:00,110.0,2.0,12.0,5.0,0.0,0.0,268.0,6.0,3.0,29.0,53.0,23.0,29.0,13.0,24.0,1.0,3.0,9.0,218.0,21.0,40.0,8.0,17.0,5.0,9.0,8.0,36.0,53.0,29.0,57.0,65.0,t,f,,t,Sweden,0.0,5.0,12.0,0.0,205.0,1.0,4.0,40.0,57.0,19.0,40.0,9.0,17.0,4.0,9.0,8.0,156.0,6.0,29.0,11.0,24.0,2.0,3.0,9.0,28.0,57.0,17.0,53.0,45.0,f,f,f,Sweden
6,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,andreas-siljestrom,A. Siljestrom,antonio-veic,A. Veic,stockholm,1st Round Qualifying,3.0,f,250,0,01:30:00,162.0,1.0,12.0,15.0,0.0,0.0,255.0,9.0,9.0,57.0,88.0,40.0,57.0,13.0,31.0,3.0,6.0,14.0,91.0,9.0,46.0,11.0,28.0,1.0,4.0,13.0,53.0,88.0,20.0,74.0,73.0,f,f,,f,Sweden,2.0,15.0,12.0,0.0,293.0,2.0,4.0,46.0,74.0,37.0,46.0,17.0,28.0,3.0,4.0,13.0,159.0,17.0,57.0,18.0,31.0,3.0,6.0,14.0,54.0,74.0,35.0,88.0,89.0,t,f,t,Sweden
7,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,andreas-vinciguerra,A. Vinciguerra,olivier-rochus,O. Rochus,stockholm,Round of 32,2.0,f,250,3,01:08:00,94.0,0.0,5.0,12.0,0.0,0.0,252.0,5.0,1.0,29.0,45.0,19.0,29.0,9.0,16.0,3.0,6.0,8.0,67.0,6.0,35.0,7.0,14.0,0.0,0.0,9.0,28.0,45.0,13.0,49.0,41.0,f,f,WC,f,Sweden,2.0,12.0,5.0,0.0,306.0,2.0,0.0,35.0,49.0,29.0,35.0,7.0,14.0,0.0,0.0,9.0,165.0,10.0,29.0,7.0,16.0,3.0,6.0,8.0,36.0,49.0,17.0,45.0,53.0,t,f,t,Sweden
8,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,antonio-veic,A. Veic,frederik-nielsen,F. Nielsen,stockholm,2nd Round Qualifying,3.0,f,250,1,01:22:00,143.0,1.0,8.0,16.0,0.0,0.0,199.0,2.0,5.0,43.0,80.0,27.0,43.0,13.0,37.0,2.0,8.0,12.0,153.0,9.0,45.0,9.0,18.0,2.0,3.0,12.0,40.0,80.0,18.0,63.0,58.0,f,f,4,t,Sweden,2.0,16.0,8.0,0.0,286.0,4.0,2.0,45.0,63.0,36.0,45.0,9.0,18.0,1.0,3.0,12.0,227.0,16.0,43.0,24.0,37.0,6.0,8.0,12.0,45.0,63.0,40.0,80.0,85.0,t,f,f,Sweden
9,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,arnaud-clement,A. Clement,erik-moberg,E. Moberg,stockholm,2nd Round Qualifying,2.0,f,250,1,00:42:00,76.0,2.0,12.0,1.0,0.0,0.0,360.0,7.0,0.0,23.0,31.0,21.0,23.0,7.0,8.0,0.0,0.0,7.0,267.0,14.0,30.0,13.0,15.0,5.0,10.0,6.0,28.0,31.0,27.0,45.0,55.0,t,f,2,t,Sweden,0.0,1.0,12.0,0.0,150.0,3.0,2.0,30.0,45.0,16.0,30.0,2.0,15.0,5.0,10.0,6.0,22.0,2.0,23.0,1.0,8.0,0.0,0.0,7.0,18.0,45.0,3.0,31.0,21.0,f,f,f,Sweden
10,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,arnaud-clement,A. Clement,jerzy-janowicz,J. Janowicz,stockholm,3rd Round Qualifying,2.0,f,250,2,01:53:00,160.0,2.0,14.0,12.0,2.0,2.0,290.0,3.0,2.0,50.0,76.0,37.0,50.0,15.0,26.0,0.0,1.0,12.0,134.0,14.0,56.0,19.0,28.0,1.0,3.0,12.0,52.0,76.0,33.0,84.0,85.0,t,f,2,t,Sweden,0.0,12.0,14.0,0.0,277.0,14.0,2.0,56.0,84.0,42.0,56.0,9.0,28.0,2.0,3.0,12.0,176.0,13.0,50.0,11.0,26.0,1.0,1.0,12.0,51.0,84.0,24.0,76.0,75.0,f,f,f,Sweden
11,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,arnaud-clement,A. Clement,marcos-baghdatis,M. Baghdatis,stockholm,Quarter-Finals,2.0,f,250,5,01:28:00,117.0,0.0,8.0,12.0,0.0,0.0,233.0,1.0,4.0,34.0,62.0,22.0,34.0,13.0,28.0,2.0,5.0,10.0,95.0,6.0,30.0,10.0,25.0,1.0,4.0,10.0,35.0,62.0,16.0,55.0,51.0,f,f,Q,f,Sweden,2.0,12.0,8.0,0.0,288.0,6.0,3.0,30.0,55.0,24.0,30.0,15.0,25.0,3.0,4.0,10.0,179.0,12.0,34.0,15.0,28.0,3.0,5.0,10.0,39.0,55.0,27.0,62.0,66.0,t,f,t,Sweden
12,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,arnaud-clement,A. Clement,marius-copil,M. Copil,stockholm,1st Round Qualifying,3.0,f,250,0,01:54:00,156.0,2.0,15.0,11.0,0.0,0.0,300.0,2.0,1.0,46.0,72.0,36.0,46.0,17.0,26.0,5.0,6.0,13.0,203.0,12.0,41.0,22.0,43.0,3.0,3.0,13.0,53.0,72.0,34.0,84.0,87.0,t,f,2,f,Sweden,1.0,11.0,15.0,0.0,252.0,11.0,4.0,41.0,84.0,29.0,41.0,21.0,43.0,0.0,3.0,13.0,81.0,10.0,46.0,9.0,26.0,1.0,6.0,13.0,50.0,84.0,19.0,72.0,69.0,f,f,t,Sweden
13,2009-10-19,2009-10-25,Sweden,Hard,531000.0,€,2009,arnaud-clement,A. Clement,michael-berrer,M. Berrer,stockholm,Round of 16,3.0,f,250,4,02:28:00,192.0,2.0,16.0,13.0,1.0,1.0,264.0,6.0,1.0,65.0,115.0,44.0,65.0,27.0,50.0,7.0,10.0,15.0,186.0,17.0,54.0,13.0,23.0,3.0,4.0,13.0,71.0,115.0,30.0,77.0,101.0,t,f,Q,f,Sweden,1.0,13.0,16.0,0.0,268.0,12.0,2.0,54.0,77.0,37.0,54.0,10.0,23.0,1.0,4.0,13.0,128.0,21.0,65.0,23.0,50.0,3.0,10.0,15.0,47.0,77.0,44.0,115.0,91.0,f,f,t,Sweden
