start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2016-10-17,2016-10-23,Sweden,Hard,566525.0,€,2016,adam-pavlasek,A. Pavlasek,carl-soderlund,C. Soderlund,stockholm,1st Round Qualifying,2.0,f,250,1,01:10:00,116.0,2.0,12.0,5.0,0.0,0.0,308.0,3.0,1.0,30.0,49.0,26.0,30.0,11.0,19.0,4.0,4.0,8.0,209.0,19.0,43.0,13.0,24.0,4.0,6.0,9.0,37.0,49.0,32.0,67.0,69.0,t,f,2,t,Sweden,0.0,5.0,12.0,0.0,219.0,0.0,2.0,43.0,67.0,24.0,43.0,11.0,24.0,2.0,6.0,9.0,55.0,4.0,30.0,8.0,19.0,0.0,4.0,8.0,35.0,67.0,12.0,49.0,47.0,f,f,f,Sweden
2016-10-17,2016-10-23,Sweden,Hard,566525.0,€,2016,adam-pavlasek,A. Pavlasek,marton-fucsovics,M. Fucsovics,stockholm,2nd Round Qualifying,2.0,f,250,2,01:16:00,123.0,2.0,12.0,7.0,0.0,0.0,285.0,1.0,1.0,38.0,61.0,32.0,38.0,9.0,23.0,3.0,3.0,9.0,190.0,12.0,34.0,14.0,28.0,3.0,4.0,10.0,41.0,61.0,26.0,62.0,67.0,t,f,2,t,Sweden,0.0,7.0,12.0,0.0,239.0,1.0,2.0,34.0,62.0,22.0,34.0,14.0,28.0,1.0,4.0,10.0,77.0,6.0,38.0,14.0,23.0,0.0,3.0,9.0,36.0,62.0,20.0,61.0,56.0,f,f,f,Sweden
2016-10-17,2016-10-23,Sweden,Hard,566525.0,€,2016,adam-pavlasek,A. Pavlasek,ryan-harrison,R. Harrison,stockholm,Round of 32,2.0,f,250,3,01:20:00,140.0,0.0,8.0,13.0,0.0,0.0,250.0,6.0,3.0,42.0,68.0,29.0,42.0,12.0,26.0,3.0,6.0,10.0,94.0,7.0,38.0,17.0,34.0,1.0,6.0,11.0,41.0,68.0,24.0,72.0,65.0,f,f,Q,f,Sweden,2.0,13.0,8.0,0.0,278.0,5.0,2.0,38.0,72.0,31.0,38.0,17.0,34.0,5.0,6.0,11.0,165.0,13.0,42.0,14.0,26.0,3.0,6.0,10.0,48.0,72.0,27.0,68.0,75.0,t,f,t,Sweden
2016-10-17,2016-10-23,Sweden,Hard,566525.0,€,2016,adrian-mannarino,A. Mannarino,alexander-zverev,A. Zverev,stockholm,Round of 16,2.0,f,250,4,01:29:00,128.0,0.0,9.0,13.0,0.0,0.0,261.0,1.0,2.0,46.0,66.0,32.0,46.0,10.0,20.0,5.0,8.0,11.0,117.0,11.0,36.0,7.0,26.0,1.0,2.0,11.0,42.0,66.0,18.0,62.0,60.0,f,f,,f,Sweden,2.0,13.0,9.0,0.0,297.0,7.0,0.0,36.0,62.0,25.0,36.0,19.0,26.0,1.0,2.0,11.0,145.0,14.0,46.0,10.0,20.0,3.0,8.0,11.0,44.0,62.0,24.0,66.0,68.0,t,f,t,Sweden
2016-10-17,2016-10-23,Sweden,Hard,566525.0,€,2016,adrian-mannarino,A. Mannarino,donald-young,D. Young,stockholm,Round of 32,2.0,f,250,3,01:29:00,135.0,2.0,13.0,9.0,0.0,0.0,260.0,3.0,5.0,42.0,71.0,31.0,42.0,14.0,29.0,7.0,9.0,11.0,167.0,15.0,38.0,11.0,26.0,4.0,8.0,11.0,45.0,71.0,26.0,64.0,71.0,t,f,,t,Sweden,0.0,9.0,13.0,0.0,240.0,0.0,1.0,38.0,64.0,23.0,38.0,15.0,26.0,4.0,8.0,11.0,118.0,11.0,42.0,15.0,29.0,2.0,9.0,11.0,38.0,64.0,26.0,71.0,64.0,f,f,f,Sweden
2016-10-17,2016-10-23,Sweden,Hard,566525.0,€,2016,alexander-zverev,A. Zverev,jack-sock,J. Sock,stockholm,Semi-Finals,3.0,f,250,6,02:48:00,240.0,1.0,17.0,19.0,1.0,2.0,268.0,4.0,5.0,72.0,119.0,51.0,72.0,26.0,47.0,4.0,7.0,17.0,96.0,23.0,76.0,17.0,45.0,2.0,12.0,17.0,77.0,119.0,40.0,121.0,117.0,f,f,4,t,Sweden,2.0,19.0,17.0,1.0,282.0,4.0,5.0,76.0,121.0,53.0,76.0,28.0,45.0,10.0,12.0,17.0,134.0,21.0,72.0,21.0,47.0,3.0,7.0,17.0,81.0,121.0,42.0,119.0,123.0,t,f,f,Sweden
2016-10-17,2016-10-23,Sweden,Hard,566525.0,€,2016,alexander-zverev,A. Zverev,tobias-kamke,T. Kamke,stockholm,Quarter-Finals,2.0,f,250,5,01:37:00,143.0,2.0,13.0,9.0,1.0,1.0,255.0,6.0,0.0,36.0,58.0,26.0,36.0,10.0,22.0,5.0,8.0,10.0,214.0,24.0,56.0,16.0,29.0,5.0,7.0,11.0,36.0,58.0,40.0,85.0,76.0,t,f,4,t,Sweden,0.0,9.0,13.0,0.0,218.0,0.0,4.0,56.0,85.0,32.0,56.0,13.0,29.0,2.0,7.0,11.0,151.0,10.0,36.0,12.0,22.0,3.0,8.0,10.0,45.0,85.0,22.0,58.0,67.0,f,f,f,Sweden
2016-10-17,2016-10-23,Sweden,Hard,566525.0,€,2016,amir-weintraub,A. Weintraub,marton-fucsovics,M. Fucsovics,stockholm,1st Round Qualifying,2.0,f,250,1,00:47:00,85.0,0.0,4.0,12.0,0.0,0.0,209.0,0.0,0.0,30.0,51.0,17.0,30.0,9.0,21.0,0.0,4.0,8.0,18.0,1.0,27.0,1.0,7.0,0.0,0.0,8.0,26.0,51.0,2.0,34.0,28.0,f,f,,f,Sweden,2.0,12.0,4.0,0.0,369.0,9.0,1.0,27.0,34.0,26.0,27.0,6.0,7.0,0.0,0.0,8.0,250.0,13.0,30.0,12.0,21.0,4.0,4.0,8.0,32.0,34.0,25.0,51.0,57.0,t,f,t,Sweden
2016-10-17,2016-10-23,Sweden,Hard,566525.0,€,2016,benjamin-becker,B. Becker,jurgen-zopp,J. Zopp,stockholm,Round of 32,2.0,f,250,3,01:06:00,111.0,0.0,7.0,12.0,0.0,0.0,262.0,4.0,1.0,45.0,61.0,29.0,45.0,7.0,16.0,3.0,5.0,9.0,38.0,4.0,35.0,4.0,15.0,0.0,1.0,10.0,36.0,61.0,8.0,50.0,44.0,f,f,,f,Sweden,2.0,12.0,7.0,0.0,341.0,11.0,2.0,35.0,50.0,31.0,35.0,11.0,15.0,1.0,1.0,10.0,154.0,16.0,45.0,9.0,16.0,2.0,5.0,9.0,42.0,50.0,25.0,61.0,67.0,t,f,t,Sweden
2016-10-17,2016-10-23,Sweden,Hard,566525.0,€,2016,daniel-brands,D. Brands,michal-konecny,M. Konecny,stockholm,1st Round Qualifying,2.0,f,250,1,00:48:00,91.0,2.0,12.0,6.0,0.0,0.0,330.0,3.0,0.0,27.0,43.0,24.0,27.0,12.0,16.0,0.0,0.0,9.0,199.0,8.0,33.0,10.0,15.0,3.0,4.0,9.0,36.0,43.0,18.0,48.0,54.0,t,f,5,t,Sweden,0.0,6.0,12.0,0.0,249.0,6.0,1.0,33.0,48.0,25.0,33.0,5.0,15.0,1.0,4.0,9.0,36.0,3.0,27.0,4.0,16.0,0.0,0.0,9.0,30.0,48.0,7.0,43.0,37.0,f,f,f,Sweden
