start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2009-03-16,2009-03-22,USA,Hard,125000.0,$,2009,andrew-lake,A. Lake,jose-de-armas,J. De Armas,sunrise_challenger,1st Round Qualifying,2.0,f,100,0,00:57:00,109.0,0.0,6.0,12.0,0.0,0.0,211.0,2.0,7.0,27.0,54.0,20.0,27.0,10.0,27.0,5.0,9.0,9.0,108.0,12.0,41.0,6.0,14.0,1.0,4.0,9.0,30.0,54.0,18.0,55.0,48.0,f,f,WC,f,USA,2.0,12.0,6.0,0.0,291.0,2.0,2.0,41.0,55.0,29.0,41.0,8.0,14.0,3.0,4.0,9.0,177.0,7.0,27.0,17.0,27.0,4.0,9.0,9.0,37.0,55.0,24.0,54.0,61.0,t,f,t,USA
2009-03-16,2009-03-22,USA,Hard,125000.0,$,2009,andrey-kumantsov,A. Kumantsov,benjamin-becker,B. Becker,sunrise_challenger,1st Round Qualifying,2.0,f,100,0,01:11:00,116.0,2.0,12.0,6.0,0.0,0.0,319.0,4.0,1.0,31.0,49.0,25.0,31.0,13.0,18.0,1.0,1.0,9.0,160.0,12.0,32.0,18.0,35.0,3.0,8.0,9.0,38.0,49.0,30.0,67.0,68.0,t,f,,t,USA,0.0,6.0,12.0,0.0,226.0,5.0,5.0,32.0,67.0,20.0,32.0,17.0,35.0,5.0,8.0,9.0,47.0,6.0,31.0,5.0,18.0,0.0,1.0,9.0,37.0,67.0,11.0,49.0,48.0,f,f,f,USA
2009-03-16,2009-03-22,USA,Hard,125000.0,$,2009,andrey-kumantsov,A. Kumantsov,jesse-levine,J. Levine,sunrise_challenger,2nd Round Qualifying,3.0,f,100,1,01:57:00,177.0,2.0,14.0,13.0,0.0,0.0,244.0,5.0,4.0,61.0,88.0,38.0,61.0,13.0,27.0,9.0,14.0,14.0,166.0,21.0,50.0,17.0,39.0,5.0,12.0,13.0,51.0,88.0,38.0,89.0,89.0,t,f,,f,USA,1.0,13.0,14.0,0.0,231.0,4.0,4.0,50.0,89.0,29.0,50.0,22.0,39.0,7.0,12.0,13.0,161.0,23.0,61.0,14.0,27.0,5.0,14.0,14.0,51.0,89.0,37.0,88.0,88.0,f,f,t,USA
2009-03-16,2009-03-22,USA,Hard,125000.0,$,2009,andrey-kumantsov,A. Kumantsov,robin-soderling,R. Soderling,sunrise_challenger,3rd Round Qualifying,2.0,f,100,2,01:07:00,110.0,0.0,7.0,12.0,0.0,0.0,233.0,4.0,5.0,36.0,56.0,23.0,36.0,8.0,20.0,6.0,9.0,9.0,123.0,6.0,34.0,9.0,20.0,1.0,2.0,10.0,31.0,56.0,15.0,54.0,46.0,f,f,,f,USA,2.0,12.0,7.0,0.0,292.0,8.0,6.0,34.0,54.0,28.0,34.0,11.0,20.0,1.0,2.0,10.0,162.0,13.0,36.0,12.0,20.0,3.0,9.0,9.0,39.0,54.0,25.0,56.0,64.0,t,f,t,USA
2009-03-16,2009-03-22,USA,Hard,125000.0,$,2009,antoine-bodwin,A. Bodwin,paul-hanley,P. Hanley,sunrise_challenger,1st Round Qualifying,2.0,f,100,0,00:31:00,55.0,0.0,0.0,12.0,0.0,0.0,69.0,0.0,5.0,13.0,28.0,2.0,13.0,2.0,15.0,0.0,6.0,6.0,34.0,1.0,20.0,2.0,7.0,0.0,0.0,6.0,4.0,28.0,3.0,27.0,7.0,f,f,WC,f,USA,2.0,12.0,0.0,0.0,343.0,3.0,0.0,20.0,27.0,19.0,20.0,5.0,7.0,0.0,0.0,6.0,372.0,11.0,13.0,13.0,15.0,6.0,6.0,6.0,24.0,27.0,24.0,28.0,48.0,t,f,t,USA
2009-03-16,2009-03-22,USA,Hard,125000.0,$,2009,arnaud-clement,A. Clement,diego-junqueira,D. Junqueira,sunrise_challenger,Round of 32,2.0,f,100,3,01:00:00,93.0,2.0,12.0,4.0,0.0,0.0,296.0,5.0,1.0,26.0,50.0,20.0,26.0,15.0,24.0,0.0,0.0,8.0,218.0,13.0,24.0,9.0,19.0,4.0,6.0,8.0,35.0,50.0,22.0,43.0,57.0,t,f,,t,USA,0.0,4.0,12.0,0.0,202.0,0.0,3.0,24.0,43.0,11.0,24.0,10.0,19.0,2.0,6.0,8.0,61.0,6.0,26.0,9.0,24.0,0.0,0.0,8.0,21.0,43.0,15.0,50.0,36.0,f,f,f,USA
2009-03-16,2009-03-22,USA,Hard,125000.0,$,2009,arnaud-clement,A. Clement,dudi-sela,D. Sela,sunrise_challenger,Round of 16,1.0,f,100,4,00:18:00,33.0,1.0,5.0,0.0,0.0,0.0,289.0,2.0,0.0,12.0,22.0,11.0,12.0,4.0,10.0,4.0,4.0,3.0,367.0,6.0,9.0,2.0,2.0,2.0,2.0,2.0,15.0,22.0,8.0,11.0,23.0,t,t,,t,USA,0.0,0.0,5.0,0.0,116.0,2.0,1.0,9.0,11.0,3.0,9.0,0.0,2.0,0.0,2.0,2.0,68.0,1.0,12.0,6.0,10.0,0.0,4.0,3.0,3.0,11.0,7.0,22.0,10.0,f,t,f,USA
2009-03-16,2009-03-22,USA,Hard,125000.0,$,2009,arnaud-clement,A. Clement,tomas-berdych,T. Berdych,sunrise_challenger,Quarter-Finals,2.0,f,100,5,01:39:00,142.0,0.0,10.0,13.0,0.0,1.0,268.0,5.0,1.0,39.0,70.0,31.0,39.0,15.0,31.0,5.0,7.0,11.0,98.0,5.0,41.0,16.0,31.0,1.0,4.0,11.0,46.0,70.0,21.0,72.0,67.0,f,f,,f,USA,2.0,13.0,10.0,1.0,291.0,9.0,1.0,41.0,72.0,36.0,41.0,15.0,31.0,3.0,4.0,11.0,120.0,8.0,39.0,16.0,31.0,2.0,7.0,11.0,51.0,72.0,24.0,70.0,75.0,t,f,t,USA
2009-03-16,2009-03-22,USA,Hard,125000.0,$,2009,artur-chernov,A. Chernov,robin-soderling,R. Soderling,sunrise_challenger,2nd Round Qualifying,2.0,f,100,1,00:49:00,88.0,0.0,5.0,12.0,0.0,0.0,214.0,2.0,1.0,21.0,46.0,12.0,21.0,12.0,25.0,4.0,7.0,8.0,38.0,2.0,29.0,4.0,13.0,0.0,0.0,9.0,24.0,46.0,6.0,42.0,30.0,f,f,,f,USA,2.0,12.0,5.0,0.0,335.0,6.0,2.0,29.0,42.0,27.0,29.0,9.0,13.0,0.0,0.0,9.0,175.0,9.0,21.0,13.0,25.0,3.0,7.0,8.0,36.0,42.0,22.0,46.0,58.0,t,f,t,USA
2009-03-16,2009-03-22,USA,Hard,125000.0,$,2009,artur-chernov,A. Chernov,stephen-huss,S. Huss,sunrise_challenger,1st Round Qualifying,3.0,f,100,0,01:34:00,173.0,2.0,16.0,12.0,0.0,0.0,257.0,3.0,2.0,50.0,84.0,30.0,50.0,22.0,34.0,8.0,12.0,14.0,196.0,18.0,56.0,22.0,33.0,6.0,11.0,14.0,52.0,84.0,40.0,89.0,92.0,t,f,,f,USA,1.0,12.0,16.0,0.0,219.0,7.0,9.0,56.0,89.0,38.0,56.0,11.0,33.0,5.0,11.0,14.0,136.0,20.0,50.0,12.0,34.0,4.0,12.0,14.0,49.0,89.0,32.0,84.0,81.0,f,f,t,USA
