start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2009-01-12,2009-01-18,Australia,Hard,433000.0,$,2009,adrian-mannarino,A. Mannarino,robert-kendrick,R. Kendrick,sydney,1st Round Qualifying,2.0,f,250,0,00:55:00,99.0,2.0,12.0,6.0,0.0,0.0,310.0,4.0,2.0,27.0,47.0,22.0,27.0,14.0,20.0,0.0,0.0,9.0,245.0,10.0,38.0,12.0,14.0,3.0,3.0,9.0,36.0,47.0,22.0,52.0,58.0,t,f,,t,Australia,0.0,6.0,12.0,0.0,228.0,4.0,3.0,38.0,52.0,28.0,38.0,2.0,14.0,0.0,3.0,9.0,49.0,5.0,27.0,6.0,20.0,0.0,0.0,9.0,30.0,52.0,11.0,47.0,41.0,f,f,f,Australia
2009-01-12,2009-01-18,Australia,Hard,433000.0,$,2009,adrian-mannarino,A. Mannarino,xavier-malisse,X. Malisse,sydney,2nd Round Qualifying,2.0,f,250,1,00:50:00,84.0,0.0,4.0,12.0,0.0,0.0,177.0,0.0,1.0,21.0,35.0,11.0,21.0,4.0,14.0,1.0,6.0,8.0,97.0,8.0,31.0,7.0,18.0,1.0,5.0,8.0,15.0,35.0,15.0,49.0,30.0,f,f,,f,Australia,2.0,12.0,4.0,0.0,287.0,3.0,1.0,31.0,49.0,23.0,31.0,11.0,18.0,4.0,5.0,8.0,264.0,10.0,21.0,10.0,14.0,5.0,6.0,8.0,34.0,49.0,20.0,35.0,54.0,t,f,t,Australia
2009-01-12,2009-01-18,Australia,Hard,433000.0,$,2009,alberto-martin,A. Martin,brendan-mckenzie,B. Mckenzie,sydney,1st Round Qualifying,2.0,f,250,0,01:03:00,95.0,2.0,12.0,3.0,0.0,0.0,289.0,2.0,1.0,25.0,40.0,20.0,25.0,9.0,15.0,1.0,2.0,7.0,252.0,17.0,30.0,15.0,25.0,6.0,10.0,8.0,29.0,40.0,32.0,55.0,61.0,t,f,,t,Australia,0.0,3.0,12.0,0.0,159.0,1.0,5.0,30.0,55.0,13.0,30.0,10.0,25.0,4.0,10.0,8.0,124.0,5.0,25.0,6.0,15.0,1.0,2.0,7.0,23.0,55.0,11.0,40.0,34.0,f,f,f,Australia
2009-01-12,2009-01-18,Australia,Hard,433000.0,$,2009,alberto-martin,A. Martin,frank-dancevic,F. Dancevic,sydney,3rd Round Qualifying,2.0,f,250,2,01:06:00,98.0,0.0,7.0,12.0,0.0,0.0,209.0,1.0,4.0,29.0,51.0,16.0,29.0,10.0,22.0,2.0,6.0,9.0,177.0,7.0,33.0,5.0,14.0,2.0,2.0,10.0,26.0,51.0,12.0,47.0,38.0,f,f,,f,Australia,2.0,12.0,7.0,0.0,300.0,7.0,0.0,33.0,47.0,26.0,33.0,9.0,14.0,0.0,2.0,10.0,211.0,13.0,29.0,12.0,22.0,4.0,6.0,9.0,35.0,47.0,25.0,51.0,60.0,t,f,t,Australia
2009-01-12,2009-01-18,Australia,Hard,433000.0,$,2009,alberto-martin,A. Martin,sadik-kadir,S. Kadir,sydney,2nd Round Qualifying,2.0,f,250,1,01:05:00,108.0,2.0,12.0,4.0,0.0,0.0,305.0,3.0,0.0,43.0,57.0,30.0,43.0,8.0,14.0,2.0,2.0,8.0,208.0,5.0,26.0,18.0,25.0,4.0,6.0,8.0,38.0,57.0,23.0,51.0,61.0,t,f,,t,Australia,0.0,4.0,12.0,0.0,209.0,1.0,2.0,26.0,51.0,21.0,26.0,7.0,25.0,2.0,6.0,8.0,73.0,13.0,43.0,6.0,14.0,0.0,2.0,8.0,28.0,51.0,19.0,57.0,47.0,f,f,f,Australia
2009-01-12,2009-01-18,Australia,Hard,433000.0,$,2009,amer-delic,A. Delic,denis-gremelmayr,D. Gremelmayr,sydney,1st Round Qualifying,2.0,f,250,0,01:12:00,140.0,0.0,10.0,13.0,0.0,1.0,296.0,3.0,1.0,41.0,65.0,27.0,41.0,18.0,24.0,0.0,1.0,11.0,63.0,7.0,46.0,14.0,29.0,0.0,2.0,11.0,45.0,65.0,21.0,75.0,66.0,f,f,,f,Australia,2.0,13.0,10.0,1.0,295.0,0.0,3.0,46.0,75.0,39.0,46.0,15.0,29.0,2.0,2.0,11.0,168.0,14.0,41.0,6.0,24.0,1.0,1.0,11.0,54.0,75.0,20.0,65.0,74.0,t,f,t,Australia
2009-01-12,2009-01-18,Australia,Hard,433000.0,$,2009,andreas-seppi,A. Seppi,paul-henri-mathieu,P. Mathieu,sydney,Round of 32,3.0,f,250,3,01:58:00,175.0,1.0,11.0,14.0,0.0,0.0,267.0,7.0,1.0,36.0,64.0,25.0,36.0,17.0,28.0,1.0,4.0,12.0,114.0,25.0,68.0,20.0,43.0,2.0,13.0,13.0,42.0,64.0,45.0,111.0,87.0,f,f,,f,Australia,2.0,14.0,11.0,0.0,266.0,8.0,3.0,68.0,111.0,43.0,68.0,23.0,43.0,11.0,13.0,13.0,170.0,11.0,36.0,11.0,28.0,3.0,4.0,12.0,66.0,111.0,22.0,64.0,88.0,t,f,t,Australia
2009-01-12,2009-01-18,Australia,Hard,433000.0,$,2009,andrey-golubev,A. Golubev,evgeny-korolev,E. Korolev,sydney,1st Round Qualifying,3.0,f,250,0,02:00:00,195.0,1.0,16.0,16.0,0.0,1.0,269.0,13.0,2.0,58.0,101.0,40.0,58.0,22.0,43.0,1.0,4.0,16.0,144.0,13.0,60.0,20.0,34.0,3.0,7.0,15.0,62.0,101.0,33.0,94.0,95.0,f,f,9,f,Australia,2.0,16.0,16.0,1.0,267.0,7.0,3.0,60.0,94.0,47.0,60.0,14.0,34.0,4.0,7.0,15.0,173.0,18.0,58.0,21.0,43.0,3.0,4.0,16.0,61.0,94.0,39.0,101.0,100.0,t,f,t,Australia
2009-01-12,2009-01-18,Australia,Hard,433000.0,$,2009,arnaud-clement,A. Clement,peter-luczak,P. Luczak,sydney,1st Round Qualifying,2.0,f,250,0,01:17:00,107.0,0.0,6.0,12.0,0.0,0.0,230.0,1.0,1.0,23.0,53.0,18.0,23.0,13.0,30.0,3.0,6.0,9.0,74.0,7.0,38.0,9.0,16.0,0.0,1.0,9.0,31.0,53.0,16.0,54.0,47.0,f,f,,f,Australia,2.0,12.0,6.0,0.0,302.0,7.0,1.0,38.0,54.0,31.0,38.0,7.0,16.0,1.0,1.0,9.0,162.0,5.0,23.0,17.0,30.0,3.0,6.0,9.0,38.0,54.0,22.0,53.0,60.0,t,f,t,Australia
2009-01-12,2009-01-18,Australia,Hard,433000.0,$,2009,brydan-klein,B. Klein,potito-starace,P. Starace,sydney,1st Round Qualifying,3.0,f,250,0,01:48:00,164.0,1.0,12.0,16.0,0.0,0.0,223.0,3.0,2.0,51.0,79.0,29.0,51.0,12.0,28.0,3.0,9.0,14.0,165.0,22.0,56.0,14.0,29.0,4.0,8.0,14.0,41.0,79.0,36.0,85.0,77.0,f,f,,f,Australia,2.0,16.0,12.0,0.0,252.0,3.0,1.0,56.0,85.0,34.0,56.0,15.0,29.0,4.0,8.0,14.0,209.0,22.0,51.0,16.0,28.0,6.0,9.0,14.0,49.0,85.0,38.0,79.0,87.0,t,f,t,Australia
