start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2011-09-12,2011-09-18,Poland,Clay,106500.0,€,2011,adam-chadaj,A. Chadaj,jakub-lustyk,J. Lustyk,szczecin_challenger,1st Round Qualifying,3.0,f,100,0,01:59:00,172.0,2.0,18.0,10.0,0.0,1.0,297.0,2.0,4.0,64.0,85.0,48.0,64.0,12.0,21.0,6.0,7.0,14.0,174.0,23.0,63.0,13.0,24.0,5.0,11.0,13.0,60.0,85.0,36.0,87.0,96.0,t,f,,f,Poland,1.0,10.0,18.0,1.0,247.0,6.0,1.0,63.0,87.0,40.0,63.0,11.0,24.0,6.0,11.0,13.0,89.0,16.0,64.0,9.0,21.0,1.0,7.0,14.0,51.0,87.0,25.0,85.0,76.0,f,f,t,Poland
2011-09-12,2011-09-18,Poland,Clay,106500.0,€,2011,adam-chadaj,A. Chadaj,norbert-gombos,N. Gombos,szczecin_challenger,2nd Round Qualifying,2.0,f,100,1,01:06:00,110.0,0.0,5.0,12.0,0.0,0.0,178.0,1.0,9.0,26.0,61.0,16.0,26.0,13.0,35.0,4.0,9.0,9.0,115.0,9.0,28.0,8.0,21.0,1.0,3.0,8.0,29.0,61.0,17.0,49.0,46.0,f,f,,f,Poland,2.0,12.0,5.0,0.0,273.0,0.0,1.0,28.0,49.0,19.0,28.0,13.0,21.0,2.0,3.0,8.0,212.0,10.0,26.0,22.0,35.0,5.0,9.0,9.0,32.0,49.0,32.0,61.0,64.0,t,f,t,Poland
2011-09-12,2011-09-18,Poland,Clay,106500.0,€,2011,adam-feeney,A. Feeney,tomasz-bednarek,T. Bednarek,szczecin_challenger,1st Round Qualifying,3.0,f,100,0,01:54:00,178.0,1.0,15.0,14.0,0.0,1.0,225.0,4.0,9.0,48.0,89.0,30.0,48.0,20.0,41.0,1.0,6.0,14.0,201.0,10.0,40.0,29.0,49.0,6.0,8.0,14.0,50.0,89.0,39.0,89.0,89.0,f,f,,f,Poland,2.0,14.0,15.0,1.0,210.0,3.0,11.0,40.0,89.0,30.0,40.0,20.0,49.0,2.0,8.0,14.0,207.0,18.0,48.0,21.0,41.0,5.0,6.0,14.0,50.0,89.0,39.0,89.0,89.0,t,f,t,Poland
2011-09-12,2011-09-18,Poland,Clay,106500.0,€,2011,adam-majchrowicz,A. Majchrowicz,roman-jebavy,R. Jebavy,szczecin_challenger,2nd Round Qualifying,2.0,f,100,1,00:47:00,93.0,0.0,3.0,12.0,0.0,0.0,173.0,1.0,1.0,31.0,43.0,15.0,31.0,3.0,12.0,3.0,8.0,7.0,105.0,11.0,33.0,6.0,17.0,1.0,4.0,8.0,18.0,43.0,17.0,50.0,35.0,f,f,,f,Poland,2.0,12.0,3.0,0.0,284.0,0.0,1.0,33.0,50.0,22.0,33.0,11.0,17.0,3.0,4.0,8.0,261.0,16.0,31.0,9.0,12.0,5.0,8.0,7.0,33.0,50.0,25.0,43.0,58.0,t,f,t,Poland
2011-09-12,2011-09-18,Poland,Clay,106500.0,€,2011,adrian-partl,A. Partl,rafal-teurer,R. Teurer,szczecin_challenger,1st Round Qualifying,2.0,f,100,0,01:53:00,141.0,2.0,12.0,7.0,0.0,0.0,236.0,4.0,4.0,32.0,85.0,20.0,32.0,29.0,53.0,4.0,6.0,10.0,204.0,19.0,37.0,8.0,19.0,4.0,6.0,9.0,49.0,85.0,27.0,56.0,76.0,t,f,,t,Poland,0.0,7.0,12.0,0.0,227.0,0.0,1.0,37.0,56.0,18.0,37.0,11.0,19.0,2.0,6.0,9.0,136.0,12.0,32.0,24.0,53.0,2.0,6.0,10.0,29.0,56.0,36.0,85.0,65.0,f,f,f,Poland
2011-09-12,2011-09-18,Poland,Clay,106500.0,€,2011,adrian-partl,A. Partl,renzo-olivo,R. Olivo,szczecin_challenger,2nd Round Qualifying,2.0,f,100,1,01:06:00,107.0,0.0,4.0,12.0,0.0,0.0,178.0,2.0,6.0,27.0,53.0,16.0,27.0,9.0,26.0,2.0,7.0,8.0,105.0,13.0,39.0,6.0,15.0,1.0,5.0,8.0,25.0,53.0,19.0,54.0,44.0,f,f,,f,Poland,2.0,12.0,4.0,0.0,287.0,1.0,0.0,39.0,54.0,26.0,39.0,9.0,15.0,4.0,5.0,8.0,239.0,11.0,27.0,17.0,26.0,5.0,7.0,8.0,35.0,54.0,28.0,53.0,63.0,t,f,t,Poland
2011-09-12,2011-09-18,Poland,Clay,106500.0,€,2011,adrian-sikora,A. Sikora,michal-schmid,M. Schmid,szczecin_challenger,1st Round Qualifying,1.0,f,100,0,00:46:00,89.0,1.0,7.0,6.0,1.0,1.0,245.0,2.0,3.0,28.0,43.0,21.0,28.0,6.0,15.0,2.0,4.0,6.0,166.0,9.0,24.0,12.0,22.0,2.0,5.0,6.0,27.0,43.0,21.0,46.0,48.0,t,t,,t,Poland,0.0,6.0,7.0,0.0,230.0,6.0,2.0,24.0,46.0,15.0,24.0,10.0,22.0,3.0,5.0,6.0,168.0,7.0,28.0,9.0,15.0,2.0,4.0,6.0,25.0,46.0,16.0,43.0,41.0,f,t,f,Poland
2011-09-12,2011-09-18,Poland,Clay,106500.0,€,2011,adrian-sikora,A. Sikora,peter-torebko,P. Torebko,szczecin_challenger,2nd Round Qualifying,3.0,f,100,1,01:51:00,157.0,2.0,13.0,13.0,0.0,0.0,216.0,0.0,5.0,49.0,76.0,22.0,49.0,16.0,27.0,1.0,7.0,13.0,180.0,10.0,33.0,28.0,48.0,6.0,13.0,13.0,38.0,76.0,38.0,81.0,76.0,t,f,,t,Poland,1.0,13.0,13.0,0.0,206.0,11.0,11.0,33.0,81.0,23.0,33.0,20.0,48.0,7.0,13.0,13.0,228.0,27.0,49.0,11.0,27.0,6.0,7.0,13.0,43.0,81.0,38.0,76.0,81.0,f,f,f,Poland
2011-09-12,2011-09-18,Poland,Clay,106500.0,€,2011,adrian-sikora,A. Sikora,renzo-olivo,R. Olivo,szczecin_challenger,3rd Round Qualifying,2.0,f,100,2,01:13:00,112.0,0.0,6.0,12.0,0.0,0.0,201.0,0.0,1.0,35.0,56.0,15.0,35.0,11.0,21.0,2.0,7.0,9.0,140.0,10.0,36.0,13.0,20.0,2.0,8.0,9.0,26.0,56.0,23.0,56.0,49.0,f,f,,f,Poland,2.0,12.0,6.0,0.0,250.0,4.0,2.0,36.0,56.0,26.0,36.0,7.0,20.0,6.0,8.0,9.0,231.0,20.0,35.0,10.0,21.0,5.0,7.0,9.0,33.0,56.0,30.0,56.0,63.0,t,f,t,Poland
2011-09-12,2011-09-18,Poland,Clay,106500.0,€,2011,albert-montanes,A. Montanes,alexander-flock,A. Flock,szczecin_challenger,Round of 16,3.0,f,100,4,01:37:00,138.0,2.0,16.0,6.0,0.0,0.0,244.0,3.0,6.0,38.0,73.0,25.0,38.0,20.0,35.0,5.0,8.0,11.0,263.0,21.0,44.0,16.0,21.0,8.0,12.0,11.0,45.0,73.0,37.0,65.0,82.0,t,f,1 WC,f,Poland,1.0,6.0,16.0,0.0,169.0,0.0,2.0,44.0,65.0,23.0,44.0,5.0,21.0,4.0,12.0,11.0,142.0,13.0,38.0,15.0,35.0,3.0,8.0,11.0,28.0,65.0,28.0,73.0,56.0,f,f,t,Poland
