,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-04-20,2009-04-26,USA,Clay,50000.0,$,2009,alexander-domijan,A. Domijan,cecil-mamiit,C. Mamiit,tallahassee_challenger,1st Round Qualifying,3.0,f,100,0,02:13:00,202.0,1.0,15.0,18.0,1.0,1.0,235.0,1.0,4.0,68.0,111.0,42.0,68.0,20.0,43.0,4.0,9.0,16.0,190.0,12.0,43.0,21.0,48.0,3.0,3.0,16.0,62.0,111.0,33.0,91.0,95.0,f,f,WC,t,USA,2.0,18.0,15.0,0.0,256.0,6.0,6.0,43.0,91.0,31.0,43.0,27.0,48.0,0.0,3.0,16.0,178.0,26.0,68.0,23.0,43.0,5.0,9.0,16.0,58.0,91.0,49.0,111.0,107.0,t,f,f,USA
1,2009-04-20,2009-04-26,USA,Clay,50000.0,$,2009,alexander-slabinsky,A. Slabinsky,ricardas-berankis,R. Berankis,tallahassee_challenger,1st Round Qualifying,2.0,f,100,0,01:10:00,99.0,0.0,4.0,12.0,0.0,0.0,180.0,0.0,2.0,30.0,50.0,15.0,30.0,7.0,20.0,3.0,8.0,8.0,114.0,8.0,30.0,8.0,19.0,1.0,3.0,8.0,22.0,50.0,16.0,49.0,38.0,f,f,6,f,USA,2.0,12.0,4.0,0.0,285.0,7.0,1.0,30.0,49.0,22.0,30.0,11.0,19.0,2.0,3.0,8.0,240.0,15.0,30.0,13.0,20.0,5.0,8.0,8.0,33.0,49.0,28.0,50.0,61.0,t,f,t,USA
2,2009-04-20,2009-04-26,USA,Clay,50000.0,$,2009,alex-bogdanovic,A. Bogdanovic,kyu-tae-im,K. Im,tallahassee_challenger,Round of 32,2.0,f,100,3,01:22:00,129.0,0.0,8.0,12.0,0.0,0.0,225.0,4.0,2.0,43.0,69.0,27.0,43.0,10.0,26.0,3.0,7.0,10.0,123.0,14.0,39.0,8.0,21.0,2.0,7.0,10.0,37.0,69.0,22.0,60.0,59.0,f,f,,f,USA,2.0,12.0,8.0,0.0,270.0,2.0,3.0,39.0,60.0,25.0,39.0,13.0,21.0,5.0,7.0,10.0,196.0,16.0,43.0,16.0,26.0,4.0,7.0,10.0,38.0,60.0,32.0,69.0,70.0,t,f,t,USA
3,2009-04-20,2009-04-26,USA,Clay,50000.0,$,2009,alex-kuznetsov,A. Kuznetsov,jose-de-armas,J. De Armas,tallahassee_challenger,1st Round Qualifying,2.0,f,100,0,01:45:00,152.0,0.0,9.0,13.0,0.0,0.0,245.0,3.0,2.0,52.0,80.0,39.0,52.0,9.0,28.0,7.0,10.0,11.0,101.0,12.0,46.0,12.0,26.0,1.0,5.0,11.0,48.0,80.0,24.0,72.0,72.0,f,f,,f,USA,2.0,13.0,9.0,0.0,283.0,2.0,1.0,46.0,72.0,34.0,46.0,14.0,26.0,4.0,5.0,11.0,150.0,13.0,52.0,19.0,28.0,3.0,10.0,11.0,48.0,72.0,32.0,80.0,80.0,t,f,t,USA
4,2009-04-20,2009-04-26,USA,Clay,50000.0,$,2009,amer-delic,A. Delic,kevin-kim,K. Kim,tallahassee_challenger,Round of 32,2.0,f,100,3,01:26:00,153.0,0.0,10.0,13.0,0.0,1.0,289.0,12.0,4.0,57.0,76.0,42.0,57.0,8.0,19.0,4.0,5.0,11.0,56.0,6.0,37.0,16.0,40.0,0.0,2.0,11.0,50.0,76.0,22.0,77.0,72.0,f,f,,f,USA,2.0,13.0,10.0,1.0,289.0,2.0,5.0,37.0,77.0,31.0,37.0,24.0,40.0,2.0,2.0,11.0,113.0,15.0,57.0,11.0,19.0,1.0,5.0,11.0,55.0,77.0,26.0,76.0,81.0,t,f,t,USA
5,2009-04-20,2009-04-26,USA,Clay,50000.0,$,2009,andis-juska,A. Juska,andrey-kumantsov,A. Kumantsov,tallahassee_challenger,2nd Round Qualifying,2.0,f,100,1,00:50:00,98.0,2.0,12.0,3.0,0.0,0.0,279.0,2.0,3.0,34.0,45.0,25.0,34.0,5.0,11.0,6.0,7.0,7.0,230.0,14.0,29.0,16.0,24.0,6.0,15.0,8.0,30.0,45.0,30.0,53.0,60.0,t,f,5,t,USA,0.0,3.0,12.0,0.0,164.0,1.0,2.0,29.0,53.0,15.0,29.0,8.0,24.0,9.0,15.0,8.0,109.0,9.0,34.0,6.0,11.0,1.0,7.0,7.0,23.0,53.0,15.0,45.0,38.0,f,f,f,USA
6,2009-04-20,2009-04-26,USA,Clay,50000.0,$,2009,andis-juska,A. Juska,donald-young,D. Young,tallahassee_challenger,Round of 32,3.0,f,100,3,02:05:00,205.0,1.0,16.0,19.0,1.0,1.0,238.0,8.0,1.0,67.0,101.0,40.0,67.0,16.0,34.0,6.0,13.0,17.0,161.0,19.0,67.0,22.0,37.0,5.0,11.0,17.0,56.0,101.0,41.0,104.0,97.0,f,f,Q,f,USA,2.0,19.0,16.0,0.0,249.0,6.0,4.0,67.0,104.0,48.0,67.0,15.0,37.0,6.0,11.0,17.0,188.0,27.0,67.0,18.0,34.0,7.0,13.0,17.0,63.0,104.0,45.0,101.0,108.0,t,f,t,USA
7,2009-04-20,2009-04-26,USA,Clay,50000.0,$,2009,andis-juska,A. Juska,filip-krajinovic,F. Krajinovic,tallahassee_challenger,3rd Round Qualifying,2.0,f,100,2,00:59:00,102.0,2.0,12.0,6.0,0.0,0.0,294.0,5.0,4.0,33.0,46.0,26.0,33.0,7.0,13.0,1.0,2.0,9.0,218.0,14.0,35.0,14.0,21.0,4.0,6.0,9.0,33.0,46.0,28.0,56.0,61.0,t,f,5,t,USA,0.0,6.0,12.0,0.0,211.0,0.0,0.0,35.0,56.0,21.0,35.0,7.0,21.0,2.0,6.0,9.0,128.0,7.0,33.0,6.0,13.0,1.0,2.0,9.0,28.0,56.0,13.0,46.0,41.0,f,f,f,USA
8,2009-04-20,2009-04-26,USA,Clay,50000.0,$,2009,andis-juska,A. Juska,tigran-martirosyan,T. Martirosyan,tallahassee_challenger,1st Round Qualifying,2.0,f,100,0,01:06:00,116.0,2.0,12.0,7.0,0.0,0.0,251.0,3.0,4.0,33.0,58.0,23.0,33.0,12.0,25.0,3.0,5.0,9.0,200.0,14.0,37.0,13.0,21.0,5.0,10.0,10.0,35.0,58.0,27.0,58.0,62.0,t,f,5,t,USA,0.0,7.0,12.0,0.0,214.0,1.0,1.0,37.0,58.0,23.0,37.0,8.0,21.0,5.0,10.0,10.0,144.0,10.0,33.0,13.0,25.0,2.0,5.0,9.0,31.0,58.0,23.0,58.0,54.0,f,f,f,USA
9,2009-04-20,2009-04-26,USA,Clay,50000.0,$,2009,andrey-kumantsov,A. Kumantsov,catalin-ionut-gard,C. Gard,tallahassee_challenger,1st Round Qualifying,2.0,f,100,0,00:45:00,74.0,2.0,12.0,1.0,0.0,0.0,322.0,6.0,3.0,20.0,35.0,19.0,20.0,10.0,15.0,2.0,2.0,7.0,290.0,8.0,16.0,17.0,23.0,5.0,6.0,6.0,29.0,35.0,25.0,39.0,54.0,t,f,,t,USA,0.0,1.0,12.0,0.0,127.0,0.0,6.0,16.0,39.0,8.0,16.0,6.0,23.0,1.0,6.0,6.0,38.0,1.0,20.0,5.0,15.0,0.0,2.0,7.0,14.0,39.0,6.0,35.0,20.0,f,f,f,USA
