start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2018-04-23,2018-04-28,USA,Clay,75000.0,$,2018,akira-santillan,A. Santillan,jc-aragone,J. Aragone,tallahassee_challenger,Round of 32,3.0,f,100,3,02:24:00,225.0,1.0,16.0,18.0,0.0,1.0,247.0,10.0,4.0,67.0,106.0,41.0,67.0,19.0,39.0,4.0,9.0,16.0,157.0,29.0,82.0,19.0,37.0,5.0,12.0,17.0,60.0,106.0,48.0,119.0,108.0,f,f,6,t,USA,2.0,18.0,16.0,1.0,253.0,6.0,6.0,82.0,119.0,53.0,82.0,18.0,37.0,7.0,12.0,17.0,177.0,26.0,67.0,20.0,39.0,5.0,9.0,16.0,71.0,119.0,46.0,106.0,117.0,t,f,f,USA
2018-04-23,2018-04-28,USA,Clay,75000.0,$,2018,alex-lawson,A. Lawson,peter-torebko,P. Torebko,tallahassee_challenger,2nd Round Qualifying,2.0,f,100,1,01:23:00,149.0,0.0,6.0,12.0,0.0,0.0,197.0,3.0,5.0,47.0,75.0,28.0,47.0,9.0,28.0,9.0,14.0,9.0,128.0,8.0,39.0,22.0,35.0,2.0,9.0,9.0,37.0,75.0,30.0,74.0,67.0,f,f,,f,USA,2.0,12.0,6.0,0.0,239.0,6.0,13.0,39.0,74.0,31.0,39.0,13.0,35.0,7.0,9.0,9.0,199.0,19.0,47.0,19.0,28.0,5.0,14.0,9.0,44.0,74.0,38.0,75.0,82.0,t,f,t,USA
2018-04-23,2018-04-28,USA,Clay,75000.0,$,2018,andrea-arnaboldi,A. Arnaboldi,guilherme-clezar,G. Clezar,tallahassee_challenger,Round of 32,2.0,f,100,3,01:23:00,112.0,0.0,6.0,12.0,0.0,0.0,231.0,3.0,2.0,33.0,58.0,18.0,33.0,13.0,25.0,4.0,7.0,9.0,62.0,7.0,35.0,8.0,19.0,0.0,1.0,9.0,31.0,58.0,15.0,54.0,46.0,f,f,,f,USA,2.0,12.0,6.0,0.0,303.0,2.0,2.0,35.0,54.0,28.0,35.0,11.0,19.0,1.0,1.0,9.0,169.0,15.0,33.0,12.0,25.0,3.0,7.0,9.0,39.0,54.0,27.0,58.0,66.0,t,f,t,USA
2018-04-23,2018-04-28,USA,Clay,75000.0,$,2018,aziz-dougaz,A. Dougaz,miomir-kecmanovic,M. Kecmanovic,tallahassee_challenger,Round of 32,2.0,f,100,3,01:16:00,123.0,0.0,6.0,12.0,0.0,0.0,215.0,6.0,4.0,39.0,59.0,24.0,39.0,6.0,20.0,5.0,9.0,9.0,112.0,9.0,37.0,14.0,27.0,1.0,4.0,9.0,30.0,59.0,23.0,64.0,53.0,f,f,WC,f,USA,2.0,12.0,6.0,0.0,268.0,0.0,2.0,37.0,64.0,28.0,37.0,13.0,27.0,3.0,4.0,9.0,196.0,15.0,39.0,14.0,20.0,4.0,9.0,9.0,41.0,64.0,29.0,59.0,70.0,t,f,t,USA
2018-04-23,2018-04-28,USA,Clay,75000.0,$,2018,blaz-rola,B. Rola,marc-polmans,M. Polmans,tallahassee_challenger,Round of 32,2.0,f,100,3,01:04:00,94.0,0.0,3.0,12.0,0.0,0.0,151.0,1.0,6.0,31.0,50.0,15.0,31.0,4.0,19.0,2.0,8.0,8.0,101.0,10.0,31.0,5.0,13.0,1.0,6.0,7.0,19.0,50.0,15.0,44.0,34.0,f,f,5,f,USA,2.0,12.0,3.0,0.0,285.0,1.0,1.0,31.0,44.0,21.0,31.0,8.0,13.0,5.0,6.0,7.0,281.0,16.0,31.0,15.0,19.0,6.0,8.0,8.0,29.0,44.0,31.0,50.0,60.0,t,f,t,USA
2018-04-23,2018-04-28,USA,Clay,75000.0,$,2018,charles-force,C. Force,max-purcell,M. Purcell,tallahassee_challenger,2nd Round Qualifying,2.0,f,100,1,00:58:00,88.0,0.0,3.0,12.0,0.0,0.0,144.0,1.0,5.0,22.0,44.0,11.0,22.0,5.0,22.0,2.0,8.0,8.0,99.0,3.0,19.0,11.0,25.0,1.0,4.0,7.0,16.0,44.0,14.0,44.0,30.0,f,f,WC,f,USA,2.0,12.0,3.0,0.0,270.0,3.0,1.0,19.0,44.0,16.0,19.0,14.0,25.0,3.0,4.0,7.0,277.0,11.0,22.0,17.0,22.0,6.0,8.0,8.0,30.0,44.0,28.0,44.0,58.0,t,f,t,USA
2018-04-23,2018-04-28,USA,Clay,75000.0,$,2018,christian-garin,C. Garin,evan-king,E. King,tallahassee_challenger,Round of 32,2.0,f,100,3,01:05:00,100.0,2.0,12.0,3.0,0.0,0.0,317.0,4.0,1.0,30.0,45.0,24.0,30.0,10.0,15.0,1.0,1.0,8.0,195.0,19.0,35.0,8.0,20.0,4.0,9.0,7.0,34.0,45.0,27.0,55.0,61.0,t,f,,t,USA,0.0,3.0,12.0,0.0,212.0,2.0,2.0,35.0,55.0,16.0,35.0,12.0,20.0,5.0,9.0,7.0,53.0,6.0,30.0,5.0,15.0,0.0,1.0,8.0,28.0,55.0,11.0,45.0,39.0,f,f,f,USA
2018-04-23,2018-04-28,USA,Clay,75000.0,$,2018,christian-garin,C. Garin,guilherme-clezar,G. Clezar,tallahassee_challenger,Round of 16,2.0,f,100,4,01:18:00,100.0,2.0,12.0,6.0,0.0,0.0,262.0,6.0,3.0,26.0,45.0,20.0,26.0,9.0,19.0,2.0,4.0,9.0,217.0,20.0,38.0,9.0,17.0,5.0,9.0,9.0,29.0,45.0,29.0,55.0,58.0,t,f,,t,USA,0.0,6.0,12.0,0.0,204.0,0.0,3.0,38.0,55.0,18.0,38.0,8.0,17.0,4.0,9.0,9.0,148.0,6.0,26.0,10.0,19.0,2.0,4.0,9.0,26.0,55.0,16.0,45.0,42.0,f,f,f,USA
2018-04-23,2018-04-28,USA,Clay,75000.0,$,2018,christian-garin,C. Garin,noah-rubin,N. Rubin,tallahassee_challenger,Quarter-Finals,2.0,f,100,5,01:25:00,126.0,0.0,7.0,12.0,0.0,0.0,205.0,4.0,4.0,33.0,65.0,20.0,33.0,12.0,32.0,6.0,10.0,9.0,112.0,10.0,34.0,11.0,27.0,2.0,9.0,10.0,32.0,65.0,21.0,61.0,53.0,f,f,,f,USA,2.0,12.0,7.0,0.0,267.0,5.0,4.0,34.0,61.0,24.0,34.0,16.0,27.0,7.0,9.0,10.0,186.0,13.0,33.0,20.0,32.0,4.0,10.0,9.0,40.0,61.0,33.0,65.0,73.0,t,f,t,USA
2018-04-23,2018-04-28,USA,Clay,75000.0,$,2018,christian-harrison,C. Harrison,jay-clarke,J. Clarke,tallahassee_challenger,Round of 32,3.0,f,100,3,02:11:00,181.0,1.0,11.0,15.0,0.0,0.0,237.0,0.0,1.0,54.0,82.0,33.0,54.0,14.0,28.0,6.0,11.0,13.0,130.0,21.0,56.0,19.0,43.0,3.0,12.0,13.0,47.0,82.0,40.0,99.0,87.0,f,f,,f,USA,2.0,15.0,11.0,0.0,252.0,2.0,2.0,56.0,99.0,35.0,56.0,24.0,43.0,9.0,12.0,13.0,172.0,21.0,54.0,14.0,28.0,5.0,11.0,13.0,59.0,99.0,35.0,82.0,94.0,t,f,t,USA
