start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2015-07-20,2015-07-26,Finland,Clay,42500.0,€,2015,alexander-vasilenko,A. Vasilenko,henrik-sillanpaa,H. Sillanpaa,tampere_challenger,Round of 32,3.0,f,100,3,02:14:00,208.0,2.0,16.0,14.0,1.0,1.0,263.0,5.0,4.0,53.0,93.0,39.0,53.0,21.0,40.0,4.0,7.0,14.0,142.0,22.0,64.0,26.0,51.0,4.0,13.0,15.0,60.0,93.0,48.0,115.0,108.0,t,f,Q,t,Finland,1.0,14.0,16.0,0.0,237.0,2.0,9.0,64.0,115.0,42.0,64.0,25.0,51.0,9.0,13.0,15.0,138.0,14.0,53.0,19.0,40.0,3.0,7.0,14.0,67.0,115.0,33.0,93.0,100.0,f,f,f,Finland
2015-07-20,2015-07-26,Finland,Clay,42500.0,€,2015,alexander-vasilenko,A. Vasilenko,patrick-kaukovalta,P. Kaukovalta,tampere_challenger,2nd Round Qualifying,2.0,f,100,2,01:03:00,106.0,2.0,12.0,5.0,0.0,0.0,313.0,4.0,3.0,26.0,42.0,26.0,26.0,8.0,16.0,0.0,0.0,8.0,189.0,18.0,41.0,14.0,23.0,4.0,10.0,9.0,34.0,42.0,32.0,64.0,66.0,t,f,2,t,Finland,0.0,5.0,12.0,0.0,213.0,0.0,1.0,41.0,64.0,23.0,41.0,9.0,23.0,6.0,10.0,9.0,50.0,0.0,26.0,8.0,16.0,0.0,0.0,8.0,32.0,64.0,8.0,42.0,40.0,f,f,f,Finland
2015-07-20,2015-07-26,Finland,Clay,42500.0,€,2015,alexander-vasilenko,A. Vasilenko,vladimir-ivanov,V. Ivanov,tampere_challenger,Round of 16,2.0,f,100,4,01:53:00,169.0,0.0,11.0,14.0,0.0,1.0,237.0,4.0,4.0,50.0,86.0,33.0,50.0,17.0,36.0,2.0,6.0,12.0,169.0,13.0,51.0,19.0,32.0,3.0,5.0,12.0,50.0,86.0,32.0,83.0,82.0,f,f,Q,f,Finland,2.0,14.0,11.0,1.0,252.0,4.0,4.0,51.0,83.0,38.0,51.0,13.0,32.0,2.0,5.0,12.0,187.0,17.0,50.0,19.0,36.0,4.0,6.0,12.0,51.0,83.0,36.0,86.0,87.0,t,f,t,Finland
2015-07-20,2015-07-26,Finland,Clay,42500.0,€,2015,alex-hedman,A. Hedman,pyry-hyrkkonen,P. Hyrkkonen,tampere_challenger,1st Round Qualifying,2.0,f,100,1,00:50:00,84.0,0.0,2.0,12.0,0.0,0.0,137.0,0.0,5.0,28.0,43.0,12.0,28.0,3.0,15.0,4.0,10.0,7.0,103.0,3.0,21.0,10.0,20.0,1.0,4.0,7.0,15.0,43.0,13.0,41.0,28.0,f,f,8 WC,f,Finland,2.0,12.0,2.0,0.0,273.0,3.0,2.0,21.0,41.0,18.0,21.0,10.0,20.0,3.0,4.0,7.0,282.0,16.0,28.0,12.0,15.0,6.0,10.0,7.0,28.0,41.0,28.0,43.0,56.0,t,f,t,Finland
2015-07-20,2015-07-26,Finland,Clay,42500.0,€,2015,alexis-musialek,A. Musialek,henri-laaksonen,H. Laaksonen,tampere_challenger,Round of 32,3.0,f,100,3,01:52:00,179.0,1.0,13.0,16.0,0.0,0.0,252.0,4.0,6.0,55.0,78.0,38.0,55.0,11.0,23.0,2.0,7.0,15.0,131.0,8.0,45.0,33.0,56.0,3.0,9.0,14.0,49.0,78.0,41.0,101.0,90.0,f,f,,f,Finland,2.0,16.0,13.0,0.0,251.0,12.0,7.0,45.0,101.0,37.0,45.0,23.0,56.0,6.0,9.0,14.0,187.0,17.0,55.0,12.0,23.0,5.0,7.0,15.0,60.0,101.0,29.0,78.0,89.0,t,f,t,Finland
2015-07-20,2015-07-26,Finland,Clay,42500.0,€,2015,andreas-beck,A. Beck,axel-michon,A. Michon,tampere_challenger,Round of 32,3.0,f,100,3,02:35:00,208.0,2.0,17.0,12.0,0.0,0.0,254.0,3.0,4.0,70.0,113.0,46.0,70.0,20.0,43.0,7.0,10.0,15.0,190.0,26.0,64.0,18.0,31.0,5.0,9.0,14.0,66.0,113.0,44.0,95.0,110.0,t,f,8,t,Finland,1.0,12.0,17.0,0.0,230.0,0.0,2.0,64.0,95.0,38.0,64.0,13.0,31.0,4.0,9.0,14.0,137.0,24.0,70.0,23.0,43.0,3.0,10.0,15.0,51.0,95.0,47.0,113.0,98.0,f,f,f,Finland
2015-07-20,2015-07-26,Finland,Clay,42500.0,€,2015,andreas-beck,A. Beck,patrik-niklas-salminen,P. Niklas-Salminen,tampere_challenger,Round of 16,2.0,f,100,4,01:22:00,125.0,2.0,13.0,8.0,0.0,0.0,290.0,1.0,2.0,37.0,56.0,28.0,37.0,13.0,19.0,0.0,2.0,11.0,196.0,15.0,42.0,17.0,27.0,4.0,7.0,10.0,41.0,56.0,32.0,69.0,73.0,t,f,8,t,Finland,0.0,8.0,13.0,0.0,223.0,3.0,2.0,42.0,69.0,27.0,42.0,10.0,27.0,3.0,7.0,10.0,174.0,9.0,37.0,6.0,19.0,2.0,2.0,11.0,37.0,69.0,15.0,56.0,52.0,f,f,f,Finland
2015-07-20,2015-07-26,Finland,Clay,42500.0,€,2015,andreas-beck,A. Beck,vladimir-ivanov,V. Ivanov,tampere_challenger,Quarter-Finals,2.0,f,100,5,01:46:00,153.0,1.0,9.0,11.0,1.0,1.0,271.0,3.0,4.0,47.0,71.0,31.0,47.0,15.0,24.0,8.0,10.0,9.0,98.0,18.0,52.0,13.0,30.0,1.0,10.0,10.0,46.0,71.0,31.0,82.0,77.0,f,t,8,t,Finland,1.0,11.0,9.0,0.0,275.0,2.0,2.0,52.0,82.0,34.0,52.0,17.0,30.0,9.0,10.0,10.0,114.0,16.0,47.0,9.0,24.0,2.0,10.0,9.0,51.0,82.0,25.0,71.0,76.0,t,t,f,Finland
2015-07-20,2015-07-26,Finland,Clay,42500.0,€,2015,andre-ghem,A. Ghem,henri-laaksonen,H. Laaksonen,tampere_challenger,Round of 16,2.0,f,100,4,01:07:00,114.0,2.0,12.0,6.0,0.0,0.0,297.0,1.0,0.0,38.0,51.0,27.0,38.0,8.0,13.0,3.0,4.0,9.0,200.0,16.0,39.0,14.0,24.0,4.0,7.0,9.0,35.0,51.0,30.0,63.0,65.0,t,f,4,t,Finland,0.0,6.0,12.0,0.0,222.0,4.0,0.0,39.0,63.0,23.0,39.0,10.0,24.0,3.0,7.0,9.0,103.0,11.0,38.0,5.0,13.0,1.0,4.0,9.0,33.0,63.0,16.0,51.0,49.0,f,f,f,Finland
2015-07-20,2015-07-26,Finland,Clay,42500.0,€,2015,andre-ghem,A. Ghem,jonathan-eysseric,J. Eysseric,tampere_challenger,Round of 32,2.0,f,100,3,01:23:00,136.0,2.0,13.0,9.0,0.0,0.0,271.0,1.0,1.0,42.0,61.0,31.0,42.0,9.0,19.0,2.0,4.0,11.0,174.0,17.0,42.0,16.0,33.0,4.0,8.0,11.0,40.0,61.0,33.0,75.0,73.0,t,f,4,t,Finland,0.0,9.0,13.0,0.0,227.0,1.0,5.0,42.0,75.0,25.0,42.0,17.0,33.0,4.0,8.0,11.0,147.0,11.0,42.0,10.0,19.0,2.0,4.0,11.0,42.0,75.0,21.0,61.0,63.0,f,f,f,Finland
