start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2015-10-12,2015-10-17,Uzbekistan,Hard,125000.0,$,2015,aldin-setkic,A. Setkic,farrukh-dustov,F. Dustov,tashkent_challenger,Round of 32,2.0,f,100,3,01:20:00,114.0,0.0,7.0,13.0,0.0,0.0,249.0,5.0,1.0,43.0,64.0,30.0,43.0,8.0,21.0,8.0,11.0,10.0,85.0,4.0,42.0,6.0,8.0,0.0,0.0,10.0,38.0,64.0,10.0,50.0,48.0,f,f,,f,Uzbekistan,2.0,13.0,7.0,0.0,311.0,12.0,0.0,42.0,50.0,38.0,42.0,2.0,8.0,0.0,0.0,10.0,149.0,13.0,43.0,13.0,21.0,3.0,11.0,10.0,40.0,50.0,26.0,64.0,66.0,t,f,t,Uzbekistan
2015-10-12,2015-10-17,Uzbekistan,Hard,125000.0,$,2015,alexander-kudryavtsev,A. Kudryavtsev,dudi-sela,D. Sela,tashkent_challenger,Round of 16,3.0,f,100,4,01:53:00,212.0,1.0,16.0,18.0,0.0,1.0,240.0,11.0,5.0,44.0,95.0,34.0,44.0,22.0,51.0,5.0,10.0,16.0,155.0,29.0,85.0,18.0,32.0,5.0,14.0,17.0,56.0,95.0,47.0,117.0,103.0,f,f,,f,Uzbekistan,2.0,18.0,16.0,1.0,255.0,4.0,2.0,85.0,117.0,56.0,85.0,14.0,32.0,9.0,14.0,17.0,161.0,10.0,44.0,29.0,51.0,5.0,10.0,16.0,70.0,117.0,39.0,95.0,109.0,t,f,t,Uzbekistan
2015-10-12,2015-10-17,Uzbekistan,Hard,125000.0,$,2015,alexander-kudryavtsev,A. Kudryavtsev,temur-ismailov,T. Ismailov,tashkent_challenger,Round of 32,2.0,f,100,3,01:01:00,109.0,2.0,12.0,6.0,0.0,0.0,284.0,5.0,4.0,24.0,47.0,20.0,24.0,14.0,23.0,0.0,1.0,9.0,183.0,12.0,30.0,19.0,32.0,4.0,10.0,9.0,34.0,47.0,31.0,62.0,65.0,t,f,,t,Uzbekistan,0.0,6.0,12.0,0.0,204.0,3.0,3.0,30.0,62.0,18.0,30.0,13.0,32.0,6.0,10.0,9.0,167.0,4.0,24.0,9.0,23.0,1.0,1.0,9.0,31.0,62.0,13.0,47.0,44.0,f,f,f,Uzbekistan
2015-10-12,2015-10-17,Uzbekistan,Hard,125000.0,$,2015,alexey-vatutin,A. Vatutin,evgeny-donskoy,E. Donskoy,tashkent_challenger,Round of 32,2.0,f,100,3,00:59:00,94.0,0.0,6.0,12.0,0.0,0.0,202.0,1.0,7.0,22.0,49.0,14.0,22.0,12.0,27.0,1.0,5.0,9.0,168.0,8.0,26.0,5.0,19.0,1.0,1.0,9.0,26.0,49.0,13.0,45.0,39.0,f,f,,f,Uzbekistan,2.0,12.0,6.0,0.0,298.0,9.0,0.0,26.0,45.0,18.0,26.0,14.0,19.0,0.0,1.0,9.0,216.0,8.0,22.0,15.0,27.0,4.0,5.0,9.0,32.0,45.0,23.0,49.0,55.0,t,f,t,Uzbekistan
2015-10-12,2015-10-17,Uzbekistan,Hard,125000.0,$,2015,aliaksandr-bury,A. Bury,sergey-betov,S. Betov,tashkent_challenger,2nd Round Qualifying,2.0,f,100,1,00:46:00,103.0,0.0,3.0,12.0,0.0,0.0,197.0,5.0,1.0,46.0,67.0,25.0,46.0,7.0,21.0,6.0,11.0,8.0,46.0,3.0,24.0,4.0,12.0,0.0,0.0,7.0,32.0,67.0,7.0,36.0,39.0,f,f,,f,Uzbekistan,2.0,12.0,3.0,0.0,332.0,11.0,1.0,24.0,36.0,21.0,24.0,8.0,12.0,0.0,0.0,7.0,220.0,21.0,46.0,14.0,21.0,5.0,11.0,8.0,29.0,36.0,35.0,67.0,64.0,t,f,t,Uzbekistan
2015-10-12,2015-10-17,Uzbekistan,Hard,125000.0,$,2015,amir-weintraub,A. Weintraub,evgeny-donskoy,E. Donskoy,tashkent_challenger,Round of 16,2.0,f,100,4,01:06:00,116.0,0.0,7.0,13.0,0.0,1.0,218.0,2.0,2.0,35.0,54.0,18.0,35.0,9.0,19.0,0.0,4.0,9.0,143.0,8.0,39.0,12.0,23.0,2.0,4.0,10.0,27.0,54.0,20.0,62.0,47.0,f,f,PR,f,Uzbekistan,2.0,13.0,7.0,1.0,274.0,6.0,2.0,39.0,62.0,31.0,39.0,11.0,23.0,2.0,4.0,10.0,246.0,17.0,35.0,10.0,19.0,4.0,4.0,9.0,42.0,62.0,27.0,54.0,69.0,t,f,t,Uzbekistan
2015-10-12,2015-10-17,Uzbekistan,Hard,125000.0,$,2015,amir-weintraub,A. Weintraub,jurabek-karimov,J. Karimov,tashkent_challenger,Round of 32,2.0,f,100,3,01:06:00,127.0,2.0,12.0,7.0,0.0,0.0,313.0,3.0,0.0,50.0,67.0,35.0,50.0,11.0,17.0,4.0,4.0,10.0,157.0,11.0,41.0,11.0,19.0,2.0,4.0,9.0,46.0,67.0,22.0,60.0,68.0,t,f,PR,t,Uzbekistan,0.0,7.0,12.0,0.0,260.0,4.0,4.0,41.0,60.0,30.0,41.0,8.0,19.0,2.0,4.0,9.0,65.0,15.0,50.0,6.0,17.0,0.0,4.0,10.0,38.0,60.0,21.0,67.0,59.0,f,f,f,Uzbekistan
2015-10-12,2015-10-17,Uzbekistan,Hard,125000.0,$,2015,anton-zaitcev,A. Zaitcev,pavel-tsoy,P. Tsoy,tashkent_challenger,2nd Round Qualifying,2.0,f,100,1,00:47:00,77.0,2.0,12.0,0.0,0.0,0.0,309.0,1.0,1.0,35.0,45.0,25.0,35.0,6.0,10.0,3.0,3.0,6.0,333.0,14.0,21.0,10.0,11.0,6.0,8.0,6.0,31.0,45.0,24.0,32.0,55.0,t,f,3,t,Uzbekistan,0.0,0.0,12.0,0.0,106.0,0.0,2.0,21.0,32.0,7.0,21.0,1.0,11.0,2.0,8.0,6.0,69.0,10.0,35.0,4.0,10.0,0.0,3.0,6.0,8.0,32.0,14.0,45.0,22.0,f,f,f,Uzbekistan
2015-10-12,2015-10-17,Uzbekistan,Hard,125000.0,$,2015,anton-zaitcev,A. Zaitcev,sergey-betov,S. Betov,tashkent_challenger,3rd Round Qualifying,3.0,f,100,2,02:25:00,195.0,1.0,15.0,14.0,0.0,1.0,247.0,1.0,4.0,73.0,105.0,50.0,73.0,13.0,32.0,7.0,11.0,14.0,216.0,22.0,59.0,19.0,31.0,5.0,6.0,14.0,63.0,105.0,41.0,90.0,104.0,f,f,3,t,Uzbekistan,2.0,14.0,15.0,1.0,236.0,7.0,3.0,59.0,90.0,37.0,59.0,12.0,31.0,1.0,6.0,14.0,155.0,23.0,73.0,19.0,32.0,4.0,11.0,14.0,49.0,90.0,42.0,105.0,91.0,t,f,f,Uzbekistan
2015-10-12,2015-10-17,Uzbekistan,Hard,125000.0,$,2015,aslan-karatsev,A. Karatsev,egor-gerasimov,E. Gerasimov,tashkent_challenger,Round of 32,2.0,f,100,3,00:59:00,93.0,0.0,4.0,12.0,0.0,0.0,208.0,2.0,1.0,37.0,55.0,21.0,37.0,6.0,18.0,3.0,7.0,8.0,36.0,2.0,23.0,4.0,15.0,0.0,0.0,8.0,27.0,55.0,6.0,38.0,33.0,f,f,,f,Uzbekistan,2.0,12.0,4.0,0.0,330.0,5.0,0.0,23.0,38.0,21.0,23.0,11.0,15.0,0.0,0.0,8.0,217.0,16.0,37.0,12.0,18.0,4.0,7.0,8.0,32.0,38.0,28.0,55.0,60.0,t,f,t,Uzbekistan
