start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2012-09-10,2012-09-16,Italy,Clay,30000.0,€,2012,adrian-ungur,A. Ungur,filip-krajinovic,F. Krajinovic,todi_challenger,Round of 32,3.0,f,100,3,02:18:00,195.0,1.0,13.0,17.0,0.0,1.0,229.0,5.0,7.0,61.0,103.0,43.0,61.0,15.0,42.0,5.0,10.0,15.0,137.0,12.0,48.0,21.0,44.0,3.0,7.0,14.0,58.0,103.0,33.0,92.0,91.0,f,f,3,t,Italy,2.0,17.0,13.0,1.0,261.0,7.0,3.0,48.0,92.0,36.0,48.0,23.0,44.0,4.0,7.0,14.0,177.0,18.0,61.0,27.0,42.0,5.0,10.0,15.0,59.0,92.0,45.0,103.0,104.0,t,f,f,Italy
2012-09-10,2012-09-16,Italy,Clay,30000.0,€,2012,alberto-brizzi,A. Brizzi,alessandro-giannessi,A. Giannessi,todi_challenger,Round of 32,3.0,f,100,3,02:39:00,194.0,1.0,14.0,14.0,0.0,1.0,219.0,4.0,4.0,50.0,78.0,28.0,50.0,13.0,28.0,4.0,10.0,13.0,189.0,32.0,77.0,22.0,39.0,7.0,17.0,14.0,41.0,78.0,54.0,116.0,95.0,f,f,Q,t,Italy,2.0,14.0,14.0,1.0,220.0,5.0,3.0,77.0,116.0,45.0,77.0,17.0,39.0,10.0,17.0,14.0,204.0,22.0,50.0,15.0,28.0,6.0,10.0,13.0,62.0,116.0,37.0,78.0,99.0,t,f,f,Italy
2012-09-10,2012-09-16,Italy,Clay,30000.0,€,2012,alberto-brizzi,A. Brizzi,federico-cecconi,F. Cecconi,todi_challenger,2nd Round Qualifying,2.0,f,100,1,00:51:00,94.0,2.0,12.0,3.0,0.0,0.0,271.0,6.0,4.0,27.0,53.0,23.0,27.0,12.0,26.0,6.0,7.0,8.0,264.0,16.0,27.0,10.0,14.0,5.0,8.0,7.0,35.0,53.0,26.0,41.0,61.0,t,f,2,t,Italy,0.0,3.0,12.0,0.0,163.0,0.0,1.0,27.0,41.0,11.0,27.0,4.0,14.0,3.0,8.0,7.0,95.0,4.0,27.0,14.0,26.0,1.0,7.0,8.0,15.0,41.0,18.0,53.0,33.0,f,f,f,Italy
2012-09-10,2012-09-16,Italy,Clay,30000.0,€,2012,alberto-brizzi,A. Brizzi,omar-giacalone,O. Giacalone,todi_challenger,3rd Round Qualifying,2.0,f,100,2,01:31:00,118.0,2.0,12.0,5.0,0.0,0.0,292.0,2.0,0.0,38.0,51.0,28.0,38.0,7.0,13.0,1.0,2.0,8.0,223.0,22.0,43.0,13.0,24.0,5.0,8.0,9.0,35.0,51.0,35.0,67.0,70.0,t,f,2,t,Italy,0.0,5.0,12.0,0.0,201.0,0.0,2.0,43.0,67.0,21.0,43.0,11.0,24.0,3.0,8.0,9.0,134.0,10.0,38.0,6.0,13.0,1.0,2.0,8.0,32.0,67.0,16.0,51.0,48.0,f,f,f,Italy
2012-09-10,2012-09-16,Italy,Clay,30000.0,€,2012,alessandro-dumitrache,A. Dumitrache,arthur-de-greef,A. De Greef,todi_challenger,2nd Round Qualifying,1.0,f,100,1,00:07:00,13.0,0.0,0.0,3.0,0.0,0.0,65.0,0.0,1.0,3.0,9.0,1.0,3.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0,4.0,1.0,f,t,WC,f,Italy,1.0,3.0,0.0,0.0,378.0,3.0,0.0,3.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,367.0,2.0,3.0,6.0,6.0,2.0,2.0,2.0,4.0,4.0,8.0,9.0,12.0,t,t,t,Italy
2012-09-10,2012-09-16,Italy,Clay,30000.0,€,2012,alessandro-dumitrache,A. Dumitrache,enrico-becuzzi,E. Becuzzi,todi_challenger,1st Round Qualifying,2.0,f,100,0,01:44:00,154.0,2.0,13.0,10.0,1.0,1.0,229.0,3.0,0.0,58.0,84.0,31.0,58.0,13.0,26.0,4.0,9.0,11.0,244.0,13.0,36.0,23.0,34.0,6.0,7.0,11.0,44.0,84.0,36.0,70.0,80.0,t,f,WC,t,Italy,0.0,10.0,13.0,0.0,182.0,0.0,10.0,36.0,70.0,23.0,36.0,11.0,34.0,1.0,7.0,11.0,198.0,27.0,58.0,13.0,26.0,5.0,9.0,11.0,34.0,70.0,40.0,84.0,74.0,f,f,f,Italy
2012-09-10,2012-09-16,Italy,Clay,30000.0,€,2012,alessandro-giannessi,A. Giannessi,alessio-di-mauro,A. Di Mauro,todi_challenger,Round of 16,2.0,f,100,4,00:41:00,46.0,0.0,1.0,7.0,0.0,0.0,166.0,0.0,2.0,17.0,24.0,5.0,17.0,3.0,7.0,0.0,3.0,4.0,49.0,5.0,17.0,1.0,5.0,0.0,0.0,4.0,8.0,24.0,6.0,22.0,14.0,f,t,7,f,Italy,2.0,7.0,1.0,0.0,328.0,0.0,0.0,17.0,22.0,12.0,17.0,4.0,5.0,0.0,0.0,4.0,303.0,12.0,17.0,4.0,7.0,3.0,3.0,4.0,16.0,22.0,16.0,24.0,32.0,t,t,t,Italy
2012-09-10,2012-09-16,Italy,Clay,30000.0,€,2012,alessio-di-mauro,A. Di Mauro,bastian-knittel,B. Knittel,todi_challenger,Quarter-Finals,2.0,f,100,5,01:35:00,114.0,2.0,12.0,7.0,0.0,0.0,289.0,2.0,1.0,44.0,62.0,34.0,44.0,9.0,18.0,3.0,4.0,10.0,185.0,12.0,36.0,11.0,16.0,3.0,6.0,9.0,43.0,62.0,23.0,52.0,66.0,t,f,WC,t,Italy,0.0,7.0,12.0,0.0,232.0,1.0,2.0,36.0,52.0,24.0,36.0,5.0,16.0,3.0,6.0,9.0,108.0,10.0,44.0,9.0,18.0,1.0,4.0,10.0,29.0,52.0,19.0,62.0,48.0,f,f,f,Italy
2012-09-10,2012-09-16,Italy,Clay,30000.0,€,2012,alessio-di-mauro,A. Di Mauro,guido-andreozzi,G. Andreozzi,todi_challenger,Round of 32,3.0,f,100,3,02:33:00,187.0,2.0,13.0,15.0,1.0,1.0,231.0,3.0,5.0,41.0,98.0,29.0,41.0,29.0,57.0,11.0,15.0,13.0,136.0,16.0,53.0,17.0,36.0,3.0,8.0,14.0,58.0,98.0,33.0,89.0,91.0,t,f,WC,t,Italy,1.0,15.0,13.0,0.0,262.0,5.0,4.0,53.0,89.0,37.0,53.0,19.0,36.0,5.0,8.0,14.0,135.0,12.0,41.0,28.0,57.0,4.0,15.0,13.0,56.0,89.0,40.0,98.0,96.0,f,f,f,Italy
2012-09-10,2012-09-16,Italy,Clay,30000.0,€,2012,alessio-di-mauro,A. Di Mauro,paolo-lorenzi,P. Lorenzi,todi_challenger,Semi-Finals,2.0,f,100,6,01:26:00,100.0,0.0,4.0,12.0,0.0,0.0,156.0,0.0,0.0,30.0,52.0,15.0,30.0,5.0,22.0,4.0,10.0,8.0,142.0,9.0,28.0,9.0,20.0,2.0,5.0,8.0,20.0,52.0,18.0,48.0,38.0,f,f,WC,f,Italy,2.0,12.0,4.0,0.0,256.0,0.0,0.0,28.0,48.0,19.0,28.0,11.0,20.0,3.0,5.0,8.0,262.0,15.0,30.0,17.0,22.0,6.0,10.0,8.0,30.0,48.0,32.0,52.0,62.0,t,f,t,Italy
