,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2012-10-01,2012-10-07,Japan,Hard,1280565.0,$,2012,albert-ramos-vinolas,A. Ramos-Vinolas,lukas-lacko,L. Lacko,tokyo,Round of 32,2.0,f,500,3,00:59:00,77.0,0.0,2.0,12.0,0.0,0.0,163.0,1.0,3.0,25.0,37.0,13.0,25.0,2.0,12.0,2.0,7.0,7.0,50.0,6.0,24.0,4.0,16.0,0.0,0.0,7.0,15.0,37.0,10.0,40.0,25.0,f,f,,f,Japan,2.0,12.0,2.0,0.0,311.0,3.0,2.0,24.0,40.0,18.0,24.0,12.0,16.0,0.0,0.0,7.0,273.0,12.0,25.0,10.0,12.0,5.0,7.0,7.0,30.0,40.0,22.0,37.0,52.0,t,f,t,Japan
1,2012-10-01,2012-10-07,Japan,Hard,1280565.0,$,2012,alejandro-falla,A. Falla,thomaz-bellucci,T. Bellucci,tokyo,Round of 32,2.0,f,500,3,01:24:00,125.0,2.0,13.0,7.0,0.0,0.0,257.0,4.0,1.0,45.0,63.0,31.0,45.0,8.0,18.0,5.0,8.0,10.0,203.0,12.0,28.0,21.0,34.0,6.0,16.0,10.0,39.0,63.0,33.0,62.0,72.0,t,f,,t,Japan,0.0,7.0,13.0,0.0,174.0,0.0,6.0,28.0,62.0,16.0,28.0,13.0,34.0,10.0,16.0,10.0,155.0,14.0,45.0,10.0,18.0,3.0,8.0,10.0,29.0,62.0,24.0,63.0,53.0,f,f,f,Japan
2,2012-10-01,2012-10-07,Japan,Hard,1280565.0,$,2012,alejandro-falla,A. Falla,tomas-berdych,T. Berdych,tokyo,Round of 16,2.0,f,500,4,01:19:00,111.0,0.0,8.0,13.0,0.0,0.0,257.0,3.0,2.0,32.0,60.0,21.0,32.0,16.0,28.0,3.0,5.0,10.0,34.0,3.0,35.0,4.0,16.0,0.0,0.0,11.0,37.0,60.0,7.0,51.0,44.0,f,f,,f,Japan,2.0,13.0,8.0,0.0,343.0,9.0,1.0,35.0,51.0,32.0,35.0,12.0,16.0,0.0,0.0,11.0,137.0,11.0,32.0,12.0,28.0,2.0,5.0,10.0,44.0,51.0,23.0,60.0,67.0,t,f,t,Japan
3,2012-10-01,2012-10-07,Japan,Hard,1280565.0,$,2012,andy-murray,A. Murray,ivo-karlovic,I. Karlovic,tokyo,Round of 32,2.0,f,500,3,01:38:00,132.0,2.0,13.0,10.0,1.0,1.0,334.0,9.0,0.0,33.0,59.0,29.0,33.0,21.0,26.0,0.0,0.0,11.0,93.0,10.0,47.0,12.0,26.0,1.0,6.0,11.0,50.0,59.0,22.0,73.0,72.0,t,f,1,t,Japan,0.0,10.0,13.0,0.0,303.0,18.0,2.0,47.0,73.0,37.0,47.0,14.0,26.0,5.0,6.0,11.0,31.0,4.0,33.0,5.0,26.0,0.0,0.0,11.0,51.0,73.0,9.0,59.0,60.0,f,f,f,Japan
4,2012-10-01,2012-10-07,Japan,Hard,1280565.0,$,2012,andy-murray,A. Murray,lukas-lacko,L. Lacko,tokyo,Round of 16,2.0,f,500,4,00:57:00,77.0,2.0,12.0,3.0,0.0,0.0,306.0,6.0,3.0,26.0,45.0,20.0,26.0,13.0,19.0,1.0,1.0,8.0,287.0,11.0,20.0,9.0,12.0,4.0,4.0,7.0,33.0,45.0,20.0,32.0,53.0,t,f,1,t,Japan,0.0,3.0,12.0,0.0,175.0,0.0,0.0,20.0,32.0,9.0,20.0,3.0,12.0,0.0,4.0,7.0,55.0,6.0,26.0,6.0,19.0,0.0,1.0,8.0,12.0,32.0,12.0,45.0,24.0,f,f,f,Japan
5,2012-10-01,2012-10-07,Japan,Hard,1280565.0,$,2012,andy-murray,A. Murray,milos-raonic,M. Raonic,tokyo,Semi-Finals,3.0,f,500,6,02:46:00,222.0,1.0,16.0,19.0,1.0,2.0,280.0,8.0,3.0,75.0,111.0,56.0,75.0,18.0,36.0,4.0,7.0,17.0,95.0,13.0,72.0,21.0,39.0,1.0,6.0,16.0,74.0,111.0,34.0,111.0,108.0,f,f,1,f,Japan,2.0,19.0,16.0,1.0,292.0,13.0,7.0,72.0,111.0,59.0,72.0,18.0,39.0,5.0,6.0,16.0,135.0,19.0,75.0,18.0,36.0,3.0,7.0,17.0,77.0,111.0,37.0,111.0,114.0,t,f,t,Japan
6,2012-10-01,2012-10-07,Japan,Hard,1280565.0,$,2012,andy-murray,A. Murray,stan-wawrinka,S. Wawrinka,tokyo,Quarter-Finals,3.0,f,500,5,02:01:00,168.0,2.0,15.0,10.0,0.0,0.0,282.0,7.0,3.0,45.0,79.0,36.0,45.0,17.0,34.0,6.0,7.0,12.0,146.0,13.0,43.0,23.0,46.0,4.0,11.0,13.0,53.0,79.0,36.0,89.0,89.0,t,f,1,t,Japan,1.0,10.0,15.0,0.0,241.0,5.0,1.0,43.0,89.0,30.0,43.0,23.0,46.0,7.0,11.0,13.0,92.0,9.0,45.0,17.0,34.0,1.0,7.0,12.0,53.0,89.0,26.0,79.0,79.0,f,f,f,Japan
7,2012-10-01,2012-10-07,Japan,Hard,1280565.0,$,2012,benoit-paire,B. Paire,tomas-berdych,T. Berdych,tokyo,Round of 32,2.0,f,500,3,01:44:00,142.0,0.0,7.0,13.0,0.0,1.0,236.0,9.0,1.0,29.0,63.0,20.0,29.0,16.0,34.0,3.0,6.0,9.0,105.0,8.0,46.0,19.0,33.0,1.0,5.0,10.0,36.0,63.0,27.0,79.0,63.0,f,f,,f,Japan,2.0,13.0,7.0,1.0,276.0,5.0,2.0,46.0,79.0,38.0,46.0,14.0,33.0,4.0,5.0,10.0,167.0,9.0,29.0,18.0,34.0,3.0,6.0,9.0,52.0,79.0,27.0,63.0,79.0,t,f,t,Japan
8,2012-10-01,2012-10-07,Japan,Hard,1280565.0,$,2012,bernard-tomic,B. Tomic,dmitry-tursunov,D. Tursunov,tokyo,Round of 32,2.0,f,500,3,01:22:00,131.0,0.0,9.0,13.0,0.0,0.0,267.0,9.0,1.0,49.0,68.0,34.0,49.0,7.0,19.0,2.0,4.0,11.0,56.0,3.0,33.0,14.0,30.0,0.0,1.0,11.0,41.0,68.0,17.0,63.0,58.0,f,f,,f,Japan,2.0,13.0,9.0,0.0,299.0,8.0,5.0,33.0,63.0,30.0,33.0,16.0,30.0,1.0,1.0,11.0,162.0,15.0,49.0,12.0,19.0,2.0,4.0,11.0,46.0,63.0,27.0,68.0,73.0,t,f,t,Japan
9,2012-10-01,2012-10-07,Japan,Hard,1280565.0,$,2012,dmitry-tursunov,D. Tursunov,kaichi-uchida,K. Uchida,tokyo,1st Round Qualifying,2.0,f,500,1,01:52:00,158.0,2.0,13.0,10.0,1.0,1.0,284.0,14.0,7.0,35.0,71.0,27.0,35.0,22.0,36.0,8.0,9.0,11.0,111.0,13.0,45.0,21.0,42.0,2.0,14.0,11.0,49.0,71.0,34.0,87.0,83.0,t,f,4,t,Japan,0.0,10.0,13.0,0.0,262.0,12.0,4.0,45.0,87.0,32.0,45.0,21.0,42.0,12.0,14.0,11.0,82.0,8.0,35.0,14.0,36.0,1.0,9.0,11.0,53.0,87.0,22.0,71.0,75.0,f,f,f,Japan
