start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2018-08-06,2018-08-12,Canada,Hard,5315025.0,$,2018,adrian-mannarino,A. Mannarino,sam-querrey,S. Querrey,toronto,Round of 64,2.0,f,1000,2,01:12:00,115.0,0.0,7.0,13.0,0.0,0.0,217.0,2.0,3.0,35.0,64.0,24.0,35.0,10.0,29.0,3.0,7.0,10.0,159.0,3.0,27.0,9.0,24.0,1.0,1.0,10.0,34.0,64.0,12.0,51.0,46.0,f,f,,f,Canada,2.0,13.0,7.0,0.0,306.0,13.0,2.0,27.0,51.0,24.0,27.0,15.0,24.0,0.0,1.0,10.0,194.0,11.0,35.0,19.0,29.0,4.0,7.0,10.0,39.0,51.0,30.0,64.0,69.0,t,f,t,Canada
2018-08-06,2018-08-12,Canada,Hard,5315025.0,$,2018,albert-ramos-vinolas,A. Ramos-Vinolas,pierre-hugues-herbert,P. Herbert,toronto,Round of 64,3.0,f,1000,2,05:25:00,196.0,1.0,13.0,16.0,0.0,0.0,267.0,3.0,4.0,57.0,100.0,40.0,57.0,24.0,43.0,2.0,4.0,14.0,95.0,13.0,61.0,18.0,35.0,1.0,6.0,15.0,64.0,100.0,31.0,96.0,95.0,f,f,,t,Canada,2.0,16.0,13.0,0.0,294.0,12.0,3.0,61.0,96.0,48.0,61.0,17.0,35.0,5.0,6.0,15.0,138.0,17.0,57.0,19.0,43.0,2.0,4.0,14.0,65.0,96.0,36.0,100.0,101.0,t,f,f,Canada
2018-08-06,2018-08-12,Canada,Hard,5315025.0,$,2018,alexander-zverev,A. Zverev,bradley-klahn,B. Klahn,toronto,Round of 32,2.0,f,1000,3,01:16:00,114.0,2.0,12.0,8.0,0.0,0.0,313.0,7.0,2.0,34.0,54.0,29.0,34.0,12.0,20.0,0.0,0.0,10.0,129.0,11.0,36.0,9.0,24.0,2.0,5.0,10.0,41.0,54.0,20.0,60.0,61.0,t,f,2,t,Canada,0.0,8.0,12.0,0.0,270.0,3.0,5.0,36.0,60.0,25.0,36.0,15.0,24.0,3.0,5.0,10.0,55.0,5.0,34.0,8.0,20.0,0.0,0.0,10.0,40.0,60.0,13.0,54.0,53.0,f,f,f,Canada
2018-08-06,2018-08-12,Canada,Hard,5315025.0,$,2018,alexander-zverev,A. Zverev,daniil-medvedev,D. Medvedev,toronto,Round of 16,2.0,f,1000,4,00:52:00,86.0,2.0,12.0,5.0,0.0,0.0,341.0,5.0,0.0,23.0,40.0,22.0,23.0,14.0,17.0,0.0,0.0,9.0,230.0,11.0,30.0,9.0,16.0,3.0,3.0,8.0,36.0,40.0,20.0,46.0,56.0,t,f,2,t,Canada,0.0,5.0,12.0,0.0,238.0,5.0,1.0,30.0,46.0,19.0,30.0,7.0,16.0,0.0,3.0,8.0,22.0,1.0,23.0,3.0,17.0,0.0,0.0,9.0,26.0,46.0,4.0,40.0,30.0,f,f,f,Canada
2018-08-06,2018-08-12,Canada,Hard,5315025.0,$,2018,alexander-zverev,A. Zverev,stefanos-tsitsipas,S. Tsitsipas,toronto,Quarter-Finals,3.0,f,1000,5,02:28:00,205.0,1.0,16.0,16.0,0.0,1.0,251.0,5.0,6.0,60.0,85.0,43.0,60.0,9.0,25.0,0.0,4.0,15.0,154.0,22.0,57.0,30.0,63.0,5.0,14.0,16.0,52.0,85.0,52.0,120.0,104.0,f,f,2,t,Canada,2.0,16.0,16.0,1.0,228.0,5.0,6.0,57.0,120.0,35.0,57.0,33.0,63.0,9.0,14.0,16.0,218.0,17.0,60.0,16.0,25.0,4.0,4.0,15.0,68.0,120.0,33.0,85.0,101.0,t,f,f,Canada
2018-08-06,2018-08-12,Canada,Hard,5315025.0,$,2018,alexis-galarneau,A. Galarneau,mikhail-youzhny,M. Youzhny,toronto,1st Round Qualifying,2.0,f,1000,0,01:26:00,118.0,0.0,7.0,12.0,0.0,0.0,244.0,1.0,2.0,34.0,57.0,21.0,34.0,13.0,23.0,4.0,7.0,9.0,92.0,10.0,31.0,9.0,30.0,1.0,5.0,10.0,34.0,57.0,19.0,61.0,53.0,f,f,WC,f,Canada,2.0,12.0,7.0,0.0,285.0,7.0,1.0,31.0,61.0,21.0,31.0,21.0,30.0,4.0,5.0,10.0,157.0,13.0,34.0,10.0,23.0,3.0,7.0,9.0,42.0,61.0,23.0,57.0,65.0,t,f,t,Canada
2018-08-06,2018-08-12,Canada,Hard,5315025.0,$,2018,andrey-rublev,A. Rublev,evgeny-donskoy,E. Donskoy,toronto,Round of 64,2.0,f,1000,2,01:52:00,181.0,0.0,10.0,13.0,0.0,1.0,267.0,11.0,1.0,47.0,85.0,35.0,47.0,18.0,38.0,6.0,8.0,11.0,101.0,15.0,58.0,20.0,38.0,1.0,8.0,11.0,53.0,85.0,35.0,96.0,88.0,f,f,,f,Canada,2.0,13.0,10.0,1.0,276.0,8.0,3.0,58.0,96.0,43.0,58.0,18.0,38.0,7.0,8.0,11.0,122.0,12.0,47.0,20.0,38.0,2.0,8.0,11.0,61.0,96.0,32.0,85.0,93.0,t,f,t,Canada
2018-08-06,2018-08-12,Canada,Hard,5315025.0,$,2018,benjamin-sigouin,B. Sigouin,elias-ymer,E. Ymer,toronto,1st Round Qualifying,2.0,f,1000,0,01:17:00,124.0,0.0,8.0,13.0,0.0,0.0,225.0,5.0,4.0,31.0,60.0,23.0,31.0,11.0,29.0,2.0,6.0,10.0,190.0,9.0,37.0,13.0,27.0,2.0,2.0,11.0,34.0,60.0,22.0,64.0,56.0,f,f,WC,f,Canada,2.0,13.0,8.0,0.0,265.0,3.0,5.0,37.0,64.0,28.0,37.0,14.0,27.0,0.0,2.0,11.0,195.0,8.0,31.0,18.0,29.0,4.0,6.0,10.0,42.0,64.0,26.0,60.0,68.0,t,f,t,Canada
2018-08-06,2018-08-12,Canada,Hard,5315025.0,$,2018,benoit-paire,B. Paire,jared-donaldson,J. Donaldson,toronto,Round of 64,2.0,f,1000,2,01:09:00,113.0,2.0,12.0,7.0,0.0,0.0,261.0,9.0,9.0,30.0,61.0,27.0,30.0,13.0,31.0,2.0,4.0,10.0,200.0,8.0,22.0,16.0,30.0,4.0,6.0,9.0,40.0,61.0,24.0,52.0,64.0,t,f,,t,Canada,0.0,7.0,12.0,0.0,203.0,3.0,8.0,22.0,52.0,14.0,22.0,14.0,30.0,2.0,6.0,9.0,138.0,3.0,30.0,18.0,31.0,2.0,4.0,10.0,28.0,52.0,21.0,61.0,49.0,f,f,f,Canada
2018-08-06,2018-08-12,Canada,Hard,5315025.0,$,2018,benoit-paire,B. Paire,rafael-nadal,R. Nadal,toronto,Round of 32,2.0,f,1000,3,01:14:00,101.0,0.0,5.0,12.0,0.0,0.0,163.0,4.0,1.0,17.0,52.0,14.0,17.0,7.0,35.0,2.0,8.0,8.0,185.0,14.0,33.0,8.0,16.0,3.0,5.0,9.0,21.0,52.0,22.0,49.0,43.0,f,f,,f,Canada,2.0,12.0,5.0,0.0,240.0,0.0,1.0,33.0,49.0,19.0,33.0,8.0,16.0,2.0,5.0,9.0,248.0,3.0,17.0,28.0,35.0,6.0,8.0,8.0,27.0,49.0,31.0,52.0,58.0,t,f,t,Canada
