start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,aaron-addison,A. Addison,bumpei-sato,B. Sato,traralgon_challenger,2nd Round Qualifying,2.0,f,100,1,01:24:00,110.0,0.0,6.0,12.0,0.0,0.0,221.0,3.0,3.0,21.0,55.0,14.0,21.0,17.0,34.0,1.0,4.0,9.0,61.0,4.0,32.0,11.0,23.0,0.0,3.0,9.0,31.0,55.0,15.0,55.0,46.0,f,f,WC,f,Australia,2.0,12.0,6.0,0.0,299.0,1.0,0.0,32.0,55.0,28.0,32.0,12.0,23.0,3.0,3.0,9.0,191.0,7.0,21.0,17.0,34.0,3.0,4.0,9.0,40.0,55.0,24.0,55.0,64.0,t,f,t,Australia
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,aaron-addison,A. Addison,kayne-ryan,K. Ryan,traralgon_challenger,1st Round Qualifying,3.0,f,100,0,02:14:00,189.0,2.0,15.0,11.0,0.0,0.0,272.0,4.0,2.0,47.0,101.0,32.0,47.0,34.0,54.0,6.0,7.0,13.0,146.0,21.0,57.0,15.0,31.0,3.0,8.0,13.0,66.0,101.0,36.0,88.0,102.0,t,f,WC,t,Australia,1.0,11.0,15.0,0.0,256.0,4.0,4.0,57.0,88.0,36.0,57.0,16.0,31.0,5.0,8.0,13.0,90.0,15.0,47.0,20.0,54.0,1.0,7.0,13.0,52.0,88.0,35.0,101.0,87.0,f,f,f,Australia
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,adam-haanappel,,dayne-kelly,,traralgon_challenger,1st Round Qualifying,1.0,f,100,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,WC,,Australia,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,Australia
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,adam-haanappel,A. Haanappel,scott-puodziunas,S. Puodziunas,traralgon_challenger,2nd Round Qualifying,2.0,f,100,1,02:17:00,178.0,0.0,10.0,13.0,0.0,1.0,245.0,2.0,7.0,72.0,100.0,43.0,72.0,13.0,28.0,11.0,14.0,11.0,125.0,12.0,48.0,16.0,30.0,2.0,7.0,11.0,56.0,100.0,28.0,78.0,84.0,f,f,WC,f,Australia,2.0,13.0,10.0,1.0,265.0,4.0,4.0,48.0,78.0,36.0,48.0,14.0,30.0,5.0,7.0,11.0,142.0,29.0,72.0,15.0,28.0,3.0,14.0,11.0,50.0,78.0,44.0,100.0,94.0,t,f,t,Australia
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,adam-hubble,A. Hubble,keita-koyama,K. Koyama,traralgon_challenger,2nd Round Qualifying,3.0,f,100,1,02:23:00,198.0,1.0,15.0,16.0,0.0,0.0,262.0,3.0,2.0,54.0,85.0,38.0,54.0,16.0,31.0,1.0,5.0,16.0,120.0,31.0,83.0,12.0,30.0,3.0,13.0,15.0,54.0,85.0,43.0,113.0,97.0,f,f,,t,Australia,2.0,16.0,15.0,0.0,275.0,1.0,2.0,83.0,113.0,52.0,83.0,18.0,30.0,10.0,13.0,15.0,183.0,16.0,54.0,15.0,31.0,4.0,5.0,16.0,70.0,113.0,31.0,85.0,101.0,t,f,f,Australia
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,adam-hubble,,lewis-miles,,traralgon_challenger,1st Round Qualifying,3.0,f,100,0,,,2.0,16.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,f,Australia,1.0,12.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,t,Australia
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,alexander-babanine,,david-hough,,traralgon_challenger,1st Round Qualifying,2.0,f,100,0,,,2.0,12.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Australia,0.0,5.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Australia
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,alexander-babanine,A. Babanine,gavin-van-peperzeel,G. Van Peperzeel,traralgon_challenger,2nd Round Qualifying,2.0,f,100,1,02:02:00,154.0,0.0,10.0,14.0,0.0,0.0,251.0,4.0,0.0,54.0,85.0,32.0,54.0,18.0,31.0,10.0,14.0,12.0,130.0,14.0,52.0,8.0,17.0,2.0,5.0,12.0,50.0,85.0,22.0,69.0,72.0,f,f,,f,Australia,2.0,14.0,10.0,0.0,284.0,3.0,3.0,52.0,69.0,38.0,52.0,9.0,17.0,3.0,5.0,12.0,145.0,22.0,54.0,13.0,31.0,4.0,14.0,12.0,47.0,69.0,35.0,85.0,82.0,t,f,t,Australia
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,alex-bolt,A. Bolt,mitchell-krueger,M. Krueger,traralgon_challenger,Round of 32,3.0,f,100,3,02:12:00,177.0,2.0,16.0,11.0,0.0,0.0,279.0,2.0,4.0,57.0,87.0,40.0,57.0,18.0,30.0,4.0,6.0,14.0,146.0,17.0,51.0,21.0,39.0,4.0,14.0,13.0,58.0,87.0,38.0,90.0,96.0,t,f,7,f,Australia,1.0,11.0,16.0,0.0,232.0,1.0,8.0,51.0,90.0,34.0,51.0,18.0,39.0,10.0,14.0,13.0,117.0,17.0,57.0,12.0,30.0,2.0,6.0,14.0,52.0,90.0,29.0,87.0,81.0,f,f,t,Australia
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,alex-bolt,A. Bolt,omar-jasika,O. Jasika,traralgon_challenger,Round of 16,2.0,f,100,4,01:08:00,111.0,0.0,4.0,12.0,0.0,0.0,220.0,0.0,1.0,38.0,58.0,19.0,38.0,11.0,20.0,6.0,10.0,8.0,51.0,14.0,36.0,2.0,17.0,0.0,3.0,8.0,30.0,58.0,16.0,53.0,46.0,f,f,7,f,Australia,2.0,12.0,4.0,0.0,319.0,2.0,0.0,36.0,53.0,22.0,36.0,15.0,17.0,3.0,3.0,8.0,185.0,19.0,38.0,9.0,20.0,4.0,10.0,8.0,37.0,53.0,28.0,58.0,65.0,t,f,t,Australia
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,andrew-whittington,A. Whittington,jordan-thompson,J. Thompson,traralgon_challenger,Round of 32,2.0,f,100,3,01:07:00,97.0,0.0,3.0,12.0,0.0,0.0,206.0,0.0,3.0,30.0,45.0,14.0,30.0,8.0,15.0,1.0,5.0,7.0,56.0,10.0,33.0,5.0,19.0,0.0,2.0,8.0,22.0,45.0,15.0,52.0,37.0,f,f,WC,f,Australia,2.0,12.0,3.0,0.0,305.0,0.0,2.0,33.0,52.0,23.0,33.0,14.0,19.0,2.0,2.0,8.0,237.0,16.0,30.0,7.0,15.0,4.0,5.0,7.0,37.0,52.0,23.0,45.0,60.0,t,f,t,Australia
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,benjamin-mitchell,B. Mitchell,hiroki-moriya,H. Moriya,traralgon_challenger,Quarter-Finals,3.0,f,100,5,02:22:00,214.0,1.0,13.0,17.0,0.0,0.0,247.0,6.0,3.0,61.0,97.0,36.0,61.0,20.0,36.0,1.0,6.0,15.0,119.0,16.0,63.0,29.0,54.0,3.0,15.0,15.0,56.0,97.0,45.0,117.0,101.0,f,f,,f,Australia,2.0,17.0,13.0,0.0,254.0,4.0,5.0,63.0,117.0,47.0,63.0,25.0,54.0,12.0,15.0,15.0,201.0,25.0,61.0,16.0,36.0,5.0,6.0,15.0,72.0,117.0,41.0,97.0,113.0,t,f,t,Australia
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,benjamin-mitchell,B. Mitchell,john-millman,J. Millman,traralgon_challenger,Round of 16,3.0,f,100,4,01:56:00,175.0,2.0,14.0,14.0,1.0,1.0,240.0,3.0,4.0,59.0,86.0,35.0,59.0,14.0,27.0,1.0,6.0,13.0,182.0,23.0,64.0,10.0,25.0,5.0,7.0,14.0,49.0,86.0,33.0,89.0,82.0,t,f,,t,Australia,1.0,14.0,14.0,0.0,261.0,3.0,2.0,64.0,89.0,41.0,64.0,15.0,25.0,2.0,7.0,14.0,210.0,24.0,59.0,13.0,27.0,5.0,6.0,13.0,56.0,89.0,37.0,86.0,93.0,f,f,f,Australia
2014-10-27,2014-11-02,Australia,Hard,50000.0,$,2014,benjamin-mitchell,B. Mitchell,ti-chen,T. Chen,traralgon_challenger,Round of 32,2.0,f,100,3,02:06:00,166.0,2.0,14.0,12.0,2.0,2.0,249.0,2.0,9.0,64.0,91.0,43.0,64.0,12.0,27.0,8.0,11.0,12.0,174.0,21.0,59.0,10.0,16.0,3.0,6.0,12.0,55.0,91.0,31.0,75.0,86.0,t,f,,t,Australia,0.0,12.0,14.0,0.0,257.0,1.0,0.0,59.0,75.0,38.0,59.0,6.0,16.0,3.0,6.0,12.0,141.0,21.0,64.0,15.0,27.0,3.0,11.0,12.0,44.0,75.0,36.0,91.0,80.0,f,f,f,Australia
