start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2011-06-27,2011-07-03,Italy,Clay,85000.0,€,2011,adrian-ungur,A. Ungur,andrej-martin,A. Martin,turin_challenger,Round of 32,2.0,f,100,3,01:34:00,119.0,2.0,13.0,7.0,1.0,1.0,289.0,2.0,1.0,29.0,54.0,25.0,29.0,15.0,25.0,1.0,2.0,9.0,232.0,14.0,43.0,13.0,22.0,4.0,4.0,10.0,40.0,54.0,27.0,65.0,67.0,t,f,,t,Italy,0.0,7.0,13.0,0.0,235.0,4.0,3.0,43.0,65.0,29.0,43.0,9.0,22.0,0.0,4.0,10.0,115.0,4.0,29.0,10.0,25.0,1.0,2.0,9.0,38.0,65.0,14.0,54.0,52.0,f,f,f,Italy
2011-06-27,2011-07-03,Italy,Clay,85000.0,€,2011,adrian-ungur,A. Ungur,carlos-berlocq,C. Berlocq,turin_challenger,Round of 16,3.0,f,100,4,02:07:00,153.0,1.0,13.0,14.0,0.0,0.0,261.0,0.0,1.0,52.0,78.0,34.0,52.0,14.0,26.0,1.0,4.0,13.0,155.0,17.0,57.0,8.0,18.0,3.0,5.0,14.0,48.0,78.0,25.0,75.0,73.0,f,f,,t,Italy,2.0,14.0,13.0,0.0,280.0,1.0,1.0,57.0,75.0,40.0,57.0,10.0,18.0,2.0,5.0,14.0,179.0,18.0,52.0,12.0,26.0,3.0,4.0,13.0,50.0,75.0,30.0,78.0,80.0,t,f,f,Italy
2011-06-27,2011-07-03,Italy,Clay,85000.0,€,2011,alberto-brizzi,A. Brizzi,alexander-zhurbin,A. Zhurbin,turin_challenger,1st Round Qualifying,3.0,f,100,0,01:58:00,166.0,2.0,18.0,10.0,0.0,1.0,305.0,1.0,2.0,42.0,78.0,37.0,42.0,23.0,36.0,3.0,3.0,13.0,175.0,17.0,49.0,19.0,39.0,5.0,9.0,14.0,60.0,78.0,36.0,88.0,96.0,t,f,7,t,Italy,1.0,10.0,18.0,1.0,235.0,3.0,4.0,49.0,88.0,32.0,49.0,20.0,39.0,4.0,9.0,14.0,48.0,5.0,42.0,13.0,36.0,0.0,3.0,13.0,52.0,88.0,18.0,78.0,70.0,f,f,f,Italy
2011-06-27,2011-07-03,Italy,Clay,85000.0,€,2011,alberto-brizzi,A. Brizzi,gianluca-naso,G. Naso,turin_challenger,3rd Round Qualifying,2.0,f,100,2,01:46:00,145.0,2.0,13.0,8.0,1.0,1.0,275.0,1.0,4.0,42.0,70.0,31.0,42.0,15.0,28.0,6.0,7.0,10.0,159.0,19.0,44.0,15.0,31.0,3.0,8.0,10.0,46.0,70.0,34.0,75.0,80.0,t,f,7,t,Italy,0.0,8.0,13.0,0.0,235.0,1.0,4.0,44.0,75.0,25.0,44.0,16.0,31.0,5.0,8.0,10.0,96.0,11.0,42.0,13.0,28.0,1.0,7.0,10.0,41.0,75.0,24.0,70.0,65.0,f,f,f,Italy
2011-06-27,2011-07-03,Italy,Clay,85000.0,€,2011,alberto-brizzi,A. Brizzi,julio-silva,J. Silva,turin_challenger,Round of 32,3.0,f,100,3,02:29:00,202.0,1.0,17.0,14.0,0.0,1.0,259.0,3.0,1.0,56.0,102.0,38.0,56.0,25.0,46.0,3.0,6.0,15.0,159.0,29.0,73.0,11.0,27.0,5.0,11.0,15.0,63.0,102.0,40.0,100.0,103.0,f,f,Q,f,Italy,2.0,14.0,17.0,1.0,260.0,4.0,2.0,73.0,100.0,44.0,73.0,16.0,27.0,6.0,11.0,15.0,148.0,18.0,56.0,21.0,46.0,3.0,6.0,15.0,60.0,100.0,39.0,102.0,99.0,t,f,t,Italy
2011-06-27,2011-07-03,Italy,Clay,85000.0,€,2011,alberto-brizzi,A. Brizzi,nikolaus-moser,N. Moser,turin_challenger,2nd Round Qualifying,3.0,f,100,1,02:28:00,174.0,2.0,16.0,12.0,0.0,0.0,293.0,2.0,3.0,67.0,85.0,46.0,67.0,11.0,18.0,1.0,3.0,14.0,159.0,19.0,54.0,16.0,35.0,4.0,8.0,14.0,57.0,85.0,35.0,89.0,92.0,t,f,7,f,Italy,1.0,12.0,16.0,0.0,259.0,9.0,1.0,54.0,89.0,35.0,54.0,19.0,35.0,4.0,8.0,14.0,151.0,21.0,67.0,7.0,18.0,2.0,3.0,14.0,54.0,89.0,28.0,85.0,82.0,f,f,t,Italy
2011-06-27,2011-07-03,Italy,Clay,85000.0,€,2011,alberto-giraudo,A. Giraudo,gianluca-naso,G. Naso,turin_challenger,2nd Round Qualifying,2.0,f,100,1,01:28:00,107.0,0.0,6.0,12.0,0.0,0.0,183.0,1.0,6.0,27.0,55.0,15.0,27.0,11.0,28.0,3.0,8.0,9.0,195.0,6.0,26.0,13.0,26.0,2.0,2.0,9.0,26.0,55.0,19.0,52.0,45.0,f,f,WC,f,Italy,2.0,12.0,6.0,0.0,251.0,1.0,4.0,26.0,52.0,20.0,26.0,13.0,26.0,0.0,2.0,9.0,223.0,12.0,27.0,17.0,28.0,5.0,8.0,9.0,33.0,52.0,29.0,55.0,62.0,t,f,t,Italy
2011-06-27,2011-07-03,Italy,Clay,85000.0,€,2011,alberto-giraudo,A. Giraudo,sami-reinwein,S. Reinwein,turin_challenger,1st Round Qualifying,2.0,f,100,0,01:19:00,117.0,2.0,12.0,8.0,0.0,0.0,276.0,4.0,7.0,32.0,56.0,25.0,32.0,13.0,24.0,1.0,2.0,10.0,151.0,10.0,36.0,15.0,25.0,3.0,9.0,10.0,38.0,56.0,25.0,61.0,63.0,t,f,WC,t,Italy,0.0,8.0,12.0,0.0,241.0,2.0,2.0,36.0,61.0,26.0,36.0,10.0,25.0,6.0,9.0,10.0,128.0,7.0,32.0,11.0,24.0,1.0,2.0,10.0,36.0,61.0,18.0,56.0,54.0,f,f,f,Italy
2011-06-27,2011-07-03,Italy,Clay,85000.0,€,2011,alberto-sibona,A. Sibona,philipp-oswald,P. Oswald,turin_challenger,1st Round Qualifying,2.0,f,100,0,01:13:00,109.0,0.0,6.0,12.0,0.0,0.0,213.0,0.0,2.0,39.0,57.0,25.0,39.0,5.0,18.0,5.0,9.0,9.0,100.0,4.0,24.0,11.0,28.0,1.0,3.0,9.0,30.0,57.0,15.0,52.0,45.0,f,f,WC,f,Italy,2.0,12.0,6.0,0.0,279.0,5.0,4.0,24.0,52.0,20.0,24.0,17.0,28.0,2.0,3.0,9.0,196.0,14.0,39.0,13.0,18.0,4.0,9.0,9.0,37.0,52.0,27.0,57.0,64.0,t,f,t,Italy
2011-06-27,2011-07-03,Italy,Clay,85000.0,€,2011,albert-ramos-vinolas,A. Ramos-Vinolas,alessandro-giannessi,A. Giannessi,turin_challenger,Semi-Finals,2.0,f,100,6,01:28:00,110.0,2.0,12.0,4.0,0.0,0.0,279.0,1.0,0.0,31.0,42.0,25.0,31.0,4.0,11.0,3.0,4.0,8.0,205.0,25.0,47.0,11.0,21.0,5.0,13.0,8.0,29.0,42.0,36.0,68.0,65.0,t,f,4,t,Italy,0.0,4.0,12.0,0.0,200.0,0.0,1.0,47.0,68.0,22.0,47.0,10.0,21.0,8.0,13.0,8.0,120.0,6.0,31.0,7.0,11.0,1.0,4.0,8.0,32.0,68.0,13.0,42.0,45.0,f,f,f,Italy
