,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2015-04-27,2015-05-03,Italy,Clay,42500.0,€,2015,adrian-ungur,A. Ungur,gianluca-naso,G. Naso,turin_challenger,Quarter-Finals,2.0,f,100,5,01:19:00,128.0,2.0,12.0,6.0,0.0,0.0,289.0,6.0,2.0,36.0,56.0,28.0,36.0,11.0,20.0,5.0,6.0,9.0,194.0,17.0,48.0,18.0,24.0,4.0,10.0,9.0,39.0,56.0,35.0,72.0,74.0,t,f,,t,Italy,0.0,6.0,12.0,0.0,213.0,5.0,4.0,48.0,72.0,31.0,48.0,6.0,24.0,6.0,10.0,9.0,95.0,8.0,36.0,9.0,20.0,1.0,6.0,9.0,37.0,72.0,17.0,56.0,54.0,f,f,f,Italy
1,2015-04-27,2015-05-03,Italy,Clay,42500.0,€,2015,adrian-ungur,A. Ungur,kimmer-coppejans,K. Coppejans,turin_challenger,Semi-Finals,3.0,f,100,6,02:27:00,208.0,1.0,15.0,15.0,0.0,1.0,197.0,5.0,2.0,65.0,123.0,34.0,65.0,25.0,58.0,10.0,18.0,15.0,228.0,26.0,55.0,17.0,30.0,8.0,12.0,14.0,59.0,123.0,43.0,85.0,102.0,f,f,,f,Italy,2.0,15.0,15.0,1.0,202.0,2.0,3.0,55.0,85.0,29.0,55.0,13.0,30.0,4.0,12.0,14.0,202.0,31.0,65.0,33.0,58.0,8.0,18.0,15.0,42.0,85.0,64.0,123.0,106.0,t,f,t,Italy
2,2015-04-27,2015-05-03,Italy,Clay,42500.0,€,2015,adrian-ungur,A. Ungur,marco-trungelliti,M. Trungelliti,turin_challenger,Round of 16,2.0,f,100,4,01:06:00,95.0,2.0,12.0,4.0,0.0,0.0,295.0,1.0,2.0,30.0,44.0,21.0,30.0,10.0,14.0,0.0,1.0,8.0,231.0,13.0,29.0,15.0,22.0,5.0,9.0,8.0,31.0,44.0,28.0,51.0,59.0,t,f,,t,Italy,0.0,4.0,12.0,0.0,182.0,3.0,2.0,29.0,51.0,16.0,29.0,7.0,22.0,4.0,9.0,8.0,171.0,9.0,30.0,4.0,14.0,1.0,1.0,8.0,23.0,51.0,13.0,44.0,36.0,f,f,f,Italy
3,2015-04-27,2015-05-03,Italy,Clay,42500.0,€,2015,adrian-ungur,A. Ungur,matteo-viola,M. Viola,turin_challenger,Round of 32,2.0,f,100,3,01:13:00,103.0,2.0,12.0,5.0,0.0,0.0,282.0,1.0,2.0,35.0,54.0,22.0,35.0,13.0,19.0,5.0,6.0,8.0,264.0,19.0,37.0,9.0,12.0,5.0,6.0,9.0,35.0,54.0,28.0,49.0,63.0,t,f,,t,Italy,0.0,5.0,12.0,0.0,191.0,1.0,4.0,37.0,49.0,18.0,37.0,3.0,12.0,1.0,6.0,9.0,98.0,13.0,35.0,6.0,19.0,1.0,6.0,8.0,21.0,49.0,19.0,54.0,40.0,f,f,f,Italy
4,2015-04-27,2015-05-03,Italy,Clay,42500.0,€,2015,alberto-giraudo,A. Giraudo,edoardo-eremin,E. Eremin,turin_challenger,1st Round Qualifying,2.0,f,100,0,01:06:00,97.0,0.0,5.0,12.0,0.0,0.0,239.0,0.0,2.0,27.0,47.0,18.0,27.0,11.0,20.0,3.0,6.0,8.0,62.0,6.0,34.0,7.0,16.0,0.0,0.0,9.0,29.0,47.0,13.0,50.0,42.0,f,f,WC,f,Italy,2.0,12.0,5.0,0.0,309.0,5.0,2.0,34.0,50.0,28.0,34.0,9.0,16.0,0.0,0.0,9.0,165.0,9.0,27.0,9.0,20.0,3.0,6.0,8.0,37.0,50.0,18.0,47.0,55.0,t,f,t,Italy
5,2015-04-27,2015-05-03,Italy,Clay,42500.0,€,2015,aljaz-bedene,A. Bedene,antonio-veic,A. Veic,turin_challenger,Round of 32,2.0,f,100,3,01:12:00,103.0,2.0,12.0,5.0,0.0,0.0,306.0,6.0,0.0,21.0,42.0,18.0,21.0,16.0,21.0,2.0,3.0,9.0,197.0,17.0,39.0,13.0,22.0,4.0,9.0,8.0,34.0,42.0,30.0,61.0,64.0,t,f,2,t,Italy,0.0,5.0,12.0,0.0,207.0,0.0,4.0,39.0,61.0,22.0,39.0,9.0,22.0,5.0,9.0,8.0,82.0,3.0,21.0,5.0,21.0,1.0,3.0,9.0,31.0,61.0,8.0,42.0,39.0,f,f,f,Italy
6,2015-04-27,2015-05-03,Italy,Clay,42500.0,€,2015,aljaz-bedene,A. Bedene,gianluca-naso,G. Naso,turin_challenger,Round of 16,2.0,f,100,4,02:13:00,161.0,0.0,10.0,13.0,0.0,1.0,242.0,6.0,2.0,36.0,74.0,24.0,36.0,19.0,38.0,5.0,8.0,11.0,118.0,20.0,52.0,14.0,35.0,2.0,9.0,11.0,43.0,74.0,34.0,87.0,77.0,f,f,2,f,Italy,2.0,13.0,10.0,1.0,261.0,2.0,4.0,52.0,87.0,32.0,52.0,21.0,35.0,7.0,9.0,11.0,148.0,12.0,36.0,19.0,38.0,3.0,8.0,11.0,53.0,87.0,31.0,74.0,84.0,t,f,t,Italy
7,2015-04-27,2015-05-03,Italy,Clay,42500.0,€,2015,andrea-arnaboldi,A. Arnaboldi,aslan-karatsev,A. Karatsev,turin_challenger,Round of 32,2.0,f,100,3,01:34:00,132.0,0.0,6.0,13.0,0.0,1.0,217.0,3.0,3.0,40.0,67.0,23.0,40.0,12.0,27.0,4.0,8.0,9.0,110.0,10.0,34.0,14.0,31.0,1.0,4.0,9.0,35.0,67.0,24.0,65.0,59.0,f,f,,f,Italy,2.0,13.0,6.0,1.0,264.0,2.0,4.0,34.0,65.0,24.0,34.0,17.0,31.0,3.0,4.0,9.0,193.0,17.0,40.0,15.0,27.0,4.0,8.0,9.0,41.0,65.0,32.0,67.0,73.0,t,f,t,Italy
8,2015-04-27,2015-05-03,Italy,Clay,42500.0,€,2015,andrea-vavassori,A. Vavassori,pietro-rondoni,P. Rondoni,turin_challenger,1st Round Qualifying,2.0,f,100,0,01:45:00,147.0,0.0,9.0,13.0,0.0,1.0,248.0,1.0,5.0,47.0,73.0,28.0,47.0,15.0,26.0,8.0,11.0,10.0,144.0,11.0,50.0,13.0,24.0,2.0,4.0,11.0,43.0,73.0,24.0,74.0,67.0,f,f,,f,Italy,2.0,13.0,9.0,1.0,270.0,2.0,5.0,50.0,74.0,39.0,50.0,11.0,24.0,2.0,4.0,11.0,139.0,19.0,47.0,11.0,26.0,3.0,11.0,10.0,50.0,74.0,30.0,73.0,80.0,t,f,t,Italy
9,2015-04-27,2015-05-03,Italy,Clay,42500.0,€,2015,antonio-sancic,A. Sancic,gabriele-moghini,G. Moghini,turin_challenger,1st Round Qualifying,2.0,f,100,0,00:44:00,77.0,2.0,12.0,3.0,0.0,0.0,275.0,0.0,0.0,18.0,37.0,14.0,18.0,12.0,19.0,3.0,4.0,7.0,290.0,10.0,19.0,16.0,21.0,6.0,7.0,8.0,26.0,37.0,26.0,40.0,52.0,t,f,,t,Italy,0.0,3.0,12.0,0.0,140.0,1.0,5.0,19.0,40.0,9.0,19.0,5.0,21.0,1.0,7.0,8.0,98.0,4.0,18.0,7.0,19.0,1.0,4.0,7.0,14.0,40.0,11.0,37.0,25.0,f,f,f,Italy
