,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2015-07-20,2015-07-26,Croatia,Clay,439405.0,€,2015,agustin-velotti,A. Velotti,denis-bejtulahi,D. Bejtulahi,umag,1st Round Qualifying,2.0,f,250,0,01:06:00,75.0,2.0,7.0,3.0,0.0,0.0,223.0,1.0,1.0,21.0,41.0,12.0,21.0,11.0,20.0,0.0,2.0,5.0,265.0,6.0,14.0,15.0,20.0,4.0,6.0,5.0,23.0,41.0,21.0,34.0,44.0,t,t,,t,Croatia,0.0,3.0,7.0,0.0,137.0,0.0,6.0,14.0,34.0,8.0,14.0,5.0,20.0,2.0,6.0,5.0,228.0,9.0,21.0,9.0,20.0,2.0,2.0,5.0,13.0,34.0,18.0,41.0,31.0,f,t,f,Croatia
1,2015-07-20,2015-07-26,Croatia,Clay,439405.0,€,2015,agustin-velotti,A. Velotti,thomas-fabbiano,T. Fabbiano,umag,2nd Round Qualifying,2.0,f,250,1,01:08:00,101.0,0.0,4.0,12.0,0.0,0.0,173.0,3.0,1.0,24.0,57.0,12.0,24.0,14.0,33.0,5.0,10.0,8.0,176.0,8.0,26.0,6.0,18.0,1.0,1.0,8.0,26.0,57.0,14.0,44.0,40.0,f,f,,f,Croatia,2.0,12.0,4.0,0.0,281.0,1.0,2.0,26.0,44.0,18.0,26.0,12.0,18.0,0.0,1.0,8.0,220.0,12.0,24.0,19.0,33.0,5.0,10.0,8.0,30.0,44.0,31.0,57.0,61.0,t,f,t,Croatia
2,2015-07-20,2015-07-26,Croatia,Clay,439405.0,€,2015,aljaz-bedene,A. Bedene,borna-coric,B. Coric,umag,Round of 16,2.0,f,250,4,01:25:00,111.0,0.0,8.0,12.0,0.0,0.0,246.0,4.0,1.0,29.0,57.0,24.0,29.0,11.0,28.0,5.0,8.0,10.0,93.0,7.0,36.0,8.0,18.0,1.0,5.0,10.0,35.0,57.0,15.0,54.0,50.0,f,f,,f,Croatia,2.0,12.0,8.0,0.0,295.0,2.0,1.0,36.0,54.0,29.0,36.0,10.0,18.0,4.0,5.0,10.0,146.0,5.0,29.0,17.0,28.0,3.0,8.0,10.0,39.0,54.0,22.0,57.0,61.0,t,f,t,Croatia
3,2015-07-20,2015-07-26,Croatia,Clay,439405.0,€,2015,aljaz-bedene,A. Bedene,mate-delic,M. Delic,umag,Round of 32,2.0,f,250,3,01:15:00,114.0,2.0,12.0,7.0,0.0,0.0,290.0,10.0,2.0,36.0,62.0,26.0,36.0,16.0,26.0,6.0,7.0,10.0,216.0,6.0,25.0,16.0,27.0,3.0,3.0,9.0,42.0,62.0,22.0,52.0,64.0,t,f,,t,Croatia,0.0,7.0,12.0,0.0,234.0,6.0,3.0,25.0,52.0,19.0,25.0,11.0,27.0,0.0,3.0,9.0,90.0,10.0,36.0,10.0,26.0,1.0,7.0,10.0,30.0,52.0,20.0,62.0,50.0,f,f,f,Croatia
4,2015-07-20,2015-07-26,Croatia,Clay,439405.0,€,2015,andreas-haider-maurer,A. Haider-Maurer,dominic-thiem,D. Thiem,umag,Quarter-Finals,3.0,f,250,5,01:46:00,135.0,1.0,8.0,15.0,1.0,1.0,212.0,6.0,1.0,38.0,71.0,25.0,38.0,11.0,33.0,4.0,9.0,11.0,160.0,7.0,36.0,9.0,28.0,1.0,1.0,11.0,36.0,71.0,16.0,64.0,52.0,f,t,,t,Croatia,2.0,15.0,8.0,0.0,298.0,3.0,0.0,36.0,64.0,29.0,36.0,19.0,28.0,0.0,1.0,11.0,202.0,13.0,38.0,22.0,33.0,5.0,9.0,11.0,48.0,64.0,35.0,71.0,83.0,t,t,f,Croatia
5,2015-07-20,2015-07-26,Croatia,Clay,439405.0,€,2015,andreas-haider-maurer,A. Haider-Maurer,martin-klizan,M. Klizan,umag,Round of 16,2.0,f,250,4,01:36:00,137.0,2.0,12.0,8.0,0.0,0.0,264.0,7.0,5.0,36.0,65.0,32.0,36.0,11.0,29.0,3.0,5.0,10.0,165.0,16.0,41.0,17.0,31.0,4.0,13.0,10.0,43.0,65.0,33.0,72.0,76.0,t,f,,t,Croatia,0.0,8.0,12.0,0.0,226.0,3.0,0.0,41.0,72.0,25.0,41.0,14.0,31.0,9.0,13.0,10.0,133.0,4.0,36.0,18.0,29.0,2.0,5.0,10.0,39.0,72.0,22.0,65.0,61.0,f,f,f,Croatia
6,2015-07-20,2015-07-26,Croatia,Clay,439405.0,€,2015,andreas-haider-maurer,A. Haider-Maurer,thomas-fabbiano,T. Fabbiano,umag,Round of 32,2.0,f,250,3,01:28:00,132.0,2.0,12.0,7.0,0.0,0.0,271.0,4.0,4.0,45.0,77.0,34.0,45.0,15.0,32.0,8.0,9.0,10.0,183.0,16.0,40.0,9.0,15.0,3.0,6.0,9.0,49.0,77.0,25.0,55.0,74.0,t,f,,t,Croatia,0.0,7.0,12.0,0.0,236.0,0.0,3.0,40.0,55.0,24.0,40.0,6.0,15.0,3.0,6.0,9.0,98.0,11.0,45.0,17.0,32.0,1.0,9.0,10.0,30.0,55.0,28.0,77.0,58.0,f,f,f,Croatia
7,2015-07-20,2015-07-26,Croatia,Clay,439405.0,€,2015,andreas-seppi,A. Seppi,joao-sousa,J. Sousa,umag,Round of 16,2.0,f,250,4,01:08:00,99.0,0.0,4.0,12.0,0.0,0.0,157.0,1.0,2.0,23.0,50.0,13.0,23.0,8.0,27.0,3.0,9.0,8.0,170.0,8.0,25.0,11.0,24.0,2.0,3.0,8.0,21.0,50.0,19.0,49.0,40.0,f,f,3,f,Croatia,2.0,12.0,4.0,0.0,250.0,3.0,1.0,25.0,49.0,17.0,25.0,13.0,24.0,1.0,3.0,8.0,255.0,10.0,23.0,19.0,27.0,6.0,9.0,8.0,30.0,49.0,29.0,50.0,59.0,t,f,t,Croatia
8,2015-07-20,2015-07-26,Croatia,Clay,439405.0,€,2015,andre-sa,A. Sa,matteo-trevisan,M. Trevisan,umag,1st Round Qualifying,2.0,f,250,0,01:22:00,113.0,0.0,7.0,13.0,0.0,0.0,211.0,1.0,3.0,39.0,60.0,18.0,39.0,11.0,21.0,2.0,7.0,10.0,139.0,10.0,40.0,7.0,13.0,2.0,5.0,10.0,29.0,60.0,17.0,53.0,46.0,f,f,,f,Croatia,2.0,13.0,7.0,0.0,276.0,1.0,1.0,40.0,53.0,30.0,40.0,6.0,13.0,3.0,5.0,10.0,223.0,21.0,39.0,10.0,21.0,5.0,7.0,10.0,36.0,53.0,31.0,60.0,67.0,t,f,t,Croatia
9,2015-07-20,2015-07-26,Croatia,Clay,439405.0,€,2015,andrey-rublev,A. Rublev,blaz-kavcic,B. Kavcic,umag,Round of 32,3.0,f,250,3,02:24:00,207.0,1.0,15.0,15.0,0.0,1.0,251.0,2.0,4.0,58.0,93.0,39.0,58.0,16.0,35.0,4.0,7.0,14.0,165.0,24.0,79.0,24.0,35.0,4.0,10.0,15.0,55.0,93.0,48.0,114.0,103.0,f,f,WC,f,Croatia,2.0,15.0,15.0,1.0,239.0,3.0,7.0,79.0,114.0,55.0,79.0,11.0,35.0,6.0,10.0,15.0,151.0,19.0,58.0,19.0,35.0,3.0,7.0,14.0,66.0,114.0,38.0,93.0,104.0,t,f,t,Croatia
