start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2006-08-28,2006-09-10,USA,Hard,8332000.0,$,2006,agustin-calleri,A. Calleri,carlos-moya,C. Moya,us-open,Round of 128,4.0,f,2000,1,03:16:00,314.0,1.0,21.0,26.0,1.0,2.0,287.0,19.0,11.0,77.0,138.0,65.0,77.0,30.0,61.0,5.0,7.0,22.0,72.0,25.0,99.0,36.0,77.0,0.0,13.0,23.0,95.0,138.0,61.0,176.0,156.0,f,f,28,f,USA,3.0,26.0,21.0,1.0,294.0,19.0,9.0,99.0,176.0,74.0,99.0,41.0,77.0,13.0,13.0,23.0,105.0,12.0,77.0,31.0,61.0,2.0,7.0,22.0,115.0,176.0,43.0,138.0,158.0,t,f,t,USA
2006-08-28,2006-09-10,USA,Hard,8332000.0,$,2006,albert-montanes,A. Montanes,lleyton-hewitt,L. Hewitt,us-open,Round of 128,3.0,f,2000,1,02:11:00,194.0,0.0,12.0,19.0,0.0,0.0,233.0,4.0,4.0,59.0,106.0,41.0,59.0,19.0,47.0,5.0,10.0,16.0,101.0,13.0,53.0,13.0,35.0,1.0,3.0,15.0,60.0,106.0,26.0,88.0,86.0,f,f,,f,USA,3.0,19.0,12.0,0.0,294.0,8.0,5.0,53.0,88.0,40.0,53.0,22.0,35.0,2.0,3.0,15.0,172.0,18.0,59.0,28.0,47.0,5.0,10.0,16.0,62.0,88.0,46.0,106.0,108.0,t,f,t,USA
2006-08-28,2006-09-10,USA,Hard,8332000.0,$,2006,alberto-martin,A. Martin,kristian-pless,K. Pless,us-open,Round of 128,5.0,f,2000,1,02:54:00,292.0,2.0,21.0,25.0,0.0,1.0,226.0,7.0,10.0,93.0,159.0,54.0,93.0,35.0,66.0,7.0,16.0,23.0,193.0,24.0,82.0,32.0,51.0,7.0,10.0,22.0,89.0,159.0,56.0,133.0,145.0,f,f,,t,USA,3.0,25.0,21.0,1.0,244.0,14.0,8.0,82.0,133.0,58.0,82.0,19.0,51.0,3.0,10.0,22.0,184.0,39.0,93.0,31.0,66.0,9.0,16.0,23.0,77.0,133.0,70.0,159.0,147.0,t,f,f,USA
2006-08-28,2006-09-10,USA,Hard,8332000.0,$,2006,alejandro-falla,A. Falla,dmitry-tursunov,D. Tursunov,us-open,Round of 64,3.0,f,2000,2,02:03:00,213.0,0.0,14.0,20.0,0.0,1.0,229.0,7.0,0.0,58.0,103.0,35.0,58.0,20.0,45.0,4.0,10.0,16.0,147.0,20.0,70.0,22.0,40.0,4.0,10.0,17.0,55.0,103.0,42.0,110.0,97.0,f,f,Q,f,USA,3.0,20.0,14.0,1.0,261.0,8.0,3.0,70.0,110.0,50.0,70.0,18.0,40.0,6.0,10.0,17.0,193.0,23.0,58.0,25.0,45.0,6.0,10.0,16.0,68.0,110.0,48.0,103.0,116.0,t,f,t,USA
2006-08-28,2006-09-10,USA,Hard,8332000.0,$,2006,alejandro-falla,A. Falla,juan-martin-del-potro,J. del Potro,us-open,Round of 128,4.0,f,2000,1,03:10:00,284.0,3.0,24.0,19.0,1.0,1.0,259.0,6.0,5.0,101.0,153.0,69.0,101.0,25.0,52.0,11.0,16.0,21.0,169.0,26.0,79.0,29.0,52.0,7.0,15.0,21.0,94.0,153.0,55.0,131.0,149.0,t,f,Q,t,USA,1.0,19.0,24.0,0.0,234.0,3.0,6.0,79.0,131.0,53.0,79.0,23.0,52.0,8.0,15.0,21.0,138.0,32.0,101.0,27.0,52.0,5.0,16.0,21.0,76.0,131.0,59.0,153.0,135.0,f,f,f,USA
2006-08-28,2006-09-10,USA,Hard,8332000.0,$,2006,alessio-di-mauro,A. Di Mauro,andy-murray,A. Murray,us-open,Round of 64,3.0,f,2000,2,01:14:00,123.0,0.0,2.0,18.0,0.0,0.0,147.0,1.0,2.0,34.0,65.0,16.0,34.0,9.0,31.0,3.0,11.0,10.0,50.0,6.0,33.0,8.0,25.0,0.0,3.0,10.0,25.0,65.0,14.0,58.0,39.0,f,f,,f,USA,3.0,18.0,2.0,0.0,307.0,3.0,3.0,33.0,58.0,27.0,33.0,17.0,25.0,3.0,3.0,10.0,277.0,18.0,34.0,22.0,31.0,8.0,11.0,10.0,44.0,58.0,40.0,65.0,84.0,t,f,t,USA
2006-08-28,2006-09-10,USA,Hard,8332000.0,$,2006,alessio-di-mauro,A. Di Mauro,jurgen-melzer,J. Melzer,us-open,Round of 128,4.0,f,2000,1,02:56:00,277.0,3.0,25.0,18.0,0.0,0.0,277.0,18.0,4.0,85.0,159.0,60.0,85.0,39.0,74.0,17.0,20.0,22.0,169.0,26.0,81.0,20.0,37.0,6.0,11.0,21.0,99.0,159.0,46.0,118.0,145.0,t,f,,f,USA,1.0,18.0,25.0,0.0,258.0,8.0,4.0,81.0,118.0,55.0,81.0,17.0,37.0,5.0,11.0,21.0,104.0,25.0,85.0,35.0,74.0,3.0,20.0,22.0,72.0,118.0,60.0,159.0,132.0,f,f,t,USA
2006-08-28,2006-09-10,USA,Hard,8332000.0,$,2006,alexander-waske,A. Waske,marcos-baghdatis,M. Baghdatis,us-open,Round of 128,3.0,f,2000,1,02:11:00,199.0,0.0,15.0,20.0,0.0,2.0,293.0,18.0,6.0,64.0,102.0,52.0,64.0,19.0,38.0,1.0,3.0,16.0,144.0,5.0,53.0,13.0,44.0,1.0,1.0,17.0,71.0,102.0,18.0,97.0,89.0,f,f,,f,USA,3.0,20.0,15.0,2.0,317.0,10.0,3.0,53.0,97.0,48.0,53.0,31.0,44.0,0.0,1.0,17.0,148.0,12.0,64.0,19.0,38.0,2.0,3.0,16.0,79.0,97.0,31.0,102.0,110.0,t,f,t,USA
2006-08-28,2006-09-10,USA,Hard,8332000.0,$,2006,alex-kuznetsov,A. Kuznetsov,tommy-haas,T. Haas,us-open,Round of 128,3.0,f,2000,1,01:28:00,141.0,0.0,6.0,18.0,0.0,0.0,224.0,12.0,1.0,52.0,79.0,31.0,52.0,10.0,27.0,7.0,13.0,12.0,46.0,7.0,34.0,7.0,28.0,0.0,0.0,12.0,41.0,79.0,14.0,62.0,55.0,f,f,WC,f,USA,3.0,18.0,6.0,0.0,314.0,6.0,1.0,34.0,62.0,27.0,34.0,21.0,28.0,0.0,0.0,12.0,199.0,21.0,52.0,17.0,27.0,6.0,13.0,12.0,48.0,62.0,38.0,79.0,86.0,t,f,t,USA
2006-08-28,2006-09-10,USA,Hard,8332000.0,$,2006,andre-agassi,A. Agassi,andrei-pavel,A. Pavel,us-open,Round of 128,4.0,f,2000,1,03:30:00,321.0,3.0,26.0,21.0,2.0,3.0,278.0,17.0,8.0,89.0,154.0,71.0,89.0,29.0,65.0,2.0,5.0,22.0,151.0,36.0,113.0,28.0,54.0,5.0,11.0,22.0,100.0,154.0,64.0,167.0,164.0,t,f,,f,USA,1.0,21.0,26.0,1.0,274.0,15.0,2.0,113.0,167.0,77.0,113.0,26.0,54.0,6.0,11.0,22.0,148.0,18.0,89.0,36.0,65.0,3.0,5.0,22.0,103.0,167.0,54.0,154.0,157.0,f,f,t,USA
