start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2014-10-20,2014-10-26,Spain,Hard,1615780.0,€,2014,thomaz-bellucci,,roberto-bautista-agut,,valencia,Round of 16,1.0,f,500,4,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,Q,,Spain,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,Spain
2014-10-20,2014-10-26,Spain,Hard,1615780.0,€,2014,albert-ramos-vinolas,A. Ramos-Vinolas,fabio-fognini,F. Fognini,valencia,Round of 32,2.0,f,500,3,01:08:00,110.0,0.0,6.0,12.0,0.0,0.0,232.0,2.0,6.0,41.0,67.0,26.0,41.0,12.0,26.0,6.0,9.0,9.0,34.0,4.0,27.0,3.0,16.0,0.0,0.0,9.0,38.0,67.0,7.0,43.0,45.0,f,f,Q,f,Spain,2.0,12.0,6.0,0.0,331.0,3.0,1.0,27.0,43.0,23.0,27.0,13.0,16.0,0.0,0.0,9.0,157.0,15.0,41.0,14.0,26.0,3.0,9.0,9.0,36.0,43.0,29.0,67.0,65.0,t,f,t,Spain
2014-10-20,2014-10-26,Spain,Hard,1615780.0,€,2014,albert-ramos-vinolas,A. Ramos-Vinolas,inigo-cervantes,I. Cervantes,valencia,1st Round Qualifying,2.0,f,500,1,01:35:00,124.0,2.0,13.0,8.0,1.0,1.0,291.0,1.0,3.0,44.0,62.0,36.0,44.0,9.0,18.0,2.0,3.0,10.0,168.0,8.0,34.0,18.0,28.0,3.0,6.0,10.0,45.0,62.0,26.0,62.0,71.0,t,f,1,t,Spain,0.0,8.0,13.0,0.0,243.0,8.0,2.0,34.0,62.0,26.0,34.0,10.0,28.0,3.0,6.0,10.0,111.0,8.0,44.0,9.0,18.0,1.0,3.0,10.0,36.0,62.0,17.0,62.0,53.0,f,f,f,Spain
2014-10-20,2014-10-26,Spain,Hard,1615780.0,€,2014,albert-ramos-vinolas,A. Ramos-Vinolas,james-ward,J. Ward,valencia,2nd Round Qualifying,2.0,f,500,2,01:12:00,100.0,2.0,12.0,5.0,0.0,0.0,328.0,4.0,0.0,37.0,53.0,27.0,37.0,13.0,16.0,0.0,0.0,9.0,210.0,9.0,27.0,13.0,20.0,3.0,4.0,8.0,40.0,53.0,22.0,47.0,62.0,t,f,1,t,Spain,0.0,5.0,12.0,0.0,221.0,2.0,2.0,27.0,47.0,18.0,27.0,7.0,20.0,1.0,4.0,8.0,46.0,10.0,37.0,3.0,16.0,0.0,0.0,9.0,25.0,47.0,13.0,53.0,38.0,f,f,f,Spain
2014-10-20,2014-10-26,Spain,Hard,1615780.0,€,2014,alejandro-falla,A. Falla,norbert-gombos,N. Gombos,valencia,1st Round Qualifying,2.0,f,500,1,00:54:00,94.0,0.0,5.0,12.0,0.0,0.0,220.0,0.0,4.0,23.0,48.0,17.0,23.0,10.0,25.0,2.0,5.0,8.0,46.0,5.0,29.0,5.0,17.0,0.0,0.0,9.0,27.0,48.0,10.0,46.0,37.0,f,f,4,f,Spain,2.0,12.0,5.0,0.0,322.0,5.0,0.0,29.0,46.0,24.0,29.0,12.0,17.0,0.0,0.0,9.0,183.0,6.0,23.0,15.0,25.0,3.0,5.0,8.0,36.0,46.0,21.0,48.0,57.0,t,f,t,Spain
2014-10-20,2014-10-26,Spain,Hard,1615780.0,€,2014,alexandr-dolgopolov,A. Dolgopolov,gilles-simon,G. Simon,valencia,Round of 32,2.0,f,500,3,01:06:00,110.0,2.0,12.0,3.0,0.0,0.0,273.0,10.0,2.0,29.0,55.0,23.0,29.0,12.0,26.0,4.0,5.0,8.0,220.0,14.0,29.0,17.0,26.0,5.0,14.0,7.0,35.0,55.0,31.0,55.0,66.0,t,f,,t,Spain,0.0,3.0,12.0,0.0,167.0,2.0,3.0,29.0,55.0,15.0,29.0,9.0,26.0,9.0,14.0,7.0,107.0,6.0,29.0,14.0,26.0,1.0,5.0,8.0,24.0,55.0,20.0,55.0,44.0,f,f,f,Spain
2014-10-20,2014-10-26,Spain,Hard,1615780.0,€,2014,alexandr-dolgopolov,A. Dolgopolov,jeremy-chardy,J. Chardy,valencia,Round of 16,3.0,f,500,4,02:03:00,198.0,1.0,17.0,17.0,0.0,1.0,255.0,10.0,8.0,51.0,100.0,38.0,51.0,25.0,49.0,3.0,7.0,17.0,135.0,9.0,57.0,25.0,41.0,4.0,12.0,16.0,63.0,100.0,34.0,98.0,97.0,f,f,,t,Spain,2.0,17.0,17.0,1.0,255.0,8.0,9.0,57.0,98.0,48.0,57.0,16.0,41.0,8.0,12.0,16.0,154.0,13.0,51.0,24.0,49.0,4.0,7.0,17.0,64.0,98.0,37.0,100.0,101.0,t,f,f,Spain
2014-10-20,2014-10-26,Spain,Hard,1615780.0,€,2014,andreas-beck,A. Beck,marsel-ilhan,M. Ilhan,valencia,1st Round Qualifying,3.0,f,500,1,02:06:00,197.0,1.0,14.0,19.0,1.0,2.0,225.0,10.0,8.0,48.0,101.0,36.0,48.0,20.0,53.0,2.0,8.0,16.0,127.0,17.0,61.0,16.0,35.0,3.0,9.0,15.0,56.0,101.0,33.0,96.0,89.0,f,f,5,t,Spain,2.0,19.0,14.0,1.0,279.0,12.0,3.0,61.0,96.0,44.0,61.0,19.0,35.0,6.0,9.0,15.0,199.0,12.0,48.0,33.0,53.0,6.0,8.0,16.0,63.0,96.0,45.0,101.0,108.0,t,f,f,Spain
2014-10-20,2014-10-26,Spain,Hard,1615780.0,€,2014,andreas-seppi,A. Seppi,david-ferrer,D. Ferrer,valencia,Round of 32,2.0,f,500,3,01:34:00,129.0,0.0,8.0,13.0,0.0,0.0,217.0,3.0,1.0,37.0,71.0,22.0,37.0,15.0,34.0,5.0,9.0,10.0,151.0,9.0,36.0,9.0,22.0,2.0,3.0,11.0,37.0,71.0,18.0,58.0,55.0,f,f,,f,Spain,2.0,13.0,8.0,0.0,276.0,1.0,2.0,36.0,58.0,27.0,36.0,13.0,22.0,1.0,3.0,11.0,181.0,15.0,37.0,19.0,34.0,4.0,9.0,10.0,40.0,58.0,34.0,71.0,74.0,t,f,t,Spain
2014-10-20,2014-10-26,Spain,Hard,1615780.0,€,2014,andy-murray,A. Murray,david-ferrer,D. Ferrer,valencia,Semi-Finals,2.0,f,500,6,01:59:00,143.0,2.0,13.0,9.0,0.0,0.0,268.0,4.0,2.0,45.0,71.0,34.0,45.0,12.0,26.0,5.0,7.0,11.0,165.0,12.0,40.0,19.0,32.0,4.0,10.0,11.0,46.0,71.0,31.0,72.0,77.0,t,f,3 WC,t,Spain,0.0,9.0,13.0,0.0,225.0,1.0,6.0,40.0,72.0,28.0,40.0,13.0,32.0,6.0,10.0,11.0,125.0,11.0,45.0,14.0,26.0,2.0,7.0,11.0,41.0,72.0,25.0,71.0,66.0,f,f,f,Spain
