start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2017-05-29,2017-06-04,Italy,Clay,43000.0,€,2017,adrian-ungur,A. Ungur,blaz-rola,B. Rola,vicenza_challenger,2nd Round Qualifying,2.0,f,100,1,01:15:00,116.0,0.0,4.0,12.0,0.0,0.0,201.0,2.0,1.0,43.0,60.0,19.0,43.0,8.0,17.0,6.0,11.0,8.0,111.0,13.0,41.0,7.0,15.0,1.0,5.0,8.0,27.0,60.0,20.0,56.0,47.0,f,f,,f,Italy,2.0,12.0,4.0,0.0,287.0,7.0,1.0,41.0,56.0,28.0,41.0,8.0,15.0,4.0,5.0,8.0,216.0,24.0,43.0,9.0,17.0,5.0,11.0,8.0,36.0,56.0,33.0,60.0,69.0,t,f,t,Italy
2017-05-29,2017-06-04,Italy,Clay,43000.0,€,2017,adrian-ungur,A. Ungur,romain-barbosa,R. Barbosa,vicenza_challenger,1st Round Qualifying,2.0,f,100,0,01:16:00,109.0,2.0,12.0,6.0,0.0,0.0,276.0,2.0,2.0,33.0,51.0,22.0,33.0,12.0,18.0,1.0,3.0,9.0,205.0,16.0,33.0,15.0,25.0,5.0,12.0,9.0,34.0,51.0,31.0,58.0,65.0,t,f,,t,Italy,0.0,6.0,12.0,0.0,189.0,0.0,4.0,33.0,58.0,17.0,33.0,10.0,25.0,7.0,12.0,9.0,155.0,11.0,33.0,6.0,18.0,2.0,3.0,9.0,27.0,58.0,17.0,51.0,44.0,f,f,f,Italy
2017-05-29,2017-06-04,Italy,Clay,43000.0,€,2017,alejandro-falla,A. Falla,caio-zampieri,C. Zampieri,vicenza_challenger,1st Round Qualifying,1.0,f,100,0,00:41:00,52.0,1.0,6.0,2.0,0.0,0.0,317.0,0.0,1.0,14.0,23.0,11.0,14.0,7.0,9.0,0.0,0.0,4.0,213.0,7.0,20.0,7.0,9.0,2.0,4.0,4.0,18.0,23.0,14.0,29.0,32.0,t,t,,t,Italy,0.0,2.0,6.0,0.0,204.0,0.0,2.0,20.0,29.0,13.0,20.0,2.0,9.0,2.0,4.0,4.0,43.0,3.0,14.0,2.0,9.0,0.0,0.0,4.0,15.0,29.0,5.0,23.0,20.0,f,t,f,Italy
2017-05-29,2017-06-04,Italy,Clay,43000.0,€,2017,alejandro-falla,A. Falla,federico-coria,F. Coria,vicenza_challenger,2nd Round Qualifying,3.0,f,100,1,02:42:00,230.0,1.0,14.0,17.0,0.0,0.0,231.0,0.0,2.0,63.0,104.0,31.0,63.0,25.0,41.0,9.0,15.0,16.0,139.0,34.0,91.0,19.0,35.0,4.0,18.0,15.0,56.0,104.0,53.0,126.0,109.0,f,f,,t,Italy,2.0,17.0,14.0,0.0,262.0,9.0,1.0,91.0,126.0,57.0,91.0,16.0,35.0,14.0,18.0,15.0,167.0,32.0,63.0,16.0,41.0,6.0,15.0,16.0,73.0,126.0,48.0,104.0,121.0,t,f,f,Italy
2017-05-29,2017-06-04,Italy,Clay,43000.0,€,2017,alejandro-gonzalez,A. Gonzalez,jurgen-zopp,J. Zopp,vicenza_challenger,1st Round Qualifying,2.0,f,100,0,00:52:00,77.0,0.0,1.0,12.0,0.0,0.0,142.0,1.0,1.0,29.0,45.0,13.0,29.0,3.0,16.0,3.0,9.0,7.0,43.0,4.0,18.0,3.0,14.0,0.0,1.0,6.0,16.0,45.0,7.0,32.0,23.0,f,f,,f,Italy,2.0,12.0,1.0,0.0,316.0,3.0,0.0,18.0,32.0,14.0,18.0,11.0,14.0,1.0,1.0,6.0,288.0,16.0,29.0,13.0,16.0,6.0,9.0,7.0,25.0,32.0,29.0,45.0,54.0,t,f,t,Italy
2017-05-29,2017-06-04,Italy,Clay,43000.0,€,2017,alessandro-giannessi,A. Giannessi,filip-krajinovic,F. Krajinovic,vicenza_challenger,Round of 32,3.0,f,100,3,01:56:00,168.0,1.0,12.0,15.0,0.0,0.0,249.0,3.0,4.0,49.0,81.0,27.0,49.0,21.0,32.0,6.0,10.0,13.0,130.0,19.0,56.0,13.0,31.0,3.0,9.0,14.0,48.0,81.0,32.0,87.0,80.0,f,f,2,f,Italy,2.0,15.0,12.0,0.0,269.0,4.0,1.0,56.0,87.0,37.0,56.0,18.0,31.0,6.0,9.0,14.0,149.0,22.0,49.0,11.0,32.0,4.0,10.0,13.0,55.0,87.0,33.0,81.0,88.0,t,f,t,Italy
2017-05-29,2017-06-04,Italy,Clay,43000.0,€,2017,alexander-zhurbin,A. Zhurbin,gian-marco-moroni,G. Moroni,vicenza_challenger,1st Round Qualifying,2.0,f,100,0,01:32:00,137.0,0.0,8.0,13.0,0.0,0.0,219.0,1.0,6.0,44.0,67.0,24.0,44.0,10.0,23.0,8.0,12.0,10.0,125.0,13.0,38.0,14.0,32.0,2.0,7.0,11.0,34.0,67.0,27.0,70.0,61.0,f,f,,f,Italy,2.0,13.0,8.0,0.0,254.0,0.0,3.0,38.0,70.0,25.0,38.0,18.0,32.0,5.0,7.0,11.0,175.0,20.0,44.0,13.0,23.0,4.0,12.0,10.0,43.0,70.0,33.0,67.0,76.0,t,f,t,Italy
2017-05-29,2017-06-04,Italy,Clay,43000.0,€,2017,andrea-pellegrino,A. Pellegrino,edoardo-eremin,E. Eremin,vicenza_challenger,2nd Round Qualifying,2.0,f,100,1,01:13:00,111.0,0.0,6.0,12.0,0.0,0.0,242.0,1.0,2.0,30.0,53.0,19.0,30.0,13.0,23.0,1.0,4.0,9.0,63.0,9.0,33.0,9.0,25.0,0.0,3.0,9.0,32.0,53.0,18.0,58.0,50.0,f,f,,f,Italy,2.0,12.0,6.0,0.0,302.0,8.0,0.0,33.0,58.0,24.0,33.0,16.0,25.0,3.0,3.0,9.0,188.0,11.0,30.0,10.0,23.0,3.0,4.0,9.0,40.0,58.0,21.0,53.0,61.0,t,f,t,Italy
2017-05-29,2017-06-04,Italy,Clay,43000.0,€,2017,andrea-pellegrino,A. Pellegrino,mohamed-safwat,M. Safwat,vicenza_challenger,1st Round Qualifying,2.0,f,100,0,01:42:00,139.0,2.0,13.0,10.0,1.0,1.0,243.0,3.0,1.0,36.0,67.0,25.0,36.0,17.0,31.0,2.0,6.0,11.0,207.0,14.0,40.0,18.0,32.0,5.0,7.0,11.0,42.0,67.0,32.0,72.0,74.0,t,f,,t,Italy,0.0,10.0,13.0,0.0,219.0,2.0,2.0,40.0,72.0,26.0,40.0,14.0,32.0,2.0,7.0,11.0,179.0,11.0,36.0,14.0,31.0,4.0,6.0,11.0,40.0,72.0,25.0,67.0,65.0,f,f,f,Italy
2017-05-29,2017-06-04,Italy,Clay,43000.0,€,2017,andrej-martin,A. Martin,jan-satral,J. Satral,vicenza_challenger,Round of 32,2.0,f,100,3,01:06:00,99.0,0.0,4.0,12.0,0.0,0.0,194.0,0.0,2.0,27.0,50.0,12.0,27.0,11.0,23.0,1.0,5.0,8.0,52.0,8.0,35.0,4.0,14.0,0.0,2.0,8.0,23.0,50.0,12.0,49.0,35.0,f,f,1,f,Italy,2.0,12.0,4.0,0.0,322.0,4.0,1.0,35.0,49.0,27.0,35.0,10.0,14.0,2.0,2.0,8.0,238.0,15.0,27.0,12.0,23.0,4.0,5.0,8.0,37.0,49.0,27.0,50.0,64.0,t,f,t,Italy
