,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2012-10-15,2012-10-21,Austria,Hard,486750.0,€,2012,adrian-mannarino,A. Mannarino,peter-gojowczyk,P. Gojowczyk,vienna,1st Round Qualifying,2.0,f,250,0,01:22:00,134.0,0.0,5.0,12.0,0.0,0.0,241.0,3.0,3.0,36.0,53.0,23.0,36.0,8.0,17.0,9.0,12.0,8.0,77.0,11.0,40.0,20.0,41.0,0.0,12.0,9.0,31.0,53.0,31.0,81.0,62.0,f,f,8,f,Austria,2.0,12.0,5.0,0.0,271.0,4.0,6.0,40.0,81.0,29.0,40.0,21.0,41.0,12.0,12.0,9.0,151.0,13.0,36.0,9.0,17.0,3.0,12.0,8.0,50.0,81.0,22.0,53.0,72.0,t,f,t,Austria
1,2012-10-15,2012-10-21,Austria,Hard,486750.0,€,2012,aljaz-bedene,A. Bedene,donald-young,D. Young,vienna,Round of 16,3.0,f,250,4,02:48:00,232.0,2.0,19.0,16.0,1.0,2.0,292.0,11.0,4.0,66.0,99.0,50.0,66.0,18.0,33.0,6.0,8.0,16.0,135.0,33.0,97.0,20.0,36.0,4.0,18.0,17.0,68.0,99.0,53.0,133.0,121.0,t,f,,t,Austria,1.0,16.0,19.0,1.0,259.0,3.0,3.0,97.0,133.0,64.0,97.0,16.0,36.0,14.0,18.0,17.0,106.0,16.0,66.0,15.0,33.0,2.0,8.0,16.0,80.0,133.0,31.0,99.0,111.0,f,f,f,Austria
2,2012-10-15,2012-10-21,Austria,Hard,486750.0,€,2012,aljaz-bedene,A. Bedene,guillermo-garcia-lopez,G. Garcia-Lopez,vienna,Round of 32,2.0,f,250,3,00:52:00,69.0,2.0,7.0,4.0,0.0,0.0,255.0,3.0,1.0,15.0,34.0,13.0,15.0,8.0,19.0,3.0,4.0,5.0,169.0,1.0,13.0,15.0,22.0,3.0,7.0,6.0,21.0,34.0,16.0,35.0,37.0,t,t,,t,Austria,0.0,4.0,7.0,0.0,211.0,3.0,3.0,13.0,35.0,12.0,13.0,7.0,22.0,4.0,7.0,6.0,116.0,2.0,15.0,11.0,19.0,1.0,4.0,5.0,19.0,35.0,13.0,34.0,32.0,f,t,f,Austria
3,2012-10-15,2012-10-21,Austria,Hard,486750.0,€,2012,aljaz-bedene,A. Bedene,janko-tipsarevic,J. Tipsarevic,vienna,Quarter-Finals,2.0,f,250,5,01:03:00,86.0,0.0,4.0,10.0,0.0,0.0,215.0,3.0,4.0,25.0,46.0,18.0,25.0,7.0,21.0,2.0,5.0,7.0,52.0,4.0,23.0,6.0,17.0,0.0,0.0,7.0,25.0,46.0,10.0,40.0,35.0,f,t,,f,Austria,2.0,10.0,4.0,0.0,310.0,6.0,2.0,23.0,40.0,19.0,23.0,11.0,17.0,0.0,0.0,7.0,197.0,7.0,25.0,14.0,21.0,3.0,5.0,7.0,30.0,40.0,21.0,46.0,51.0,t,t,t,Austria
4,2012-10-15,2012-10-21,Austria,Hard,486750.0,€,2012,andreas-haider-maurer,A. Haider-Maurer,vasek-pospisil,V. Pospisil,vienna,Round of 32,3.0,f,250,3,02:07:00,189.0,1.0,13.0,16.0,0.0,1.0,256.0,9.0,5.0,70.0,106.0,51.0,70.0,12.0,36.0,4.0,7.0,15.0,94.0,10.0,56.0,12.0,27.0,1.0,4.0,13.0,63.0,106.0,22.0,83.0,85.0,f,f,WC,t,Austria,2.0,16.0,13.0,1.0,307.0,11.0,1.0,56.0,83.0,46.0,56.0,15.0,27.0,3.0,4.0,13.0,157.0,19.0,70.0,24.0,36.0,3.0,7.0,15.0,61.0,83.0,43.0,106.0,104.0,t,f,f,Austria
5,2012-10-15,2012-10-21,Austria,Hard,486750.0,€,2012,arnau-brugues-davi,A. Brugues-Davi,grega-zemlja,G. Zemlja,vienna,2nd Round Qualifying,2.0,f,250,1,01:01:00,101.0,0.0,4.0,12.0,0.0,0.0,200.0,0.0,2.0,35.0,63.0,21.0,35.0,10.0,28.0,8.0,12.0,8.0,46.0,4.0,32.0,2.0,6.0,0.0,0.0,8.0,31.0,63.0,6.0,38.0,37.0,f,f,,f,Austria,2.0,12.0,4.0,0.0,355.0,16.0,0.0,32.0,38.0,28.0,32.0,4.0,6.0,0.0,0.0,8.0,187.0,14.0,35.0,18.0,28.0,4.0,12.0,8.0,32.0,38.0,32.0,63.0,64.0,t,f,t,Austria
6,2012-10-15,2012-10-21,Austria,Hard,486750.0,€,2012,arnau-brugues-davi,A. Brugues-Davi,riccardo-bellotti,R. Bellotti,vienna,1st Round Qualifying,2.0,f,250,0,01:21:00,129.0,2.0,13.0,9.0,0.0,0.0,294.0,0.0,3.0,40.0,70.0,29.0,40.0,20.0,30.0,2.0,2.0,11.0,147.0,9.0,34.0,9.0,25.0,2.0,3.0,11.0,49.0,70.0,18.0,59.0,67.0,t,f,,t,Austria,0.0,9.0,13.0,0.0,282.0,5.0,0.0,34.0,59.0,25.0,34.0,16.0,25.0,1.0,3.0,11.0,61.0,11.0,40.0,10.0,30.0,0.0,2.0,11.0,41.0,59.0,21.0,70.0,62.0,f,f,f,Austria
7,2012-10-15,2012-10-21,Austria,Hard,486750.0,€,2012,benoit-paire,B. Paire,paolo-lorenzi,P. Lorenzi,vienna,Round of 32,2.0,f,250,3,01:25:00,138.0,0.0,8.0,12.0,0.0,0.0,272.0,11.0,1.0,47.0,73.0,30.0,47.0,14.0,26.0,4.0,6.0,10.0,62.0,12.0,41.0,8.0,24.0,0.0,2.0,10.0,44.0,73.0,20.0,65.0,64.0,f,f,7,f,Austria,2.0,12.0,8.0,0.0,301.0,1.0,1.0,41.0,65.0,29.0,41.0,16.0,24.0,2.0,2.0,10.0,135.0,17.0,47.0,12.0,26.0,2.0,6.0,10.0,45.0,65.0,29.0,73.0,74.0,t,f,t,Austria
8,2012-10-15,2012-10-21,Austria,Hard,486750.0,€,2012,christopher-kas,C. Kas,lucas-miedler,L. Miedler,vienna,1st Round Qualifying,2.0,f,250,0,00:56:00,93.0,2.0,12.0,4.0,0.0,0.0,273.0,2.0,3.0,25.0,47.0,21.0,25.0,11.0,22.0,4.0,5.0,8.0,228.0,7.0,18.0,20.0,28.0,5.0,9.0,8.0,32.0,47.0,27.0,46.0,59.0,t,f,WC,t,Austria,0.0,4.0,12.0,0.0,164.0,1.0,3.0,18.0,46.0,11.0,18.0,8.0,28.0,4.0,9.0,8.0,98.0,4.0,25.0,11.0,22.0,1.0,5.0,8.0,19.0,46.0,15.0,47.0,34.0,f,f,f,Austria
9,2012-10-15,2012-10-21,Austria,Hard,486750.0,€,2012,christopher-kas,C. Kas,matthias-bachinger,M. Bachinger,vienna,2nd Round Qualifying,2.0,f,250,1,01:05:00,96.0,0.0,3.0,12.0,0.0,0.0,189.0,1.0,2.0,28.0,47.0,13.0,28.0,8.0,19.0,1.0,5.0,7.0,62.0,7.0,31.0,7.0,18.0,0.0,2.0,8.0,21.0,47.0,14.0,49.0,35.0,f,f,WC,f,Austria,2.0,12.0,3.0,0.0,311.0,10.0,0.0,31.0,49.0,24.0,31.0,11.0,18.0,2.0,2.0,8.0,249.0,15.0,28.0,11.0,19.0,4.0,5.0,7.0,35.0,49.0,26.0,47.0,61.0,t,f,t,Austria
