start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2011-07-31,2011-08-07,USA,Hard,1166400.0,$,2011,alejandro-falla,A. Falla,chris-guccione,C. Guccione,washington,Round of 64,2.0,f,500,2,01:10:00,123.0,0.0,9.0,13.0,0.0,1.0,264.0,4.0,5.0,38.0,67.0,30.0,38.0,14.0,29.0,0.0,2.0,11.0,43.0,1.0,36.0,8.0,20.0,0.0,3.0,10.0,44.0,67.0,9.0,56.0,53.0,f,f,,f,USA,2.0,13.0,9.0,1.0,331.0,11.0,1.0,36.0,56.0,35.0,36.0,12.0,20.0,3.0,3.0,10.0,191.0,8.0,38.0,15.0,29.0,2.0,2.0,11.0,47.0,56.0,23.0,67.0,70.0,t,f,t,USA
2011-07-31,2011-08-07,USA,Hard,1166400.0,$,2011,alexander-domijan,A. Domijan,rajeev-ram,R. Ram,washington,1st Round Qualifying,2.0,f,500,0,01:15:00,114.0,0.0,6.0,12.0,0.0,0.0,181.0,4.0,13.0,25.0,54.0,18.0,25.0,8.0,29.0,4.0,9.0,9.0,123.0,6.0,26.0,18.0,34.0,2.0,8.0,9.0,26.0,54.0,24.0,60.0,50.0,f,f,,f,USA,2.0,12.0,6.0,0.0,248.0,6.0,2.0,26.0,60.0,20.0,26.0,16.0,34.0,6.0,8.0,9.0,211.0,7.0,25.0,21.0,29.0,5.0,9.0,9.0,36.0,60.0,28.0,54.0,64.0,t,f,t,USA
2011-07-31,2011-08-07,USA,Hard,1166400.0,$,2011,alex-bogomolov-jr.,A. Bogomolov Jr.,ryan-sweeting,R. Sweeting,washington,Round of 64,2.0,f,500,2,01:21:00,114.0,0.0,6.0,12.0,0.0,0.0,190.0,4.0,3.0,29.0,57.0,18.0,29.0,9.0,28.0,2.0,7.0,9.0,165.0,11.0,35.0,10.0,22.0,2.0,3.0,9.0,27.0,57.0,21.0,57.0,48.0,f,f,,f,USA,2.0,12.0,6.0,0.0,267.0,7.0,2.0,35.0,57.0,24.0,35.0,12.0,22.0,1.0,3.0,9.0,232.0,11.0,29.0,19.0,28.0,5.0,7.0,9.0,36.0,57.0,30.0,57.0,66.0,t,f,t,USA
2011-07-31,2011-08-07,USA,Hard,1166400.0,$,2011,alex-kuznetsov,A. Kuznetsov,jarmere-jenkins,J. Jenkins,washington,1st Round Qualifying,3.0,f,500,0,02:26:00,199.0,2.0,16.0,13.0,0.0,0.0,243.0,8.0,2.0,58.0,98.0,37.0,58.0,19.0,40.0,5.0,10.0,15.0,187.0,24.0,66.0,22.0,35.0,6.0,13.0,14.0,56.0,98.0,46.0,101.0,102.0,t,f,9,t,USA,1.0,13.0,16.0,0.0,222.0,3.0,4.0,66.0,101.0,42.0,66.0,13.0,35.0,7.0,13.0,14.0,172.0,21.0,58.0,21.0,40.0,5.0,10.0,15.0,55.0,101.0,42.0,98.0,97.0,f,f,f,USA
2011-07-31,2011-08-07,USA,Hard,1166400.0,$,2011,alex-kuznetsov,A. Kuznetsov,tim-smyczek,T. Smyczek,washington,2nd Round Qualifying,2.0,f,500,1,01:17:00,109.0,0.0,6.0,12.0,0.0,0.0,240.0,3.0,2.0,32.0,54.0,22.0,32.0,10.0,22.0,2.0,5.0,9.0,62.0,6.0,35.0,9.0,20.0,0.0,4.0,9.0,32.0,54.0,15.0,55.0,47.0,f,f,9,f,USA,2.0,12.0,6.0,0.0,299.0,0.0,3.0,35.0,55.0,29.0,35.0,11.0,20.0,4.0,4.0,9.0,179.0,10.0,32.0,12.0,22.0,3.0,5.0,9.0,40.0,55.0,22.0,54.0,62.0,t,f,t,USA
2011-07-31,2011-08-07,USA,Hard,1166400.0,$,2011,amer-delic,A. Delic,henry-steer,H. Steer,washington,1st Round Qualifying,2.0,f,500,0,00:55:00,82.0,2.0,12.0,2.0,0.0,0.0,328.0,5.0,0.0,15.0,32.0,15.0,15.0,13.0,17.0,0.0,0.0,7.0,224.0,7.0,22.0,22.0,28.0,5.0,12.0,7.0,28.0,32.0,29.0,50.0,57.0,t,f,8,t,USA,0.0,2.0,12.0,0.0,151.0,1.0,11.0,22.0,50.0,15.0,22.0,6.0,28.0,7.0,12.0,7.0,24.0,0.0,15.0,4.0,17.0,0.0,0.0,7.0,21.0,50.0,4.0,32.0,25.0,f,f,f,USA
2011-07-31,2011-08-07,USA,Hard,1166400.0,$,2011,amer-delic,A. Delic,marinko-matosevic,M. Matosevic,washington,2nd Round Qualifying,2.0,f,500,1,02:09:00,183.0,0.0,10.0,13.0,0.0,1.0,270.0,13.0,3.0,62.0,108.0,47.0,62.0,17.0,46.0,8.0,9.0,11.0,64.0,12.0,46.0,11.0,29.0,0.0,4.0,11.0,64.0,108.0,23.0,75.0,87.0,f,f,8,f,USA,2.0,13.0,10.0,1.0,300.0,5.0,2.0,46.0,75.0,34.0,46.0,18.0,29.0,4.0,4.0,11.0,107.0,15.0,62.0,29.0,46.0,1.0,9.0,11.0,52.0,75.0,44.0,108.0,96.0,t,f,t,USA
2011-07-31,2011-08-07,USA,Hard,1166400.0,$,2011,amer-delic,A. Delic,tommy-haas,T. Haas,washington,Round of 64,2.0,f,500,2,01:03:00,105.0,0.0,5.0,12.0,0.0,0.0,236.0,8.0,1.0,32.0,57.0,20.0,32.0,12.0,25.0,3.0,6.0,8.0,49.0,2.0,26.0,9.0,22.0,0.0,1.0,9.0,32.0,57.0,11.0,48.0,43.0,f,f,LL,f,USA,2.0,12.0,5.0,0.0,308.0,6.0,3.0,26.0,48.0,24.0,26.0,13.0,22.0,1.0,1.0,9.0,177.0,12.0,32.0,13.0,25.0,3.0,6.0,8.0,37.0,48.0,25.0,57.0,62.0,t,f,t,USA
2011-07-31,2011-08-07,USA,Hard,1166400.0,$,2011,andrew-adams,A. Adams,artem-sitak,A. Sitak,washington,1st Round Qualifying,2.0,f,500,0,01:35:00,138.0,0.0,8.0,12.0,0.0,0.0,249.0,2.0,4.0,37.0,68.0,22.0,37.0,18.0,31.0,2.0,4.0,10.0,61.0,6.0,33.0,16.0,37.0,0.0,3.0,10.0,40.0,68.0,22.0,70.0,62.0,f,f,WC,f,USA,2.0,12.0,8.0,0.0,288.0,6.0,4.0,33.0,70.0,27.0,33.0,21.0,37.0,3.0,3.0,10.0,153.0,15.0,37.0,13.0,31.0,2.0,4.0,10.0,48.0,70.0,28.0,68.0,76.0,t,f,t,USA
2011-07-31,2011-08-07,USA,Hard,1166400.0,$,2011,artem-sitak,A. Sitak,donald-young,D. Young,washington,Round of 64,2.0,f,500,2,01:04:00,95.0,0.0,3.0,12.0,0.0,0.0,174.0,2.0,2.0,24.0,60.0,12.0,24.0,15.0,36.0,7.0,11.0,7.0,22.0,1.0,24.0,2.0,11.0,0.0,0.0,8.0,27.0,60.0,3.0,35.0,30.0,f,f,Q,f,USA,2.0,12.0,3.0,0.0,349.0,3.0,1.0,24.0,35.0,23.0,24.0,9.0,11.0,0.0,0.0,8.0,201.0,12.0,24.0,21.0,36.0,4.0,11.0,7.0,32.0,35.0,33.0,60.0,65.0,t,f,t,USA
