,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,alejandro-falla,A. Falla,lukas-lacko,L. Lacko,washington,Round of 64,3.0,f,500,2,01:43:00,164.0,1.0,14.0,13.0,0.0,0.0,258.0,5.0,3.0,50.0,84.0,35.0,50.0,17.0,34.0,8.0,11.0,13.0,164.0,16.0,50.0,14.0,30.0,4.0,7.0,14.0,52.0,84.0,30.0,80.0,82.0,f,f,,t,USA,2.0,13.0,14.0,0.0,258.0,6.0,3.0,50.0,80.0,34.0,50.0,16.0,30.0,3.0,7.0,14.0,130.0,15.0,50.0,17.0,34.0,3.0,11.0,13.0,50.0,80.0,32.0,84.0,82.0,t,f,f,USA
1,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,alexander-peya,A. Peya,tim-smyczek,T. Smyczek,washington,1st Round Qualifying,3.0,f,500,0,01:18:00,154.0,1.0,9.0,14.0,0.0,0.0,216.0,2.0,9.0,46.0,80.0,33.0,46.0,12.0,34.0,6.0,11.0,12.0,135.0,17.0,48.0,11.0,26.0,2.0,5.0,11.0,45.0,80.0,28.0,74.0,73.0,f,f,AL,f,USA,2.0,14.0,9.0,0.0,269.0,2.0,2.0,48.0,74.0,31.0,48.0,15.0,26.0,3.0,5.0,11.0,179.0,13.0,46.0,22.0,34.0,5.0,11.0,12.0,46.0,74.0,35.0,80.0,81.0,t,f,t,USA
2,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,alexandr-dolgopolov,A. Dolgopolov,somdev-devvarman,S. Devvarman,washington,Round of 32,2.0,f,500,3,01:22:00,151.0,0.0,9.0,13.0,0.0,1.0,230.0,5.0,8.0,44.0,91.0,31.0,44.0,20.0,47.0,7.0,10.0,11.0,100.0,6.0,31.0,11.0,29.0,1.0,3.0,10.0,51.0,91.0,17.0,60.0,68.0,f,f,9,f,USA,2.0,13.0,9.0,1.0,293.0,9.0,1.0,31.0,60.0,25.0,31.0,18.0,29.0,2.0,3.0,10.0,144.0,13.0,44.0,27.0,47.0,3.0,10.0,11.0,43.0,60.0,40.0,91.0,83.0,t,f,t,USA
3,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,alex-bogomolov-jr.,A. Bogomolov Jr.,alex-kuznetsov,A. Kuznetsov,washington,Round of 64,3.0,f,500,2,01:46:00,159.0,1.0,13.0,15.0,0.0,0.0,276.0,6.0,5.0,58.0,78.0,45.0,58.0,9.0,20.0,3.0,6.0,14.0,181.0,12.0,48.0,14.0,33.0,2.0,2.0,14.0,54.0,78.0,26.0,81.0,80.0,f,f,,t,USA,2.0,15.0,13.0,0.0,286.0,10.0,1.0,48.0,81.0,36.0,48.0,19.0,33.0,0.0,2.0,14.0,148.0,13.0,58.0,11.0,20.0,3.0,6.0,14.0,55.0,81.0,24.0,78.0,79.0,t,f,f,USA
4,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,alex-kuznetsov,A. Kuznetsov,john-isner,J. Isner,washington,Round of 32,2.0,f,500,3,01:42:00,172.0,0.0,12.0,14.0,0.0,2.0,291.0,8.0,2.0,49.0,79.0,40.0,49.0,15.0,30.0,1.0,2.0,12.0,90.0,10.0,60.0,18.0,33.0,1.0,10.0,12.0,55.0,79.0,28.0,93.0,83.0,f,f,Q,f,USA,2.0,14.0,12.0,2.0,301.0,19.0,2.0,60.0,93.0,50.0,60.0,15.0,33.0,9.0,10.0,12.0,126.0,9.0,49.0,15.0,30.0,1.0,2.0,12.0,65.0,93.0,24.0,79.0,89.0,t,f,t,USA
5,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,alex-kuznetsov,A. Kuznetsov,mac-styslinger,M. Styslinger,washington,1st Round Qualifying,3.0,f,500,0,01:58:00,184.0,2.0,15.0,10.0,0.0,0.0,256.0,3.0,3.0,70.0,96.0,48.0,70.0,10.0,26.0,7.0,10.0,13.0,173.0,14.0,49.0,26.0,39.0,5.0,14.0,12.0,58.0,96.0,40.0,88.0,98.0,t,f,6,t,USA,1.0,10.0,15.0,0.0,217.0,5.0,6.0,49.0,88.0,35.0,49.0,13.0,39.0,9.0,14.0,12.0,146.0,22.0,70.0,16.0,26.0,3.0,10.0,13.0,48.0,88.0,38.0,96.0,86.0,f,f,f,USA
6,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,alex-kuznetsov,A. Kuznetsov,malek-jaziri,M. Jaziri,washington,2nd Round Qualifying,2.0,f,500,1,01:41:00,144.0,2.0,13.0,10.0,1.0,1.0,306.0,6.0,1.0,38.0,64.0,30.0,38.0,19.0,26.0,2.0,3.0,11.0,117.0,11.0,39.0,19.0,41.0,2.0,8.0,11.0,49.0,64.0,30.0,80.0,79.0,t,f,6,t,USA,0.0,10.0,13.0,0.0,254.0,4.0,6.0,39.0,80.0,28.0,39.0,22.0,41.0,6.0,8.0,11.0,90.0,8.0,38.0,7.0,26.0,1.0,3.0,11.0,50.0,80.0,15.0,64.0,65.0,f,f,f,USA
7,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,bernard-tomic,B. Tomic,david-goffin,D. Goffin,washington,Round of 32,2.0,f,500,3,01:05:00,113.0,2.0,12.0,4.0,0.0,0.0,297.0,7.0,2.0,40.0,63.0,27.0,40.0,14.0,23.0,6.0,6.0,8.0,223.0,8.0,20.0,16.0,30.0,4.0,5.0,8.0,41.0,63.0,24.0,50.0,65.0,t,f,14,t,USA,0.0,4.0,12.0,0.0,196.0,3.0,4.0,20.0,50.0,12.0,20.0,14.0,30.0,1.0,5.0,8.0,72.0,13.0,40.0,9.0,23.0,0.0,6.0,8.0,26.0,50.0,22.0,63.0,48.0,f,f,f,USA
8,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,bernard-tomic,B. Tomic,juan-martin-del-potro,J. del Potro,washington,Round of 16,2.0,f,500,4,01:09:00,105.0,0.0,6.0,12.0,0.0,0.0,221.0,8.0,3.0,33.0,58.0,21.0,33.0,10.0,25.0,4.0,8.0,9.0,172.0,6.0,30.0,7.0,17.0,1.0,1.0,9.0,31.0,58.0,13.0,47.0,44.0,f,f,14,f,USA,2.0,12.0,6.0,0.0,296.0,6.0,1.0,30.0,47.0,24.0,30.0,10.0,17.0,0.0,1.0,9.0,190.0,12.0,33.0,15.0,25.0,4.0,8.0,9.0,34.0,47.0,27.0,58.0,61.0,t,f,t,USA
9,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,christian-harrison,C. Harrison,illya-marchenko,I. Marchenko,washington,1st Round Qualifying,3.0,f,500,0,02:33:00,204.0,2.0,16.0,15.0,1.0,1.0,263.0,3.0,5.0,72.0,110.0,48.0,72.0,20.0,38.0,10.0,13.0,15.0,144.0,18.0,56.0,16.0,38.0,3.0,6.0,15.0,68.0,110.0,34.0,94.0,102.0,t,f,,t,USA,1.0,15.0,16.0,0.0,267.0,7.0,6.0,56.0,94.0,38.0,56.0,22.0,38.0,3.0,6.0,15.0,123.0,24.0,72.0,18.0,38.0,3.0,13.0,15.0,60.0,94.0,42.0,110.0,102.0,f,f,f,USA
10,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,christian-harrison,C. Harrison,somdev-devvarman,S. Devvarman,washington,2nd Round Qualifying,2.0,f,500,1,00:45:00,72.0,0.0,1.0,12.0,0.0,0.0,157.0,0.0,0.0,21.0,34.0,7.0,21.0,6.0,13.0,3.0,8.0,6.0,55.0,5.0,30.0,3.0,8.0,0.0,0.0,7.0,13.0,34.0,8.0,38.0,21.0,f,f,,f,USA,2.0,12.0,1.0,0.0,332.0,7.0,0.0,30.0,38.0,25.0,30.0,5.0,8.0,0.0,0.0,7.0,267.0,14.0,21.0,7.0,13.0,5.0,8.0,6.0,30.0,38.0,21.0,34.0,51.0,t,f,t,USA
11,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,david-goffin,D. Goffin,yen-hsun-lu,Y. Lu,washington,Round of 64,2.0,f,500,2,01:29:00,139.0,2.0,12.0,8.0,0.0,0.0,210.0,5.0,8.0,46.0,78.0,26.0,46.0,15.0,32.0,4.0,9.0,10.0,244.0,26.0,43.0,10.0,18.0,7.0,12.0,10.0,41.0,78.0,36.0,61.0,77.0,t,f,,t,USA,0.0,8.0,12.0,0.0,183.0,0.0,1.0,43.0,61.0,17.0,43.0,8.0,18.0,5.0,12.0,10.0,202.0,20.0,46.0,17.0,32.0,5.0,9.0,10.0,25.0,61.0,37.0,78.0,62.0,f,f,f,USA
12,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,denis-istomin,D. Istomin,sam-querrey,S. Querrey,washington,Round of 32,3.0,f,500,3,01:53:00,202.0,1.0,15.0,17.0,0.0,1.0,280.0,6.0,9.0,70.0,103.0,56.0,70.0,14.0,33.0,6.0,7.0,15.0,98.0,10.0,62.0,19.0,37.0,1.0,4.0,16.0,70.0,103.0,29.0,99.0,99.0,f,f,,t,USA,2.0,17.0,15.0,1.0,298.0,18.0,9.0,62.0,99.0,52.0,62.0,18.0,37.0,3.0,4.0,16.0,98.0,14.0,70.0,19.0,33.0,1.0,7.0,15.0,70.0,99.0,33.0,103.0,103.0,t,f,f,USA
13,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,denis-istomin,D. Istomin,santiago-giraldo,S. Giraldo,washington,Round of 64,2.0,f,500,2,01:10:00,124.0,2.0,12.0,7.0,0.0,0.0,312.0,5.0,0.0,39.0,63.0,29.0,39.0,17.0,24.0,5.0,5.0,10.0,145.0,10.0,33.0,12.0,28.0,2.0,4.0,9.0,46.0,63.0,22.0,61.0,68.0,t,f,,t,USA,0.0,7.0,12.0,0.0,262.0,8.0,4.0,33.0,61.0,23.0,33.0,16.0,28.0,2.0,4.0,9.0,55.0,10.0,39.0,7.0,24.0,0.0,5.0,10.0,39.0,61.0,17.0,63.0,56.0,f,f,f,USA
14,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,denis-kudla,D. Kudla,sam-groth,S. Groth,washington,Round of 64,2.0,f,500,2,01:18:00,142.0,0.0,8.0,13.0,0.0,1.0,246.0,1.0,4.0,42.0,78.0,30.0,42.0,16.0,36.0,7.0,9.0,10.0,66.0,2.0,41.0,14.0,23.0,0.0,1.0,10.0,46.0,78.0,16.0,64.0,62.0,f,f,WC,f,USA,2.0,13.0,8.0,1.0,314.0,20.0,4.0,41.0,64.0,39.0,41.0,9.0,23.0,1.0,1.0,10.0,127.0,12.0,42.0,20.0,36.0,2.0,9.0,10.0,48.0,64.0,32.0,78.0,80.0,t,f,t,USA
15,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,denys-molchanov,D. Molchanov,jesse-levine,J. Levine,washington,1st Round Qualifying,2.0,f,500,0,01:26:00,150.0,0.0,10.0,13.0,0.0,1.0,269.0,12.0,4.0,46.0,81.0,33.0,46.0,18.0,35.0,5.0,7.0,11.0,90.0,7.0,48.0,11.0,21.0,1.0,7.0,11.0,51.0,81.0,18.0,69.0,69.0,f,f,,f,USA,2.0,13.0,10.0,1.0,296.0,8.0,5.0,48.0,69.0,41.0,48.0,10.0,21.0,6.0,7.0,11.0,124.0,13.0,46.0,17.0,35.0,2.0,7.0,11.0,51.0,69.0,30.0,81.0,81.0,t,f,t,USA
16,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,dmitry-tursunov,D. Tursunov,gilles-simon,G. Simon,washington,Round of 32,2.0,f,500,3,01:21:00,133.0,2.0,12.0,6.0,0.0,0.0,267.0,14.0,7.0,36.0,74.0,28.0,36.0,17.0,38.0,6.0,7.0,9.0,184.0,15.0,37.0,12.0,22.0,4.0,9.0,9.0,45.0,74.0,27.0,59.0,72.0,t,f,,t,USA,0.0,6.0,12.0,0.0,218.0,1.0,5.0,37.0,59.0,22.0,37.0,10.0,22.0,5.0,9.0,9.0,102.0,8.0,36.0,21.0,38.0,1.0,7.0,9.0,32.0,59.0,29.0,74.0,61.0,f,f,f,USA
17,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,dmitry-tursunov,D. Tursunov,jesse-levine,J. Levine,washington,Round of 64,2.0,f,500,2,01:58:00,187.0,2.0,14.0,11.0,1.0,1.0,249.0,12.0,13.0,46.0,107.0,35.0,46.0,29.0,61.0,7.0,9.0,12.0,158.0,14.0,46.0,18.0,34.0,3.0,6.0,12.0,64.0,107.0,32.0,80.0,96.0,t,f,,t,USA,0.0,11.0,14.0,0.0,251.0,4.0,3.0,46.0,80.0,32.0,46.0,16.0,34.0,3.0,6.0,12.0,114.0,11.0,46.0,32.0,61.0,2.0,9.0,12.0,48.0,80.0,43.0,107.0,91.0,f,f,f,USA
18,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,dmitry-tursunov,D. Tursunov,john-isner,J. Isner,washington,Semi-Finals,3.0,f,500,6,02:03:00,183.0,1.0,14.0,18.0,1.0,1.0,268.0,4.0,9.0,57.0,97.0,43.0,57.0,21.0,40.0,5.0,7.0,15.0,48.0,7.0,58.0,10.0,28.0,0.0,0.0,16.0,64.0,97.0,17.0,86.0,81.0,f,f,,t,USA,2.0,18.0,14.0,0.0,347.0,29.0,1.0,58.0,86.0,51.0,58.0,18.0,28.0,0.0,0.0,16.0,115.0,14.0,57.0,19.0,40.0,2.0,7.0,15.0,69.0,86.0,33.0,97.0,102.0,t,f,f,USA
19,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,dmitry-tursunov,D. Tursunov,marinko-matosevic,M. Matosevic,washington,Quarter-Finals,3.0,f,500,5,02:45:00,236.0,2.0,17.0,15.0,1.0,1.0,267.0,15.0,13.0,71.0,129.0,57.0,71.0,25.0,58.0,14.0,16.0,16.0,105.0,17.0,62.0,21.0,45.0,2.0,11.0,15.0,82.0,129.0,38.0,107.0,120.0,t,f,,t,USA,1.0,15.0,17.0,0.0,275.0,8.0,3.0,62.0,107.0,45.0,62.0,24.0,45.0,9.0,11.0,15.0,102.0,14.0,71.0,33.0,58.0,2.0,16.0,16.0,69.0,107.0,47.0,129.0,116.0,f,f,f,USA
20,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,dmitry-tursunov,D. Tursunov,radek-stepanek,R. Stepanek,washington,Round of 16,3.0,f,500,4,02:30:00,210.0,2.0,17.0,15.0,0.0,0.0,255.0,11.0,7.0,60.0,111.0,44.0,60.0,25.0,51.0,14.0,18.0,16.0,178.0,18.0,54.0,23.0,45.0,5.0,8.0,16.0,69.0,111.0,41.0,99.0,110.0,t,f,,f,USA,1.0,15.0,17.0,0.0,242.0,7.0,4.0,54.0,99.0,36.0,54.0,22.0,45.0,3.0,8.0,16.0,125.0,16.0,60.0,26.0,51.0,4.0,18.0,16.0,58.0,99.0,42.0,111.0,100.0,f,f,t,USA
21,2013-07-29,2013-08-04,USA,Hard,1295790.0,$,2013,donald-young,D. Young,saketh-myneni,S. Myneni,washington,1st Round Qualifying,3.0,f,500,0,01:48:00,190.0,1.0,14.0,18.0,1.0,1.0,250.0,2.0,10.0,59.0,94.0,42.0,59.0,17.0,35.0,7.0,11.0,16.0,93.0,12.0,50.0,20.0,46.0,1.0,5.0,15.0,59.0,94.0,32.0,96.0,91.0,f,f,9,t,USA,2.0,18.0,14.0,0.0,282.0,7.0,3.0,50.0,96.0,38.0,50.0,26.0,46.0,4.0,5.0,15.0,141.0,17.0,59.0,18.0,35.0,4.0,11.0,16.0,64.0,96.0,35.0,94.0,99.0,t,f,f,USA
