start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2007-06-25,2007-07-08,United Kingdom of Great Britain and Northern Ireland,Grass,10039193.0,$,2007,agustin-calleri,A. Calleri,hyung-taik-lee,H. Lee,wimbledon,Round of 64,4.0,f,2000,2,02:34:00,289.0,1.0,20.0,25.0,1.0,2.0,279.0,9.0,5.0,91.0,143.0,62.0,91.0,30.0,52.0,10.0,13.0,21.0,77.0,31.0,111.0,12.0,35.0,1.0,9.0,22.0,92.0,143.0,43.0,146.0,135.0,f,f,29,f,United Kingdom of Great Britain and Northern Ireland,3.0,25.0,20.0,1.0,313.0,5.0,1.0,111.0,146.0,80.0,111.0,23.0,35.0,8.0,9.0,22.0,111.0,29.0,91.0,22.0,52.0,3.0,13.0,21.0,103.0,146.0,51.0,143.0,154.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
2007-06-25,2007-07-08,United Kingdom of Great Britain and Northern Ireland,Grass,10039193.0,$,2007,agustin-calleri,A. Calleri,luis-horna,L. Horna,wimbledon,Round of 128,3.0,f,2000,1,01:51:00,196.0,3.0,20.0,13.0,1.0,1.0,302.0,13.0,3.0,56.0,94.0,47.0,56.0,21.0,38.0,2.0,3.0,16.0,151.0,23.0,65.0,19.0,37.0,4.0,10.0,16.0,68.0,94.0,42.0,102.0,110.0,t,f,29,t,United Kingdom of Great Britain and Northern Ireland,0.0,13.0,20.0,0.0,257.0,7.0,3.0,65.0,102.0,42.0,65.0,18.0,37.0,6.0,10.0,16.0,100.0,9.0,56.0,17.0,38.0,1.0,3.0,16.0,60.0,102.0,26.0,94.0,86.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
2007-06-25,2007-07-08,United Kingdom of Great Britain and Northern Ireland,Grass,10039193.0,$,2007,aisam-ul-haq-qureshi,,frank-dancevic,,wimbledon,3rd Round Qualifying,4.0,f,2000,0,,,3.0,24.0,20.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,f,United Kingdom of Great Britain and Northern Ireland,1.0,20.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,t,United Kingdom of Great Britain and Northern Ireland
2007-06-25,2007-07-08,United Kingdom of Great Britain and Northern Ireland,Grass,10039193.0,$,2007,aisam-ul-haq-qureshi,,hector-ruiz-cadenas,,wimbledon,1st Round Qualifying,2.0,f,2000,-2,,,2.0,12.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,3.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,United Kingdom of Great Britain and Northern Ireland
2007-06-25,2007-07-08,United Kingdom of Great Britain and Northern Ireland,Grass,10039193.0,$,2007,aisam-ul-haq-qureshi,A. Qureshi,lee-childs,L. Childs,wimbledon,Round of 128,3.0,f,2000,1,02:16:00,232.0,3.0,19.0,13.0,1.0,1.0,299.0,16.0,7.0,67.0,111.0,58.0,67.0,19.0,44.0,3.0,3.0,16.0,109.0,20.0,65.0,25.0,56.0,2.0,10.0,15.0,77.0,111.0,45.0,121.0,122.0,t,f,Q,t,United Kingdom of Great Britain and Northern Ireland,0.0,13.0,19.0,0.0,269.0,9.0,4.0,65.0,121.0,45.0,65.0,31.0,56.0,8.0,10.0,15.0,70.0,9.0,67.0,25.0,44.0,0.0,3.0,16.0,76.0,121.0,34.0,111.0,110.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
2007-06-25,2007-07-08,United Kingdom of Great Britain and Northern Ireland,Grass,10039193.0,$,2007,aisam-ul-haq-qureshi,A. Qureshi,marat-safin,M. Safin,wimbledon,Round of 64,3.0,f,2000,2,01:59:00,202.0,0.0,12.0,19.0,0.0,1.0,280.0,12.0,1.0,67.0,94.0,47.0,67.0,13.0,27.0,5.0,8.0,15.0,62.0,16.0,66.0,16.0,42.0,0.0,8.0,15.0,60.0,94.0,32.0,108.0,92.0,f,f,Q,f,United Kingdom of Great Britain and Northern Ireland,3.0,19.0,12.0,1.0,306.0,12.0,5.0,66.0,108.0,50.0,66.0,26.0,42.0,8.0,8.0,15.0,140.0,20.0,67.0,14.0,27.0,3.0,8.0,15.0,76.0,108.0,34.0,94.0,110.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
2007-06-25,2007-07-08,United Kingdom of Great Britain and Northern Ireland,Grass,10039193.0,$,2007,aisam-ul-haq-qureshi,,michal-przysiezny,,wimbledon,2nd Round Qualifying,2.0,f,2000,-1,,,2.0,13.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,8.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,United Kingdom of Great Britain and Northern Ireland
2007-06-25,2007-07-08,United Kingdom of Great Britain and Northern Ireland,Grass,10039193.0,$,2007,albert-montanes,A. Montanes,michael-berrer,M. Berrer,wimbledon,Round of 128,3.0,f,2000,1,01:20:00,151.0,0.0,8.0,18.0,0.0,0.0,234.0,7.0,4.0,53.0,80.0,32.0,53.0,12.0,27.0,3.0,8.0,13.0,51.0,5.0,39.0,12.0,32.0,0.0,3.0,13.0,44.0,80.0,17.0,71.0,61.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,3.0,18.0,8.0,0.0,312.0,9.0,2.0,39.0,71.0,34.0,39.0,20.0,32.0,3.0,3.0,13.0,197.0,21.0,53.0,15.0,27.0,5.0,8.0,13.0,54.0,71.0,36.0,80.0,90.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
2007-06-25,2007-07-08,United Kingdom of Great Britain and Northern Ireland,Grass,10039193.0,$,2007,albert-portas,,andrea-stoppini,,wimbledon,1st Round Qualifying,3.0,f,2000,-2,,,1.0,15.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,United Kingdom of Great Britain and Northern Ireland,2.0,19.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,United Kingdom of Great Britain and Northern Ireland
2007-06-25,2007-07-08,United Kingdom of Great Britain and Northern Ireland,Grass,10039193.0,$,2007,alejandro-falla,,andis-juska,,wimbledon,1st Round Qualifying,2.0,f,2000,-2,,,2.0,12.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,10,t,United Kingdom of Great Britain and Northern Ireland,0.0,4.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,United Kingdom of Great Britain and Northern Ireland
