,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2013-07-01,2013-07-07,USA,Hard,50000.0,$,2013,adam-feeney,A. Feeney,christian-harrison,C. Harrison,winnetka_challenger,Round of 32,3.0,f,100,3,01:57:00,186.0,1.0,13.0,16.0,0.0,0.0,218.0,5.0,16.0,63.0,104.0,43.0,63.0,14.0,41.0,5.0,10.0,15.0,136.0,16.0,55.0,13.0,27.0,3.0,8.0,14.0,57.0,104.0,29.0,82.0,86.0,f,f,,t,USA,2.0,16.0,13.0,0.0,267.0,1.0,2.0,55.0,82.0,39.0,55.0,14.0,27.0,5.0,8.0,14.0,181.0,20.0,63.0,27.0,41.0,5.0,10.0,15.0,53.0,82.0,47.0,104.0,100.0,t,f,f,USA
1,2013-07-01,2013-07-07,USA,Hard,50000.0,$,2013,adrien-bossel,A. Bossel,eric-quigley,E. Quigley,winnetka_challenger,Round of 32,3.0,f,100,3,01:44:00,172.0,1.0,12.0,14.0,0.0,0.0,237.0,12.0,10.0,56.0,101.0,41.0,56.0,17.0,45.0,14.0,18.0,13.0,166.0,9.0,37.0,15.0,34.0,3.0,4.0,13.0,58.0,101.0,24.0,71.0,82.0,f,f,,f,USA,2.0,14.0,12.0,0.0,261.0,4.0,3.0,37.0,71.0,28.0,37.0,19.0,34.0,1.0,4.0,13.0,141.0,15.0,56.0,28.0,45.0,4.0,18.0,13.0,47.0,71.0,43.0,101.0,90.0,t,f,t,USA
2,2013-07-01,2013-07-07,USA,Hard,50000.0,$,2013,alberto-zanotti,A. Zanotti,alexandru-pasareanu,A. Pasareanu,winnetka_challenger,1st Round Qualifying,3.0,f,100,0,02:09:00,174.0,2.0,14.0,13.0,0.0,0.0,217.0,1.0,8.0,39.0,88.0,26.0,39.0,24.0,49.0,6.0,11.0,14.0,176.0,19.0,52.0,19.0,34.0,5.0,11.0,13.0,50.0,88.0,38.0,86.0,88.0,t,f,WC,t,USA,1.0,13.0,14.0,0.0,228.0,5.0,5.0,52.0,86.0,33.0,52.0,15.0,34.0,6.0,11.0,13.0,164.0,13.0,39.0,25.0,49.0,5.0,11.0,14.0,48.0,86.0,38.0,88.0,86.0,f,f,f,USA
3,2013-07-01,2013-07-07,USA,Hard,50000.0,$,2013,alberto-zanotti,A. Zanotti,janis-podzus,J. Podzus,winnetka_challenger,2nd Round Qualifying,2.0,f,100,1,01:01:00,81.0,0.0,1.0,12.0,0.0,0.0,134.0,0.0,6.0,21.0,46.0,10.0,21.0,8.0,25.0,7.0,13.0,7.0,63.0,2.0,24.0,6.0,11.0,0.0,1.0,6.0,18.0,46.0,8.0,35.0,26.0,f,f,WC,f,USA,2.0,12.0,1.0,0.0,307.0,2.0,1.0,24.0,35.0,22.0,24.0,5.0,11.0,1.0,1.0,6.0,251.0,11.0,21.0,17.0,25.0,6.0,13.0,7.0,27.0,35.0,28.0,46.0,55.0,t,f,t,USA
4,2013-07-01,2013-07-07,USA,Hard,50000.0,$,2013,alexander-a.-jesse,A. Jesse,justin-butsch,J. Butsch,winnetka_challenger,2nd Round Qualifying,2.0,f,100,1,00:58:00,99.0,2.0,12.0,4.0,0.0,0.0,298.0,1.0,3.0,32.0,55.0,23.0,32.0,16.0,23.0,3.0,3.0,8.0,246.0,12.0,26.0,9.0,18.0,4.0,4.0,8.0,39.0,55.0,21.0,44.0,60.0,t,f,8,t,USA,0.0,4.0,12.0,0.0,211.0,0.0,2.0,26.0,44.0,14.0,26.0,9.0,18.0,0.0,4.0,8.0,58.0,9.0,32.0,7.0,23.0,0.0,3.0,8.0,23.0,44.0,16.0,55.0,39.0,f,f,f,USA
5,2013-07-01,2013-07-07,USA,Hard,50000.0,$,2013,alexander-a.-jesse,A. Jesse,martins-podzus,M. Podzus,winnetka_challenger,3rd Round Qualifying,2.0,f,100,2,00:58:00,92.0,0.0,3.0,12.0,0.0,0.0,195.0,0.0,3.0,27.0,42.0,14.0,27.0,6.0,15.0,3.0,7.0,7.0,62.0,7.0,33.0,7.0,17.0,0.0,3.0,8.0,20.0,42.0,14.0,50.0,34.0,f,f,8,f,USA,2.0,12.0,3.0,0.0,305.0,4.0,3.0,33.0,50.0,26.0,33.0,10.0,17.0,3.0,3.0,8.0,222.0,13.0,27.0,9.0,15.0,4.0,7.0,7.0,36.0,50.0,22.0,42.0,58.0,t,f,t,USA
6,2013-07-01,2013-07-07,USA,Hard,50000.0,$,2013,alex-bogdanovic,A. Bogdanovic,austin-krajicek,A. Krajicek,winnetka_challenger,Round of 32,3.0,f,100,3,01:41:00,148.0,1.0,12.0,12.0,0.0,0.0,254.0,1.0,4.0,50.0,76.0,29.0,50.0,15.0,26.0,1.0,4.0,12.0,140.0,13.0,41.0,14.0,31.0,3.0,8.0,12.0,44.0,76.0,27.0,72.0,71.0,f,f,,t,USA,2.0,12.0,12.0,0.0,263.0,8.0,0.0,41.0,72.0,28.0,41.0,17.0,31.0,5.0,8.0,12.0,184.0,21.0,50.0,11.0,26.0,3.0,4.0,12.0,45.0,72.0,32.0,76.0,77.0,t,f,f,USA
7,2013-07-01,2013-07-07,USA,Hard,50000.0,$,2013,alex-bogomolov-jr.,A. Bogomolov Jr.,bradley-klahn,B. Klahn,winnetka_challenger,Semi-Finals,3.0,f,100,6,02:00:00,169.0,1.0,11.0,13.0,0.0,0.0,243.0,1.0,5.0,70.0,101.0,45.0,70.0,12.0,31.0,7.0,10.0,12.0,121.0,9.0,36.0,15.0,32.0,2.0,6.0,12.0,57.0,101.0,24.0,68.0,81.0,f,t,1,t,USA,2.0,13.0,11.0,0.0,264.0,3.0,3.0,36.0,68.0,27.0,36.0,17.0,32.0,4.0,6.0,12.0,152.0,25.0,70.0,19.0,31.0,3.0,10.0,12.0,44.0,68.0,44.0,101.0,88.0,t,t,f,USA
8,2013-07-01,2013-07-07,USA,Hard,50000.0,$,2013,alex-bogomolov-jr.,A. Bogomolov Jr.,eric-quigley,E. Quigley,winnetka_challenger,Round of 16,2.0,f,100,4,01:37:00,153.0,2.0,13.0,9.0,0.0,0.0,244.0,3.0,6.0,49.0,77.0,32.0,49.0,13.0,28.0,6.0,9.0,11.0,164.0,9.0,29.0,26.0,47.0,5.0,15.0,11.0,45.0,77.0,35.0,76.0,80.0,t,f,1,t,USA,0.0,9.0,13.0,0.0,208.0,7.0,5.0,29.0,76.0,20.0,29.0,21.0,47.0,10.0,15.0,11.0,149.0,17.0,49.0,15.0,28.0,3.0,9.0,11.0,41.0,76.0,32.0,77.0,73.0,f,f,f,USA
9,2013-07-01,2013-07-07,USA,Hard,50000.0,$,2013,alex-bogomolov-jr.,A. Bogomolov Jr.,erik-chvojka,E. Chvojka,winnetka_challenger,Round of 32,2.0,f,100,3,01:10:00,115.0,2.0,12.0,7.0,0.0,0.0,247.0,1.0,4.0,35.0,53.0,20.0,35.0,11.0,18.0,4.0,7.0,9.0,246.0,17.0,40.0,15.0,22.0,6.0,8.0,10.0,31.0,53.0,32.0,62.0,63.0,t,f,1,t,USA,0.0,7.0,12.0,0.0,193.0,3.0,5.0,40.0,62.0,23.0,40.0,7.0,22.0,2.0,8.0,10.0,158.0,15.0,35.0,7.0,18.0,3.0,7.0,9.0,30.0,62.0,22.0,53.0,52.0,f,f,f,USA
