,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2018-07-10,2018-07-15,Canada,Hard,75000.0,$,2018,alessandro-bega,A. Bega,mikael-torpegaard,M. Torpegaard,winnipeg_challenger,Round of 32,2.0,f,100,3,01:14:00,115.0,0.0,6.0,12.0,0.0,0.0,195.0,1.0,3.0,38.0,64.0,24.0,38.0,8.0,26.0,10.0,15.0,9.0,200.0,11.0,28.0,9.0,23.0,2.0,2.0,9.0,32.0,64.0,20.0,51.0,52.0,f,f,,f,Canada,2.0,12.0,6.0,0.0,260.0,7.0,1.0,28.0,51.0,17.0,28.0,14.0,23.0,0.0,2.0,9.0,194.0,14.0,38.0,18.0,26.0,5.0,15.0,9.0,31.0,51.0,32.0,64.0,63.0,t,f,t,Canada
1,2018-07-10,2018-07-15,Canada,Hard,75000.0,$,2018,alexios-halebian,A. Halebian,marc-andrea-huesler,M. Huesler,winnipeg_challenger,1st Round Qualifying,2.0,f,100,0,01:47:00,178.0,0.0,10.0,13.0,0.0,1.0,246.0,5.0,2.0,74.0,116.0,42.0,74.0,21.0,42.0,15.0,18.0,11.0,183.0,5.0,29.0,16.0,33.0,2.0,2.0,11.0,63.0,116.0,21.0,62.0,84.0,f,f,,f,Canada,2.0,13.0,10.0,1.0,269.0,7.0,1.0,29.0,62.0,24.0,29.0,17.0,33.0,0.0,2.0,11.0,137.0,32.0,74.0,21.0,42.0,3.0,18.0,11.0,41.0,62.0,53.0,116.0,94.0,t,f,t,Canada
2,2018-07-10,2018-07-15,Canada,Hard,75000.0,$,2018,alexis-canter,A. Canter,ronnie-schneider,R. Schneider,winnipeg_challenger,1st Round Qualifying,3.0,f,100,0,02:24:00,198.0,1.0,13.0,18.0,0.0,0.0,223.0,1.0,2.0,50.0,96.0,31.0,50.0,23.0,46.0,6.0,12.0,15.0,158.0,20.0,60.0,21.0,42.0,4.0,8.0,16.0,54.0,96.0,41.0,102.0,95.0,f,f,,t,Canada,2.0,18.0,13.0,0.0,247.0,4.0,8.0,60.0,102.0,40.0,60.0,21.0,42.0,4.0,8.0,16.0,178.0,19.0,50.0,23.0,46.0,6.0,12.0,15.0,61.0,102.0,42.0,96.0,103.0,t,f,f,Canada
3,2018-07-10,2018-07-15,Canada,Hard,75000.0,$,2018,alexis-galarneau,A. Galarneau,go-soeda,G. Soeda,winnipeg_challenger,Quarter-Finals,2.0,f,100,5,01:03:00,96.0,0.0,2.0,12.0,0.0,0.0,170.0,5.0,5.0,30.0,56.0,17.0,30.0,8.0,26.0,4.0,9.0,7.0,51.0,5.0,23.0,5.0,17.0,0.0,1.0,7.0,25.0,56.0,10.0,40.0,35.0,f,f,WC,f,Canada,2.0,12.0,2.0,0.0,306.0,0.0,1.0,23.0,40.0,18.0,23.0,12.0,17.0,1.0,1.0,7.0,239.0,13.0,30.0,18.0,26.0,5.0,9.0,7.0,30.0,40.0,31.0,56.0,61.0,t,f,t,Canada
4,2018-07-10,2018-07-15,Canada,Hard,75000.0,$,2018,alexis-galarneau,A. Galarneau,michael-mmoh,M. Mmoh,winnipeg_challenger,Round of 16,3.0,f,100,4,01:48:00,165.0,2.0,18.0,9.0,0.0,1.0,293.0,3.0,3.0,47.0,76.0,36.0,47.0,18.0,29.0,5.0,6.0,13.0,181.0,22.0,59.0,18.0,30.0,6.0,16.0,13.0,54.0,76.0,40.0,89.0,94.0,t,f,WC,f,Canada,1.0,9.0,18.0,1.0,217.0,1.0,6.0,59.0,89.0,37.0,59.0,12.0,30.0,10.0,16.0,13.0,85.0,11.0,47.0,11.0,29.0,1.0,6.0,13.0,49.0,89.0,22.0,76.0,71.0,f,f,t,Canada
5,2018-07-10,2018-07-15,Canada,Hard,75000.0,$,2018,alexis-galarneau,A. Galarneau,zhe-li,Z. Li,winnipeg_challenger,Round of 32,3.0,f,100,3,03:03:00,247.0,2.0,19.0,16.0,1.0,2.0,256.0,6.0,6.0,64.0,126.0,45.0,64.0,33.0,62.0,8.0,11.0,17.0,133.0,16.0,61.0,32.0,60.0,4.0,14.0,16.0,78.0,126.0,48.0,121.0,126.0,t,f,WC,f,Canada,1.0,16.0,19.0,1.0,245.0,5.0,6.0,61.0,121.0,45.0,61.0,28.0,60.0,10.0,14.0,16.0,121.0,19.0,64.0,29.0,62.0,3.0,11.0,17.0,73.0,121.0,48.0,126.0,121.0,f,f,t,Canada
6,2018-07-10,2018-07-15,Canada,Hard,75000.0,$,2018,andrew-harris,A. Harris,marcel-granollers,M. Granollers,winnipeg_challenger,Round of 32,2.0,f,100,3,01:24:00,123.0,0.0,7.0,12.0,0.0,0.0,234.0,1.0,5.0,32.0,55.0,21.0,32.0,11.0,23.0,2.0,5.0,9.0,119.0,13.0,47.0,10.0,21.0,1.0,3.0,10.0,32.0,55.0,23.0,68.0,55.0,f,f,,f,Canada,2.0,12.0,7.0,0.0,284.0,3.0,2.0,47.0,68.0,34.0,47.0,11.0,21.0,2.0,3.0,10.0,179.0,11.0,32.0,12.0,23.0,3.0,5.0,9.0,45.0,68.0,23.0,55.0,68.0,t,f,t,Canada
7,2018-07-10,2018-07-15,Canada,Hard,75000.0,$,2018,antoine-escoffier,A. Escoffier,joao-menezes,J. Menezes,winnipeg_challenger,Round of 32,3.0,f,100,3,02:29:00,197.0,2.0,14.0,14.0,1.0,1.0,230.0,3.0,6.0,53.0,105.0,36.0,53.0,24.0,52.0,7.0,11.0,13.0,160.0,15.0,60.0,20.0,32.0,4.0,9.0,14.0,60.0,105.0,35.0,92.0,95.0,t,f,,f,Canada,1.0,14.0,14.0,0.0,246.0,3.0,6.0,60.0,92.0,45.0,60.0,12.0,32.0,5.0,9.0,14.0,152.0,17.0,53.0,28.0,52.0,4.0,11.0,13.0,57.0,92.0,45.0,105.0,102.0,f,f,t,Canada
8,2018-07-10,2018-07-15,Canada,Hard,75000.0,$,2018,antoine-escoffier,A. Escoffier,marc-andrea-huesler,M. Huesler,winnipeg_challenger,Round of 16,2.0,f,100,4,01:58:00,167.0,0.0,10.0,13.0,0.0,1.0,228.0,0.0,2.0,52.0,83.0,32.0,52.0,13.0,31.0,5.0,9.0,11.0,168.0,16.0,53.0,19.0,31.0,3.0,6.0,11.0,45.0,83.0,35.0,84.0,80.0,f,f,,f,Canada,2.0,13.0,10.0,1.0,244.0,3.0,3.0,53.0,84.0,37.0,53.0,12.0,31.0,3.0,6.0,11.0,176.0,20.0,52.0,18.0,31.0,4.0,9.0,11.0,49.0,84.0,38.0,83.0,87.0,t,f,t,Canada
9,2018-07-10,2018-07-15,Canada,Hard,75000.0,$,2018,baptiste-crepatte,B. Crepatte,lloyd-glasspool,L. Glasspool,winnipeg_challenger,1st Round Qualifying,3.0,f,100,0,01:36:00,169.0,1.0,12.0,15.0,0.0,0.0,235.0,3.0,6.0,52.0,85.0,36.0,52.0,13.0,33.0,10.0,14.0,13.0,131.0,7.0,49.0,23.0,35.0,3.0,10.0,14.0,49.0,85.0,30.0,84.0,79.0,f,f,5,t,Canada,2.0,15.0,12.0,0.0,259.0,8.0,5.0,49.0,84.0,42.0,49.0,12.0,35.0,7.0,10.0,14.0,151.0,16.0,52.0,20.0,33.0,4.0,14.0,13.0,54.0,84.0,36.0,85.0,90.0,t,f,f,Canada
