start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2017-08-20,2017-08-26,USA,Hard,664825.0,$,2017,alexandr-dolgopolov,A. Dolgopolov,thiago-monteiro,T. Monteiro,winston-salem,Round of 64,2.0,f,250,2,00:55:00,91.0,0.0,6.0,12.0,0.0,0.0,251.0,5.0,3.0,22.0,42.0,19.0,22.0,9.0,20.0,0.0,3.0,9.0,51.0,7.0,32.0,5.0,17.0,0.0,0.0,9.0,28.0,42.0,12.0,49.0,40.0,f,f,,f,USA,2.0,12.0,6.0,0.0,321.0,8.0,1.0,32.0,49.0,25.0,32.0,12.0,17.0,0.0,0.0,9.0,202.0,3.0,22.0,11.0,20.0,3.0,3.0,9.0,37.0,49.0,14.0,42.0,51.0,t,f,t,USA
2017-08-20,2017-08-26,USA,Hard,664825.0,$,2017,alex-bolt,A. Bolt,borna-gojo,B. Gojo,winston-salem,2nd Round Qualifying,3.0,f,250,1,01:22:00,132.0,2.0,15.0,7.0,0.0,0.0,275.0,5.0,3.0,42.0,64.0,30.0,42.0,12.0,22.0,4.0,6.0,11.0,203.0,9.0,25.0,25.0,43.0,6.0,11.0,11.0,42.0,64.0,34.0,68.0,76.0,t,f,8,t,USA,1.0,7.0,15.0,0.0,180.0,2.0,10.0,25.0,68.0,16.0,25.0,18.0,43.0,5.0,11.0,11.0,125.0,12.0,42.0,10.0,22.0,2.0,6.0,11.0,34.0,68.0,22.0,64.0,56.0,f,f,f,USA
2017-08-20,2017-08-26,USA,Hard,664825.0,$,2017,alex-bolt,A. Bolt,carlos-berlocq,C. Berlocq,winston-salem,Round of 64,2.0,f,250,2,01:22:00,114.0,0.0,6.0,12.0,0.0,0.0,219.0,6.0,2.0,26.0,44.0,16.0,26.0,7.0,18.0,0.0,4.0,9.0,103.0,14.0,41.0,13.0,29.0,1.0,8.0,9.0,23.0,44.0,27.0,70.0,50.0,f,f,Q,f,USA,2.0,12.0,6.0,0.0,264.0,1.0,5.0,41.0,70.0,27.0,41.0,16.0,29.0,7.0,8.0,9.0,243.0,10.0,26.0,11.0,18.0,4.0,4.0,9.0,43.0,70.0,21.0,44.0,64.0,t,f,t,USA
2017-08-20,2017-08-26,USA,Hard,664825.0,$,2017,alex-bolt,A. Bolt,skander-mansouri,S. Mansouri,winston-salem,1st Round Qualifying,2.0,f,250,0,01:37:00,156.0,2.0,13.0,8.0,1.0,1.0,261.0,4.0,6.0,41.0,80.0,32.0,41.0,21.0,39.0,6.0,8.0,10.0,205.0,11.0,39.0,21.0,37.0,4.0,5.0,10.0,53.0,80.0,32.0,76.0,85.0,t,f,8,t,USA,0.0,8.0,13.0,0.0,216.0,5.0,15.0,39.0,76.0,28.0,39.0,16.0,37.0,1.0,5.0,10.0,113.0,9.0,41.0,18.0,39.0,2.0,8.0,10.0,44.0,76.0,27.0,80.0,71.0,f,f,f,USA
2017-08-20,2017-08-26,USA,Hard,664825.0,$,2017,alex-de-minaur,A. de Minaur,kevin-king,K. King,winston-salem,1st Round Qualifying,2.0,f,250,0,01:07:00,102.0,0.0,3.0,12.0,0.0,0.0,134.0,0.0,3.0,22.0,48.0,11.0,22.0,7.0,26.0,5.0,11.0,7.0,167.0,12.0,35.0,11.0,19.0,2.0,4.0,8.0,18.0,48.0,23.0,54.0,41.0,f,f,5,f,USA,2.0,12.0,3.0,0.0,249.0,5.0,4.0,35.0,54.0,23.0,35.0,8.0,19.0,2.0,4.0,8.0,263.0,11.0,22.0,19.0,26.0,6.0,11.0,7.0,31.0,54.0,30.0,48.0,61.0,t,f,t,USA
2017-08-20,2017-08-26,USA,Hard,664825.0,$,2017,aljaz-bedene,A. Bedene,andreas-seppi,A. Seppi,winston-salem,Round of 32,2.0,f,250,3,01:57:00,163.0,0.0,9.0,13.0,0.0,0.0,218.0,6.0,3.0,34.0,67.0,25.0,34.0,12.0,33.0,3.0,8.0,11.0,131.0,17.0,48.0,24.0,48.0,3.0,16.0,11.0,37.0,67.0,41.0,96.0,78.0,f,f,12,f,USA,2.0,13.0,9.0,0.0,238.0,6.0,5.0,48.0,96.0,31.0,48.0,24.0,48.0,13.0,16.0,11.0,198.0,9.0,34.0,21.0,33.0,5.0,8.0,11.0,55.0,96.0,30.0,67.0,85.0,t,f,t,USA
2017-08-20,2017-08-26,USA,Hard,664825.0,$,2017,andreas-seppi,A. Seppi,janko-tipsarevic,J. Tipsarevic,winston-salem,Round of 64,2.0,f,250,2,01:02:00,93.0,2.0,12.0,4.0,0.0,0.0,308.0,4.0,1.0,25.0,43.0,20.0,25.0,12.0,18.0,0.0,0.0,8.0,217.0,11.0,25.0,14.0,25.0,4.0,6.0,8.0,32.0,43.0,25.0,50.0,57.0,t,f,,t,USA,0.0,4.0,12.0,0.0,199.0,1.0,2.0,25.0,50.0,14.0,25.0,11.0,25.0,2.0,6.0,8.0,53.0,5.0,25.0,6.0,18.0,0.0,0.0,8.0,25.0,50.0,11.0,43.0,36.0,f,f,f,USA
2017-08-20,2017-08-26,USA,Hard,664825.0,$,2017,andreas-seppi,A. Seppi,jan-lennard-struff,J. Struff,winston-salem,Round of 16,3.0,f,250,4,02:33:00,240.0,1.0,16.0,19.0,1.0,2.0,236.0,8.0,5.0,62.0,110.0,39.0,62.0,22.0,48.0,1.0,6.0,16.0,150.0,21.0,65.0,36.0,65.0,4.0,10.0,17.0,61.0,110.0,57.0,130.0,118.0,f,f,,f,USA,2.0,19.0,16.0,1.0,245.0,18.0,12.0,65.0,130.0,44.0,65.0,29.0,65.0,6.0,10.0,17.0,205.0,23.0,62.0,26.0,48.0,5.0,6.0,16.0,73.0,130.0,49.0,110.0,122.0,t,f,t,USA
2017-08-20,2017-08-26,USA,Hard,664825.0,$,2017,andrey-kuznetsov,A. Kuznetsov,john-isner,J. Isner,winston-salem,Round of 32,3.0,f,250,3,01:48:00,162.0,1.0,15.0,15.0,0.0,1.0,290.0,10.0,0.0,48.0,80.0,37.0,48.0,20.0,32.0,0.0,3.0,15.0,147.0,12.0,52.0,13.0,30.0,3.0,5.0,14.0,57.0,80.0,25.0,82.0,82.0,f,f,,t,USA,2.0,15.0,15.0,1.0,283.0,13.0,5.0,52.0,82.0,40.0,52.0,17.0,30.0,2.0,5.0,14.0,181.0,11.0,48.0,12.0,32.0,3.0,3.0,15.0,57.0,82.0,23.0,80.0,80.0,t,f,f,USA
2017-08-20,2017-08-26,USA,Hard,664825.0,$,2017,andrey-kuznetsov,A. Kuznetsov,nicolas-kicker,N. Kicker,winston-salem,Round of 64,2.0,f,250,2,01:26:00,126.0,2.0,13.0,7.0,0.0,0.0,269.0,5.0,7.0,28.0,59.0,24.0,28.0,15.0,31.0,1.0,2.0,10.0,184.0,11.0,35.0,20.0,32.0,4.0,8.0,10.0,39.0,59.0,31.0,67.0,70.0,t,f,,t,USA,0.0,7.0,13.0,0.0,217.0,3.0,5.0,35.0,67.0,24.0,35.0,12.0,32.0,4.0,8.0,10.0,126.0,4.0,28.0,16.0,31.0,1.0,2.0,10.0,36.0,67.0,20.0,59.0,56.0,f,f,f,USA
