,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-02-02,2009-02-08,Croatia,Hard,398250.0,€,2009,alexander-peya,A. Peya,dominik-hrbaty,D. Hrbaty,zagreb,3rd Round Qualifying,2.0,f,250,2,01:28:00,137.0,0.0,10.0,13.0,0.0,1.0,249.0,9.0,2.0,40.0,73.0,25.0,40.0,17.0,33.0,3.0,6.0,11.0,184.0,11.0,45.0,8.0,19.0,2.0,2.0,11.0,42.0,73.0,19.0,64.0,61.0,f,f,2,f,Croatia,2.0,13.0,10.0,1.0,284.0,2.0,3.0,45.0,64.0,34.0,45.0,11.0,19.0,0.0,2.0,11.0,163.0,15.0,40.0,16.0,33.0,3.0,6.0,11.0,45.0,64.0,31.0,73.0,76.0,t,f,t,Croatia
1,2009-02-02,2009-02-08,Croatia,Hard,398250.0,€,2009,alexander-peya,A. Peya,franko-skugor,F. Skugor,zagreb,2nd Round Qualifying,2.0,f,250,1,01:09:00,108.0,2.0,12.0,4.0,0.0,0.0,294.0,2.0,2.0,31.0,50.0,28.0,31.0,8.0,19.0,2.0,2.0,8.0,210.0,16.0,36.0,13.0,22.0,4.0,7.0,8.0,36.0,50.0,29.0,58.0,65.0,t,f,2,t,Croatia,0.0,4.0,12.0,0.0,209.0,1.0,1.0,36.0,58.0,20.0,36.0,9.0,22.0,3.0,7.0,8.0,68.0,3.0,31.0,11.0,19.0,0.0,2.0,8.0,29.0,58.0,14.0,50.0,43.0,f,f,f,Croatia
2,2009-02-02,2009-02-08,Croatia,Hard,398250.0,€,2009,alexander-peya,A. Peya,luca-vanni,L. Vanni,zagreb,1st Round Qualifying,2.0,f,250,0,00:41:00,65.0,2.0,12.0,0.0,0.0,0.0,368.0,1.0,0.0,16.0,24.0,16.0,16.0,8.0,8.0,0.0,0.0,6.0,301.0,19.0,27.0,9.0,14.0,6.0,9.0,6.0,24.0,24.0,28.0,41.0,52.0,t,f,2,t,Croatia,0.0,0.0,12.0,0.0,130.0,0.0,2.0,27.0,41.0,8.0,27.0,5.0,14.0,3.0,9.0,6.0,0.0,0.0,16.0,0.0,8.0,0.0,0.0,6.0,13.0,41.0,0.0,24.0,13.0,f,f,f,Croatia
3,2009-02-02,2009-02-08,Croatia,Hard,398250.0,€,2009,andis-juska,A. Juska,josko-topic,J. Topic,zagreb,1st Round Qualifying,3.0,f,250,0,02:10:00,212.0,1.0,16.0,19.0,1.0,2.0,291.0,4.0,5.0,65.0,101.0,47.0,65.0,25.0,36.0,3.0,5.0,16.0,85.0,15.0,71.0,18.0,40.0,1.0,7.0,17.0,72.0,101.0,33.0,111.0,105.0,f,f,,f,Croatia,2.0,19.0,16.0,1.0,296.0,9.0,5.0,71.0,111.0,56.0,71.0,22.0,40.0,6.0,7.0,17.0,111.0,18.0,65.0,11.0,36.0,2.0,5.0,16.0,78.0,111.0,29.0,101.0,107.0,t,f,t,Croatia
4,2009-02-02,2009-02-08,Croatia,Hard,398250.0,€,2009,andreas-seppi,A. Seppi,mischa-zverev,M. Zverev,zagreb,Round of 32,3.0,f,250,3,02:01:00,187.0,1.0,14.0,16.0,0.0,1.0,226.0,4.0,2.0,45.0,84.0,28.0,45.0,20.0,39.0,4.0,10.0,14.0,201.0,25.0,70.0,19.0,33.0,6.0,9.0,15.0,48.0,84.0,44.0,103.0,92.0,f,f,6,f,Croatia,2.0,16.0,14.0,1.0,237.0,5.0,2.0,70.0,103.0,45.0,70.0,14.0,33.0,3.0,9.0,15.0,189.0,17.0,45.0,19.0,39.0,6.0,10.0,14.0,59.0,103.0,36.0,84.0,95.0,t,f,t,Croatia
5,2009-02-02,2009-02-08,Croatia,Hard,398250.0,€,2009,antonio-sancic,A. Sancic,dusan-vemic,D. Vemic,zagreb,1st Round Qualifying,3.0,f,250,0,02:16:00,194.0,2.0,18.0,12.0,0.0,1.0,292.0,7.0,1.0,54.0,96.0,42.0,54.0,25.0,42.0,5.0,6.0,14.0,175.0,17.0,57.0,20.0,41.0,5.0,8.0,15.0,67.0,96.0,37.0,98.0,104.0,t,f,,f,Croatia,1.0,12.0,18.0,1.0,247.0,6.0,4.0,57.0,98.0,40.0,57.0,21.0,41.0,3.0,8.0,15.0,86.0,12.0,54.0,17.0,42.0,1.0,6.0,14.0,61.0,98.0,29.0,96.0,90.0,f,f,t,Croatia
6,2009-02-02,2009-02-08,Croatia,Hard,398250.0,€,2009,antonio-sancic,A. Sancic,jesse-huta-galung,J. Huta Galung,zagreb,2nd Round Qualifying,2.0,f,250,1,01:24:00,135.0,0.0,10.0,13.0,0.0,1.0,258.0,9.0,2.0,44.0,74.0,35.0,44.0,12.0,30.0,2.0,5.0,11.0,175.0,6.0,32.0,11.0,29.0,2.0,2.0,11.0,47.0,74.0,17.0,61.0,64.0,f,f,,f,Croatia,2.0,13.0,10.0,1.0,276.0,3.0,3.0,32.0,61.0,26.0,32.0,18.0,29.0,0.0,2.0,11.0,167.0,9.0,44.0,18.0,30.0,3.0,5.0,11.0,44.0,61.0,27.0,74.0,71.0,t,f,t,Croatia
7,2009-02-02,2009-02-08,Croatia,Hard,398250.0,€,2009,antonio-veic,A. Veic,evgeny-korolev,E. Korolev,zagreb,Round of 16,3.0,f,250,4,02:30:00,210.0,2.0,16.0,16.0,1.0,1.0,266.0,4.0,5.0,64.0,113.0,44.0,64.0,27.0,49.0,6.0,8.0,15.0,107.0,8.0,49.0,24.0,48.0,2.0,7.0,16.0,71.0,113.0,32.0,97.0,103.0,t,f,WC,f,Croatia,1.0,16.0,16.0,0.0,275.0,7.0,4.0,49.0,97.0,41.0,49.0,24.0,48.0,5.0,7.0,16.0,114.0,20.0,64.0,22.0,49.0,2.0,8.0,15.0,65.0,97.0,42.0,113.0,107.0,f,f,t,Croatia
8,2009-02-02,2009-02-08,Croatia,Hard,398250.0,€,2009,antonio-veic,A. Veic,guillermo-canas,G. Canas,zagreb,Round of 32,3.0,f,250,3,02:01:00,188.0,2.0,16.0,12.0,0.0,0.0,276.0,12.0,2.0,48.0,81.0,34.0,48.0,19.0,33.0,5.0,8.0,14.0,168.0,19.0,56.0,29.0,51.0,5.0,12.0,14.0,53.0,81.0,48.0,107.0,101.0,t,f,WC,f,Croatia,1.0,12.0,16.0,0.0,221.0,4.0,8.0,56.0,107.0,37.0,56.0,22.0,51.0,7.0,12.0,14.0,130.0,14.0,48.0,14.0,33.0,3.0,8.0,14.0,59.0,107.0,28.0,81.0,87.0,f,f,t,Croatia
9,2009-02-02,2009-02-08,Croatia,Hard,398250.0,€,2009,antonio-veic,A. Veic,marin-cilic,M. Cilic,zagreb,Quarter-Finals,2.0,f,250,5,01:38:00,142.0,0.0,8.0,13.0,0.0,1.0,236.0,3.0,4.0,42.0,78.0,29.0,42.0,16.0,36.0,10.0,13.0,10.0,168.0,5.0,31.0,14.0,33.0,1.0,1.0,10.0,45.0,78.0,19.0,64.0,64.0,f,f,WC,f,Croatia,2.0,13.0,8.0,1.0,283.0,4.0,1.0,31.0,64.0,26.0,31.0,19.0,33.0,0.0,1.0,10.0,140.0,13.0,42.0,20.0,36.0,3.0,13.0,10.0,45.0,64.0,33.0,78.0,78.0,t,f,t,Croatia
